name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
"Andorra la Vella, Andorra",2022-01-01,15.5,5.4,8.1,15.5,1.9,6.1,-9.3,29.1,46.886,100,4.17,rain,0,0,26.5,21.2,266.6,1028.5,50.7,17.7,729.5,63.1,10,,2022-01-01T08:23:44,2022-01-01T17:31:23,0.95,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"08112099999,08938099999,LESU,C8668,08117099999,08930099999,remote,07627099999,08936099999"
"Andorra la Vella, Andorra",2022-01-02,12,2,6.4,12,0.5,3.8,-6.4,41.7,58.703,100,4.17,rain,0,0,28.6,23.1,273.2,1029.6,80.1,16.7,713.4,61.8,10,,2022-01-02T08:23:48,2022-01-02T17:32:16,0,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"08112099999,08938099999,LESU,C8668,08117099999,08930099999,remote,C7218,07627099999,08936099999"
"Andorra la Vella, Andorra",2022-01-03,11.6,2.2,5.4,11.6,-1.1,2.5,-1.2,63,58.608,100,4.17,rain,0,0,34.1,24.9,260,1024.5,82,17.3,749.7,65,10,,2022-01-03T08:23:49,2022-01-03T17:33:10,0.02,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"08112099999,08938099999,LESU,C8668,08117099999,C7218,07627099999,08936099999"
"Andorra la Vella, Andorra",2022-01-04,17.9,0.6,4.7,17.9,-3.7,0.9,-1.7,64.2,40.088,100,20.83,"rain,snow",0,0,44.6,25.1,244,1010,75.4,19.5,757.4,65.5,10,,2022-01-04T08:23:49,2022-01-04T17:34:07,0.06,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with rain or snow.,rain,"08112099999,08938099999,C8668,08117099999,08930099999,C7218,07627099999,08936099999"
"Andorra la Vella, Andorra",2022-01-05,5.6,-8.4,-3.6,3.4,-15.5,-9.9,-6.9,77.8,1.531,100,25,"rain,snow",0,0,47.5,32.6,331.9,1018.1,97.2,18,813.2,70.3,10,,2022-01-05T08:23:45,2022-01-05T17:35:04,0.09,"Snow, Rain, Overcast",Cloudy skies throughout the day with rain or snow clearing later.,rain,"08112099999,08938099999,C8668,08117099999,08930099999,07627099999,08936099999"
"Andorra la Vella, Andorra",2022-01-06,7.7,-10.7,-5.1,7.7,-16.5,-9.8,-13.9,55.4,41.025,100,4.17,snow,0,0,31.8,20.9,337.8,1021.7,34.2,14.9,678,58.8,10,,2022-01-06T08:23:40,2022-01-06T17:36:04,0.12,"Snow, Partially cloudy",Partly cloudy throughout the day with morning snow.,rain,"08112099999,08938099999,LESU,C8668,08117099999,08930099999,C7218,07627099999,08936099999"
"Andorra la Vella, Andorra",2022-01-07,9.7,-6.3,-2.2,7,-13.3,-7.6,-12.6,49.4,41.347,100,16.67,"rain,snow",0,0,40.6,30,334.5,1025.5,70.7,14.9,737.3,63.8,10,,2022-01-07T08:23:32,2022-01-07T17:37:04,0.15,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with rain or snow.,rain,"08112099999,08938099999,LESU,C8668,08117099999,07627099999,08936099999"
"Andorra la Vella, Andorra",2022-01-08,9,-5.3,-0.3,7,-12.6,-5.2,-4.5,74.3,0.157,100,8.33,"rain,snow",0,0,48.7,35.6,307.1,1023,78.7,16.5,759.2,65.9,10,,2022-01-08T08:23:22,2022-01-08T17:38:06,0.19,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with rain or snow.,rain,"08112099999,08938099999,LESU,C8668,08117099999,C7218,07627099999,08936099999"
"Andorra la Vella, Andorra",2022-01-09,7.8,-3.7,0.6,5.6,-11.5,-4,-1.4,86.6,16.745,100,79.17,"rain,snow",0,0,61.2,39.2,322.7,1015.3,90.3,12.2,748.4,64.4,10,,2022-01-09T08:23:09,2022-01-09T17:39:10,0.25,"Snow, Rain, Overcast",Cloudy skies throughout the day with a chance of rain or snow throughout the day.,rain,"08112099999,08938099999,LESU,C8668,08117099999,C7218,07627099999,08936099999"
"Andorra la Vella, Andorra",2022-01-10,12.4,-2.6,3.6,12.4,-4.4,0.6,3,94.5,21.421,100,87.5,"rain,snow",7.1,16.7,63.7,49,326.1,1016.1,96,13.6,367.1,31.7,10,10,2022-01-10T08:22:54,2022-01-10T17:40:15,0.25,"Snow, Rain, Overcast",Cloudy skies throughout the day with a chance of rain or snow throughout the day.,snow,"08112099999,08938099999,LESU,C8668,08117099999,C7218,07627099999,08936099999"
