name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
"Antananarivo, Madagascar",2022-01-01,29,18,21.6,29.8,18,21.7,18,83.1,28.8,100,8.33,rain,0,0,,34.1,336.1,1018.2,64,12.4,194.8,16.9,7,,2022-01-01T05:16:05,2022-01-01T18:30:41,0.95,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"67083099999,FMMI"
"Antananarivo, Madagascar",2022-01-02,30,18,22.3,30.4,18,22.4,17.9,79.1,3,100,4.17,rain,0,0,,21.4,185.4,1017.2,64.8,13,282.3,24.2,10,,2022-01-02T05:16:41,2022-01-02T18:31:00,0,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"67083099999,FMMI"
"Antananarivo, Madagascar",2022-01-03,29.3,18.9,22.3,30.1,18.9,22.4,18.2,80,0.8,100,8.33,rain,0,0,,29.5,94.1,1017,79,12.5,277.7,23.9,10,,2022-01-03T05:17:18,2022-01-03T18:31:18,0.02,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"67083099999,FMMI,67085099999"
"Antananarivo, Madagascar",2022-01-04,28,19,21.5,29.2,19,21.6,18.5,84.9,14.2,100,12.5,rain,0,0,,18.4,71,1018.4,77.7,12.4,266.7,23,10,,2022-01-04T05:17:56,2022-01-04T18:31:35,0.05,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"67083099999,FMMI"
"Antananarivo, Madagascar",2022-01-05,27,18,21,27.9,18,21.1,18.6,87.4,17,100,8.33,rain,0,0,,20.3,59.7,1019.3,77.2,10.9,117.8,10.3,3,,2022-01-05T05:18:33,2022-01-05T18:31:51,0.09,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"67083099999,FMMI"
"Antananarivo, Madagascar",2022-01-06,27,17.9,20.9,27.7,17.9,20.9,17.7,83.5,19,100,12.5,rain,0,0,,18.4,294.5,1017.9,82.2,12.3,117.5,10.1,4,,2022-01-06T05:19:11,2022-01-06T18:32:05,0.12,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"67083099999,FMMI"
"Antananarivo, Madagascar",2022-01-07,29,17.4,22,29.1,17.4,22.1,17.3,77.1,0,0,0,,0,0,,22.3,138.5,1017.7,67.1,12.9,263.7,22.7,10,,2022-01-07T05:19:50,2022-01-07T18:32:19,0.15,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"67083099999,FMMI"
"Antananarivo, Madagascar",2022-01-08,28,18,22,28.3,18,22.1,17.2,76.1,0.2,100,4.17,rain,0,0,29.5,24.1,124.2,1017.9,80.1,13.2,298.1,25.7,10,,2022-01-08T05:20:28,2022-01-08T18:32:31,0.18,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"67083099999,FMMI"
"Antananarivo, Madagascar",2022-01-09,25,18,21,25,18,21,16.8,77.9,0,0,0,,0,0,,23.1,136,1017.7,76.8,12.5,229.7,19.7,7,,2022-01-09T05:21:07,2022-01-09T18:32:42,0.25,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"67083099999,FMMI"
"Antananarivo, Madagascar",2022-01-10,28,17,20.2,28.6,17,20.2,17.4,86,5.7,100,8.33,rain,0,0,24.1,26.8,125.2,1017.1,89,11.5,160.1,13.7,5,10,2022-01-10T05:21:45,2022-01-10T18:32:52,0.25,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"67083099999,FMMI"
