name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
"Ashgabat, Turkmenistan",2022-01-01,10.4,-2.2,3.3,10.4,-4.9,2.8,-2.6,67.9,0,0,0,,0,0,,8.8,129.8,1018,15.9,7.7,128.5,11.2,5,,2022-01-01T08:22:28,2022-01-01T17:57:34,0.95,Clear,Clear conditions throughout the day.,clear-day,"38880099999,UTAA"
"Ashgabat, Turkmenistan",2022-01-02,13.1,0,5.7,13.1,-2.6,4.5,-1.7,60,0,0,0,,0,0,,18.4,212.7,1011.4,62.9,9.7,78.2,6.7,4,,2022-01-02T08:22:36,2022-01-02T17:58:22,0,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"38880099999,UTAA"
"Ashgabat, Turkmenistan",2022-01-03,12,4.6,7.8,12,0,6,0.3,60.2,3.4,100,50,rain,0,0,,29.5,296.8,1008.6,91.6,9.8,104.3,9.1,5,,2022-01-03T08:22:43,2022-01-03T17:59:12,0.02,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"38880099999,UTAA"
"Ashgabat, Turkmenistan",2022-01-04,7,2,4.2,6,-0.9,1.5,2.5,89.1,0,0,0,,0,0,,20.3,106.7,1014.5,99.6,7.5,120.6,10.4,5,,2022-01-04T08:22:47,2022-01-04T18:00:03,0.05,Overcast,Cloudy skies throughout the day.,cloudy,"38880099999,UTAA"
"Ashgabat, Turkmenistan",2022-01-05,11,1.9,6.2,11,-2,4.5,1.9,76.9,0.9,100,33.33,rain,0,0,,15.2,295.9,1013.3,95.2,6.4,35,3,2,,2022-01-05T08:22:49,2022-01-05T18:00:56,0.08,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"38880099999,UTAA"
"Ashgabat, Turkmenistan",2022-01-06,12,3,7.3,12,1.1,5.8,1.5,68.5,0.5,100,16.67,rain,0,0,,18.4,347.7,1024.1,45.7,10,132.9,11.5,6,,2022-01-06T08:22:49,2022-01-06T18:01:49,0.12,"Rain, Partially cloudy",Clearing in the afternoon with early morning rain.,rain,"38880099999,UTAA"
"Ashgabat, Turkmenistan",2022-01-07,13,-1,5.5,13,-3.5,3.6,-1.3,65.3,0,0,0,,0,0,,27.6,109.1,1022,0,10,141.8,12.1,6,,2022-01-07T08:22:47,2022-01-07T18:02:44,0.15,Clear,Clear conditions throughout the day.,clear-day,"38880099999,UTAA"
"Ashgabat, Turkmenistan",2022-01-08,12,-2,4.1,12,-6,2.3,-1.4,70,0,0,0,,0,0,,18.4,161.1,1018.6,8.5,9.4,140.7,12.1,6,,2022-01-08T08:22:43,2022-01-08T18:03:40,0.18,Clear,Clear conditions throughout the day.,clear-day,"38880099999,UTAA"
"Ashgabat, Turkmenistan",2022-01-09,13,1,6.4,13,0.9,5.7,-1.1,60.1,0,0,0,,0,0,,24,101.4,1024,30.1,10,131.9,11.4,6,,2022-01-09T08:22:37,2022-01-09T18:04:37,0.25,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,"38880099999,UTAA"
"Ashgabat, Turkmenistan",2022-01-10,5.8,-2,1.7,3,-6.8,-1.2,-0.3,86.7,0,0,0,,0,0,33.8,18.4,103.8,1020.4,23.3,6,146.3,12.6,6,10,2022-01-10T08:22:29,2022-01-10T18:05:35,0.25,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"38880099999,UTAA"
