name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
"Batticaloa, Eastern, Sri Lanka",2022-01-01,29.6,26.1,27.1,36.2,26.1,28.9,24.9,88.2,4.6,100,12.5,rain,,,,17.3,49.1,,36,20,212.6,18.3,7,,2022-01-01T06:16:15,2022-01-01T17:57:11,0.95,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"remote,43436099999"
"Batticaloa, Eastern, Sri Lanka",2022-01-02,28.9,25.1,26.8,34.4,25.1,28.4,24.5,87.3,31.5,100,33.33,rain,,,,19.4,50.3,,91.1,19.4,224.8,19.5,8,,2022-01-02T06:16:40,2022-01-02T17:57:42,0.98,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"remote,43436099999"
"Batticaloa, Eastern, Sri Lanka",2022-01-03,28.1,24.1,26,32.2,24.1,27,24.3,90.5,140.3,100,29.17,rain,,,,20.5,40.5,,67.6,18.8,209,18,8,,2022-01-03T06:17:04,2022-01-03T17:58:13,0,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"remote,43436099999"
"Batticaloa, Eastern, Sri Lanka",2022-01-04,28,23.7,26.2,31.9,23.7,27.5,24.1,88.5,102.6,100,12.5,rain,,,,20.9,32.7,,72.5,20,226.3,19.4,8,,2022-01-04T06:17:28,2022-01-04T17:58:44,0.05,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"remote,43436099999"
"Batticaloa, Eastern, Sri Lanka",2022-01-05,28.4,24.1,26.4,32.7,24.1,27.9,24.4,89.1,8.1,100,8.33,rain,,,,17.3,20.6,,86.2,20,225.1,19.3,8,,2022-01-05T06:17:51,2022-01-05T17:59:15,0.08,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"remote,43436099999"
"Batticaloa, Eastern, Sri Lanka",2022-01-06,29.1,24.9,26.8,35.5,24.9,28.5,24.8,89.2,10.9,100,12.5,rain,,,,19.4,25.6,,51.5,20,183.3,15.8,6,,2022-01-06T06:18:13,2022-01-06T17:59:46,0.11,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"remote,43436099999"
"Batticaloa, Eastern, Sri Lanka",2022-01-07,29.1,25.5,26.7,35.5,25.5,28.4,24.4,87.5,2.2,100,75,rain,,,,13.7,39,,60.4,20,230.2,19.8,8,,2022-01-07T06:18:35,2022-01-07T18:00:17,0.15,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"remote,43436099999"
"Batticaloa, Eastern, Sri Lanka",2022-01-08,27.5,25.2,26.2,31.1,25.2,27.2,24.3,89.4,4,100,12.5,rain,,,,16.9,19,,78.5,20,188.2,16.3,7,,2022-01-08T06:18:56,2022-01-08T18:00:48,0.18,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"remote,43436099999"
"Batticaloa, Eastern, Sri Lanka",2022-01-09,27.9,24.1,26.2,31.9,24.1,26.8,24,88.2,36.7,100,12.5,rain,,,,16.2,24.5,,75.4,20,106.8,9.2,4,,2022-01-09T06:19:16,2022-01-09T18:01:18,0.25,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"remote,43436099999"
"Batticaloa, Eastern, Sri Lanka",2022-01-10,27.2,23.1,25.8,30.4,23.1,26.3,23.8,88.8,10,100,8.33,rain,,,18,15.5,17.8,1012.2,89.4,19.7,112.7,9.6,5,10,2022-01-10T06:19:35,2022-01-10T18:01:48,0.25,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"remote,43436099999"
"Batticaloa, Eastern, Sri Lanka",2022-01-11,28.1,24.7,26.5,32.7,24.7,28.1,22.7,79.7,8,100,8.33,rain,,,21.6,18.4,16.7,1011,58.4,21.8,222.6,19,9,10,2022-01-11T06:19:54,2022-01-11T18:02:17,0.28,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"remote,43436099999"
"Batticaloa, Eastern, Sri Lanka",2022-01-12,27.7,25.2,26.9,30.8,25.2,28.8,22.9,79,0.4,100,4.17,rain,,,18.4,18.4,22.9,1010.9,72.4,22.6,230,20.1,9,30,2022-01-12T06:20:12,2022-01-12T18:02:47,0.31,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"remote,43436099999"
"Batticaloa, Eastern, Sri Lanka",2022-01-13,29.6,25.1,27,36.7,25.1,29.1,23.2,80.2,1,100,4.17,rain,,,15.1,14,50.2,1010.9,56.3,22.9,214.5,18.7,9,30,2022-01-13T06:20:28,2022-01-13T18:03:16,0.34,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"remote,43436099999"
"Batticaloa, Eastern, Sri Lanka",2022-01-14,30.2,25.4,27.1,38.2,25.4,29.4,23.2,79.4,0.6,100,25,rain,,,19.1,17.6,42,1010.5,59.7,23.4,236.2,20.7,9,30,2022-01-14T06:20:44,2022-01-14T18:03:44,0.38,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"remote,43436099999"
"Batticaloa, Eastern, Sri Lanka",2022-01-15,27.7,25.4,27.1,31.7,25.4,29.3,23.1,78.6,0.4,100,12.5,rain,,,19.8,16.6,45.1,1010.9,43.8,23.4,242.4,21.3,9,30,2022-01-15T06:21:00,2022-01-15T18:04:12,0.41,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"remote,43436099999"
"Batticaloa, Eastern, Sri Lanka",2022-01-16,30.1,26.7,27.3,38,26.7,29.9,23.2,78.5,5.4,100,66.67,rain,0,,26.3,24.5,45,1011.8,55.3,21.2,235.8,20.7,9,10,2022-01-16T06:21:14,2022-01-16T18:04:40,0.44,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"remote,43436099999"
"Batticaloa, Eastern, Sri Lanka",2022-01-17,29.7,26.1,27.1,36,26.1,28.9,22.5,76,2,100,4.17,rain,0,,26.6,23.4,43.9,1013.1,64.1,16.6,231.9,20.3,9,10,2022-01-17T06:21:27,2022-01-17T18:05:07,0.48,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"remote,43436099999"
"Batticaloa, Eastern, Sri Lanka",2022-01-18,27.2,25.2,26.5,30.4,25.2,27,22.2,77.2,12.2,100,75,rain,0,,27.7,25.2,29.9,1012.9,57.5,16.3,239.3,21.1,9,10,2022-01-18T06:21:39,2022-01-18T18:05:34,0.5,"Rain, Partially cloudy",Clearing in the afternoon with a chance of rain throughout the day.,rain,"remote,43436099999"
"Batticaloa, Eastern, Sri Lanka",2022-01-19,28.6,26.3,26.7,31.8,26.3,27.3,20.9,70.5,24.1,100,8.33,rain,0,,29.5,27.7,14.9,1011.9,90.9,23.2,235.8,20.5,9,10,2022-01-19T06:21:51,2022-01-19T18:06:00,0.54,"Rain, Overcast",Cloudy skies throughout the day with rain clearing later.,rain,"remote,43436099999"
"Batticaloa, Eastern, Sri Lanka",2022-01-20,27.9,24.1,26.1,30.4,24.1,26.2,19.1,65.8,0,0,0,,0,,22.7,21.2,2.2,1011.2,71.9,23.6,236.2,20.9,9,10,2022-01-20T06:22:01,2022-01-20T18:06:26,0.58,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"remote,43436099999"
"Batticaloa, Eastern, Sri Lanka",2022-01-21,28.4,23,25,31.5,23,25.2,18.3,66.5,0,0,0,,0,,22,18.7,349.1,1011.8,76,23.4,258.1,22.7,10,10,2022-01-21T06:22:11,2022-01-21T18:06:51,0.62,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"remote,43436099999"
"Batticaloa, Eastern, Sri Lanka",2022-01-22,27.4,21.2,24.5,30,21.2,24.6,18.7,70.7,0,0,0,,0,,16.6,16.2,31.2,1010.4,75.6,23.1,263.8,23.1,10,10,2022-01-22T06:22:20,2022-01-22T18:07:16,0.65,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"remote,43436099999"
"Batticaloa, Eastern, Sri Lanka",2022-01-23,26.5,21.7,24.9,26.5,21.7,24.9,19.2,70.9,0,0,0,,0,,14.8,13.3,130.6,1010.3,41.4,23.6,263.8,23.1,10,10,2022-01-23T06:22:27,2022-01-23T18:07:40,0.69,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"remote,43436099999"
"Batticaloa, Eastern, Sri Lanka",2022-01-24,26.3,22.4,25,26.3,22.4,25,19.7,72.8,0,0,0,,0,,17.3,16.2,128.9,1010,68.2,23.6,249.5,22,10,10,2022-01-24T06:22:34,2022-01-24T18:08:03,0.72,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"remote,43436099999"
"Batticaloa, Eastern, Sri Lanka",2022-01-25,26.4,23.5,25.4,26.4,23.5,25.4,19.2,69.1,0,0,0,,0,,18.7,17.3,101.5,1010,84.4,23.9,242.3,21.5,10,10,2022-01-25T06:22:40,2022-01-25T18:08:26,0.75,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"remote,43436099999"
"Batticaloa, Eastern, Sri Lanka",2022-01-26,28.7,22.7,25.8,31.6,22.7,25.9,19.5,68.6,0,0,0,,0,,14.8,14,59.8,1010.1,70,23.4,226.1,19.8,9,10,2022-01-26T06:22:44,2022-01-26T18:08:48,0.79,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"remote,43436099999"
"Batticaloa, Eastern, Sri Lanka",2022-01-27,28.4,24.9,26,31.5,24.9,26.2,19.4,67.2,0.1,100,4.17,rain,0,,23.8,21.6,31.3,1010.1,70.8,23.8,235,20.7,9,10,2022-01-27T06:22:48,2022-01-27T18:09:10,0.83,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"remote,43436099999"
"Batticaloa, Eastern, Sri Lanka",2022-01-28,27.9,23.6,26.2,31.2,23.6,27.3,21.9,77.7,0.9,100,8.33,rain,0,,20.2,18.4,5.4,1010.3,53.6,20.7,241.7,21.4,9,10,2022-01-28T06:22:51,2022-01-28T18:09:31,0.86,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"remote,43436099999"
"Batticaloa, Eastern, Sri Lanka",2022-01-29,27.7,25.6,26.7,31.5,25.6,27.9,22.9,80,3.9,100,33.33,rain,0,,18.7,17.3,58.2,1010.7,21.9,20.5,251.5,22.1,9,10,2022-01-29T06:22:53,2022-01-29T18:09:51,0.9,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"remote,43436099999"
"Batticaloa, Eastern, Sri Lanka",2022-01-30,29.1,25.4,26.9,35,25.4,28.9,23,79.1,2,100,4.17,rain,0,,27.4,24.1,38.5,1010.9,21.4,22,253.3,22.3,10,30,2022-01-30T06:22:54,2022-01-30T18:10:11,0.93,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"remote,43436099999"
"Batticaloa, Eastern, Sri Lanka",2022-01-31,29.4,25.2,27.1,34.7,25.2,28.9,22.3,75.4,36.2,100,8.33,rain,0,,28.1,23.4,40.7,1010.8,42.4,20.5,250.8,21.7,9,10,2022-01-31T06:22:53,2022-01-31T18:10:30,0.97,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"remote,43436099999"
"Batticaloa, Eastern, Sri Lanka",2022-02-01,29.4,25.9,26.8,34.3,25.9,27.8,20.1,66.7,0.1,100,4.17,rain,0,,21.2,19.8,35.6,1010.5,43.6,23.6,265.5,23.3,10,10,2022-02-01T06:22:52,2022-02-01T18:10:48,0,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"remote,43436099999"
"Batticaloa, Eastern, Sri Lanka",2022-02-02,28.2,24.5,25.9,30.3,24.5,26,19.2,66.5,0,0,0,,0,,18.7,17.6,50.2,1011.2,7.2,23.6,265.7,23.4,10,10,2022-02-02T06:22:50,2022-02-02T18:11:06,0.03,Clear,Clear conditions throughout the day.,clear-day,"remote,43436099999"
"Batticaloa, Eastern, Sri Lanka",2022-02-03,28.1,25.6,26.2,31.6,25.6,26.4,19.9,68.4,0.1,100,4.17,rain,0,,17.3,17.6,42.1,1011.2,34.8,23.6,256.4,22.6,10,10,2022-02-03T06:22:47,2022-02-03T18:11:23,0.07,"Rain, Partially cloudy",Clearing in the afternoon with early morning rain.,rain,"remote,43436099999"
"Batticaloa, Eastern, Sri Lanka",2022-02-04,29.4,24.6,26.2,33.8,24.6,26.5,20.6,71.7,0,0,0,,0,,20.9,42.5,44.8,1009.9,25.7,23.2,269.3,23.7,10,10,2022-02-04T06:22:43,2022-02-04T18:11:39,0.1,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,"remote,43436099999"
