name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
"Belfast, Northern Ireland, United Kingdom",2022-01-01,13.4,7.9,11.5,13.4,6.6,11.2,8.4,81.5,1.9,100,25,rain,0,0,65.5,26.9,182.2,1001.8,61.7,22,64.8,1.7,2,,2022-01-01T08:46:14,2022-01-01T16:08:39,0.96,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"03917099999,03927099999,EGAC,03924099999,03915099999,E2842,03923099999"
"Belfast, Northern Ireland, United Kingdom",2022-01-02,10,7.6,8.6,10,5.3,6.6,6,83.6,0.11,100,12.5,rain,0,0,48.2,15.8,196,998.9,60.5,23.2,60.9,1.6,1,,2022-01-02T08:46:00,2022-01-02T16:09:50,0,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"03917099999,03927099999,03915099999,E2842,03923099999"
"Belfast, Northern Ireland, United Kingdom",2022-01-03,8.6,2.7,6.5,6.6,1.5,4.5,3.2,79.6,2.28,100,62.5,rain,0,0,48.1,15.7,248.5,999.6,74.7,24.6,55.8,1.6,1,,2022-01-03T08:45:42,2022-01-03T16:11:04,0.02,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"03917099999,03927099999,03915099999,E2842,03923099999"
"Belfast, Northern Ireland, United Kingdom",2022-01-04,3.3,1.4,2.2,1.9,-3,-0.2,0.1,86.3,2.269,100,75,"rain,snow",0,0,51.1,25.1,307.5,1006.6,49.7,20.4,79.6,2.3,2,,2022-01-04T08:45:21,2022-01-04T16:12:21,0.06,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain or snow throughout the day.,rain,"03917099999,03927099999,EGAC,03915099999,E2842,03923099999"
"Belfast, Northern Ireland, United Kingdom",2022-01-05,4.9,2,3.1,4.9,-1.1,1.8,0.6,84.1,1.83,100,33.33,rain,0,0,43.4,13.2,278.2,1015.7,80,26.9,72.9,2.1,2,,2022-01-05T08:44:55,2022-01-05T16:13:41,0.09,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"03917099999,03927099999,EGAC,03915099999,E2842,03923099999"
"Belfast, Northern Ireland, United Kingdom",2022-01-06,8,1.1,4.3,5.6,-2,1,1.3,81.3,4.36,100,62.5,rain,0,0,66.3,34.2,184.4,1003.9,69.9,38,48.9,1.2,1,,2022-01-06T08:44:26,2022-01-06T16:15:04,0.12,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"03917099999,03927099999,EGAC,03915099999,E2842,03923099999"
"Belfast, Northern Ireland, United Kingdom",2022-01-07,3.7,0.8,1.9,1.3,-3,-0.8,0.6,91,1.426,100,41.67,"rain,snow",0,0,42.1,14.9,217.1,1004.7,77.6,32.9,78.5,2.2,2,,2022-01-07T08:43:54,2022-01-07T16:16:30,0.16,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain or snow throughout the day.,rain,"03917099999,03927099999,03915099999,E2842,03923099999"
"Belfast, Northern Ireland, United Kingdom",2022-01-08,8.3,2.4,5.2,6.6,-1.3,2.7,3.5,89,4.549,100,70.83,rain,0,0,44,18.2,221.2,993.8,59.6,22.4,66.6,1.7,2,,2022-01-08T08:43:17,2022-01-08T16:17:59,0.19,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"03917099999,03927099999,EGAC,03915099999,E2842,03923099999"
"Belfast, Northern Ireland, United Kingdom",2022-01-09,6.9,2.1,4.6,6.2,-1.3,2.3,3.1,90.4,0.913,100,41.67,rain,0,0,27.3,16.3,218.5,998.1,69.8,20.1,64.6,1.9,2,,2022-01-09T08:42:37,2022-01-09T16:19:29,0.25,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"03917099999,03927099999,EGAC,03915099999,E2842,03923099999"
"Belfast, Northern Ireland, United Kingdom",2022-01-10,11.6,5.9,8.6,11.6,4.6,7.7,7.5,93.3,2.145,100,62.5,rain,0,0,32.4,13.1,181.7,1010.7,82.4,22.2,42.5,1.2,1,,2022-01-10T08:41:54,2022-01-10T16:21:03,0.25,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"03917099999,03927099999,03915099999,E2842,03923099999"
