name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
"Bergen, Vestland, Norge",2022-01-01,9.1,-1,4.8,6.3,-3.7,2.1,3.1,89.5,10.126,100,41.67,"rain,snow",0,0,53.6,43.1,149.4,1008.3,73.6,10.1,2.3,0.1,0,,2022-01-01T09:44:41,2022-01-01T15:40:04,0.95,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with rain or snow.,rain,"01342099999,01337099999,01329099999,F0042,01317099999,01311099999,ENBR"
"Bergen, Vestland, Norge",2022-01-02,9.6,6.9,7.7,6.8,2.7,4.3,6.1,89.5,12.876,100,41.67,rain,0,0,40,35.7,176.3,995,89,9.6,5.2,0.3,0,,2022-01-02T09:44:08,2022-01-02T15:41:34,0,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"01342099999,01329099999,01337099999,F0042,01406099999,ENSO,01311099999,01317099999,ENBR,01336099999,01001499999"
"Bergen, Vestland, Norge",2022-01-03,7.6,1,4.6,5.5,-4,0.7,2.6,86.9,16.08,100,70.83,"rain,snow",0,0,41,34,194.6,985.4,84.6,10.4,2.3,0,0,,2022-01-03T09:43:29,2022-01-03T15:43:10,0.02,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain or snow throughout the day.,rain,"01342099999,01329099999,01337099999,F0042,ENSO,01317099999,01311099999,ENBR,01327099999,01336099999,01001499999"
"Bergen, Vestland, Norge",2022-01-04,4.9,1,3.1,2.2,-4,-0.8,0.6,84.2,17.153,100,79.17,"rain,snow",0,0,50,33.1,185.1,976.6,87.7,9.6,4.8,0.3,0,,2022-01-04T09:42:45,2022-01-04T15:44:50,0.06,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain or snow throughout the day.,rain,"01342099999,01329099999,01337099999,F0042,ENSO,01317099999,01311099999,ENBR,01327099999,01001499999"
"Bergen, Vestland, Norge",2022-01-05,3,0.2,1.9,-0.2,-3.7,-2.4,-2.9,71,1.736,100,4.17,"rain,snow",0,0,47.5,27.5,347.5,994.5,37.2,11.4,2.6,0.1,0,,2022-01-05T09:41:56,2022-01-05T15:46:34,0.09,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with morning rain or snow.,rain,"01342099999,01329099999,01337099999,F0042,ENSO,01317099999,01311099999,ENBR,01001499999"
"Bergen, Vestland, Norge",2022-01-06,3.5,-3,0,0,-5.8,-3.7,-3.8,76.8,0,0,0,,0,0,45.7,33,134,1008.1,60.6,12.5,3.1,0.1,0,,2022-01-06T09:41:02,2022-01-06T15:48:22,0.12,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"01329099999,01337099999,01342099999,F0042,ENSO,01311099999,01317099999,ENBR,01001499999"
"Bergen, Vestland, Norge",2022-01-07,5.5,2,3.8,2.1,-3.5,-0.8,-0.8,72.7,0.673,100,16.67,rain,0,0,48.6,32.3,137.2,995.1,86.6,11.3,8.5,0.7,0,,2022-01-07T09:40:03,2022-01-07T15:50:14,0.15,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"01342099999,01329099999,01337099999,F0042,ENSO,01311099999,01317099999,ENBR,01001499999"
"Bergen, Vestland, Norge",2022-01-08,4.1,1,2.7,1.4,-3.4,-1.1,-1.5,75,0.427,100,16.67,"rain,snow",0,0,49,23.3,142.7,995.2,85,11,5.4,0.5,0,,2022-01-08T09:38:59,2022-01-08T15:52:10,0.19,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with rain or snow in the morning and afternoon.,rain,"01329099999,01337099999,01342099999,F0042,01317099999,01311099999,ENBR"
"Bergen, Vestland, Norge",2022-01-09,4.1,0.5,2.1,3.1,-1.6,0.4,-5.7,56.7,5.782,100,4.17,"rain,snow",0,0,48.5,21.2,79.6,998.1,75,11.5,7.6,0.6,0,,2022-01-09T09:37:51,2022-01-09T15:54:10,0.25,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with morning rain or snow.,rain,"01329099999,01337099999,01342099999,F0042,ENSO,01317099999,01311099999,ENBR,01001499999"
"Bergen, Vestland, Norge",2022-01-10,6.1,0.7,3.4,2.4,-1.9,0.2,-3.7,60.4,0,0,0,rain,0,0,70.2,40.9,146.9,1017.4,64.5,10.9,10.4,0.8,0,10,2022-01-10T09:36:38,2022-01-10T15:56:13,0.25,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"01342099999,01329099999,01337099999,F0042,ENSO,01317099999,01311099999,ENBR,01001499999"
"Bergen, Vestland, Norge",2022-01-11,6.1,4,5.3,3.3,-1.1,1.2,3,84.9,18.732,100,50,rain,0,0,72.4,50,159,1020.7,77.1,10.5,9.7,0.8,0,10,2022-01-11T09:35:21,2022-01-11T15:58:19,0.29,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"01342099999,01329099999,01337099999,01406099999,F0042,ENSO,01311099999,01317099999,ENBR,01327099999,01001499999"
"Bergen, Vestland, Norge",2022-01-12,9,5.9,7.6,7.7,1.6,4.5,6.4,91.9,40.019,100,83.33,rain,0,0,50,31.4,210.2,1023.7,92.7,7.7,1.6,0,0,10,2022-01-12T09:33:59,2022-01-12T16:00:29,0.32,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"01342099999,01329099999,01337099999,F0042,ENSO,01317099999,01311099999,ENBR,01336099999,01001499999"
"Bergen, Vestland, Norge",2022-01-13,9.6,8,8.4,7,3.9,5.5,6.9,90.4,18.246,100,87.5,rain,0,0,70.9,32.8,267.3,1021.5,93.5,6.8,3.3,0.3,0,10,2022-01-13T09:32:34,2022-01-13T16:02:41,0.35,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"01342099999,01329099999,01337099999,F0042,ENSO,01311099999,01317099999,ENBR,01336099999,01001499999"
"Bergen, Vestland, Norge",2022-01-14,6.2,1,4.3,2,-1.7,0.6,-2.1,64,2.779,100,16.67,"rain,snow",0,0,65.6,43.5,322.5,1026.4,65.5,10.8,11.5,0.9,1,10,2022-01-14T09:31:04,2022-01-14T16:04:56,0.38,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with rain or snow clearing later.,rain,"01342099999,01337099999,F0042,01329099999,ENSO,01317099999,01311099999,01314099999,ENBR,01327099999,01336099999,01001499999"
"Bergen, Vestland, Norge",2022-01-15,4.9,0.1,2.7,1.8,-3,-1,0.2,84.3,3.068,100,45.83,"rain,snow",0,0,41,25,147.8,1021.6,79.9,9.1,3.1,0.3,0,10,2022-01-15T09:29:30,2022-01-15T16:07:14,0.42,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with rain or snow.,rain,"01329099999,01337099999,01342099999,F0042,01317099999,01311099999,ENBR"
"Bergen, Vestland, Norge",2022-01-16,6,3,4.7,2.5,-2.3,0.6,2.2,84,24.278,100,62.5,"rain,snow",0,0,60.9,37.1,287.2,1007.3,87.3,10,7.3,0.5,0,10,2022-01-16T09:27:53,2022-01-16T16:09:34,0.45,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain or snow throughout the day.,rain,"01342099999,01329099999,01337099999,F0042,ENSO,01311099999,01317099999,ENBR,01336099999,01001499999"
"Bergen, Vestland, Norge",2022-01-17,4,0.8,2.4,3.1,-5.4,-1.7,-2.5,71.1,2.354,100,20.83,"rain,snow",0,0,74.2,48.2,329.4,1022.1,88.7,10.5,8.4,0.6,0,10,2022-01-17T09:26:11,2022-01-17T16:11:57,0.48,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with rain or snow clearing later.,rain,"01337099999,01342099999,01329099999,F0042,ENSO,01317099999,01311099999,ENBR,01327099999,01336099999,01001499999"
"Bergen, Vestland, Norge",2022-01-18,6.6,2.9,5.2,3.7,-0.7,2,3.5,89,1.412,100,33.33,rain,0,0,46.8,31.7,163.2,1025.8,89.8,9.6,2.4,0.1,0,10,2022-01-18T09:24:27,2022-01-18T16:14:21,0.5,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"01329099999,01337099999,01342099999,F0042,ENSO,01317099999,01311099999,ENBR,01336099999,01326099999,01001499999"
