name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
"Bishkek, Kyrgyzstan",2022-01-01,10.7,-3,3.6,10.7,-7.1,1.9,-5.3,54.9,0,0,0,,0,0.5,,14.4,131.7,1019.2,23.9,8.7,77.7,6.8,4,,2022-01-01T08:32:39,2022-01-01T17:37:39,0.95,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,"38353099999,UCFM,36911099999,38353199999,38229099999"
"Bishkek, Kyrgyzstan",2022-01-02,7.5,-3,1.9,6.3,-6,0.2,-1.9,76.6,0,0,0,,0,0.2,,10.8,137.1,1018.9,15.9,6.8,43.7,3.7,2,,2022-01-02T08:32:43,2022-01-02T17:38:32,0.98,Clear,Clear conditions throughout the day.,clear-day,"38353099999,UCFM,36911099999,38353199999,38229099999"
"Bishkek, Kyrgyzstan",2022-01-03,8,-4,1.9,7,-8.3,-0.5,-2.2,75.3,0,0,0,,0,0,54,25.2,156.5,1010.3,30.5,7.9,92.5,7.9,4,,2022-01-03T08:32:45,2022-01-03T17:39:26,0,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,"38353099999,UCFM,36911099999,38353199999,38229099999"
"Bishkek, Kyrgyzstan",2022-01-04,5.5,0,2.7,4.7,-3.5,0.5,0.7,86.7,0.6,100,20.83,"rain,snow",0,0,,24.3,153.2,1010.7,78.1,5.7,49.7,4.3,2,,2022-01-04T08:32:44,2022-01-04T17:40:23,0.05,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with rain or snow in the morning and afternoon.,rain,"38353099999,UCFM,36911099999,38353199999,38229099999"
"Bishkek, Kyrgyzstan",2022-01-05,2.7,-2,0.7,2.7,-4.8,-1.3,0.2,96.2,1,100,4.17,rain,0,0,,21.6,252.4,1016.7,79.7,1.8,101.5,8.7,5,,2022-01-05T08:32:41,2022-01-05T17:41:21,0.08,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"38353099999,UCFM,36911099999,38353199999,38229099999"
"Bishkek, Kyrgyzstan",2022-01-06,6.5,-3,0.7,5.9,-6,-2,-0.9,89.5,0.303,100,4.17,"rain,snow",0,0,,21.6,98.4,1019,47,6.5,74.7,6.3,3,,2022-01-06T08:32:36,2022-01-06T17:42:20,0.11,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with early morning snow or rain.,rain,"38353099999,UCFM,36911099999,38353199999,38229099999"
"Bishkek, Kyrgyzstan",2022-01-07,3,0.9,1.4,3,-2.5,-0.9,0.7,95.5,1.97,100,4.17,"rain,snow",0,0,,14.4,245.2,1027.3,96.8,3.7,86.6,7.4,4,,2022-01-07T08:32:28,2022-01-07T17:43:21,0.15,"Snow, Rain, Overcast",Cloudy skies throughout the day with afternoon rain or snow.,rain,"38353099999,UCFM,36911099999,38353199999,38229099999"
"Bishkek, Kyrgyzstan",2022-01-08,2,-1,0.7,2,-3.6,-1,-0.5,91.9,3.935,100,4.17,"rain,snow",1.9,1.2,,14.4,199.2,1025,87.1,3,112,9.8,5,,2022-01-08T08:32:17,2022-01-08T17:44:23,0.18,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with early morning snow or rain.,snow,"38353099999,UCFM,36911099999,38353199999,38229099999"
"Bishkek, Kyrgyzstan",2022-01-09,3.2,-0.5,0.9,3.2,-3.9,-1.5,-1.6,83.6,0,0,0,,0,1.9,,14.4,136.8,1026.5,96.2,4.7,114.9,9.8,5,,2022-01-09T08:32:04,2022-01-09T17:45:27,0.21,Overcast,Cloudy skies throughout the day.,cloudy,"38353099999,UCFM,36911099999,38353199999,38229099999"
"Bishkek, Kyrgyzstan",2022-01-10,2,-2,-0.1,1.2,-4.8,-1.9,-2.3,85.8,0,0,0,,0,1.8,4.3,14.4,65.7,1027.5,86.8,5.5,105.5,9.1,5,10,2022-01-10T08:31:49,2022-01-10T17:46:32,0.25,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"38353099999,UCFM,36911099999,38353199999,38229099999"
