name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
"Bloemfontein, Free State, South Africa",2022-01-01,30.1,14.9,21.8,28.6,14.9,21.5,10.6,55.6,0,0,0,,0,0,31.5,24.5,342.8,1017.1,28.4,12.5,393.5,34,10,,2022-01-01T05:19:42,2022-01-01T19:17:33,0.95,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"68447099999,FABL,68442099999,68443099999,remote"
"Bloemfontein, Free State, South Africa",2022-01-02,30.9,10,21.1,28.8,10,20.6,6.2,45.5,0,0,0,,0,0,30.3,22.3,270.1,1016.6,15.3,12.4,385.4,33.2,10,,2022-01-02T05:20:24,2022-01-02T19:17:46,0,Clear,Clear conditions throughout the day.,clear-day,"68447099999,FABL,68442099999,68443099999"
"Bloemfontein, Free State, South Africa",2022-01-03,31.8,12,22.1,29.8,12,21.7,10.7,54.5,0,0,0,,0,0,33.5,25.9,351.1,1016.5,19.8,11.7,374.2,32.4,10,,2022-01-03T05:21:07,2022-01-03T19:17:58,0.02,Clear,Clear conditions throughout the day.,clear-day,"68447099999,FABL,68442099999,68443099999"
"Bloemfontein, Free State, South Africa",2022-01-04,27,15,20,27.5,15,20,14.2,71.1,7.25,100,8.33,rain,0,0,32.9,33.5,7.5,1017,35.6,12.2,336.3,29,10,,2022-01-04T05:21:51,2022-01-04T19:18:08,0.05,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"68447099999,FABL,68442099999,68443099999"
"Bloemfontein, Free State, South Africa",2022-01-05,31.7,12.9,22.2,29.6,12.9,21.8,11.2,57,0,0,0,,0,0,23.9,16.6,319.8,1017.7,9.6,12.4,402.8,34.8,10,,2022-01-05T05:22:35,2022-01-05T19:18:16,0.09,Clear,Clear conditions throughout the day.,clear-day,"68447099999,FABL,68442099999,68443099999"
"Bloemfontein, Free State, South Africa",2022-01-06,28.7,15,20.9,27.7,15,20.8,13.9,66.5,0,0,0,,0,0,26.2,31.7,20.2,1019.8,51.8,12.3,270.2,23.3,9,,2022-01-06T05:23:21,2022-01-06T19:18:23,0.12,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"68447099999,FABL,68442099999,68443099999"
"Bloemfontein, Free State, South Africa",2022-01-07,29.4,16,21.4,28.8,16,21.4,15,70,2.95,100,8.33,rain,0,0,22.6,18.4,6.8,1020.3,40.1,12.4,337.3,29,10,,2022-01-07T05:24:07,2022-01-07T19:18:28,0.15,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"68447099999,FABL,68442099999,68443099999"
"Bloemfontein, Free State, South Africa",2022-01-08,29.1,16.8,21.5,28.4,16.8,21.5,15.1,69.4,5.877,100,4.17,rain,0,0,28.9,27.7,24,1021.5,37.7,12.1,323.1,27.9,10,,2022-01-08T05:24:54,2022-01-08T19:18:32,0.19,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"68447099999,FABL,68442099999,68443099999,remote"
"Bloemfontein, Free State, South Africa",2022-01-09,27,14.7,19.5,27.9,14.7,19.5,15.4,78.5,11.621,100,4.17,rain,0,0,25.4,22.3,351.9,1019.5,35.5,12.7,340.8,29.6,10,,2022-01-09T05:25:41,2022-01-09T19:18:34,0.25,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"68447099999,FABL,68442099999,68443099999,remote"
"Bloemfontein, Free State, South Africa",2022-01-10,26,16.8,20.4,26,16.8,20.4,16.4,79.7,4.95,100,8.33,rain,0,0,38.2,27.7,358.4,1016,50.4,12.4,303.8,26.3,9,10,2022-01-10T05:26:29,2022-01-10T19:18:34,0.25,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"68447099999,FABL,68442099999,68443099999"
"Bloemfontein, Free State, South Africa",2022-01-11,29.1,17,21.8,28.8,17,21.9,16.4,73.4,10.397,100,8.33,rain,0,0,24.8,20.5,295.6,1016.6,54.5,12,330,28.7,9,10,2022-01-11T05:27:18,2022-01-11T19:18:33,0.28,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"68447099999,FABL,68442099999,68443099999"
"Bloemfontein, Free State, South Africa",2022-01-12,30.5,17,22.9,30,17,23,15.8,66.7,0.7,100,4.17,rain,0,0,31.3,27.7,39.7,1019.5,37.4,12.6,345.3,29.9,9,10,2022-01-12T05:28:07,2022-01-12T19:18:30,0.32,"Rain, Partially cloudy",Becoming cloudy in the afternoon with afternoon rain.,rain,"68447099999,FABL,68442099999,68443099999"
