name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
"BrasÃ­lia, DF, Brasil",2022-01-01,22.2,18.2,19.2,22.2,18.2,19.2,17.9,92,8.1,100,12.5,rain,,,,17.6,348.7,1012,91.6,9.3,,,,,2022-01-01T05:44:02,2022-01-01T18:46:38,0.96,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"86715099999,83379099999,SBBR,83377099999,83378099999,86716099999,86736099999"
"BrasÃ­lia, DF, Brasil",2022-01-02,25.2,18.2,20.1,25.2,18.2,20.1,18,88.2,0.3,100,4.17,rain,,,,16.2,346.8,1013,88.9,10.9,,,,,2022-01-02T05:44:37,2022-01-02T18:46:59,0,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"86715099999,83379099999,SBBR,83377099999,83378099999,86716099999,86736099999"
"BrasÃ­lia, DF, Brasil",2022-01-03,26.9,18.6,21.3,27.8,18.6,21.4,18.1,82.6,0.3,100,4.17,rain,,,37.1,12.9,323,1012.1,81.7,11.1,,,,,2022-01-03T05:45:13,2022-01-03T18:47:18,0.03,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"86715099999,SBBR,83377099999,83378099999,86716099999,86736099999"
"BrasÃ­lia, DF, Brasil",2022-01-04,24.1,18.2,20.9,24.1,18.2,20.9,18.1,84.5,2,100,4.17,rain,,,,16.7,326,1011.2,78,11.4,,,,,2022-01-04T05:45:48,2022-01-04T18:47:37,0.06,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"86715099999,83379099999,SBBR,83377099999,83378099999,86736099999,86716099999"
"BrasÃ­lia, DF, Brasil",2022-01-05,27.7,17.6,22.3,28.2,17.6,22.4,17.3,75.5,0,0,0,,,,42.5,13.4,321.7,1010.3,56.9,11.1,,,,,2022-01-05T05:46:24,2022-01-05T18:47:54,0.09,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"86715099999,83379099999,SBBR,83377099999,83378099999,86716099999,86736099999"
"BrasÃ­lia, DF, Brasil",2022-01-06,25.2,18.7,21.1,25.2,18.7,21.1,18.1,83.6,0,0,0,,,,,17.7,331.8,1011,78.1,10.4,,,,,2022-01-06T05:47:00,2022-01-06T18:48:11,0.13,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"86715099999,83379099999,SBBR,83377099999,83378099999,86716099999,86736099999"
"BrasÃ­lia, DF, Brasil",2022-01-07,21.6,19.1,19.8,21.6,19.1,19.8,18.4,91.6,0.4,100,8.33,rain,,,29.5,13.7,326.5,1011.7,90.3,10.2,,,,,2022-01-07T05:47:36,2022-01-07T18:48:26,0.16,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"86715099999,SBBR,83377099999,83378099999,86716099999,86736099999"
"BrasÃ­lia, DF, Brasil",2022-01-08,23.6,18.7,19.8,23.6,18.7,19.8,18.4,91.7,18.9,100,12.5,rain,,,,15.1,332.3,1011.8,91,9.2,,,,,2022-01-08T05:48:12,2022-01-08T18:48:41,0.19,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"86715099999,83379099999,SBBR,83377099999,83378099999,86716099999,86736099999"
"BrasÃ­lia, DF, Brasil",2022-01-09,21.2,18.6,19.4,21.2,18.6,19.4,18.1,91.9,1.9,100,8.33,rain,,,,19.1,335.3,1012.4,93.3,10.5,,,,,2022-01-09T05:48:49,2022-01-09T18:48:54,0.25,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"86715099999,SBBR,83377099999,83378099999,86716099999,86736099999"
"BrasÃ­lia, DF, Brasil",2022-01-10,22.1,18.7,19.8,22.1,18.7,19.8,18.2,90.4,3,100,4.17,rain,0,0,34.9,15.6,329.7,1012.3,88.8,9.2,284.5,12.2,7,30,2022-01-10T05:49:25,2022-01-10T18:49:06,0.26,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"86715099999,SBBR,83377099999,83378099999,86716099999,86736099999"
