name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
"Brisbane, QLD 4000, Australia",2022-01-01,24,20.6,22.3,24,20.6,22.3,19.7,85.2,1.12,100,12.5,rain,0,0,,8.3,175.2,1010.9,65,11.7,78.4,6.8,3,,2022-01-01T04:56:01,2022-01-01T18:46:27,0.94,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"94578099999,94575099999,94595199999,E5738,94576099999,95591099999,95575099999"
"Brisbane, QLD 4000, Australia",2022-01-02,27.1,19.6,23.5,27.8,19.6,23.5,17.6,70.8,0.197,100,12.5,rain,0,0,,13.6,182.2,1006.7,23.3,15.2,198.7,17.3,9,,2022-01-02T04:56:42,2022-01-02T18:46:42,0.98,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"94578099999,94575099999,94595199999,E5738,94576099999,95591099999,95575099999"
"Brisbane, QLD 4000, Australia",2022-01-03,29.2,20.5,25.5,29.6,20.5,25.7,16.4,57.9,0.013,100,4.17,rain,0,0,,19,202.4,1002.6,37.7,16.8,206.3,17.8,8,,2022-01-03T04:57:24,2022-01-03T18:46:56,0,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"94578099999,94575099999,94595199999,E5738,F1710,94576099999,95591099999,95575099999"
"Brisbane, QLD 4000, Australia",2022-01-04,31,23.1,26.9,33.2,23.1,27.6,18.1,59.1,0.275,100,8.33,rain,0,0,,16.4,207.4,1002.1,25.1,16.8,234,20.2,8,,2022-01-04T04:58:06,2022-01-04T18:47:07,0.04,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"94578099999,94575099999,94595199999,E5738,94576099999,95591099999,95575099999"
"Brisbane, QLD 4000, Australia",2022-01-05,29.5,23.6,26,32.4,23.6,26.7,20.8,73.6,0.893,100,8.33,rain,0,0,,15.5,146.3,1005,34.7,15.7,190.1,16.3,10,,2022-01-05T04:58:49,2022-01-05T18:47:18,0.08,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"94578099999,94575099999,94595199999,E5738,F1710,94576099999,95591099999,95575099999"
"Brisbane, QLD 4000, Australia",2022-01-06,29.5,23.2,26,31.6,23.2,26.8,21.7,78,2.431,100,12.5,rain,0,0,,18.8,109.2,1009,49.8,13.4,124.4,10.7,5,,2022-01-06T04:59:33,2022-01-06T18:47:26,0.11,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"94578099999,94575099999,94595199999,E5738,F1710,94576099999,95591099999,95575099999"
"Brisbane, QLD 4000, Australia",2022-01-07,28.3,25,25.8,31.4,25,26.4,22.2,80.9,1.134,100,16.67,rain,0,0,,24.1,82.3,1011.2,57.9,11.7,76.3,6.5,3,,2022-01-07T05:00:18,2022-01-07T18:47:34,0.14,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"94578099999,94575099999,94595199999,E5495,E5738,94576099999,95591099999,95575099999"
"Brisbane, QLD 4000, Australia",2022-01-08,27,23.7,25.3,29.3,23.7,25.4,22.3,84.1,2.659,100,12.5,rain,0,0,,11.8,64.4,1011.4,62,11.6,66.7,5.9,4,,2022-01-08T05:01:03,2022-01-08T18:47:39,0.17,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"94578099999,94575099999,94595199999,E5738,94576099999,95591099999,95575099999"
"Brisbane, QLD 4000, Australia",2022-01-09,29.4,23.7,26.1,32.7,23.7,26.9,21.7,77.4,0.084,100,12.5,rain,0,0,,12.1,66.6,1013.5,56.9,14.1,154.1,13.4,10,,2022-01-09T05:01:48,2022-01-09T18:47:44,0.21,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"94578099999,94575099999,94595199999,E5738,94576099999,95591099999,95575099999"
"Brisbane, QLD 4000, Australia",2022-01-10,29.5,21.7,25.7,30.9,21.7,26.2,19.5,69.9,0,0,0,rain,0,0,28.8,15.3,101.6,1016.9,23.5,15,199.6,17.3,7,10,2022-01-10T05:02:35,2022-01-10T18:47:46,0.25,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"94578099999,94575099999,94595199999,E5738,F1710,94576099999,95591099999,95575099999"
"Brisbane, QLD 4000, Australia",2022-01-11,28.9,22.1,25.2,29.6,22.1,25.4,18.8,68.9,0.732,100,12.5,rain,0,0,29.2,13.9,106.6,1017.4,40.6,14.8,207.7,18.2,7,10,2022-01-11T05:03:21,2022-01-11T18:47:47,0.27,"Rain, Partially cloudy",Clearing in the afternoon with a chance of rain throughout the day.,rain,"94578099999,94575099999,94595199999,E5738,94576099999,95591099999,95575099999"
"Brisbane, QLD 4000, Australia",2022-01-12,29,19.7,24.2,29.6,19.7,24.4,17.4,66.9,0.027,100,8.33,rain,0,0,27.4,15.7,120.2,1016,37.8,16.2,173.8,15.1,6,10,2022-01-12T05:04:08,2022-01-12T18:47:47,0.31,"Rain, Partially cloudy",Clearing in the afternoon with rain clearing later.,rain,"94578099999,94575099999,94595199999,E5495,E5738,94576099999,95591099999,95575099999"
"Brisbane, QLD 4000, Australia",2022-01-13,29.4,20.7,24.8,29.7,20.7,24.9,16.8,62.9,0.193,100,8.33,rain,0,0,29.2,15.5,108.9,1014.5,30.4,16.2,238.8,20.5,9,10,2022-01-13T05:04:56,2022-01-13T18:47:45,0.34,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,"94578099999,94575099999,94595199999,E5495,E5738,94576099999,95591099999,95575099999"
"Brisbane, QLD 4000, Australia",2022-01-14,29.1,20,24.5,30.5,20,24.8,17.6,65.9,0,0,0,rain,0,0,22,13.7,85.8,1011.4,38.2,16.4,205.5,17.9,10,10,2022-01-14T05:05:44,2022-01-14T18:47:41,0.37,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"94578099999,94575099999,94595199999,E5738,94576099999,95591099999,95575099999"
