name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
"Ciudad de Buenos Aires, Ciudad AutÃ³noma de Buenos Aires, Argentina",2022-01-01,27.9,20.9,24.2,28.8,20.9,24.6,18.9,72.9,6.643,100,8.33,rain,0,0,37.1,27.1,343.1,1003.9,80.1,9.4,118,8.8,4,,2022-01-01T05:44:27,2022-01-01T20:09:42,0.96,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,"87582099999,87585099999,87553099999,F6563,SABE,87593099999,F5854,87576099999"
"Ciudad de Buenos Aires, Ciudad AutÃ³noma de Buenos Aires, Argentina",2022-01-02,30.4,19.8,25.5,31.6,19.8,26.5,19.5,71.4,0,0,0,,0,0,,13.2,25.2,1004.8,32.5,9.7,373.4,29.4,10,,2022-01-02T05:45:13,2022-01-02T20:09:51,0,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"87582099999,87585099999,87553099999,F6563,SABE,87593099999,F5854,87576099999"
"Ciudad de Buenos Aires, Ciudad AutÃ³noma de Buenos Aires, Argentina",2022-01-03,32.1,24.9,28.2,35.1,24.9,30.2,21.4,67.1,0,0,0,,0,0,33.5,25.5,75.5,1006.8,43.4,10,414,29.7,10,,2022-01-03T05:46:00,2022-01-03T20:09:58,0.03,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"87582099999,87585099999,87553099999,F6563,SABE,87593099999,F5854,87576099999"
"Ciudad de Buenos Aires, Ciudad AutÃ³noma de Buenos Aires, Argentina",2022-01-04,31.1,22.3,27.8,31.5,22.3,28.4,16.5,51.8,0,0,0,,0,0,51.8,31.4,187.2,1005.8,77.2,9.2,258,19.3,8,,2022-01-04T05:46:49,2022-01-04T20:10:03,0.06,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"87582099999,87585099999,87553099999,F6563,SABE,87593099999,F5854,87576099999"
"Ciudad de Buenos Aires, Ciudad AutÃ³noma de Buenos Aires, Argentina",2022-01-05,25,16.8,21.4,25,16.8,21.4,10.4,49.8,0,0,0,,0,0,40.7,34,106.1,1015.4,18.6,10,454.6,30.9,10,,2022-01-05T05:47:38,2022-01-05T20:10:06,0.09,Clear,Clear conditions throughout the day.,clear-day,"87582099999,87585099999,87553099999,F6563,SABE,87593099999,F5854,87576099999"
"Ciudad de Buenos Aires, Ciudad AutÃ³noma de Buenos Aires, Argentina",2022-01-06,26.5,19.3,22.6,26.5,19.3,22.6,13.9,58.5,0,0,0,,0,0,,31.9,77.8,1016.5,7.5,10,418.9,21,10,,2022-01-06T05:48:29,2022-01-06T20:10:07,0.13,Clear,Clear conditions throughout the day.,clear-day,"87582099999,87585099999,87553099999,F6563,SABE,87593099999,87576099999"
"Ciudad de Buenos Aires, Ciudad AutÃ³noma de Buenos Aires, Argentina",2022-01-07,27.2,21,24,27.4,21,24,16.7,64.4,0,0,0,,0,0,,30.6,74.2,1016.2,48.9,10,502.8,32.7,10,,2022-01-07T05:49:20,2022-01-07T20:10:07,0.16,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,"87582099999,87585099999,87553099999,F6563,SABE,87593099999,F5854,87576099999"
"Ciudad de Buenos Aires, Ciudad AutÃ³noma de Buenos Aires, Argentina",2022-01-08,27.9,22.1,24.6,28.1,22.1,24.6,17.1,64,0,0,0,,0,0,,32.2,78.9,1015.5,27.7,10,484.8,36.4,10,,2022-01-08T05:50:13,2022-01-08T20:10:04,0.19,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"87582099999,87585099999,87553099999,F6563,SABE,87593099999,F5854,87576099999"
"Ciudad de Buenos Aires, Ciudad AutÃ³noma de Buenos Aires, Argentina",2022-01-09,29.6,21.7,25.2,29.4,21.7,25.3,17.1,61.8,0,0,0,,0,0,38.9,31.7,60.2,1014.5,22.7,10,451.6,38.8,10,,2022-01-09T05:51:06,2022-01-09T20:10:00,0.25,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"87582099999,87585099999,87553099999,F6563,SABE,87593099999,F5854,87576099999"
"Ciudad de Buenos Aires, Ciudad AutÃ³noma de Buenos Aires, Argentina",2022-01-10,31.8,23.7,27.4,34.5,23.7,28.5,19.5,62.5,0,0,0,,0,0,28.1,17.1,30.6,1011.7,9.9,10,619.5,53.1,10,10,2022-01-10T05:52:00,2022-01-10T20:09:54,0.26,Clear,Clear conditions throughout the day.,clear-day,"87582099999,87585099999,87553099999,F6563,SABE,87593099999,F5854,87576099999"
