name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
"Carn-Gorm, Kyle, Scotland, United Kingdom",2022-01-01,10.7,5.1,7.5,10.7,2.6,5.8,6.2,91.8,9.068,100,66.67,rain,0,0,28.3,16.5,198.3,,81.6,22.3,9.3,0.9,0,,2022-01-01T09:01:20,2022-01-01T15:49:13,0.96,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"03039099999,C7959,03034099999,03056099999,03047099999,03031099999,E7418"
"Carn-Gorm, Kyle, Scotland, United Kingdom",2022-01-02,5.2,3.9,4.6,3.1,1.3,2.3,3.6,93.3,19.883,100,91.67,rain,0,0,21.2,13.1,215.8,,77.3,17.8,14.6,1.3,1,,2022-01-02T09:00:59,2022-01-02T15:50:31,0,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"03039099999,C7959,03034099999,03056099999,03047099999,03031099999"
"Carn-Gorm, Kyle, Scotland, United Kingdom",2022-01-03,4.2,-1.8,0.1,2.3,-4.3,-1.5,-1.1,92,10.608,100,58.33,"rain,snow",0,0,19.1,10.2,290.8,,75,20.1,9.2,0.8,0,,2022-01-03T09:00:34,2022-01-03T15:51:53,0.02,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain or snow throughout the day.,rain,"03039099999,C7959,03034099999,03056099999,03047099999,03031099999"
"Carn-Gorm, Kyle, Scotland, United Kingdom",2022-01-04,-0.2,-2.4,-1.5,-3.3,-8.6,-5.2,-2.6,92.4,5.181,100,33.33,"rain,snow",0,0,62.1,28.2,298,,75.7,11.5,9.3,0.8,0,,2022-01-04T09:00:04,2022-01-04T15:53:18,0.06,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with rain or snow.,snow,"03039099999,C7959,03034099999,03056099999,03047099999,03031099999"
"Carn-Gorm, Kyle, Scotland, United Kingdom",2022-01-05,-0.7,-1.9,-1.4,-0.7,-3.9,-2.1,-3.4,86.2,2.51,100,33.33,"rain,snow",0,0,12.7,8.5,316.9,,86.4,23,11.3,0.9,1,,2022-01-05T08:59:30,2022-01-05T15:54:47,0.09,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain or snow throughout the day.,snow,"03039099999,C7959,03034099999,03056099999,03047099999,03031099999"
"Carn-Gorm, Kyle, Scotland, United Kingdom",2022-01-06,2.5,-1.4,0.1,-0.2,-4.4,-1.9,-1.2,91.1,11.054,100,41.67,"rain,snow",0,0,41.3,21.4,176.7,,85.7,27.7,8,0.7,1,,2022-01-06T08:58:52,2022-01-06T15:56:20,0.12,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with rain or snow.,rain,"03039099999,C7959,03034099999,03056099999,03047099999,03031099999"
"Carn-Gorm, Kyle, Scotland, United Kingdom",2022-01-07,-0.6,-1.9,-1.3,-0.6,-3.4,-1.6,-1.9,95.4,2.7,100,8.33,"rain,snow",0,0,7,6.6,263.3,,63.1,28.8,9.3,0.8,0,,2022-01-07T08:58:09,2022-01-07T15:57:55,0.16,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with rain or snow.,snow,"03039099999,C7959,03034099999,03056099999,03047099999,03031099999"
"Carn-Gorm, Kyle, Scotland, United Kingdom",2022-01-08,2.5,-1.1,0.8,1.9,-5.3,-0.3,-0.1,93.6,5.171,100,25,"rain,snow",0,0,12.4,18,202.6,,71.8,23.9,10,0.9,0,,2022-01-08T08:57:23,2022-01-08T15:59:34,0.19,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with rain or snow.,rain,"03039099999,C7959,03034099999,03056099999,03047099999,03031099999"
"Carn-Gorm, Kyle, Scotland, United Kingdom",2022-01-09,1.6,-0.8,0.5,1.4,-1.1,0.3,-0.2,95.4,1.836,100,16.67,"rain,snow",0,0,5.7,7.1,182.9,,56.6,32.4,9.9,0.9,1,,2022-01-09T08:56:33,2022-01-09T16:01:15,0.25,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with rain or snow.,rain,"03039099999,C7959,03034099999,03056099999,03047099999,F2415,03031099999"
"Carn-Gorm, Kyle, Scotland, United Kingdom",2022-01-10,6.3,-0.6,3.4,4.7,-0.6,1.8,2.6,94.5,4.935,100,58.33,rain,0,1.7,18.1,22.1,182.6,1010.3,79.5,24.7,3.6,0.2,0,10,2022-01-10T08:55:38,2022-01-10T16:02:59,0.25,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"03039099999,C7959,03034099999,03056099999,03047099999,03031099999,E7418"
"Carn-Gorm, Kyle, Scotland, United Kingdom",2022-01-11,5.2,1.5,3,2.6,-1.5,0.6,1.4,89.4,1.127,100,37.5,rain,0,2.6,45.6,20.1,233.9,1023.3,63.5,27,12,1.1,1,10,2022-01-11T08:54:40,2022-01-11T16:04:47,0.29,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"03039099999,C7959,03034099999,03056099999,03047099999,03031099999"
"Carn-Gorm, Kyle, Scotland, United Kingdom",2022-01-12,6.5,5.5,6.1,5.2,2.9,4.4,5,92.8,0.5,100,20.83,rain,0,1.2,17.5,11.9,240.5,1032.3,85,28.9,8.9,0.9,0,10,2022-01-12T08:53:38,2022-01-12T16:06:36,0.32,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"03039099999,C7959,03034099999,03056099999,03047099999,03031099999"
"Carn-Gorm, Kyle, Scotland, United Kingdom",2022-01-13,6.4,5.1,5.9,5.1,2.9,4.3,4.9,93.7,0.252,100,8.33,rain,0,0,14.5,18.8,248.5,1032.9,89.5,36.5,8.5,0.6,1,10,2022-01-13T08:52:32,2022-01-13T16:08:28,0.35,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"03039099999,C7959,03034099999,03056099999,03047099999,03031099999"
"Carn-Gorm, Kyle, Scotland, United Kingdom",2022-01-14,6.2,2,5.3,6.2,0.7,5,4.7,96.4,0.236,100,16.67,rain,0,0,8.7,7.4,247.4,1031.8,96.8,40,10.6,0.9,1,10,2022-01-14T08:51:23,2022-01-14T16:10:23,0.39,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"03039099999,C7959,03034099999,03056099999,03047099999,03031099999"
"Carn-Gorm, Kyle, Scotland, United Kingdom",2022-01-15,3.3,1.4,2,2.1,-0.2,0.9,0.9,92.6,0.204,100,8.33,"rain,snow",0,0,10.7,6.6,235.1,1020.7,97,37.3,5.2,0.4,0,10,2022-01-15T08:50:10,2022-01-15T16:12:20,0.42,"Snow, Rain, Overcast",Cloudy skies throughout the day with rain or snow.,rain,"03039099999,C7959,03034099999,03056099999,03047099999,F2415,03031099999"
"Carn-Gorm, Kyle, Scotland, United Kingdom",2022-01-16,4.3,0.8,2.5,2.4,-1,0.8,1.3,91.9,2.212,100,50,"rain,snow",0,0,17.3,10.4,278.4,1024.7,81.5,20.7,15.6,1.3,1,10,2022-01-16T08:48:54,2022-01-16T16:14:19,0.45,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain or snow throughout the day.,rain,"03039099999,C7959,03034099999,03056099999,03047099999,03031099999"
"Carn-Gorm, Kyle, Scotland, United Kingdom",2022-01-17,4.3,1.1,3.2,4.2,0,2.3,2.2,93,0,0,0,rain,0,0,41.6,17.8,273.7,1034.6,48.1,34.4,10.9,0.9,1,10,2022-01-17T08:47:34,2022-01-17T16:16:19,0.5,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"03039099999,C7959,03034099999,03056099999,03047099999,03031099999,E7418"
"Carn-Gorm, Kyle, Scotland, United Kingdom",2022-01-18,6,2.3,4,4.3,1.7,2.7,2.9,93.1,4.966,100,45.83,rain,0,0,17.2,10.2,230.7,1026,65.2,27.2,4.3,0.2,0,10,2022-01-18T08:46:11,2022-01-18T16:18:22,0.52,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"03039099999,C7959,03034099999,03056099999,03047099999,03031099999"
"Carn-Gorm, Kyle, Scotland, United Kingdom",2022-01-19,5.9,-0.3,2,4.7,-3.1,0.4,0.6,90.6,14.764,100,87.5,"rain,snow",0,0,51.1,15.7,296.5,1023.9,85.8,18.5,13,1.2,1,10,2022-01-19T08:44:45,2022-01-19T16:20:26,0.55,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain or snow throughout the day.,rain,"03039099999,C7959,03034099999,03056099999,03047099999,03031099999"
"Carn-Gorm, Kyle, Scotland, United Kingdom",2022-01-20,2.1,-0.4,0.8,1.6,-3,-0.8,-0.8,89,0.114,100,8.33,"rain,snow",0,0,33.5,20.4,286.6,1037.9,92.1,29.4,15,1.2,1,10,2022-01-20T08:43:16,2022-01-20T16:22:33,0.59,"Snow, Rain, Overcast",Cloudy skies throughout the day with morning rain or snow.,rain,"03039099999,C7959,03034099999,03056099999,03047099999,03031099999"
"Carn-Gorm, Kyle, Scotland, United Kingdom",2022-01-21,4.6,2,3.2,-0.2,-2.6,-1.6,2.5,94.8,0.084,100,8.33,rain,0,0,50.4,30.8,250.1,1036.1,57.7,36.4,13.5,1.2,1,10,2022-01-21T08:41:44,2022-01-21T16:24:40,0.62,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"03039099999,C7959,03034099999,03056099999,03047099999,03031099999"
"Carn-Gorm, Kyle, Scotland, United Kingdom",2022-01-22,7,4.6,5.9,2.3,-0.3,1.1,5.2,95.1,0.677,100,25,rain,0,0,66.7,38.2,238.1,1031.2,95.9,21.3,5.2,0.4,0,10,2022-01-22T08:40:08,2022-01-22T16:26:49,0.66,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"03039099999,C7959,03034099999,03056099999,03047099999,03031099999"
"Carn-Gorm, Kyle, Scotland, United Kingdom",2022-01-23,5.5,3.6,4.3,-0.4,-3.6,-2.5,3.3,93.5,0.766,100,37.5,rain,0,0,93,62,208.2,1026,92,23.4,8.3,0.6,1,10,2022-01-23T08:38:30,2022-01-23T16:29:00,0.69,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"03039099999,C7959,03034099999,03056099999,03047099999,F2415,03031099999,E7418"
"Carn-Gorm, Kyle, Scotland, United Kingdom",2022-01-24,5.6,4.1,5,1.1,-2.7,-0.2,4.3,95.3,1.401,100,54.17,rain,0,0,94.3,52.8,215.5,1027.8,94,23.7,5,0.5,0,10,2022-01-24T08:36:49,2022-01-24T16:31:11,0.73,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"03039099999,C7959,03034099999,03056099999,03047099999,03031099999"
"Carn-Gorm, Kyle, Scotland, United Kingdom",2022-01-25,5.1,3.1,4,0,-3.8,-2.1,3.3,95.3,0.88,100,41.67,rain,0,0,69.5,49.8,221.2,1028.5,93.1,19.7,5.8,0.5,0,10,2022-01-25T08:35:06,2022-01-25T16:33:24,0.75,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"03039099999,C7959,03034099999,03056099999,03047099999,03031099999,E7418"
"Carn-Gorm, Kyle, Scotland, United Kingdom",2022-01-26,7.9,3,5,2.1,-2.6,-0.9,3.9,92.6,5.466,100,62.5,rain,0,0,99.9,72.8,237.6,1019.7,79.9,15.1,10.7,0.9,1,10,2022-01-26T08:33:20,2022-01-26T16:35:37,0.8,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"03039099999,C7959,03034099999,03056099999,03047099999,03031099999,E7418"
"Carn-Gorm, Kyle, Scotland, United Kingdom",2022-01-27,3.8,2.2,2.7,-1.2,-4.1,-2.8,1.7,93,4.597,100,75,rain,0,0,70.7,45,295.8,1023.2,85.3,26.3,13.3,1.1,1,10,2022-01-27T08:31:31,2022-01-27T16:37:52,0.83,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"03039099999,C7959,03034099999,03056099999,03047099999,03031099999"
"Carn-Gorm, Kyle, Scotland, United Kingdom",2022-01-28,8.2,1.9,5,3.5,-3.7,-0.9,4.1,93.7,0.953,100,25,rain,0,0,98.7,68.2,222.1,1022,87.4,18.9,5.5,0.6,0,10,2022-01-28T08:29:40,2022-01-28T16:40:07,0.87,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"03039099999,C7959,03034099999,03056099999,03047099999,03031099999,E7418"
"Carn-Gorm, Kyle, Scotland, United Kingdom",2022-01-29,9.7,0.2,3.7,5.7,-7.5,-2.2,2.5,91.7,16.06,100,83.33,"rain,snow",0,0,145.7,81.6,269.6,1017,86.4,14.4,17.3,1.5,1,10,2022-01-29T08:27:46,2022-01-29T16:42:23,0.9,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain or snow throughout the day.,rain,"03039099999,C7959,03034099999,03056099999,03047099999,03031099999"
"Carn-Gorm, Kyle, Scotland, United Kingdom",2022-01-30,3.1,0.1,0.9,-2.7,-9,-5.2,0.2,94.8,9.746,100,58.33,"rain,snow",3.6,1.2,147.1,97.6,274.3,1019.5,91.9,18.2,9.4,0.7,1,10,2022-01-30T08:25:50,2022-01-30T16:44:40,0.94,"Snow, Rain, Overcast",Cloudy skies throughout the day with a chance of rain or snow throughout the day.,snow,"03039099999,C7959,03034099999,03056099999,03047099999,03031099999"
"Carn-Gorm, Kyle, Scotland, United Kingdom",2022-01-31,6.4,-1.3,1.1,1,-11,-6.2,-0.3,91,3.492,100,66.67,"rain,snow",0.3,0.5,119.7,79,296,1019.2,89.1,19.4,21.8,1.8,1,10,2022-01-31T08:23:52,2022-01-31T16:46:57,0.97,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain or snow throughout the day.,snow,"03039099999,C7959,03034099999,03056099999,03047099999,03031099999,E7418"
"Carn-Gorm, Kyle, Scotland, United Kingdom",2022-02-01,6.6,2.6,4.4,1.1,-4.2,-1.8,3.1,91.4,5.202,100,87.5,rain,0,0,93.3,66.1,286,1014.4,94.2,14.7,15.3,1.4,1,10,2022-02-01T08:21:52,2022-02-01T16:49:15,0,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"03039099999,C7959,03034099999,03056099999,03047099999,03031099999"
"Carn-Gorm, Kyle, Scotland, United Kingdom",2022-02-02,6.8,3.4,5.3,2.2,-1.5,0.5,4.6,95.7,4.781,100,75,rain,0,0,60.4,40.9,258.6,1012.9,94.5,17.5,6.5,0.6,0,10,2022-02-02T08:19:49,2022-02-02T16:51:34,0.04,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"03039099999,C7959,03034099999,03056099999,03047099999,F2415,03031099999"
"Carn-Gorm, Kyle, Scotland, United Kingdom",2022-02-03,6.3,-1.3,3.9,0.7,-9.8,-2.6,3.1,94.5,16.352,100,87.5,"rain,snow",2,0.7,116.4,83.2,233.9,999.4,87.9,16.7,11.8,1,1,10,2022-02-03T08:17:45,2022-02-03T16:53:52,0.07,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain or snow throughout the day.,snow,"03039099999,C7959,03034099999,03056099999,03047099999,03031099999,E7418"
"Carn-Gorm, Kyle, Scotland, United Kingdom",2022-02-04,-0.7,-1.8,-1.3,-8,-10.9,-9.2,-2.5,91.4,2.835,100,54.17,"rain,snow",1.6,4.9,92.9,56.1,276.9,1001.7,71.6,21.5,16.5,1.5,1,10,2022-02-04T08:15:39,2022-02-04T16:56:11,0.11,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain or snow throughout the day.,snow,"03039099999,C7959,03034099999,03056099999,03047099999,03031099999"
"Carn-Gorm, Kyle, Scotland, United Kingdom",2022-02-05,2.9,-1.5,0.4,-4.2,-9.5,-7.3,-0.6,92.7,15.004,100,83.33,"rain,snow",0.7,5.8,95.1,60,254.9,997.8,84.3,13.3,7.8,0.6,0,10,2022-02-05T08:13:30,2022-02-05T16:58:30,0.14,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain or snow throughout the day.,snow,"03039099999,C7959,03034099999,03056099999,03047099999,03031099999"
"Carn-Gorm, Kyle, Scotland, United Kingdom",2022-02-06,0.2,-2.7,-1.4,-6.2,-11.6,-9.6,-2.4,92.5,4.601,100,75,"rain,snow",3.6,10.2,93.7,55.9,291.4,997.1,76.1,24,23,2.1,2,10,2022-02-06T08:11:20,2022-02-06T17:00:50,0.17,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain or snow throughout the day.,snow,"03039099999,C7959,03034099999,03056099999,03047099999,03031099999"
