name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
ä¸­å½èµ¤å³°,2022-01-01,0.7,-15.4,-9.2,-4.4,-22.8,-16.2,-16.3,60.2,0,0,0,,0,0,54.7,35.3,284.2,1027.8,24.5,26.6,92.1,7.9,4,,2022-01-01T07:33:13,2022-01-01T16:42:09,0.94,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"remote,54218099999"
ä¸­å½èµ¤å³°,2022-01-02,-3.1,-18.9,-11.7,-8,-26.6,-17.8,-18.8,59.8,0,0,0,,0,0,54.7,19.1,249.2,1031,9,27.6,109.1,9.6,5,,2022-01-02T07:33:18,2022-01-02T16:43:01,0.98,Clear,Clear conditions throughout the day.,clear-day,"remote,54218099999"
ä¸­å½èµ¤å³°,2022-01-03,-1.6,-16.3,-10.6,-7.1,-23.9,-16.7,-19.2,54.7,0,0,0,,0,0,33.8,20.2,312.7,1029.7,1.7,27.4,109.8,9.6,5,,2022-01-03T07:33:21,2022-01-03T16:43:55,0,Clear,Clear conditions throughout the day.,clear-day,"remote,54218099999"
ä¸­å½èµ¤å³°,2022-01-04,-3,-17.5,-11.2,-6.1,-24.7,-16.2,-18.7,58.2,0,0,0,,0,0,33.8,15.1,258.5,1033.9,0.6,21.1,109.4,9.6,5,,2022-01-04T07:33:21,2022-01-04T16:44:50,0.05,Clear,Clear conditions throughout the day.,clear-day,"remote,54218099999"
ä¸­å½èµ¤å³°,2022-01-05,1.1,-14.2,-8.2,1.1,-21.7,-13.1,-15.1,62.2,0,0,0,,0,0,18.4,18.4,296.9,1031.9,6.4,21.1,108.5,9.4,5,,2022-01-05T07:33:19,2022-01-05T16:45:47,0.08,Clear,Clear conditions throughout the day.,clear-day,"remote,54218099999"
ä¸­å½èµ¤å³°,2022-01-06,2.1,-13.2,-6.9,0.1,-19.9,-10.6,-13.9,60.4,0,0,0,,0,0,17.3,16.2,280.7,1035.4,0,20.5,109.5,9.5,5,,2022-01-06T07:33:15,2022-01-06T16:46:45,0.11,Clear,Clear conditions throughout the day.,clear-day,"remote,54218099999"
ä¸­å½èµ¤å³°,2022-01-07,4.6,-12.1,-5.6,3.4,-19.7,-10.3,-13.3,59.9,0,0,0,,0,0,16.2,19.1,270.8,1028.3,9.6,22.3,111.8,9.7,5,,2022-01-07T07:33:08,2022-01-07T16:47:45,0.14,Clear,Clear conditions throughout the day.,clear-day,"remote,54218099999"
ä¸­å½èµ¤å³°,2022-01-08,0.6,-12.2,-6.8,-3.8,-19.1,-11.8,-13.3,63.8,0,0,0,,0,0,31.3,28.1,344.5,1027.6,7.9,24.1,110.6,9.6,5,,2022-01-08T07:32:59,2022-01-08T16:48:47,0.18,Clear,Clear conditions throughout the day.,clear-day,"remote,54218099999"
ä¸­å½èµ¤å³°,2022-01-09,-1.3,-13.3,-8.1,-4.5,-19.1,-11,-12,75.7,0,0,0,,0,0,30.6,16.9,357.8,1027.8,55.3,23.6,56.4,4.7,3,,2022-01-09T07:32:47,2022-01-09T16:49:49,0.21,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"remote,54218099999"
ä¸­å½èµ¤å³°,2022-01-10,-9.4,-16.4,-12.7,-11.6,-24.7,-20,-20,58,0,0,0,,0,0,39.6,28.8,340.9,1031.6,29,25.1,106.8,9.2,5,10,2022-01-10T07:32:33,2022-01-10T16:50:53,0.25,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"remote,54218099999"
ä¸­å½èµ¤å³°,2022-01-11,-6.6,-19.3,-13.3,-7.9,-24.8,-17.8,-24.5,40,0,0,0,,0,1.4,38.5,13.3,263.2,1029.5,1.7,23.4,93.9,8.2,3,10,2022-01-11T07:32:17,2022-01-11T16:51:58,0.28,Clear,Clear conditions throughout the day.,clear-day,"remote,54218099999"
ä¸­å½èµ¤å³°,2022-01-12,-5.6,-17.3,-12.1,-12.3,-22.5,-17.7,-22.9,42.7,0,0,0,,0,0.7,51.5,30.6,305.1,1028,53.2,24,71.3,6.3,3,10,2022-01-12T07:31:58,2022-01-12T16:53:05,0.31,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"remote,54218099999"
ä¸­å½èµ¤å³°,2022-01-13,-1.9,-14.2,-9.3,-5.5,-22.1,-15,-22.1,35.4,0,0,0,,0,0,51.5,27.4,271.2,1027.2,0,26,93.3,8,3,10,2022-01-13T07:31:37,2022-01-13T16:54:12,0.34,Clear,Clear conditions throughout the day.,clear-day,"remote,54218099999"
ä¸­å½èµ¤å³°,2022-01-14,1.2,-13.3,-6.4,-2,-15.4,-10.4,-17.2,44.1,0,0,0,,0,0,31.3,16.9,225,1019.4,58.3,24.3,70.9,6.2,2,10,2022-01-14T07:31:14,2022-01-14T16:55:21,0.37,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"remote,54218099999"
ä¸­å½èµ¤å³°,2022-01-15,-4.8,-14.1,-9,-10.2,-20.7,-16.2,-20.6,40.3,0,0,0,,0,0,52.9,31.7,315.8,1025.4,43.8,24.6,94.3,8.1,3,10,2022-01-15T07:30:48,2022-01-15T16:56:30,0.41,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"remote,54218099999"
ä¸­å½èµ¤å³°,2022-01-16,-5.3,-17.4,-11.5,-9.4,-20.7,-16.2,-23.6,37.2,0,0,0,,0,0,52.9,15.1,262.9,1031,33.6,25.5,94.7,8.3,3,10,2022-01-16T07:30:20,2022-01-16T16:57:41,0.44,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"remote,54218099999"
ä¸­å½èµ¤å³°,2022-01-17,-5.9,-13.3,-10.4,-9.1,-21.6,-16.1,-21.8,39.3,0,0,0,,0,0,41,22,326.3,1031.7,25,25.4,96.9,8.5,3,10,2022-01-17T07:29:50,2022-01-17T16:58:52,0.47,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"remote,54218099999"
ä¸­å½èµ¤å³°,2022-01-18,-8.6,-15.6,-11.5,-10.5,-20.4,-15.4,-21.4,44.7,0,0,0,,0,0,21.6,15.5,26.8,1029.8,74,24.7,62.9,5.5,2,10,2022-01-18T07:29:18,2022-01-18T17:00:04,0.5,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"remote,54218099999"
ä¸­å½èµ¤å³°,2022-01-19,-9.6,-16.9,-13.6,-10.4,-20.8,-15.8,-23,46.4,0,0,0,,0,0,25.6,16.2,33.1,1036.9,9.7,24.8,101,8.8,3,10,2022-01-19T07:28:43,2022-01-19T17:01:17,0.54,Clear,Clear conditions throughout the day.,clear-day,"remote,54218099999"
ä¸­å½èµ¤å³°,2022-01-20,-6.4,-19.4,-12.3,-8.6,-19.4,-12.9,-23.2,40.8,0,0,0,,0,0,18.7,8.3,99.9,1035.1,1.5,21.5,99.8,8.7,3,10,2022-01-20T07:28:07,2022-01-20T17:02:31,0.58,Clear,Clear conditions throughout the day.,clear-day,"remote,54218099999"
