name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
"Chittagong, Bangladesh",2022-01-01,26.2,16.5,20.7,26.2,16.5,20.7,14.3,70.1,0,0,0,,0,0,,15.1,357.6,1016.8,17.1,4,198.3,17.2,7,,2022-01-01T06:32:30,2022-01-01T17:20:04,0.95,Clear,Clear conditions throughout the day.,clear-day,"41963099999,41966099999,41965099999,41978099999,41964099999,VGEG,remote,41989099999"
"Chittagong, Bangladesh",2022-01-02,26,16.2,20.6,26,16.2,20.6,15.3,74.2,0,0,0,,0,0,,14,1.3,1015.4,12.5,3.8,168.5,14.4,6,,2022-01-02T06:32:48,2022-01-02T17:20:42,0.98,Clear,Clear conditions throughout the day.,clear-day,"41978099999,41964099999,VGEG,remote,41989099999"
"Chittagong, Bangladesh",2022-01-03,25,16.4,20,25,16.4,20,16.2,80,0,0,0,,0,0,,15.8,5,1014.4,40.4,3.4,163.8,14,6,,2022-01-03T06:33:05,2022-01-03T17:21:21,0,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"41978099999,VGEG,remote"
"Chittagong, Bangladesh",2022-01-04,25,15.9,20.2,25,15.9,20.2,15.2,75.4,0,0,0,,0,0,,14.8,9.4,1014.9,18.9,3.7,155.8,13.3,6,,2022-01-04T06:33:21,2022-01-04T17:22:00,0.05,Clear,Clear conditions throughout the day.,clear-day,"41978099999,VGEG,remote"
"Chittagong, Bangladesh",2022-01-05,25,14.8,19.5,25,14.8,19.5,16.6,84.6,0,0,0,,0,0,,14.4,4.8,1014.7,16.3,3.1,204.5,17.6,8,,2022-01-05T06:33:36,2022-01-05T17:22:40,0.08,Clear,Clear conditions throughout the day.,clear-day,"41978099999,VGEG,remote"
"Chittagong, Bangladesh",2022-01-06,26,15,20,26,15,20,14.9,75.5,0,0,0,,0,0,,14.4,10.9,1014.3,8.6,3.1,201.1,17.4,7,,2022-01-06T06:33:49,2022-01-06T17:23:20,0.11,Clear,Clear conditions throughout the day.,clear-day,"41978099999,VGEG,remote"
"Chittagong, Bangladesh",2022-01-07,26,15.1,20,26,15.1,20,15.9,79.4,0,0,0,,0,0,,13.7,17.1,1014.8,0.3,4.3,202.4,17.3,7,,2022-01-07T06:34:01,2022-01-07T17:24:01,0.15,Clear,Clear conditions throughout the day.,clear-day,"41978099999,VGEG,remote"
"Chittagong, Bangladesh",2022-01-08,28,15.5,20.8,28.3,15.5,20.9,16.1,77.8,0,0,0,,0,0,,13.3,16.5,1014.7,3.4,3.9,205.6,17.8,8,,2022-01-08T06:34:12,2022-01-08T17:24:42,0.18,Clear,Clear conditions throughout the day.,clear-day,"41978099999,VGEG,remote"
"Chittagong, Bangladesh",2022-01-09,28,15.8,21,28.5,15.8,21,17,80.3,0,0,0,,0,0,,12.6,16,1012.8,2.1,3.9,205.6,17.8,8,,2022-01-09T06:34:21,2022-01-09T17:25:23,0.21,Clear,Clear conditions throughout the day.,clear-day,"41978099999,VGEG,remote"
"Chittagong, Bangladesh",2022-01-10,28,16.4,21.6,28.5,16.4,21.7,16.8,76.6,0,0,0,,0,0,20.5,14.8,11.8,1013.9,0,6.3,201.4,17.3,7,10,2022-01-10T06:34:29,2022-01-10T17:26:04,0.25,Clear,Clear conditions throughout the day.,clear-day,"41978099999,VGEG,remote"
