name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
"Christchurch, Canterbury, New Zealand",2022-01-01,25.8,11,17.7,25.8,11,17.7,12.6,74.8,0.188,100,4.17,rain,0,0,,31.5,73.8,1015,5.3,10.5,312,27,10,,2022-01-01T05:51:59,2022-01-01T21:13:23,0.94,Rain,Clear conditions throughout the day with afternoon rain.,rain,"93781099999,NZCH,C7368,93780099999,93792099999"
"Christchurch, Canterbury, New Zealand",2022-01-02,22,16,18.9,22,16,18.9,15.4,80.4,0,0,0,,0,0,,24.1,65.7,1019,41,11.2,263.8,22.8,9,,2022-01-02T05:52:52,2022-01-02T21:13:25,0.97,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"93781099999,NZCH,C7368,93780099999,93792099999"
"Christchurch, Canterbury, New Zealand",2022-01-03,25.9,15.1,19.7,25.9,15.1,19.7,16.2,81.8,0,0,0,,0,0,,25.6,217.1,1016.1,3.7,11,253.3,22.1,9,,2022-01-03T05:53:46,2022-01-03T21:13:25,0,Clear,Clear conditions throughout the day.,clear-day,"93781099999,NZCH,C7368,93780099999,93792099999"
"Christchurch, Canterbury, New Zealand",2022-01-04,24.8,14,18.8,24.8,14,18.8,14.7,78.7,0,0,0,,0,0,,22.3,203.6,1013.6,31,11.1,252.3,21.8,9,,2022-01-04T05:54:43,2022-01-04T21:13:22,0.04,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"93781099999,NZCH,C7368,93780099999,93792099999"
"Christchurch, Canterbury, New Zealand",2022-01-05,24.8,15.1,18.8,24.8,15.1,18.8,14.4,77.7,0,0,0,,0,0,,18.6,201.6,1012.1,47.4,11.1,290.7,25.1,10,,2022-01-05T05:55:41,2022-01-05T21:13:16,0.07,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"93781099999,NZCH,C7368,93780099999,93792099999"
"Christchurch, Canterbury, New Zealand",2022-01-06,16.9,12,13.8,16.9,12,13.8,10.3,80.4,1,100,8.33,rain,0,0,,26.4,202,1017.5,96.8,11.3,100,8.7,3,,2022-01-06T05:56:41,2022-01-06T21:13:08,0.1,"Rain, Overcast",Cloudy skies throughout the day with rain in the morning and afternoon.,rain,"93781099999,NZCH,C7368,93780099999,93792099999"
"Christchurch, Canterbury, New Zealand",2022-01-07,18.9,10.1,13.9,18.9,10.1,13.9,8.2,70.1,0,0,0,,0,0,,22.5,210.9,1022.2,55.1,11.5,255.6,22.1,10,,2022-01-07T05:57:43,2022-01-07T21:12:58,0.14,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"93781099999,NZCH,C7368,93780099999,93792099999"
"Christchurch, Canterbury, New Zealand",2022-01-08,19.8,7.1,14.5,19.8,7.1,14.4,10.7,79,0,0,0,,0,0,,33.4,68.6,1018.8,28.6,11.6,257,22.1,10,,2022-01-08T05:58:46,2022-01-08T21:12:45,0.17,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"93781099999,NZCH,C7368,93780099999,93792099999"
"Christchurch, Canterbury, New Zealand",2022-01-09,28,13.1,21.2,27.3,13.1,21,12.2,64.1,0,0,0,,0,0,,25.8,287.1,1012,17.9,10.2,233.6,20.1,9,,2022-01-09T05:59:51,2022-01-09T21:12:29,0.2,Clear,Clear conditions throughout the day.,clear-day,"93781099999,NZCH,C7368,93780099999,93792099999"
"Christchurch, Canterbury, New Zealand",2022-01-10,25.8,14.1,19.8,25.8,14.1,19.8,14.4,72.9,0,0,0,,0,0,,22.2,83.9,1016.1,3.2,9.8,284.2,24.5,10,,2022-01-10T06:00:57,2022-01-10T21:12:11,0.25,Clear,Clear conditions throughout the day.,clear-day,"93781099999,NZCH,C7368,93780099999,93792099999"
"Christchurch, Canterbury, New Zealand",2022-01-11,25.8,15.9,18.9,25.8,15.9,18.9,15.7,82.7,0,0,0,,0,0,27.4,29.4,168.5,1014.6,57.4,7.8,283.6,24.7,10,10,2022-01-11T06:02:05,2022-01-11T21:11:50,0.27,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"93781099999,NZCH,C7368,93780099999,93792099999"
"Christchurch, Canterbury, New Zealand",2022-01-12,19.9,12.9,16.1,19.9,12.9,16.1,12.1,77.7,0.023,100,4.17,rain,0,0,29.2,25.8,131,1014.5,96.8,9.9,152,13.3,6,10,2022-01-12T06:03:14,2022-01-12T21:11:27,0.3,"Rain, Overcast",Cloudy skies throughout the day with late afternoon rain.,rain,"93781099999,NZCH,C7368,93780099999,93792099999"
"Christchurch, Canterbury, New Zealand",2022-01-13,17.8,11.9,14.2,17.8,11.9,14.2,8,67.2,0.87,100,8.33,rain,0,0,33.1,22.7,194.6,1022.9,78,11.6,315.6,27.7,10,10,2022-01-13T06:04:24,2022-01-13T21:11:02,0.33,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"93781099999,NZCH,93780099999,93792099999"
"Christchurch, Canterbury, New Zealand",2022-01-14,21,12,15.9,21,12,15.9,10.2,70.5,0,0,0,,0,0,12.2,22.4,91,1022.7,41.6,12.1,370.4,32.2,10,10,2022-01-14T06:05:36,2022-01-14T21:10:34,0.37,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"93781099999,NZCH,93780099999,93792099999"
"Christchurch, Canterbury, New Zealand",2022-01-15,19.1,6,13.9,19.1,6,13.9,10.3,80.5,0,0,0,,0,0,28.1,29.3,62.6,1022,23.1,10,374.2,32.6,10,10,2022-01-15T06:06:49,2022-01-15T21:10:04,0.4,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"93781099999,NZCH,93780099999,93792099999"
"Christchurch, Canterbury, New Zealand",2022-01-16,21.8,11.1,17.2,21.8,11.1,17.2,12.3,73.7,0,0,0,,0,0,35.6,40.6,63,1018.7,35.1,12.4,371.6,32.2,10,10,2022-01-16T06:08:02,2022-01-16T21:09:31,0.43,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"93781099999,NZCH,93780099999,93792099999"
"Christchurch, Canterbury, New Zealand",2022-01-17,22,16.8,19,22,16.8,19,14.4,75.4,0,0,0,,0,0,34.9,31.6,68.1,1013.7,59.4,11.3,352.9,30.6,10,10,2022-01-17T06:09:17,2022-01-17T21:08:56,0.47,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"93781099999,NZCH,93780099999,93792099999"
"Christchurch, Canterbury, New Zealand",2022-01-18,21.9,15.1,18.4,21.9,15.1,18.4,13.9,76.1,0,0,0,,0,0,26.3,29.4,59.5,1011.9,47.2,10.5,357.2,31.1,10,10,2022-01-18T06:10:33,2022-01-18T21:08:19,0.5,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"93781099999,NZCH,93780099999,93792099999"
"Christchurch, Canterbury, New Zealand",2022-01-19,25.9,13.9,19.1,25.9,13.9,19.1,15.4,80.1,0.188,100,4.17,rain,0,0,36.4,31.9,92,1005.1,56.4,10.4,310.3,26.8,10,10,2022-01-19T06:11:50,2022-01-19T21:07:40,0.53,"Rain, Partially cloudy",Clearing in the afternoon with late afternoon rain.,rain,"93781099999,NZCH,93780099999,93792099999"
"Christchurch, Canterbury, New Zealand",2022-01-20,18.9,9,14.3,18.9,6.1,14,8.6,72.4,10.636,100,12.5,rain,0,0,41.8,28.1,209,1009.3,64.8,10.9,285.7,25,10,10,2022-01-20T06:13:07,2022-01-20T21:06:58,0.57,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"93781099999,NZCH,C7368,93780099999,93792099999"
"Christchurch, Canterbury, New Zealand",2022-01-21,21.8,9.1,15.8,21.8,9.1,15.8,10.4,72.2,0,0,0,rain,0,0,23,20.8,119,1015.2,24.3,12.4,302.9,26.3,10,10,2022-01-21T06:14:25,2022-01-21T21:06:14,0.6,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,"93781099999,NZCH,C7368,93780099999,93792099999"
