name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
"Cochabamba, Estado Plurinacional de Bolivia",2022-01-01,29.7,11,19.6,28,11,19.3,8.1,54.6,0,0,0,,0,0,48.2,25.9,213.9,1022.1,48.6,9.8,428.2,21.5,8,,2022-01-01T05:53:57,2022-01-01T19:02:37,0.96,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"85223099999,F9120,SLCB"
"Cochabamba, Estado Plurinacional de Bolivia",2022-01-02,31,11,20.6,29.1,11,20.2,7,47,0,0,0,,0,0,40.7,24.1,127.5,1020.8,43.6,11.4,464.4,23.3,8,,2022-01-02T05:54:33,2022-01-02T19:02:56,0,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"85223099999,F9120,SLCB"
"Cochabamba, Estado Plurinacional de Bolivia",2022-01-03,28,14,19.7,27.2,14,19.6,8.8,51.8,0,0,0,,0,0,38.9,33.5,119.4,1022.5,51.7,10.8,426.8,21.5,9,,2022-01-03T05:55:09,2022-01-03T19:03:15,0.03,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"85223099999,F9120,SLCB"
"Cochabamba, Estado Plurinacional de Bolivia",2022-01-04,27,12.8,19,26.4,12.8,19,9.2,56.4,0,0,0,,0,0,44.6,22.3,218.5,1020.8,74.2,10.9,425.4,21.5,9,,2022-01-04T05:55:46,2022-01-04T19:03:33,0.06,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"85223099999,F9120,SLCB"
"Cochabamba, Estado Plurinacional de Bolivia",2022-01-05,20,14,15.3,20,14,15.3,11.8,80.1,27,100,8.33,rain,0,0,,14.8,127.9,1023,85,9.9,161.5,8.1,5,,2022-01-05T05:56:22,2022-01-05T19:03:49,0.1,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"85223099999,F9120,SLCB"
"Cochabamba, Estado Plurinacional de Bolivia",2022-01-06,24,13.9,17.1,24,13.9,17.1,12.2,75.3,0.6,100,8.33,rain,0,0,,18.4,128.9,1023.9,79,10.3,277.4,13.8,8,,2022-01-06T05:57:00,2022-01-06T19:04:04,0.13,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"85223099999,F9120,SLCB"
"Cochabamba, Estado Plurinacional de Bolivia",2022-01-07,27,15,20.2,26.6,15,20.2,12.1,63.1,0.7,100,4.17,rain,0,0,,27.7,155.5,1022.6,73.9,10.5,392.4,19.9,9,,2022-01-07T05:57:37,2022-01-07T19:04:19,0.16,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"85223099999,F9120,SLCB"
"Cochabamba, Estado Plurinacional de Bolivia",2022-01-08,23.9,15,18.6,23.9,15,18.6,12.4,68.2,5,100,4.17,rain,0,0,,18.4,159.8,1023.7,88.4,10.3,301.1,15.1,9,,2022-01-08T05:58:14,2022-01-08T19:04:32,0.19,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"85223099999,F9120,SLCB"
"Cochabamba, Estado Plurinacional de Bolivia",2022-01-09,25,12.8,18.3,25,12.8,18.3,12.1,71.1,6,100,4.17,rain,0,0,,18.4,281.6,1023.9,87.3,10.6,281.6,14,6,,2022-01-09T05:58:52,2022-01-09T19:04:44,0.25,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"85223099999,F9120,SLCB"
"Cochabamba, Estado Plurinacional de Bolivia",2022-01-10,23,12,18.2,23,12,18.2,10.7,63.9,0.4,100,4.17,rain,0,0,24.5,22.3,115.8,1024.2,89.5,10.3,230.8,13.4,7,10,2022-01-10T05:59:29,2022-01-10T19:04:54,0.26,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"85223099999,F9120,SLCB"
"Cochabamba, Estado Plurinacional de Bolivia",2022-01-11,22.9,14.7,18.1,22.9,14.7,18.1,11,64.6,3,100,4.17,rain,0,0,20.9,31.7,147.3,1025,88.5,10.8,170.4,13.4,7,10,2022-01-11T06:00:07,2022-01-11T19:05:04,0.29,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"85223099999,F9120,SLCB"
"Cochabamba, Estado Plurinacional de Bolivia",2022-01-12,22.1,14,17.3,22.1,14,17.3,11.2,70.1,0.4,100,4.17,rain,0,0,30.6,13,266.5,1026.3,71.1,10.3,146.3,11.6,7,10,2022-01-12T06:00:44,2022-01-12T19:05:13,0.33,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"85223099999,F9120,SLCB"
"Cochabamba, Estado Plurinacional de Bolivia",2022-01-13,24,14,18.9,24,14,18.9,7,49.3,0,0,0,,0,0,32.8,27.7,134,1025.6,57.9,10.8,250.8,19.8,9,10,2022-01-13T06:01:22,2022-01-13T19:05:20,0.36,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"85223099999,F9120,SLCB"
"Cochabamba, Estado Plurinacional de Bolivia",2022-01-14,23,13,18.5,23,13,18.5,6.5,47.5,0,0,0,,0,0,37.1,24.1,148,1025.3,55.1,10.8,269,21.3,9,10,2022-01-14T06:02:00,2022-01-14T19:05:26,0.39,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"85223099999,F9120,SLCB"
"Cochabamba, Estado Plurinacional de Bolivia",2022-01-15,25.8,12,19.2,25.8,12,19.2,7.7,49.3,0,0,0,,0,0,13.7,24.1,81.5,1024.6,46.7,10.6,212.4,16.8,8,10,2022-01-15T06:02:37,2022-01-15T19:05:31,0.42,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"85223099999,F9120,SLCB"
"Cochabamba, Estado Plurinacional de Bolivia",2022-01-16,27,12,20.1,26.4,12,20.1,8.5,50.1,0,0,0,,0,0,44.6,22.3,102.6,1022.4,73.5,10.7,185.7,14.6,7,10,2022-01-16T06:03:14,2022-01-16T19:05:34,0.46,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"85223099999,F9120,SLCB"
"Cochabamba, Estado Plurinacional de Bolivia",2022-01-17,27.8,13,19.2,26.9,13,19.1,10,59.1,10,100,4.17,rain,0,0,37.1,24.1,262.9,1021.1,67.6,10.8,194.3,15.3,8,30,2022-01-17T06:03:51,2022-01-17T19:05:37,0.5,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"85223099999,F9120,SLCB"
"Cochabamba, Estado Plurinacional de Bolivia",2022-01-18,25,13,17.8,25,13,17.8,11.3,68.2,0.1,100,4.17,rain,0,0,18,18.4,202.8,1023.2,91.5,10.8,157.2,12.4,6,10,2022-01-18T06:04:28,2022-01-18T19:05:38,0.52,"Rain, Overcast",Cloudy skies throughout the day with afternoon rain.,rain,"85223099999,F9120,SLCB"
"Cochabamba, Estado Plurinacional de Bolivia",2022-01-19,27,11.9,17.8,26.5,11.9,17.8,10.9,67.1,0.4,100,4.17,rain,0,0,20.9,11.2,297.4,1025.4,89,10.5,223.7,17.8,8,10,2022-01-19T06:05:05,2022-01-19T19:05:38,0.56,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"85223099999,F9120,SLCB"
"Cochabamba, Estado Plurinacional de Bolivia",2022-01-20,27,13,18.5,26.6,13,18.5,10.7,63.3,8,100,4.17,rain,0,0,19.1,22.3,9.1,1025,74.6,10.6,146.7,11.5,7,10,2022-01-20T06:05:42,2022-01-20T19:05:37,0.59,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"85223099999,F9120,SLCB"
"Cochabamba, Estado Plurinacional de Bolivia",2022-01-21,27,11,18.7,26.4,11,18.7,8.7,55.7,0,0,0,rain,0,0,10.8,14.8,235.8,1022.4,68.7,10.9,224.3,17.8,8,10,2022-01-21T06:06:18,2022-01-21T19:05:34,0.63,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"85223099999,F9120,SLCB"
"Cochabamba, Estado Plurinacional de Bolivia",2022-01-22,29,13,20.5,27.7,13,20.4,9.3,51.5,0,0,0,,0,0,16.2,18.4,90.5,1020.3,75.4,11,193.7,15.5,7,10,2022-01-22T06:06:54,2022-01-22T19:05:31,0.66,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"85223099999,F9120,SLCB"
"Cochabamba, Estado Plurinacional de Bolivia",2022-01-23,23,12,17,23,12,17,12.3,75.5,13.4,100,12.5,rain,0,0,20.9,14.8,310.4,1023,92.2,10,164.2,13.1,7,10,2022-01-23T06:07:30,2022-01-23T19:05:26,0.7,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"85223099999,F9120,SLCB"
"Cochabamba, Estado Plurinacional de Bolivia",2022-01-24,24,13.8,17.9,24,13.8,17.9,12,71.8,2,100,4.17,rain,0,0,9.7,22.3,235.5,1023.2,82.4,10.5,158,12.7,5,10,2022-01-24T06:08:05,2022-01-24T19:05:19,0.73,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"85223099999,F9120,SLCB"
"Cochabamba, Estado Plurinacional de Bolivia",2022-01-25,26,12,18.6,26,12,18.6,11.6,67.6,0,0,0,,0,0,11.9,27.7,240.1,1022.7,76.3,10.8,215.9,17,7,10,2022-01-25T06:08:40,2022-01-25T19:05:12,0.75,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"85223099999,F9120,SLCB"
"Cochabamba, Estado Plurinacional de Bolivia",2022-01-26,26.9,14,19.9,26.5,14,19.9,10.4,57.7,0,0,0,rain,0,0,22.7,24.1,131.5,1021.8,84.7,10.6,211.5,17.6,9,10,2022-01-26T06:09:15,2022-01-26T19:05:03,0.8,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"85223099999,F9120,SLCB"
"Cochabamba, Estado Plurinacional de Bolivia",2022-01-27,24,13,18,24,13,18,11.3,67.1,4.1,100,12.5,rain,0,0,21.6,22.3,222.1,1023.5,93.3,10.4,198.3,15.7,7,10,2022-01-27T06:09:49,2022-01-27T19:04:54,0.84,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"85223099999,F9120,SLCB"
"Cochabamba, Estado Plurinacional de Bolivia",2022-01-28,22,15,18,22,15,18,11.9,69.1,2.1,100,8.33,rain,0,0,15.1,22.3,197.1,1022.2,90.9,10.8,151.3,12,8,10,2022-01-28T06:10:23,2022-01-28T19:04:43,0.87,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"85223099999,F9120,SLCB"
"Cochabamba, Estado Plurinacional de Bolivia",2022-01-29,25,14.2,18.7,25,14.2,18.7,13.1,73,0.1,100,4.17,rain,0,0,25.2,27.7,288.6,1020.6,84.6,9.9,201.2,15.9,8,10,2022-01-29T06:10:56,2022-01-29T19:04:30,0.91,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"85223099999,F9120,SLCB"
"Cochabamba, Estado Plurinacional de Bolivia",2022-01-30,26,12.8,18.1,26,12.8,18.1,12.2,72.3,6,100,4.17,rain,0,0,15.8,18.4,253.9,1020.9,86.9,11,260,20.6,8,10,2022-01-30T06:11:29,2022-01-30T19:04:17,0.94,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"85223099999,F9120,SLCB"
"Cochabamba, Estado Plurinacional de Bolivia",2022-01-31,22.2,14,16.9,22.2,14,16.9,12.9,78.4,2,100,4.17,rain,0,0,11.9,14.8,273.2,1021.3,83,10.3,108,8.6,4,10,2022-01-31T06:12:02,2022-01-31T19:04:02,0.98,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"85223099999,F9120,SLCB"
"Cochabamba, Estado Plurinacional de Bolivia",2022-02-01,19.9,12.9,14.9,19.9,12.9,14.9,12.3,85.2,0.6,100,8.33,rain,0,0,11.5,18.4,337.6,1023.8,91.3,9.3,108.4,8.5,5,10,2022-02-01T06:12:34,2022-02-01T19:03:47,0,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"85223099999,F9120,SLCB"
"Cochabamba, Estado Plurinacional de Bolivia",2022-02-02,22.9,12,16.5,22.9,12,16.5,12.3,79.4,8,100,4.17,rain,0,0,10.8,13,256.6,1023.4,94.3,9.6,147.7,11.8,5,10,2022-02-02T06:13:05,2022-02-02T19:03:30,0.05,"Rain, Overcast",Cloudy skies throughout the day with early morning rain.,rain,"85223099999,F9120,SLCB"
"Cochabamba, Estado Plurinacional de Bolivia",2022-02-03,23.8,14,17.7,23.8,14,17.7,13.3,77.1,3.5,100,8.33,rain,0,0,16.6,18.4,278.4,1022.4,86,10.8,142.9,11.3,7,10,2022-02-03T06:13:36,2022-02-03T19:03:12,0.08,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"85223099999,F9120,SLCB"
"Cochabamba, Estado Plurinacional de Bolivia",2022-02-04,24.1,12.7,17.1,24.1,12.7,17.1,13.4,80.5,0.1,100,4.17,rain,0,0,15.8,27.7,37.3,1021.7,87.9,9.9,120.1,9.6,6,10,2022-02-04T06:14:07,2022-02-04T19:02:53,0.11,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"85223099999,F9120,SLCB"
"Cochabamba, Estado Plurinacional de Bolivia",2022-02-05,27,13,17.3,26.7,13,17.3,13.2,80.4,2,100,4.17,rain,0,0,35.3,14.8,299.7,1021.8,94.5,9.2,144.3,11.7,5,10,2022-02-05T06:14:37,2022-02-05T19:02:32,0.14,"Rain, Overcast",Cloudy skies throughout the day with late afternoon rain.,rain,"85223099999,F9120,SLCB"
"Cochabamba, Estado Plurinacional de Bolivia",2022-02-06,16,12,13.6,16,12,13.6,11.7,88.6,8,100,8.33,rain,0,0,10.4,18.4,240.7,1027,98.8,8.9,69.9,5.5,3,10,2022-02-06T06:15:06,2022-02-06T19:02:11,0.18,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"85223099999,F9120,SLCB"
"Cochabamba, Estado Plurinacional de Bolivia",2022-02-07,21.9,13,16.3,21.9,13,16.3,11.5,75.4,0.1,100,4.17,rain,0,0,18.4,11.2,227.6,1026.1,84.7,9.9,153.9,12,7,10,2022-02-07T06:15:35,2022-02-07T19:01:48,0.21,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"85223099999,F9120,SLCB"
"Cochabamba, Estado Plurinacional de Bolivia",2022-02-08,26.1,14,19.1,26.1,14,19.1,10.8,61.6,0,0,0,rain,0,0,46.4,27.7,151.1,1023.6,63,10.9,250.5,19.7,9,10,2022-02-08T06:16:04,2022-02-08T19:01:25,0.25,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"85223099999,F9120,SLCB"
"Cochabamba, Estado Plurinacional de Bolivia",2022-02-09,25,15,18.9,25,15,18.9,10.3,58.7,0,0,0,rain,0,0,44.6,22.3,141.2,1022.3,76.6,10.8,203.3,16.1,7,10,2022-02-09T06:16:32,2022-02-09T19:01:00,0.27,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"85223099999,F9120,SLCB"
