name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
"Dalian, Krishangarh, HP, India",2022-01-01,20.9,5.7,12.6,20.9,5.7,12.4,2.4,53,0,0,0,,0,0,,12.6,316.9,1022.8,38.2,2.5,153,13.1,6,,2022-01-01T07:20:39,2022-01-01T17:31:10,0.95,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"42083099999,42079099999,42104099999,42078099999,remote,42103099999,42105099999"
"Dalian, Krishangarh, HP, India",2022-01-02,20.7,6.8,12.5,20.7,6.8,12.3,2,51.2,0,0,0,,0,0,,13,331.4,1020.8,67.5,2.6,111,9.7,5,,2022-01-02T07:20:52,2022-01-02T17:31:53,0.98,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"42083099999,42079099999,42104099999,42078099999,remote,42103099999,42105099999"
"Dalian, Krishangarh, HP, India",2022-01-03,23.6,6.4,13.5,23.6,6.4,13.5,2.8,51.2,0,0,0,,0,0,,14.4,327.2,1018.3,62.9,2.6,120.9,10.5,6,,2022-01-03T07:21:04,2022-01-03T17:32:37,0,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"42083099999,42077099999,42079099999,42104099999,42078099999,remote,42103099999,42105099999"
"Dalian, Krishangarh, HP, India",2022-01-04,22,10.1,14.1,22,10.1,14.1,5.6,60.1,2.033,100,12.5,rain,0,0,,15.1,357.5,1018.7,82,2,107.3,9.2,5,,2022-01-04T07:21:14,2022-01-04T17:33:22,0.05,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,"42083099999,42079099999,42104099999,42078099999,remote,42103099999,42105099999"
"Dalian, Krishangarh, HP, India",2022-01-05,14.8,9.5,12.3,14.8,9.5,12.3,9.7,84.3,18.546,100,20.83,rain,0,0,,25.2,105.1,1017.4,94.5,1.7,30.3,2.7,1,,2022-01-05T07:21:23,2022-01-05T17:34:09,0.08,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"42083099999,42079099999,42104099999,42078099999,remote,42103099999,42105099999"
"Dalian, Krishangarh, HP, India",2022-01-06,18.6,8.4,12.8,18.6,7.6,12.6,10,84.1,11.432,100,20.83,rain,0,0,,25.2,130,1018,48.6,2.5,132.2,11.5,6,,2022-01-06T07:21:29,2022-01-06T17:34:55,0.11,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"42083099999,42079099999,42104099999,42078099999,remote,42103099999,42105099999"
"Dalian, Krishangarh, HP, India",2022-01-07,15.9,9.6,12.9,15.9,9.6,12.9,10.9,88,5.113,100,12.5,rain,0,0,,24.5,126.7,1016.8,62.9,2.5,48.8,4.1,2,,2022-01-07T07:21:35,2022-01-07T17:35:43,0.15,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"42083099999,42079099999,42104099999,42078099999,remote,42103099999,42105099999"
"Dalian, Krishangarh, HP, India",2022-01-08,16.1,8.2,13.2,16.1,7.5,13.2,11.2,87.8,50.554,100,20.83,rain,0,0,,31.7,131,1016.9,75.4,2.9,48.6,4.4,2,,2022-01-08T07:21:38,2022-01-08T17:36:31,0.18,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"42083099999,42079099999,42104099999,42078099999,remote,42103099999,42105099999"
"Dalian, Krishangarh, HP, India",2022-01-09,16.4,7,11.6,16.4,7,11.6,10.1,90.6,22.984,100,25,rain,0,0,,14.4,140,1017,72,2.4,107.6,9.4,5,,2022-01-09T07:21:40,2022-01-09T17:37:21,0.25,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"42083099999,42079099999,42104099999,42078099999,remote,42103099999,42105099999"
"Dalian, Krishangarh, HP, India",2022-01-10,15.9,5.5,10.2,15.9,3.4,9.8,7.3,83.8,3.822,100,8.33,rain,0,0,7.2,11.9,37.5,1019.4,36.2,9.8,158,13.4,6,10,2022-01-10T07:21:39,2022-01-10T17:38:10,0.25,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"42083099999,42077099999,42079099999,42078099999,remote,42103099999,42105099999"
