name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
"Darwin, NT 0800, Australia",2022-01-01,33.7,28,30.3,41.2,32.7,36.5,25,73.6,0.048,100,4.17,rain,0,0,,25.2,291.5,1007.8,76.1,13.4,261.6,22.6,9,,2022-01-01T06:24:46,2022-01-01T19:15:18,0.94,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"94120099999,95121099999,94116099999,YPDN,94125099999,94105099999"
"Darwin, NT 0800, Australia",2022-01-02,34.1,28.6,30.9,42.8,33.9,37.7,25.3,72.8,0.011,100,4.17,rain,0,0,,25.1,285.5,1007.2,47.4,13.4,234.3,20.3,8,,2022-01-02T06:25:19,2022-01-02T19:15:40,0.98,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"94120099999,95121099999,94116099999,YPDN,94125099999,94105099999"
"Darwin, NT 0800, Australia",2022-01-03,34,23.8,28.6,41.7,23.8,33.1,24.4,79.2,36.084,100,8.33,rain,0,0,,29.5,278.6,1006.6,63.5,12.4,135.3,11.8,4,,2022-01-03T06:25:53,2022-01-03T19:16:02,0,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"94120099999,95121099999,94116099999,YPDN,94125099999,94105099999"
"Darwin, NT 0800, Australia",2022-01-04,33.2,24.8,28.9,41.7,24.8,33.6,25,80.3,0.009,100,4.17,rain,0,0,,19.7,311.3,1006.2,63.4,13.4,138.2,11.9,5,,2022-01-04T06:26:27,2022-01-04T19:16:23,0.04,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"94120099999,95121099999,94116099999,YPDN,94125099999,94105099999"
"Darwin, NT 0800, Australia",2022-01-05,32.9,23.8,29.7,42.2,23.8,35.8,25,76.1,0.049,100,8.33,rain,0,0,,26.7,295.1,1006.4,78,12.5,114.5,9.9,4,,2022-01-05T06:27:01,2022-01-05T19:16:42,0.08,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"94120099999,95121099999,94116099999,YPDN,94125099999,94105099999"
"Darwin, NT 0800, Australia",2022-01-06,32.9,25.6,28.9,39.3,25.6,32.4,23.7,74.3,4.321,100,8.33,rain,0,0,,25.2,301.4,1007.9,69.1,13.4,134.6,11.7,4,,2022-01-06T06:27:34,2022-01-06T19:17:02,0.11,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"94120099999,95121099999,94116099999,YPDN,94125099999,94105099999"
"Darwin, NT 0800, Australia",2022-01-07,33.1,22.8,29.1,40.4,22.8,33.3,24.1,75.7,55.648,100,8.33,rain,0,0,53.6,39.6,274.7,1008.7,52.7,12.6,245.3,21.2,8,,2022-01-07T06:28:08,2022-01-07T19:17:20,0.14,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"94120099999,95121099999,94116099999,YPDN,94125099999,94105099999"
"Darwin, NT 0800, Australia",2022-01-08,33.8,28,30.6,42.7,32.8,37.1,25.1,73.1,0,0,0,,0,0,,23.4,289.4,1008.1,44.5,13.2,239.4,20.6,7,,2022-01-08T06:28:42,2022-01-08T19:17:37,0.18,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"94120099999,95121099999,94116099999,YPDN,94125099999,94105099999"
"Darwin, NT 0800, Australia",2022-01-09,32.9,24.1,29.5,39.1,24.1,33.9,23.9,72.9,0.791,100,12.5,rain,0,0,,18.7,296.3,1008.3,75.6,13.4,162.9,13.9,5,,2022-01-09T06:29:16,2022-01-09T19:17:53,0.21,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"94120099999,95121099999,94116099999,YPDN,94125099999,94105099999"
"Darwin, NT 0800, Australia",2022-01-10,33.3,25.8,29.8,41.7,25.8,35,24.4,73,0.002,100,4.17,rain,0,0,22.7,24.6,274.6,1008.5,69.4,13.4,246.6,21.3,9,60,2022-01-10T06:29:50,2022-01-10T19:18:09,0.25,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"94120099999,95121099999,94116099999,YPDN,94125099999,94105099999"
