name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
"Dhaka, Bangladesh",2022-01-01,26,16,20.4,26,16,20.4,14.2,68.7,0,0,0,,0,0,,18.4,308.2,1018.4,12.1,3.7,140.2,12.1,6,,2022-01-01T06:40:52,2022-01-01T17:22:57,0.95,Clear,Clear conditions throughout the day.,clear-day,"VGHS,41941099999,41923099999,41929099999,41922099999,41909099999"
"Dhaka, Bangladesh",2022-01-02,23,15,19.9,23,15,19.9,15.7,77.1,0,0,0,,0,0,,18.4,293.6,1017.1,9.7,2.5,156.2,13.5,6,,2022-01-02T06:41:10,2022-01-02T17:23:36,0.98,Clear,Clear conditions throughout the day.,clear-day,"VGHS,41941099999,41923099999,41929099999,41922099999"
"Dhaka, Bangladesh",2022-01-03,26,16,20.8,26,16,20.8,14.9,70.3,0,0,0,,0,0,,14.8,296.5,1015.8,16.4,3,180.8,15.5,7,,2022-01-03T06:41:26,2022-01-03T17:24:16,0,Clear,Clear conditions throughout the day.,clear-day,"VGHS,41922099999"
"Dhaka, Bangladesh",2022-01-04,25,16,20.6,25,16,20.6,15.1,71.5,0,0,0,,0,0,,14.8,299.8,1016.7,0,2.7,169.4,14.6,6,,2022-01-04T06:41:41,2022-01-04T17:24:56,0.05,Clear,Clear conditions throughout the day.,clear-day,"VGHS,41922099999"
"Dhaka, Bangladesh",2022-01-05,25,14,19.7,25,14,19.7,15.9,79.5,0,0,0,,0,0,,14.8,279.3,1015.9,14.6,1.9,185.5,15.9,7,,2022-01-05T06:41:55,2022-01-05T17:25:37,0.08,Clear,Clear conditions throughout the day.,clear-day,"VGHS,41922099999"
"Dhaka, Bangladesh",2022-01-06,25,15,19.9,25,15,19.9,15.2,75.8,0,0,0,,0,0,,14.8,299.2,1015.4,23.6,2.2,178.6,15.4,7,,2022-01-06T06:42:07,2022-01-06T17:26:18,0.11,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"VGHS,41922099999"
"Dhaka, Bangladesh",2022-01-07,29,18,22.5,30.3,18,22.7,16.7,70.4,0,0,0,,0,0,,13,298,1016,0,2.9,181.9,15.8,7,,2022-01-07T06:42:18,2022-01-07T17:26:59,0.15,Clear,Clear conditions throughout the day.,clear-day,"VGHS,41922099999"
"Dhaka, Bangladesh",2022-01-08,28,18,22.5,28.3,18,22.6,15.8,67,0,0,0,,0,0,,11.2,293,1015.9,0,3.5,188.7,16.2,7,,2022-01-08T06:42:28,2022-01-08T17:27:41,0.18,Clear,Clear conditions throughout the day.,clear-day,"VGHS,41922099999"
"Dhaka, Bangladesh",2022-01-09,27.1,17,22.1,27.2,17,22.1,15.3,66.9,0,0,0,,0,0,,11.2,290,1014,0,3.5,191.2,16.5,7,,2022-01-09T06:42:36,2022-01-09T17:28:24,0.21,Clear,Clear conditions throughout the day.,clear-day,"VGHS,41922099999"
"Dhaka, Bangladesh",2022-01-10,28,18,23.1,27.6,18,23.1,15.8,65.3,0,0,0,,0,0,13.7,18.4,274.6,1014.6,24.5,3.6,180.8,15.5,7,10,2022-01-10T06:42:43,2022-01-10T17:29:06,0.25,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"VGHS,41922099999"
"Dhaka, Bangladesh",2022-01-11,27,19,23.1,28.2,19,23.2,17.3,70.3,0.1,100,4.17,rain,0,0,24.8,18.4,321.6,1014.6,63.3,3.3,179.7,15.7,7,10,2022-01-11T06:42:49,2022-01-11T17:29:49,0.28,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"VGHS,41922099999"
"Dhaka, Bangladesh",2022-01-12,24,20,21.9,24,20,21.9,16.3,71.2,0.2,100,8.33,rain,0,0,37.4,22.3,310.9,1014.8,85.9,3.2,104.2,9,5,10,2022-01-12T06:42:53,2022-01-12T17:30:32,0.31,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"VGHS,41922099999"
"Dhaka, Bangladesh",2022-01-13,27,19,22.6,27.5,19,22.6,15.8,66.8,0.2,100,4.17,rain,0,0,14.4,14.8,299,1015.3,52.8,3.2,179.5,15.5,7,10,2022-01-13T06:42:56,2022-01-13T17:31:16,0.34,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"VGHS,41922099999"
"Dhaka, Bangladesh",2022-01-14,23,18,20.3,23,18,20.3,15.1,72.4,0.7,100,25,rain,0,0,17.6,11.2,350.2,1016.3,77.1,3.1,81.4,7,7,10,2022-01-14T06:42:57,2022-01-14T17:31:59,0.38,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"VGHS,41922099999"
"Dhaka, Bangladesh",2022-01-15,25,18,20.7,25,18,20.7,15.3,71.6,0.1,100,4.17,rain,0,0,24.8,11.2,313.2,1015.4,76.3,2.6,175,15.2,7,10,2022-01-15T06:42:57,2022-01-15T17:32:43,0.41,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"VGHS,41922099999"
"Dhaka, Bangladesh",2022-01-16,25,17,20.8,25,17,20.8,14.5,68.2,0,0,0,,0,0,23.8,18.4,300.9,1016.9,13.2,3.7,199,17.1,8,10,2022-01-16T06:42:55,2022-01-16T17:33:27,0.44,Clear,Clear conditions throughout the day.,clear-day,"VGHS,41922099999"
"Dhaka, Bangladesh",2022-01-17,25,16,20.5,25,16,20.5,14.5,69.6,0,0,0,,0,0,23.4,14.8,313.1,1017.4,5.8,3.3,198.8,17.2,8,10,2022-01-17T06:42:52,2022-01-17T17:34:10,0.48,Clear,Clear conditions throughout the day.,clear-day,"VGHS,41922099999"
"Dhaka, Bangladesh",2022-01-18,26,16,20.8,26,16,20.8,14.2,67.3,0,0,0,,0,0,19.4,11.2,275.9,1014.8,22.9,3.2,189.4,16.6,8,10,2022-01-18T06:42:48,2022-01-18T17:34:54,0.5,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"VGHS,41922099999"
