name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
"Dili, Timor Leste",2022-01-01,28.4,21,24,30.1,21,24.4,20.6,82.9,13.1,100,100,rain,,,,6.8,278.1,,80.8,,265.7,23.1,9,,2022-01-01T06:22:49,2022-01-01T18:59:27,0.94,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,remote
"Dili, Timor Leste",2022-01-02,26.1,21.7,23.3,26.1,21.7,23.3,21,87.6,21.2,100,100,rain,,,,6.1,257.6,,87.5,,142.5,12.3,5,,2022-01-02T06:23:20,2022-01-02T18:59:51,0.98,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,remote
"Dili, Timor Leste",2022-01-03,25.8,16,23.1,25.8,16,23.1,21.8,90.5,7.1,100,100,rain,,,,16.6,244,1024,88.4,20,102.2,8.9,4,,2022-01-03T06:23:52,2022-01-03T19:00:15,0,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"9HA3538,remote"
"Dili, Timor Leste",2022-01-04,26.1,21.6,23.3,26.1,21.6,23.3,21.3,88.9,33.9,100,100,rain,,,,8.6,281.7,,90.5,,135.5,11.8,5,,2022-01-04T06:24:24,2022-01-04T19:00:38,0.04,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,remote
"Dili, Timor Leste",2022-01-05,26.8,15,22.7,28.1,15,22.8,20.1,84.1,13.3,100,100,rain,,,,64.8,284.8,1012,75.1,20,218.4,18.9,8,,2022-01-05T06:24:56,2022-01-05T19:01:00,0.08,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"9HA3538,remote"
"Dili, Timor Leste",2022-01-06,25.5,20.8,22.6,25.5,20.8,22.6,20.1,86.2,7.7,100,100,rain,,,,7.6,288.9,,85.6,,165.5,14.3,5,,2022-01-06T06:25:27,2022-01-06T19:01:21,0.11,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,remote
"Dili, Timor Leste",2022-01-07,26.7,14,22.8,26.7,14,22.8,19.7,82.3,0.8,100,33.33,rain,,,,16.6,285.3,1022,78.8,20,205.5,17.7,7,,2022-01-07T06:25:59,2022-01-07T19:01:42,0.14,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"9HA3538,remote"
"Dili, Timor Leste",2022-01-08,27.7,20.7,23.5,29.1,20.7,23.7,20.1,82.5,10.9,100,62.5,rain,,,,6.1,276.7,,82.2,,235.5,20.4,9,,2022-01-08T06:26:30,2022-01-08T19:02:02,0.18,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,remote
"Dili, Timor Leste",2022-01-09,28.5,13.5,23.4,29.4,13.5,23.6,19.9,81,6.8,100,79.17,rain,,,,33.5,301.1,1028,75.7,20,226.2,19.6,9,,2022-01-09T06:27:01,2022-01-09T19:02:21,0.21,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"9HA3538,remote"
"Dili, Timor Leste",2022-01-10,29.4,14,24.7,31,14,25.5,20.8,79.2,1.4,100,20.83,rain,,,15.8,35.3,213.5,1014.5,67.3,22.3,255.1,22.1,9,30,2022-01-10T06:27:32,2022-01-10T19:02:39,0.25,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"9HA3538,remote"
"Dili, Timor Leste",2022-01-11,28.8,11,27,32.8,11,29.8,23.2,76.8,2.2,100,33.33,rain,,,11.9,42.5,293.3,1010.4,61.5,23.9,317.8,27.4,9,30,2022-01-11T06:28:03,2022-01-11T19:02:56,0.27,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"9HA3538,remote"
