name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
"Durban, Kwazulu Natal, South Africa",2022-01-01,27.5,18,22.3,30.1,18,22.4,19.4,84.1,4.609,100,8.33,rain,0,0,26,31.9,75.9,1011.4,48.9,9.5,345.9,29.9,10,,2022-01-01T04:58:43,2022-01-01T19:00:02,0.95,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"68588099999,FALE,68593099999,68583099999,V7QJ5,68592099999,68582099999"
"Durban, Kwazulu Natal, South Africa",2022-01-02,24.9,19,22,24.9,19,22,18.4,80.4,0.448,100,4.17,rain,0,0,32.6,28.9,195.8,1015.3,95.8,9.1,268.3,23.2,9,,2022-01-02T04:59:26,2022-01-02T19:00:15,0,"Rain, Overcast",Cloudy skies throughout the day with late afternoon rain.,rain,"68588099999,FALE,68593099999,68583099999,V7QJ5,68592099999,68582099999"
"Durban, Kwazulu Natal, South Africa",2022-01-03,26,16.8,22.6,26,16.8,22.6,18.9,80.6,0,0,0,,0,0,19.4,23.1,192.4,1013.6,88.9,10,203.4,17.4,7,,2022-01-03T05:00:09,2022-01-03T19:00:26,0.02,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"68588099999,FALE,68593099999,68583099999,V7QJ5,68592099999,68582099999"
"Durban, Kwazulu Natal, South Africa",2022-01-04,29.4,23,25.2,34.1,23,26.2,22.3,84.8,1.494,100,8.33,rain,0,0,30.9,22.3,76,1009.4,64,9.1,327.5,28.2,10,,2022-01-04T05:00:53,2022-01-04T19:00:36,0.05,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"68588099999,FALE,68593099999,68583099999,68592099999,68582099999"
"Durban, Kwazulu Natal, South Africa",2022-01-05,30.2,22,25.3,36.2,22,26.5,22,82.8,0.896,100,12.5,rain,0,0,41.1,27.7,150,1011.1,46.3,8.9,355.5,30.7,10,,2022-01-05T05:01:39,2022-01-05T19:00:44,0.09,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"68588099999,FALE,68593099999,68583099999,68592099999,68582099999"
"Durban, Kwazulu Natal, South Africa",2022-01-06,26.6,22,23.8,26.6,22,23.8,20.4,82,0.492,100,8.33,rain,0,0,24.8,20.5,181.6,1016.6,84.6,9.6,211.9,18.3,8,,2022-01-06T05:02:25,2022-01-06T19:00:50,0.12,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"68588099999,FALE,68593099999,68583099999,68592099999,68582099999"
"Durban, Kwazulu Natal, South Africa",2022-01-07,27.9,21,24.1,30.9,21,24.4,20.7,81.9,25.54,100,12.5,rain,0,0,19,18.4,59.6,1016.4,59.8,10,283,24.5,9,,2022-01-07T05:03:11,2022-01-07T19:00:55,0.15,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"68588099999,FALE,68593099999,68583099999,68592099999,68582099999"
"Durban, Kwazulu Natal, South Africa",2022-01-08,28,22,24.8,31.2,22,25.3,21.7,83,5.34,100,8.33,rain,0,0,27.2,22.3,53.2,1018.6,44.2,9.9,285.3,24.8,10,,2022-01-08T05:03:59,2022-01-08T19:00:57,0.19,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"68588099999,FALE,68593099999,68581099999,68583099999,68592099999,68582099999"
"Durban, Kwazulu Natal, South Africa",2022-01-09,28.4,21,24.7,31.1,21,25.3,20.3,76.9,0.039,100,4.17,rain,0,0,44.3,38.9,31.1,1015.1,28.9,10,338.2,29.1,10,,2022-01-09T05:04:47,2022-01-09T19:00:59,0.25,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"68588099999,FALE,68593099999,68583099999,68592099999,68582099999"
"Durban, Kwazulu Natal, South Africa",2022-01-10,28.5,21,24.5,31.3,21,24.8,20.3,78.4,0.659,100,4.17,rain,0,0,39.6,31.7,30.7,1009.5,44.1,10,395,34.2,10,10,2022-01-10T05:05:36,2022-01-10T19:00:58,0.25,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"68588099999,FALE,68593099999,68583099999,68592099999,68582099999"
