name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
"Dushanbe, Tajikistan",2022-01-01,10,5.6,7.2,9.2,4.4,6.2,4.3,82.5,10.772,100,8.33,rain,0,0.4,,17.8,95,1020.2,96,7.1,53.3,4.6,2,,2022-01-01T07:42:41,2022-01-01T17:14:16,0.95,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"38718099999,38836099999,38719099999,UTDD,UTDT,38838099999,38844099999"
"Dushanbe, Tajikistan",2022-01-02,11,3.9,6.9,11,1.8,5.4,3.9,82.2,3.018,100,8.33,rain,0,0.4,,21.9,19.6,1020.8,84.8,7.1,103.7,9,4,,2022-01-02T07:42:49,2022-01-02T17:15:05,0,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"38718099999,38836099999,38719099999,UTDD,UTDT,38838099999,38844099999"
"Dushanbe, Tajikistan",2022-01-03,11,6,8.4,11,3.8,7,3.1,70.5,3.959,100,8.33,rain,0,0.2,,21.9,66.1,1011.9,91.9,9,25.2,2,1,,2022-01-03T07:42:55,2022-01-03T17:15:55,0.02,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"38718099999,38836099999,38719099999,UTDD,UTDT,38838099999,38844099999,38847099999"
"Dushanbe, Tajikistan",2022-01-04,9,5.7,6.7,8.1,3.7,6,5.3,90.9,17.741,100,8.33,rain,0,0,,10.8,104.7,1012.7,99.5,4.5,56.6,4.9,3,,2022-01-04T07:42:59,2022-01-04T17:16:47,0.05,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"38718099999,38836099999,38719099999,UTDD,UTDT,38838099999,38844099999"
"Dushanbe, Tajikistan",2022-01-05,12,5.9,8,12,4,7.5,5.4,84.8,2.002,100,8.33,rain,0,0.4,,12.6,148.4,1014.2,57.8,3,88.3,7.7,4,,2022-01-05T07:43:00,2022-01-05T17:17:40,0.08,"Rain, Partially cloudy",Clearing in the afternoon with rain.,rain,"38718099999,38836099999,38719099999,UTDD,UTDT,38838099999,38844099999"
"Dushanbe, Tajikistan",2022-01-06,10,3,6.7,10,2.1,5.8,3.3,79.8,0.002,100,4.17,rain,0,0.6,,14.4,272.9,1018.4,52.3,5,51.8,4.4,3,,2022-01-06T07:43:00,2022-01-06T17:18:34,0.12,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"38718099999,38836099999,38719099999,UTDD,UTDT,38838099999,38844099999"
"Dushanbe, Tajikistan",2022-01-07,6,3,4.2,4,0.1,1.8,2.9,91.4,0.717,100,8.33,rain,0,0.6,,18,259.6,1023.5,100,6,57.4,4.9,2,,2022-01-07T07:42:57,2022-01-07T17:19:30,0.15,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"38718099999,38836099999,38719099999,UTDD,UTDT,38838099999,38844099999"
"Dushanbe, Tajikistan",2022-01-08,7,1.7,4.3,6,-0.5,3.5,1.6,83.3,0,0,0,,0,0.6,,10.8,166.9,1020.9,68.4,3.9,91.6,7.8,4,,2022-01-08T07:42:53,2022-01-08T17:20:26,0.18,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"38718099999,38836099999,38719099999,UTDD,UTDT,38838099999,38844099999"
"Dushanbe, Tajikistan",2022-01-09,11,-0.4,4.1,11,-4,3,-2.3,66,0,0,0,,0,0.6,,10.8,39,1023.5,9.3,6.8,126.2,10.9,5,,2022-01-09T07:42:46,2022-01-09T17:21:24,0.25,Clear,Clear conditions throughout the day.,clear-day,"38718099999,38836099999,38719099999,UTDD,UTDT,38838099999,38844099999,38847099999"
"Dushanbe, Tajikistan",2022-01-10,11,-1.9,4.1,11,-2.5,3.4,-3.6,59.8,0,0,0,,0,0.6,6.5,14.4,46.2,1022.5,12.3,8.2,126.6,10.7,5,10,2022-01-10T07:42:37,2022-01-10T17:22:23,0.25,Clear,Clear conditions throughout the day.,clear-day,"38718099999,38836099999,38719099999,UTDD,UTDT,38838099999,38844099999"
"Dushanbe, Tajikistan",2022-01-11,13,-1,4.8,13,-3.6,2.8,-6.9,46.1,0,0,0,,0,0.5,6.5,28.8,79,1022.4,9.3,13.3,123.8,10.6,5,10,2022-01-11T07:42:26,2022-01-11T17:23:22,0.28,Clear,Clear conditions throughout the day.,clear-day,"38718099999,38836099999,38719099999,UTDD,UTDT,38838099999,38844099999"
"Dushanbe, Tajikistan",2022-01-12,14,3.2,7.8,14,-0.1,5.9,-7.8,34,0,0,0,,0,0.3,5.8,21.6,68.3,1019.1,21.3,12.5,100.2,9,5,10,2022-01-12T07:42:13,2022-01-12T17:24:23,0.31,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"38718099999,38836099999,38719099999,UTDD,UTDT,38838099999,38844099999,38847099999"
"Dushanbe, Tajikistan",2022-01-13,7,2.7,4.7,5,-0.4,2.8,-0.1,72.9,0.451,100,8.33,"rain,snow",0,0.1,14.4,21.6,73.1,1021.1,86,7.5,32.7,2.8,1,10,2022-01-13T07:41:57,2022-01-13T17:25:25,0.35,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with rain or snow.,rain,"38718099999,38836099999,38719099999,UTDD,UTDT,38838099999,38844099999"
"Dushanbe, Tajikistan",2022-01-14,12,2,6.8,12,0.5,5.4,0.3,64.4,0.304,100,8.33,rain,0,0.1,43.2,14.4,55.4,1018.8,96.4,10.4,80.7,7,4,10,2022-01-14T07:41:40,2022-01-14T17:26:27,0.38,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"38718099999,38836099999,38719099999,UTDD,UTDT,38838099999,38844099999"
"Dushanbe, Tajikistan",2022-01-15,16,7,10.8,16,5.7,9.9,1.4,53.8,0.025,100,4.17,rain,0,0.1,37.1,25.2,84.9,1013.2,93.8,12.8,71.9,6.5,4,10,2022-01-15T07:41:21,2022-01-15T17:27:30,0.41,"Rain, Overcast",Cloudy skies throughout the day with morning rain.,rain,"38718099999,38836099999,38719099999,UTDD,UTDT,38838099999,38844099999"
"Dushanbe, Tajikistan",2022-01-16,12,8.9,10.4,12,6.6,9.5,4.5,67.6,3.407,100,8.33,rain,0,0.1,75.6,28.8,66.2,1014,92.9,9.8,41.3,3.7,3,10,2022-01-16T07:40:59,2022-01-16T17:28:34,0.44,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"38718099999,38836099999,38719099999,UTDD,UTDT,38838099999,38844099999"
"Dushanbe, Tajikistan",2022-01-17,11,6.9,8.5,11,4.3,7.3,6.1,85.5,18.735,100,8.33,rain,0,0.1,79.2,14.5,130.4,1015.7,87.7,6.5,13.5,1.2,1,10,2022-01-17T07:40:35,2022-01-17T17:29:39,0.48,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"38718099999,38836099999,38719099999,UTDD,UTDT,38838099999,38844099999"
