name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
Green Bay,2022-01-01,-3.3,-10.7,-8.6,-9.5,-19.8,-16.5,-14,64.9,0,0,0,,0,7,41.5,32.1,9.3,1017.1,97.1,16,49.9,3.4,2,,2022-01-01T07:28:43,2022-01-01T16:22:56,0.96,Overcast,Cloudy skies throughout the day.,cloudy,"WILUX,KOCQ,72645014898,A0705600464,KMTW,AR618,KGRB,72645594897"
Green Bay,2022-01-02,-7.8,-16.3,-11.2,-12.9,-20.8,-16.7,-16.8,63.4,0,0,0,,0,7,33.5,16.3,299,1023.7,26.5,16,81.6,5.5,3,,2022-01-02T07:28:44,2022-01-02T16:23:51,0,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"WILUX,KOCQ,72645014898,A0705600464,KMTW,AR618,KGRB"
Green Bay,2022-01-03,-6.2,-16.8,-11.1,-11.4,-22.2,-16.6,-16.3,66.1,0,0,0,,0,7,36.4,22.9,210.4,1024.1,0.1,16,70.7,4.8,3,,2022-01-03T07:28:43,2022-01-03T16:24:49,0.03,Clear,Clear conditions throughout the day.,clear-day,"WILUX,KOCQ,72645014898,A0705600464,KMTW,AR618,KGRB,72645594897"
Green Bay,2022-01-04,0,-11.4,-5.4,-4,-15.9,-9,-9.5,73.5,0,0,0,,2.4,7.8,44.6,21.3,165.2,1011.4,6.7,16,62.8,4.3,3,,2022-01-04T07:28:39,2022-01-04T16:25:48,0.06,Clear,Clear conditions throughout the day.,snow,"WILUX,KOCQ,72645014898,A0705600464,KMTW,AR618,KGRB,72645594897"
Green Bay,2022-01-05,-1.6,-8.3,-4.4,-1.7,-16.6,-9.8,-7.4,79.8,2.118,100,41.67,"rain,snow",3.7,11.3,50.3,29.9,281.6,1000.4,99.5,7,48.8,2.7,2,,2022-01-05T07:28:33,2022-01-05T16:26:48,0.1,"Snow, Rain, Overcast",Cloudy skies throughout the day with a chance of rain or snow throughout the day.,snow,"WILUX,KOCQ,72645014898,A0705600464,KMTW,AR618,KGRB,72645594897"
Green Bay,2022-01-06,-7.8,-12.6,-9.4,-14,-18.5,-16.4,-12.8,76.6,1.238,100,20.83,snow,1.8,14.3,38.9,23.5,319.8,1017.2,94.9,9.4,74.6,3.7,3,,2022-01-06T07:28:24,2022-01-06T16:27:51,0.13,"Snow, Overcast",Cloudy skies throughout the day with snow clearing later.,snow,"KOCQ,WILUX,72645014898,A0705600464,MIKWS,KMTW,AR618,KGRB,72645594897"
Green Bay,2022-01-07,-8.3,-16.3,-11.4,-10.7,-21.7,-16.4,-16.1,68.7,0,0,0,,0.3,14.9,,18,279.2,1024.9,59.7,16,86.6,5.9,4,,2022-01-07T07:28:12,2022-01-07T16:28:55,0.16,Partially cloudy,Partly cloudy throughout the day.,snow,"WILUX,KOCQ,72645014898,A0705600464,MIKWS,KMTW,AR618,KGRB,72645594897"
Green Bay,2022-01-08,-3.9,-13.2,-6.7,-9.1,-18.8,-13.4,-12.3,65.3,0,0,0,,0,14.1,47.5,31.1,194.5,1017.8,93.4,15.5,71.7,4.7,3,,2022-01-08T07:27:58,2022-01-08T16:30:01,0.2,Overcast,Cloudy skies throughout the day.,cloudy,"KOCQ,WILUX,MIKWS,72645014898,A0705600464,KMTW,AR618,KGRB,72645594897"
Green Bay,2022-01-09,-2.9,-16.8,-10.7,-8.5,-26.9,-19.7,-17,60.6,0.276,100,4.17,snow,0,13.1,60.9,39.5,275.1,1024,28.6,15.1,105.5,5.6,3,,2022-01-09T07:27:42,2022-01-09T16:31:08,0.25,"Snow, Partially cloudy",Clearing in the afternoon with early morning snow.,snow,"KOCQ,WILUX,72645014898,A0705600464,KMTW,AR618,KGRB,72645594897"
Green Bay,2022-01-10,-15.1,-22.3,-19.3,-18.8,-32.1,-26.7,-26,55.5,0,0,0,,0,12.5,35.3,25.7,274.1,1033.9,0,16,76,5.6,3,10,2022-01-10T07:27:23,2022-01-10T16:32:16,0.26,Clear,Clear conditions throughout the day.,clear-day,"WILUX,KOCQ,72645014898,A0705600464,KMTW,AR618,KGRB,72645594897"
Green Bay,2022-01-11,-2.9,-22.4,-12.1,-7.9,-28.5,-17.8,-18.2,60.5,0,0,0,,0,11.7,50,23,207.5,1022.3,16.1,16,67.5,5.7,3,10,2022-01-11T07:27:01,2022-01-11T16:33:26,0.29,Clear,Clear conditions throughout the day.,clear-day,"WILUX,KOCQ,72645014898,A0705600464,KMTW,AR618,KGRB,72645594897"
Green Bay,2022-01-12,0.6,-2.8,-1.2,0.6,-7.2,-5,-4.7,77.2,0,0,0,,0,11.5,35.3,21.9,307.5,1014.9,78.3,16,49.9,4.4,3,10,2022-01-12T07:26:37,2022-01-12T16:34:37,0.33,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"WILUX,KOCQ,72645014898,A0705600464,KMTW,AR618,KGRB,72645594897"
Green Bay,2022-01-13,0.6,-6.3,-2.3,0,-15.2,-5.5,-4.7,83.9,0,0,0,,0,11.3,52.8,40.8,28.4,1016.1,97.2,12.7,39.8,3.5,3,10,2022-01-13T07:26:10,2022-01-13T16:35:50,0.36,Overcast,Cloudy skies throughout the day.,cloudy,"WILUX,KOCQ,72645014898,A0705600464,KMTW,AR618,KGRB,72645594897"
Green Bay,2022-01-14,-7.3,-12.2,-10.6,-15.4,-22.8,-19.7,-15.5,67.1,0,0,0,,0.1,10.9,61.2,39,29.9,1028.4,85.1,14.5,53.4,4.5,3,10,2022-01-14T07:25:41,2022-01-14T16:37:03,0.39,Partially cloudy,Partly cloudy throughout the day.,snow,"WILUX,KOCQ,72645014898,A0705600464,MIKWS,KMTW,AR618,KGRB,72645594897"
Green Bay,2022-01-15,-10.6,-18.5,-13.7,-13.9,-24.5,-19.9,-17.9,71.1,0,0,0,,0,10.9,40.7,28.5,25,1032.7,57.8,15,74.5,6.5,4,10,2022-01-15T07:25:10,2022-01-15T16:38:18,0.43,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KOCQ,WILUX,MIKWS,72645014898,A0705600464,KMTW,AR618,KGRB,72645594897"
Green Bay,2022-01-16,-6.1,-19.6,-11.5,-9.9,-25.9,-16.1,-14.7,77,0,0,0,,0,10.8,34.2,16.6,223.4,1014.6,42.2,16,50.5,4.5,3,10,2022-01-16T07:24:36,2022-01-16T16:39:33,0.46,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,"WILUX,KOCQ,72645014898,A0705600464,KMTW,AR618,KGRB,72645594897"
