name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
"Grise Fiord, NU, Canada",2022-01-01,-24,-29,-27,-25.1,-34.8,-28.2,-30.3,73.7,0,0,0,,0,0,,5.4,58.6,1017.3,,,,,,,,,0.96,Clear,Partly cloudy throughout the day.,clear-day,"71971099999,CNGC"
"Grise Fiord, NU, Canada",2022-01-02,-22,-28.1,-25,-22,-35.2,-27.6,-28.4,73,0,0,0,,0,0,31.7,18.2,86.2,1021.7,,,,,,,,,0,Clear,Partly cloudy throughout the day.,clear-day,"71971099999,CNGC"
"Grise Fiord, NU, Canada",2022-01-03,-21.1,-26.9,-23.4,-21.1,-34.9,-26.6,-25.7,81.6,0,0,0,,0.6,0.2,,13.3,134.5,1019.3,37.5,17.9,,,,,,,0.03,Partially cloudy,Partly cloudy throughout the day.,snow,"71971099999,71924699999,CNGC"
"Grise Fiord, NU, Canada",2022-01-04,-26.1,-30,-28.4,-26.1,-34.9,-29.3,-31.1,77.1,0,0,0,,0.4,0.7,,5.4,83,1010.6,0,24,,,,,,,0.06,Clear,Clear conditions throughout the day.,snow,"71971099999,71924699999,CNGC"
"Grise Fiord, NU, Canada",2022-01-05,-28.1,-33,-30.6,-28.1,-39.2,-32,-33.5,75.6,0,0,0,,0,0.1,,7.6,51.6,997.1,0,22,,,,,,,0.1,Clear,Clear conditions throughout the day.,clear-day,"71971099999,71924699999,CNGC"
"Grise Fiord, NU, Canada",2022-01-06,-27,-32.1,-29.9,-27,-36.4,-32.2,-33.5,71,0,0,0,,0,0,,7.6,34.1,991.5,0,23.4,,,,,,,0.13,Clear,Clear conditions throughout the day.,clear-day,"71971099999,71924699999,CNGC"
"Grise Fiord, NU, Canada",2022-01-07,-27.9,-29.9,-28.9,-27.9,-37.6,-29.8,-32.7,69.9,,0,0,,0,0,,7.6,56.1,992.5,20,24,,,,,,,0.16,Clear,Partly cloudy throughout the day.,clear-day,71924699999
"Grise Fiord, NU, Canada",2022-01-08,-28.9,-33,-31.1,-30,-40.1,-33,-34.3,73.8,0,0,0,,0,0,,9.4,47.6,1004,8.6,24,,,,,,,0.19,Clear,Clear conditions throughout the day.,clear-day,"71924699999,71971099999,CNGC"
"Grise Fiord, NU, Canada",2022-01-09,-30,-32,-31.1,-30,-37.2,-32.1,-34.1,75.1,0,0,0,,0,0,,5.4,42.5,1002.8,,,,,,,,,0.25,Clear,Partly cloudy throughout the day.,clear-day,"71971099999,CNGC"
"Grise Fiord, NU, Canada",2022-01-10,-21.1,-31,-26.7,-21.1,-36.1,-28.7,-29.3,78.8,0.2,100,4.17,snow,0.6,1.1,24.5,7.6,54.3,988.4,100,24.1,0,,0,10,,,0.26,"Snow, Overcast",Cloudy skies throughout the day with late afternoon snow.,snow,"71971099999,CNGC"
