name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
"Harper, Twansiebo, Liberia",2022-01-01,28.4,27.5,28,32.9,31.3,32.2,24.6,81.9,11.8,100,100,rain,,,,18.7,142,,85.2,,179.1,15.6,7,,2022-01-01T06:38:14,2022-01-01T18:30:37,0.96,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,remote
"Harper, Twansiebo, Liberia",2022-01-02,27.7,27,27.3,31.7,30,30.8,24.3,83.8,9.1,100,100,rain,,,,17.3,143.4,,63.9,,113.2,9.8,4,,2022-01-02T06:38:40,2022-01-02T18:31:06,0,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,remote
"Harper, Twansiebo, Liberia",2022-01-03,28,27.3,27.7,31.8,30.7,31.3,24.2,81.6,10.6,100,100,rain,,,,13.7,247.5,,46,,181.1,15.4,7,,2022-01-03T06:39:06,2022-01-03T18:31:36,0.02,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,remote
"Harper, Twansiebo, Liberia",2022-01-04,30.9,23.4,27.2,37.1,23.4,30.5,24.3,84.4,7.7,100,62.5,rain,0,0,,16.6,207.7,,53.3,10,227.6,19.5,8,,2022-01-04T06:39:31,2022-01-04T18:32:05,0.06,"Rain, Partially cloudy",Becoming cloudy in the afternoon with a chance of rain throughout the day.,rain,"65592099999,remote"
"Harper, Twansiebo, Liberia",2022-01-05,31.1,23.4,27.7,38.3,23.4,31.5,24.4,82.8,3,100,66.67,rain,0,0,,14.8,102.5,,70.5,10,256.3,22.1,9,,2022-01-05T06:39:56,2022-01-05T18:32:34,0.09,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"65592099999,remote"
"Harper, Twansiebo, Liberia",2022-01-06,31.4,23.4,27.8,39.4,23.4,31.9,24.6,83,0,0,0,,0,0,,13,118.7,,21.4,10,234.7,20.4,8,,2022-01-06T06:40:20,2022-01-06T18:33:03,0.12,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"65592099999,remote"
"Harper, Twansiebo, Liberia",2022-01-07,31.1,26.6,28,38,26.6,32.2,24.8,82.6,0,0,0,,0,0,,14.8,171,,75.8,10,166.9,14.3,6,,2022-01-07T06:40:44,2022-01-07T18:33:32,0.16,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"65592099999,remote"
"Harper, Twansiebo, Liberia",2022-01-08,27.8,26.6,27.5,31.9,26.6,31.1,24.5,83.5,0,0,0,,0,0,,13.3,211.3,,95.2,10,61.9,5.2,2,,2022-01-08T06:41:07,2022-01-08T18:34:00,0.19,Overcast,Cloudy skies throughout the day.,cloudy,"65592099999,remote"
"Harper, Twansiebo, Liberia",2022-01-09,31.6,27.2,27.9,38.8,30.2,31.8,24.2,80.3,0,0,0,,0,0,,12.6,205.2,,83.1,10,161.9,13.9,6,,2022-01-09T06:41:29,2022-01-09T18:34:28,0.25,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"65592099999,remote"
"Harper, Twansiebo, Liberia",2022-01-10,30.7,24.8,27.5,34.6,24.8,30.4,23.4,78.8,0.9,100,12.5,rain,0,0,14.8,12.6,174.6,1009.1,92.3,21.8,224.2,19.3,7,30,2022-01-10T06:41:50,2022-01-10T18:34:55,0.25,"Rain, Overcast",Cloudy skies throughout the day with afternoon rain.,rain,remote
"Harper, Twansiebo, Liberia",2022-01-11,33.4,23.2,26.7,35.8,23.2,27.7,22.1,77.8,6.7,100,33.33,rain,0,0,23,15.5,225.6,1010,81.8,23.4,232.3,20,9,30,2022-01-11T06:42:11,2022-01-11T18:35:22,0.29,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,remote
"Harper, Twansiebo, Liberia",2022-01-12,30.8,23.7,26.6,36,23.7,27.9,22.7,80.2,3.8,100,25,rain,0,0,20.9,15.5,239.4,1011.5,52.8,21.8,146.5,12.6,6,30,2022-01-12T06:42:31,2022-01-12T18:35:49,0.32,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"65592099999,remote"
"Harper, Twansiebo, Liberia",2022-01-13,31.1,23.1,26.6,37.9,23.1,28.4,23.5,84.2,11.3,100,29.17,rain,0,0,20.9,12.2,244.9,1012.4,38.3,18.7,198,17.1,8,60,2022-01-13T06:42:51,2022-01-13T18:36:15,0.35,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"65592099999,remote"
"Harper, Twansiebo, Liberia",2022-01-14,30.9,23.8,25.9,34.7,23.8,26.8,23.5,87.6,2,100,4.17,rain,0,0,25.2,10.1,230.7,1012.6,74.9,18.2,193.7,16.6,9,60,2022-01-14T06:43:09,2022-01-14T18:36:40,0.39,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"65592099999,remote"
"Harper, Twansiebo, Liberia",2022-01-15,31.1,23.1,25.8,38.3,23.1,27.1,23.1,86.2,5,100,4.17,rain,0,0,21.6,14.8,254.6,1012.1,82,17.3,185.2,15.8,8,60,2022-01-15T06:43:27,2022-01-15T18:37:05,0.42,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"65592099999,remote"
