name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
"Hotan, China, China",2022-01-01,4.4,-12,-4.5,1.6,-21.3,-8.4,-20.2,31.1,0,0,0,,0,0,17.6,30.2,214.8,1031.1,59.5,7.6,146.2,12.5,6,,2022-01-01T09:54:02,2022-01-01T19:33:44,0.94,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"51828099999,remote"
"Hotan, China, China",2022-01-02,2.3,-8.6,-3.6,0.1,-15,-6.8,-18.5,32.1,0,0,0,,0,0,14,18,197.1,1028.5,98.1,6.6,91,7.7,5,,2022-01-02T09:54:11,2022-01-02T19:34:32,0.98,Overcast,Cloudy skies throughout the day.,cloudy,"51828099999,remote"
"Hotan, China, China",2022-01-03,5.2,-10.7,-2.8,5.2,-18.1,-5.3,-19.4,29.4,0,0,0,,0,0,15.5,20.2,215.4,1028.1,70.5,7,144,12.5,6,,2022-01-03T09:54:19,2022-01-03T19:35:21,0,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"51828099999,remote"
"Hotan, China, China",2022-01-04,8.6,-5.6,-0.9,7.2,-9.6,-3.8,-17.6,28.9,0,0,0,,0,0,19.8,16.6,211.5,1021.5,84.2,8,118.3,10.3,5,,2022-01-04T09:54:24,2022-01-04T19:36:11,0.05,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"51828099999,remote"
"Hotan, China, China",2022-01-05,3.1,-6.8,-2.3,3.1,-9.1,-4.6,-16.4,34.5,0,0,0,,0,0,19.8,16.9,161.6,1024.5,83.9,9.1,69,5.9,4,,2022-01-05T09:54:27,2022-01-05T19:37:03,0.08,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"51828099999,remote"
"Hotan, China, China",2022-01-06,2.4,-6.4,-3.4,0.6,-9.3,-5.1,-16.2,38.4,0,0,0,,0,0,16.6,16.2,55.9,1028.2,51.6,6.9,136.6,11.8,5,,2022-01-06T09:54:28,2022-01-06T19:37:55,0.11,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"51828099999,remote"
"Hotan, China, China",2022-01-07,2.7,-9.4,-3.7,1.7,-14.1,-5.9,-18.3,32.3,0,0,0,,0,0,15.1,21.6,67.7,1031.1,57,7,136.3,11.8,5,,2022-01-07T09:54:27,2022-01-07T19:38:49,0.14,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"51828099999,remote"
"Hotan, China, China",2022-01-08,2.6,-7.7,-3.8,1.3,-10.9,-5.1,-17.3,35.7,0,0,0,,0,0,15.1,19.1,27.2,1030.8,81.4,7.1,128.9,11.1,6,,2022-01-08T09:54:24,2022-01-08T19:39:44,0.18,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"51828099999,remote"
"Hotan, China, China",2022-01-09,3.7,-9.5,-5.1,2.6,-14,-6.9,-16.3,43.5,0,0,0,,0,0,16.2,22,27.2,1029.2,38.7,5.6,144.1,12.4,6,,2022-01-09T09:54:19,2022-01-09T19:40:40,0.21,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"51828099999,remote"
"Hotan, China, China",2022-01-10,1.6,-10.8,-5.7,-0.9,-18.2,-7.9,-16.1,45.6,0,0,0,,0,0,16.2,24.5,11.2,1030.6,43.5,11.1,123.3,10.6,5,10,2022-01-10T09:54:12,2022-01-10T19:41:37,0.25,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"51828099999,remote"
"Hotan, China, China",2022-01-11,3.2,-5.6,-2,0.7,-6.4,-3.3,-14.2,39.9,0,0,0,,0,0,19.4,12.6,67.5,1029.3,68.7,18.5,131.3,11.6,6,10,2022-01-11T09:54:03,2022-01-11T19:42:34,0.28,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"51828099999,remote"
"Hotan, China, China",2022-01-12,2.2,-6.6,-2.8,2.2,-9.3,-4.1,-13.6,44.1,0,0,0,,0,0,19.4,10.1,50.3,1029.9,32,19.1,143,12.5,6,10,2022-01-12T09:53:52,2022-01-12T19:43:33,0.31,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"51828099999,remote"
"Hotan, China, China",2022-01-13,2.2,-7.8,-2.9,0.6,-9.2,-4.4,-13.7,44.6,0,0,0,,0,0,16.9,9.4,76.4,1024.2,85,18.4,132.6,11.8,6,10,2022-01-13T09:53:39,2022-01-13T19:44:32,0.34,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"51828099999,remote"
"Hotan, China, China",2022-01-14,2.7,-4.4,-1.2,2.1,-7.2,-2.2,-13.2,40.6,0.1,100,4.17,snow,0,0,16.9,10.8,75.9,1022.9,92.8,17.7,121.9,10.6,5,10,2022-01-14T09:53:24,2022-01-14T19:45:32,0.37,"Snow, Overcast",Cloudy skies throughout the day with morning snow.,rain,"51828099999,remote"
"Hotan, China, China",2022-01-15,2.7,-6.9,-1.7,1.2,-12.5,-4.3,-14,39.4,0,0,0,,0,0,26.6,14.8,314.6,1025,5,18.9,149.7,13.3,6,10,2022-01-15T09:53:07,2022-01-15T19:46:33,0.41,Clear,Clear conditions throughout the day.,clear-day,"51828099999,remote"
"Hotan, China, China",2022-01-16,3.1,-5,-1.9,3.1,-8.6,-3.9,-13.8,40.5,0,0,0,,0,0,23.8,10.1,276.6,1026.6,40.6,19.3,148,13.2,6,10,2022-01-16T09:52:48,2022-01-16T19:47:34,0.44,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"51828099999,remote"
"Hotan, China, China",2022-01-17,4.2,-5.8,-2,2.6,-6.5,-3,-13.7,41.7,0,0,0,,0,0,16.9,8.6,319.3,1025.5,52.7,18.3,141.6,12.9,6,10,2022-01-17T09:52:27,2022-01-17T19:48:37,0.47,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"51828099999,remote"
