name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
"Innsbruck, Tirol, Ãsterreich",2022-01-01,7.1,-1.7,0.9,6.9,-4.8,-0.5,-1.2,86.2,0,0,0,,0,0,57.6,8.9,273.1,1032.9,64,5,64.3,5.4,3,,2022-01-01T08:01:26,2022-01-01T16:34:45,0.95,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"11120099999,11119099999,11129099999,D5225,11121099999,03307,E4612,11126099999"
"Innsbruck, Tirol, Ãsterreich",2022-01-02,8.4,-2.3,1.8,7.7,-5,0.4,-1.6,78.7,0,0,0,,0,0,50.4,11.2,239.1,1026.8,56.4,10,60.2,5,3,,2022-01-02T08:01:25,2022-01-02T16:35:44,0,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"11120099999,11119099999,D5225,11121099999,03307,11126099999"
"Innsbruck, Tirol, Ãsterreich",2022-01-03,8,-0.7,2.6,6.7,-4.2,0.9,-0.2,82.4,0,0,0,,0,0,64.8,12.6,147.2,1020.1,58.3,10,62.3,5.3,3,,2022-01-03T08:01:21,2022-01-03T16:36:44,0.02,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"11120099999,11119099999,D5225,11121099999,03307,E4612,11126099999"
"Innsbruck, Tirol, Ãsterreich",2022-01-04,11.7,0.9,6.3,11.7,-1.2,4.7,0.3,68.7,0,0,0,,0,0,104.4,40.9,187.5,1005.4,70.6,10,45.1,3.9,2,,2022-01-04T08:01:14,2022-01-04T16:37:46,0.06,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"11120099999,11119099999,D5225,11121099999,03307,E4612,11126099999"
"Innsbruck, Tirol, Ãsterreich",2022-01-05,4,-1.9,1.5,0.9,-3.4,-1,-0.4,87.5,5.212,100,58.33,"rain,snow",0,0,104.4,23.2,274.8,1008,73.3,10,16.4,1.4,1,,2022-01-05T08:01:04,2022-01-05T16:38:51,0.09,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain or snow throughout the day.,rain,"11120099999,11119099999,D5225,11121099999,03307,11126099999"
"Innsbruck, Tirol, Ãsterreich",2022-01-06,0.8,-1.9,-0.8,0.6,-4.1,-2.5,-3.1,84.7,0.055,100,45.83,"rain,snow",0,0.1,,10.9,72.2,1020.6,86.7,9.8,50,4.3,3,,2022-01-06T08:00:52,2022-01-06T16:39:57,0.12,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain or snow throughout the day.,rain,"C0334,11120099999,11119099999,D5225,11121099999,03307,E4612,11126099999"
"Innsbruck, Tirol, Ãsterreich",2022-01-07,0.8,-5.7,-2.3,-0.9,-8.9,-4.2,-7.3,69.3,0,0,0,,0,0.1,50.4,10.5,144.9,1022.4,63.2,10,82.8,6.8,4,,2022-01-07T08:00:36,2022-01-07T16:41:05,0.15,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"C0334,11120099999,11119099999,D5225,11121099999,03307,11126099999"
"Innsbruck, Tirol, Ãsterreich",2022-01-08,1.5,-5.7,-2.6,-0.9,-8.6,-4.6,-5.2,82.3,0.048,100,20.83,"rain,snow",0,0.1,57.6,15.8,288.5,1016.8,60.2,10,63.1,5,3,,2022-01-08T08:00:18,2022-01-08T16:42:15,0.19,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with rain or snow in the morning and afternoon.,rain,"C0334,11120099999,11119099999,D5225,11121099999,03307,11126099999"
"Innsbruck, Tirol, Ãsterreich",2022-01-09,1.8,-2.8,-1.2,-0.8,-9.1,-4.7,-3.5,84.3,0.293,100,25,"rain,snow",0,0.1,97.2,24.3,286.2,1007.4,77,9.7,46.3,4.1,3,,2022-01-09T07:59:57,2022-01-09T16:43:27,0.25,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with rain or snow in the morning and afternoon.,rain,"11120099999,11119099999,D5225,11121099999,03307,E4612,11126099999"
"Innsbruck, Tirol, Ãsterreich",2022-01-10,-0.2,-2.9,-1.5,-0.2,-7.5,-3.8,-3.9,83.7,0.266,100,54.17,"rain,snow",0.7,0.1,9.4,13.5,294.4,1020.3,90.4,10,36.8,3.3,2,10,2022-01-10T07:59:34,2022-01-10T16:44:40,0.25,"Snow, Rain, Overcast",Cloudy skies throughout the day with rain or snow.,snow,"11120099999,11119099999,11129099999,D5225,11121099999,03307,E4612,11126099999"
