name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
"Iqaluit, NU, Canada",2022-01-01,-8.3,-18.6,-13.9,-15.9,-24.1,-19.3,-17.3,75.7,3.6,100,45.83,snow,2.6,15.9,38.9,27.7,88.8,1005.7,92.4,16.6,,,,,2022-01-01T09:19:39,2022-01-01T13:56:09,0.96,"Snow, Overcast",Cloudy skies throughout the day with snow.,snow,"71909099999,71321099999,CYFB,CXFB"
"Iqaluit, NU, Canada",2022-01-02,-9,-24,-16.9,-14.9,-31.1,-23.4,-20.5,73.7,11.3,100,41.67,snow,1.5,18.8,38.9,23.9,134,1001.6,65.9,27.7,,,,,2022-01-02T09:18:38,2022-01-02T13:58:08,0,"Snow, Partially cloudy",Partly cloudy throughout the day with snow.,snow,"71909099999,71321099999,CYFB,CXFB"
"Iqaluit, NU, Canada",2022-01-03,-13.1,-20,-15,-22.7,-29.2,-24.9,-17.4,81.7,2.4,100,41.67,snow,5.7,20.9,48.2,37.9,317.8,998.2,100,6.6,,,,,2022-01-03T09:17:30,2022-01-03T14:00:12,0.03,"Snow, Overcast",Cloudy skies throughout the day with a chance of snow throughout the day.,snow,"71909099999,71321099999,CYFB,CXFB"
"Iqaluit, NU, Canada",2022-01-04,-14.1,-18,-15.1,-23.5,-27.5,-25.5,-17.8,80.3,0,0,0,,3.4,27.4,45.5,37.1,325.6,994.4,97.5,15.1,,,,,2022-01-04T09:16:15,2022-01-04T14:02:22,0.06,Overcast,Cloudy skies throughout the day.,snow,"71909099999,71321099999,CYFB,CXFB"
"Iqaluit, NU, Canada",2022-01-05,-14.9,-20,-17,-25.3,-34,-29.4,-19.3,81.9,0.1,100,4.17,snow,0,27.2,59.3,47.2,317.8,988.1,98.4,4,,,,,2022-01-05T09:14:54,2022-01-05T14:04:38,0.1,"Snow, Overcast",Cloudy skies throughout the day with morning snow.,snow,"71909099999,71321099999,CYFB,CXFB"
"Iqaluit, NU, Canada",2022-01-06,-20,-27.9,-24.3,-33.8,-41.1,-37,-27.8,72.3,0,0,0,,0,24.3,56.2,41.5,319.7,998,51.2,25.4,,,,,2022-01-06T09:13:27,2022-01-06T14:07:00,0.13,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"71909099999,71321099999,CYFB,CXFB"
"Iqaluit, NU, Canada",2022-01-07,-26.9,-31.9,-29.7,-30.9,-42.9,-39.4,-33.6,69.6,,0,0,,0,24,,20.5,322.9,1002.8,16.8,30.5,,,,,2022-01-07T09:11:54,2022-01-07T14:09:26,0.16,Clear,Clear conditions throughout the day.,clear-day,71909099999
"Iqaluit, NU, Canada",2022-01-08,-26.1,-31.5,-28.1,-29,-41.9,-36.7,-31.7,71.3,1.3,100,20.83,snow,0,23.8,,15.6,326.4,1008.8,61.2,21.4,,,,,2022-01-08T09:10:16,2022-01-08T14:11:57,0.19,"Snow, Partially cloudy",Partly cloudy throughout the day with snow.,snow,"71909099999,71321099999,CYFB,CXFB"
"Iqaluit, NU, Canada",2022-01-09,-30,-32.9,-31.4,-30.1,-46.2,-39.6,-34.9,70.8,2.3,100,37.5,snow,0.6,23.3,,22.1,334.2,1001.6,20.2,30.9,,,,,2022-01-09T09:08:31,2022-01-09T14:14:32,0.25,"Snow, Partially cloudy",Partly cloudy throughout the day with a chance of snow throughout the day.,snow,"71909099999,71321099999,CYFB,CXFB"
"Iqaluit, NU, Canada",2022-01-10,-29.9,-32.6,-31.5,-45.7,-49.7,-47.4,-35.5,67.2,0,0,0,,0.4,23.7,45.4,38.1,325.2,991.8,56.2,26.1,4.2,0.2,0,10,2022-01-10T09:06:42,2022-01-10T14:17:12,0.26,Partially cloudy,Partly cloudy throughout the day.,snow,"71909099999,71321099999,CYFB,CXFB"
"Iqaluit, NU, Canada",2022-01-11,-30.1,-34.6,-32.2,-31.9,-45.9,-40.6,-36.1,68.2,0.7,100,16.67,snow,0,23.1,40,23.1,328.3,994.9,43.5,29,3.3,0.2,0,10,2022-01-11T09:04:48,2022-01-11T14:19:55,0.29,"Snow, Partially cloudy",Partly cloudy throughout the day with late afternoon snow.,snow,"71909099999,71321099999,CYFB,CXFB"
"Iqaluit, NU, Canada",2022-01-12,-23,-32,-27.3,-25,-38,-30.8,-31.2,69.5,1.5,100,37.5,snow,1.9,23.6,27.7,16.7,17.8,1001.8,84,25.3,3.1,0.2,0,10,2022-01-12T09:02:49,2022-01-12T14:22:42,0.33,"Snow, Partially cloudy",Partly cloudy throughout the day with a chance of snow throughout the day.,snow,"71909099999,71321099999,CYFB,CXFB"
"Iqaluit, NU, Canada",2022-01-13,-23,-28.1,-26,-33.1,-46.4,-41.4,-29.7,71.8,1.3,100,25,snow,1.2,25.2,63,49.9,327,1009,93.4,9.6,3,0.2,0,10,2022-01-13T09:00:45,2022-01-13T14:25:32,0.36,"Snow, Overcast",Cloudy skies throughout the day with snow.,snow,"71909099999,71321099999,CYFB,CXFB"
