name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
"Islamabad, Pakistan",2022-01-01,16.8,4.7,9.5,16.8,4.7,8.8,0.4,54.8,0,0,0,,0,0,,10.8,316,1024.1,86.5,3.9,89.5,7.9,4,,2022-01-01T07:12:31,2022-01-01T17:10:01,0.95,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"41536099999,41535099999,remote,41571099999,41573099999,F4270"
"Islamabad, Pakistan",2022-01-02,18.3,2.7,9.5,18.3,1.5,8.5,1.6,59.9,0,0,0,,0,0,,16.6,327.6,1021.8,65.4,5.5,125.4,10.9,5,,2022-01-02T07:12:43,2022-01-02T17:10:46,0,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"41536099999,41535099999,remote,41571099999,41573099999,F4270"
"Islamabad, Pakistan",2022-01-03,17.1,5.1,10.6,17.1,5.1,10,3.8,64.3,3.389,100,8.33,rain,0,0,,16.7,337.4,1020.6,93.5,2.7,67.4,5.8,4,,2022-01-03T07:12:53,2022-01-03T17:11:32,0.02,"Rain, Overcast",Cloudy skies throughout the day with late afternoon rain.,rain,"41536099999,41535099999,remote,41571099999,41573099999,F4270"
"Islamabad, Pakistan",2022-01-04,14,3.1,9.6,14,3.1,8.9,7.4,86.8,26.601,100,33.33,rain,0,0,,14.8,55.2,1021.2,87.2,1.7,52.2,4.4,3,,2022-01-04T07:13:01,2022-01-04T17:12:19,0.05,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"41536099999,41535099999,remote,41571099999,41573099999,F4270"
"Islamabad, Pakistan",2022-01-05,10.9,2.1,8,10.9,2.1,7.2,7.1,93.6,223.392,100,33.33,rain,0,0,,16.2,27.8,1018.9,85.7,1.1,29.3,2.4,1,,2022-01-05T07:13:07,2022-01-05T17:13:08,0.08,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"41536099999,41535099999,remote,41571099999,41573099999,F4270"
"Islamabad, Pakistan",2022-01-06,14.8,2,8.9,14.8,2,8.3,7.6,91.9,43.87,100,25,"rain,snow",0,0,,11.2,76.2,1018.9,66.8,1.8,61.1,5.3,3,,2022-01-06T07:13:11,2022-01-06T17:13:57,0.12,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain or snow throughout the day.,rain,"41536099999,41535099999,remote,41571099999,41573099999,F4270"
"Islamabad, Pakistan",2022-01-07,15.3,2.5,9.9,15.3,-0.5,9,8.5,91.9,48.498,100,33.33,rain,0,0,,17.1,45.8,1017.4,88.8,1.5,76,6.6,5,,2022-01-07T07:13:14,2022-01-07T17:14:47,0.15,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"41536099999,41535099999,remote,41571099999,41573099999,F4270"
"Islamabad, Pakistan",2022-01-08,13.3,1.3,9.8,13.3,1.3,9.3,8.1,90,51.736,100,16.67,rain,0,0,,37.2,112.7,1016.4,72.9,4.2,75.6,6.4,4,,2022-01-08T07:13:15,2022-01-08T17:15:38,0.18,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"41536099999,41535099999,remote,41571099999,41573099999,F4270"
"Islamabad, Pakistan",2022-01-09,13.3,2.1,8.2,13.3,2.1,7.4,5.2,82.8,0.2,100,8.33,rain,0,0,,16.3,318.5,1018.4,63.5,4,126.1,10.8,5,,2022-01-09T07:13:14,2022-01-09T17:16:30,0.25,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"41536099999,41535099999,remote,41571099999,41573099999,F4270"
"Islamabad, Pakistan",2022-01-10,14.8,1.1,8.1,14.8,1.1,7.3,3.9,76.4,0,0,0,,0,0,8.3,21.3,5.8,1020.8,17.2,10.9,128.9,11,6,10,2022-01-10T07:13:11,2022-01-10T17:17:23,0.25,Clear,Clear conditions throughout the day.,clear-day,"41536099999,41535099999,remote,41571099999,41573099999,F4270"
