name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
"Ä°stanbul, TÃ¼rkiye",2022-01-01,10.5,6.8,8.8,10.5,5.5,8,6.9,87.8,0.303,100,4.17,rain,0,0,18.4,9.8,258,1019.2,75.2,11.6,35.7,3,1,,2022-01-01T08:29:16,2022-01-01T17:46:04,0.95,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"D8508,LTBA,17063099999,17061099999,17064099999,17060099999"
"Ä°stanbul, TÃ¼rkiye",2022-01-02,10.7,8.2,9.6,10.7,7.8,9.2,8.1,90.4,5.932,100,12.5,rain,0,0,20.5,13.1,36.3,1023.5,78,10.5,27.3,2.2,1,,2022-01-02T08:29:22,2022-01-02T17:46:55,0,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"D8508,LTBA,17063099999,17061099999,17064099999,17060099999"
"Ä°stanbul, TÃ¼rkiye",2022-01-03,12.3,7.1,10,12.3,5.5,9.5,6.7,80.6,0,0,0,,0,0,27.7,17.3,235.6,1018.1,48.9,12.3,91,7.9,4,,2022-01-03T08:29:25,2022-01-03T17:47:48,0.02,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"D8508,LTBA,17063099999,17061099999,17064099999,17060099999"
"Ä°stanbul, TÃ¼rkiye",2022-01-04,14.1,9.1,11.4,14.1,9.1,11.4,7.9,79.1,0,0,0,,0,0,35.3,17.1,254.6,1015.3,47.4,11.8,101.9,8.7,4,,2022-01-04T08:29:26,2022-01-04T17:48:42,0.05,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"D8508,LTBA,17063099999,17061099999,17064099999,17060099999"
"Ä°stanbul, TÃ¼rkiye",2022-01-05,16.6,10,13,16.6,10,13,8.6,74.7,0,0,0,,0,0,42.5,31.6,238.1,1012.2,31.6,12.5,106.3,9.2,4,,2022-01-05T08:29:25,2022-01-05T17:49:38,0.09,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"D8508,LTBA,17063099999,17061099999,17064099999,17060099999"
"Ä°stanbul, TÃ¼rkiye",2022-01-06,17.4,12.4,14.6,17.4,12.4,14.6,9.8,72.8,0,0,0,,0,0,40.7,21.3,246.2,1012.5,71.7,12.5,106.9,9.2,4,,2022-01-06T08:29:21,2022-01-06T17:50:36,0.12,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"D8508,LTBA,17063099999,17061099999,17064099999,17060099999"
"Ä°stanbul, TÃ¼rkiye",2022-01-07,12.3,8.7,10.4,12.3,6.6,9.4,8.8,89.9,0.06,100,4.17,rain,0,0,28.6,24.1,37.5,1017.6,83,10,19.5,1.7,1,,2022-01-07T08:29:15,2022-01-07T17:51:34,0.15,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"D8508,LTBA,17063099999,17061099999,17064099999,17060099999"
"Ä°stanbul, TÃ¼rkiye",2022-01-08,10.9,9.1,10,10.9,7.6,9.1,8.8,92.5,0.417,100,12.5,rain,0,0,29.5,20.8,39.3,1014.7,89.1,8.8,42.7,3.7,2,,2022-01-08T08:29:07,2022-01-08T17:52:34,0.18,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"D8508,LTBA,17063099999,17061099999,17064099999,17060099999"
"Ä°stanbul, TÃ¼rkiye",2022-01-09,11.6,8,9.6,11.6,7,9.2,8,90.5,0,0,0,,0,0,15.7,12.7,31.2,1006.7,82.9,5.6,59.9,5.2,3,,2022-01-09T08:28:57,2022-01-09T17:53:35,0.25,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"D8508,LTBA,17063099999,17061099999,17064099999,17059099999,17060099999"
"Ä°stanbul, TÃ¼rkiye",2022-01-10,11.5,9.3,10.3,11.5,7.1,9.3,8.6,89.3,0.536,100,8.33,rain,0,0,32,20.7,40.4,1002.4,84.4,9.6,38.2,3.4,2,10,2022-01-10T08:28:44,2022-01-10T17:54:38,0.25,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,"D8508,LTBA,17063099999,17061099999,17064099999,17059099999,17060099999"
