name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
"Jakarta, Indonesia",2022-01-01,32.3,25,28.6,37.6,25,31.9,24,77.5,0.493,100,8.33,rain,0,0,37.1,21.5,262.2,1009.6,50.9,6.8,226.6,19.6,8,,2022-01-01T05:41:58,2022-01-01T18:10:18,0.95,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"96741099999,WIII,WIHH,96739099999,96749099999,96751099999,96749599999,96745099999"
"Jakarta, Indonesia",2022-01-02,32.7,25,28.1,37.7,25,31.1,23.9,79.3,0,0,0,,0,0,,22.4,266.1,1009.2,49.8,6.8,202.3,17.5,7,,2022-01-02T05:42:29,2022-01-02T18:10:44,0.98,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"96741099999,WIII,96739099999,WIHH,96749099999,96751099999,96745099999,96749599999"
"Jakarta, Indonesia",2022-01-03,34.3,23.7,28.8,38.5,23.7,31.5,22.9,72.4,0,0,0,,0,0,,21,289.3,1008.9,43.1,6.7,273.8,23.7,9,,2022-01-03T05:42:59,2022-01-03T18:11:08,0,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"96741099999,WIII,WIHH,96739099999,96749099999,96751099999,96749599999,96745099999"
"Jakarta, Indonesia",2022-01-04,32.7,24,28.4,37.4,24,31.7,23.4,75.4,0,0,0,,0,0,,18,329.3,1009.9,43.4,6.3,309.2,26.9,10,,2022-01-04T05:43:30,2022-01-04T18:11:32,0.05,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"96741099999,WIII,96739099999,WIHH,96749099999,96751099999,96745099999,96749599999"
"Jakarta, Indonesia",2022-01-05,32.7,25,28.8,38.9,25,32.6,24.2,77.3,27.987,100,4.17,rain,0,0,,14.3,335.2,1009.8,47.8,5.5,270.4,23.4,9,,2022-01-05T05:44:00,2022-01-05T18:11:56,0.08,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"96741099999,WIII,96739099999,WIHH,96749099999,96751099999,96745099999,96749599999"
"Jakarta, Indonesia",2022-01-06,32,25,27.6,39.6,25,30.5,25.1,87,13.419,100,16.67,rain,0,0,,18,308.7,1010.5,61.5,5.2,184.5,16,6,,2022-01-06T05:44:31,2022-01-06T18:12:19,0.11,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"96741099999,WIII,96739099999,WIHH,96749099999,96751099999,96745099999,96749599999"
"Jakarta, Indonesia",2022-01-07,34.3,24.3,28.1,39.9,24.3,30.4,23.8,79.2,0.337,100,12.5,rain,0,0,,17.5,246,1010.8,53.4,6.1,125.3,11,4,,2022-01-07T05:45:01,2022-01-07T18:12:41,0.15,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"96741099999,WIII,96739099999,WIHH,96749099999,96751099999,96745099999,96749599999"
"Jakarta, Indonesia",2022-01-08,32.3,24.3,28.5,38.3,24.3,31.7,24.3,79.4,0.008,100,4.17,rain,0,0,,20.6,295.5,1009.9,52.1,6,218.7,19,8,,2022-01-08T05:45:30,2022-01-08T18:13:02,0.18,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"96741099999,WIII,96739099999,WIHH,96749099999,96751099999,96745099999,96749599999"
"Jakarta, Indonesia",2022-01-09,32,25.3,28.8,38.2,25.3,32.9,24.5,78.1,0,0,0,,0,0,,28.7,286,1009.2,53.5,6.3,209.7,18.1,7,,2022-01-09T05:46:00,2022-01-09T18:13:23,0.21,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"96741099999,WIII,96739099999,WIHH,96749099999,96751099999,96745099999,96749599999"
"Jakarta, Indonesia",2022-01-10,31.4,25.3,28,38.3,25.3,31.3,24.6,82.5,11.132,100,8.33,rain,0,0,19.8,20.1,295.7,1009.2,55.6,6.2,176.6,15.2,6,10,2022-01-10T05:46:29,2022-01-10T18:13:43,0.25,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"96741099999,WIII,96739099999,WIHH,96749099999,96751099999,96745099999,96749599999"
"Jakarta, Indonesia",2022-01-11,31.4,24,26.6,38.3,24,28.5,24.4,88.4,62.667,100,25,rain,0,0,33.5,20.1,272.1,1011.1,70.2,5.5,109.4,9.8,4,10,2022-01-11T05:46:58,2022-01-11T18:14:02,0.28,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"96737099999,96741099999,WIII,WIHH,96739099999,96749099999,96751099999,96749599999,96745099999"
"Jakarta, Indonesia",2022-01-12,31.1,24,26.5,37.1,24,28.7,24.2,88,19.569,100,16.67,rain,0,0,51.8,23.5,294.9,1011.1,65.7,5.8,229.6,20,9,10,2022-01-12T05:47:26,2022-01-12T18:14:20,0.31,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"96741099999,WIII,96739099999,WIHH,96749099999,96751099999,96745099999,96749599999"
"Jakarta, Indonesia",2022-01-13,30.7,24,27.1,36.5,24,30.2,24.3,85.4,0.863,100,12.5,rain,0,0,19.4,24.1,310.5,1011,56.5,6.3,253.8,22.1,7,30,2022-01-13T05:47:54,2022-01-13T18:14:38,0.34,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"96741099999,WIII,WIHH,96739099999,96749099999,96751099999,96749599999,96745099999"
"Jakarta, Indonesia",2022-01-14,29,24,26.8,34.5,24,29.5,24.4,87,13.452,100,12.5,rain,0,0,17.3,19.5,304.7,1010.8,59,5.7,265.2,23.3,8,30,2022-01-14T05:48:22,2022-01-14T18:14:55,0.38,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"96741099999,WIII,96739099999,WIHH,96749099999,96751099999,96745099999,96749599999"
"Jakarta, Indonesia",2022-01-15,29,24,26.9,34.1,24,29.7,24.5,87.3,3.671,100,8.33,rain,0,0,19.4,16.6,295.5,1010.7,65.5,5.9,158.8,14,5,30,2022-01-15T05:48:49,2022-01-15T18:15:11,0.41,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"96741099999,WIII,WIHH,96739099999,96749099999,96751099999,96749599999,96745099999"
"Jakarta, Indonesia",2022-01-16,29,25,27.2,34.8,25,30.2,25.3,90.1,11.809,100,8.33,rain,0,0,18.7,14.6,305.2,1010.1,54.3,5,249.7,21.9,7,30,2022-01-16T05:49:16,2022-01-16T18:15:26,0.44,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,"96741099999,WIII,96739099999,WIHH,96749099999,96751099999,96745099999,96749599999"
"Jakarta, Indonesia",2022-01-17,31,25,27.8,37.7,25,31.5,25,85.2,6.244,100,16.67,rain,0,0,23.4,22.1,306.9,1009.7,66,6,246.7,21.4,7,30,2022-01-17T05:49:42,2022-01-17T18:15:40,0.47,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"96741099999,WIII,WIHH,96739099999,96749099999,96751099999,96749599999,96745099999"
"Jakarta, Indonesia",2022-01-18,28.2,24,26.1,32.7,24,27.4,24.7,92,162.454,100,29.17,rain,0,0,40.7,21.6,305.7,1009.5,73.9,5.2,195.9,17.2,6,30,2022-01-18T05:50:08,2022-01-18T18:15:53,0.5,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"96737099999,96741099999,WIII,WIHH,96739099999,96749099999,96751099999,96745099999,96749599999"
"Jakarta, Indonesia",2022-01-19,30.4,24,27,36.4,24,29.4,24.3,85.8,54,100,25,rain,0,0,55.4,28.5,294.4,1008.7,69.7,6,286.7,25,8,10,2022-01-19T05:50:33,2022-01-19T18:16:06,0.54,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"96741099999,WIII,WIHH,96739099999,96749099999,96751099999,96749599999,96745099999"
"Jakarta, Indonesia",2022-01-20,29.7,24,25.8,34.3,24,26.6,23.4,87.1,0.15,100,16.67,rain,0,0,30.2,15.2,248.8,1009.6,59.1,6.3,54,4.9,4,10,2022-01-20T05:50:58,2022-01-20T18:16:17,0.58,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"96741099999,WIII,96739099999,WIHH,96749099999,96751099999,96745099999,96749599999"
"Jakarta, Indonesia",2022-01-21,31,24,27.4,36.4,24,30.2,23.9,82,0.503,100,8.33,rain,0,0,20.9,23.4,286.3,1009.3,54.2,6.4,286.8,25.1,8,30,2022-01-21T05:51:22,2022-01-21T18:16:28,0.61,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"96741099999,WIII,96739099999,WIHH,96749099999,96751099999,96745099999,96749599999"
"Jakarta, Indonesia",2022-01-22,30.7,24,27.2,36.5,24,29.9,24.3,85,8.939,100,16.67,rain,0,0,19.8,16.6,278.4,1009.5,57.6,5.9,256.9,22.5,9,10,2022-01-22T05:51:46,2022-01-22T18:16:37,0.65,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"96741099999,WIII,96739099999,WIHH,96749099999,96751099999,96745099999,96749599999"
"Jakarta, Indonesia",2022-01-23,33.1,25,29,40.3,25,32.7,24.1,76.2,0,0,0,,0,0,22.3,25.4,277.9,1008.5,46.9,6.5,296.8,26.1,9,30,2022-01-23T05:52:09,2022-01-23T18:16:46,0.68,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"96741099999,WIII,WIHH,96739099999,96749099999,96751099999,96749599999,96745099999"
"Jakarta, Indonesia",2022-01-24,34.4,25,29.2,41.7,25,32.9,23.9,74.4,0,0,0,,0,0,35.3,28.9,250.9,1007.5,43.9,6.9,286.5,24.9,9,30,2022-01-24T05:52:31,2022-01-24T18:16:54,0.72,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"96741099999,WIII,96739099999,WIHH,96749099999,96751099999,96745099999,96749599999"
"Jakarta, Indonesia",2022-01-25,31.7,25,28.6,38.2,25,32.9,24.5,79.2,4.879,100,8.33,rain,0,0,32,24.9,267.2,1007.8,50.3,7.3,219.2,19.3,7,30,2022-01-25T05:52:53,2022-01-25T18:17:01,0.75,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"96741099999,WIII,96739099999,WIHH,96749099999,96751099999,96745099999,96749599999"
"Jakarta, Indonesia",2022-01-26,30,24.7,27.2,36.6,24.7,29.9,24.8,86.9,0.755,100,8.33,rain,0,0,22.7,13.2,280.8,1008.7,61,6.3,213.7,18.6,7,30,2022-01-26T05:53:14,2022-01-26T18:17:07,0.79,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"96741099999,WIII,96739099999,WIHH,96749099999,96751099999,96745099999,96749599999"
"Jakarta, Indonesia",2022-01-27,32.4,24.3,28.2,37.2,24.3,31.6,24.3,80.4,0.004,100,4.17,rain,0,0,31.7,20.6,304.7,1009.1,49.3,6.4,218.6,19.2,6,10,2022-01-27T05:53:34,2022-01-27T18:17:12,0.82,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"96741099999,WIII,WIHH,96739099999,96749099999,96751099999,96749599999,96745099999"
"Jakarta, Indonesia",2022-01-28,32.7,25,27.6,40.1,25,30.1,24.2,83.1,4.881,100,12.5,rain,0,0,23.8,18.1,273.3,1009.6,50.2,6,223.7,19.5,7,10,2022-01-28T05:53:54,2022-01-28T18:17:16,0.86,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"96741099999,WIII,96739099999,WIHH,96749099999,96751099999,96745099999,96749599999"
