name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
South Korea South Korea Jeju,2022-01-01,8.3,0.9,4.7,7,-0.8,2.9,-3.4,56.5,0,0,0,,0,0,,14.2,10.8,1030.4,47.3,44,,,,,2022-01-01T07:38:10,2022-01-01T17:36:34,0.94,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"47184099999,47182099999,47185043263,47189099999,RKPC,47188099999"
South Korea South Korea Jeju,2022-01-02,11.1,4.3,7.3,11.1,1.9,5.7,1.2,65.5,0,0,0,,0,0,,18.9,299,1027.5,62.2,32.3,,,,,2022-01-02T07:38:22,2022-01-02T17:37:18,0.98,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"47184099999,47182099999,47185043263,47189099999,RKPC,47188099999"
South Korea South Korea Jeju,2022-01-03,10.2,2.6,5.9,10.2,0.3,4.1,0.4,68.3,0,0,0,,0,0,,14.3,269.1,1026.7,50.7,37.3,,,,,2022-01-03T07:38:32,2022-01-03T17:38:04,0,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"47184099999,47182099999,47185043263,47189099999,RKPC,47188099999"
South Korea South Korea Jeju,2022-01-04,9.1,4.7,6.7,6.9,2.5,4.3,0.5,65.1,0,0,0,,0,0,,20.2,353.2,1027.6,69.4,30.1,,,,,2022-01-04T07:38:41,2022-01-04T17:38:51,0.04,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"47184099999,47182099999,47185043263,47189099999,RKPC,47188099999"
South Korea South Korea Jeju,2022-01-05,6.6,3.3,5.8,6.3,0.8,4.2,2.2,79,17.998,100,8.33,rain,0,0,,17.8,89.1,1025.8,98.8,27.5,,,,,2022-01-05T07:38:47,2022-01-05T17:39:39,0.08,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"47184099999,47182099999,47185043263,47189099999,RKPC,47188099999"
South Korea South Korea Jeju,2022-01-06,9.2,5.5,7.2,6.9,2.6,4.5,1.2,66.4,0.9,100,4.17,rain,0,0,,29,12.5,1027.5,57.4,28.1,,,,,2022-01-06T07:38:52,2022-01-06T17:40:28,0.11,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"47184099999,47182099999,47185043263,47189099999,RKPC,47188099999"
South Korea South Korea Jeju,2022-01-07,9.8,2.3,5.7,8.6,-0.8,3.7,-0.3,66.6,0,0,0,,0,0,,12.7,212.2,1029.3,29.2,28.9,,,,,2022-01-07T07:38:55,2022-01-07T17:41:18,0.14,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"47184099999,47182099999,47185043263,47189099999,RKPC,47188099999"
South Korea South Korea Jeju,2022-01-08,8.1,3.3,6.3,6.1,0.8,4.2,1.2,69.7,0,0,0,,0,0,,14.5,316.1,1025.9,73.4,34.4,,,,,2022-01-08T07:38:56,2022-01-08T17:42:09,0.18,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"47184099999,47182099999,47185043263,47189099999,RKPC,47188099999"
South Korea South Korea Jeju,2022-01-09,9.5,5.1,7.7,7.7,2.5,6,2.2,68.2,0,0,0,,0,0,,13.2,335.4,1022.7,81.6,12.1,,,,,2022-01-09T07:38:56,2022-01-09T17:43:01,0.21,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"47184099999,47182099999,47185043263,47189099999,RKPC,47188099999"
South Korea South Korea Jeju,2022-01-10,9.7,5.6,7.5,8.7,3.9,5.9,2.5,70.7,0,0,0,,0,0,24.5,16.3,306.9,1021,85.3,13.2,0,,0,10,2022-01-10T07:38:53,2022-01-10T17:43:53,0.25,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"47184099999,47182099999,47185043263,47189099999,RKPC,47188099999"
