name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
"Johannesburg, Gauteng, South Africa",2022-01-01,25.8,14.4,20.2,25.8,14.4,20.2,14.4,70.9,5,100,4.17,rain,0,0,35.3,26.5,319.6,1021,49.9,10.5,304.9,26.5,10,,2022-01-01T05:19:00,2022-01-01T19:03:40,0.95,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"FALA,68263099999,F0671,68263599999,FAOR"
"Johannesburg, Gauteng, South Africa",2022-01-02,28.8,15.8,21.9,28.1,15.8,21.8,14.8,67.4,1,100,4.17,rain,0,0,33.5,27.5,330,1020.4,24.8,10.5,332.9,28.7,10,,2022-01-02T05:19:41,2022-01-02T19:03:55,0,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"FALA,E0397,68263099999,F0671,68263599999,FAOR"
"Johannesburg, Gauteng, South Africa",2022-01-03,26.4,14.8,20.6,26.4,14.8,20.6,13.6,66.4,0.7,100,20.83,rain,0,0,24.1,25.7,334.3,1020.3,23,10.4,333.6,28.9,10,,2022-01-03T05:20:22,2022-01-03T19:04:09,0.02,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"FALA,68263099999,F0671,68263599999,FAOR"
"Johannesburg, Gauteng, South Africa",2022-01-04,25.8,14.4,20.5,25.8,14.4,20.5,14.2,68.5,1.2,100,8.33,rain,0,0,24.1,27.2,328.7,1021,46.1,10.5,280.5,24.4,10,,2022-01-04T05:21:04,2022-01-04T19:04:21,0.05,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,"FALA,68263099999,F0671,68263599999,FAOR"
"Johannesburg, Gauteng, South Africa",2022-01-05,28,15.7,21.9,27.7,15.7,21.9,14.6,65,6,100,4.17,rain,0,0,35.3,22.4,296,1021.5,42.1,10.5,294.4,25.3,10,,2022-01-05T05:21:46,2022-01-05T19:04:32,0.09,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"FALA,68263099999,F0671,68263599999,FAOR"
"Johannesburg, Gauteng, South Africa",2022-01-06,20.5,15.8,17.6,20.5,15.8,17.6,15,84.5,24,100,8.33,rain,0,0,37.1,21.5,72.1,1023,57.8,9.8,83,7.3,4,,2022-01-06T05:22:29,2022-01-06T19:04:41,0.12,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,"FALA,68263099999,F0671,68263599999,FAOR"
"Johannesburg, Gauteng, South Africa",2022-01-07,25,16.3,19.4,25,16.3,19.4,15.1,77.2,32,100,4.17,rain,0,0,18.4,22.9,355.9,1023,59.4,10.2,167.9,14.3,7,,2022-01-07T05:23:13,2022-01-07T19:04:49,0.15,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"FALA,68263099999,F0671,68263599999,FAOR"
"Johannesburg, Gauteng, South Africa",2022-01-08,23.6,14.8,19.5,23.6,14.8,19.5,14.4,74.2,0.2,100,4.17,rain,0,0,22.3,16,40.8,1024.6,62.7,10.1,251.4,21.6,10,,2022-01-08T05:23:57,2022-01-08T19:04:55,0.19,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"FALA,68263099999,F0671,68263599999,FAOR"
"Johannesburg, Gauteng, South Africa",2022-01-09,25,15.7,19.9,25,15.7,19.9,13.1,66.4,0.8,100,25,rain,0,0,24.1,18.8,29.5,1022.6,67.6,10.6,188.3,16.4,10,,2022-01-09T05:24:42,2022-01-09T19:05:00,0.25,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,"FALA,68263099999,F0671,68263599999,FAOR"
"Johannesburg, Gauteng, South Africa",2022-01-10,24.8,14.8,20.1,24.8,14.8,20.1,12.4,62.4,0,0,0,,0,0,24.1,17.5,355.9,1019.3,36.6,10.5,285.5,24.7,10,10,2022-01-10T05:25:27,2022-01-10T19:05:03,0.25,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,"FALA,68263099999,F0671,68263599999,FAOR"
"Johannesburg, Gauteng, South Africa",2022-01-11,24.8,16.7,20.8,24.8,16.7,20.8,14.8,69.4,1.4,100,29.17,rain,0,0,22.7,16.8,307.1,1019.2,42.9,9.9,185.8,16.3,9,10,2022-01-11T05:26:13,2022-01-11T19:05:05,0.28,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"FALA,E0397,68263099999,F0671,68263599999,FAOR"
"Johannesburg, Gauteng, South Africa",2022-01-12,26.3,15.4,19.6,26.3,15.4,19.6,15.2,78,10.7,100,70.83,rain,0,0,30.6,27.9,60.8,1022.1,69.5,8.3,312,27,10,10,2022-01-12T05:26:58,2022-01-12T19:05:05,0.32,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"FALA,68263099999,F0671,68263599999,FAOR"
"Johannesburg, Gauteng, South Africa",2022-01-13,25.5,17.3,20.8,25.5,17.3,20.8,15.9,74.3,0.5,100,12.5,rain,0,0,30.2,22.3,30.9,1023.3,44.7,10.1,158.7,13.8,8,10,2022-01-13T05:27:45,2022-01-13T19:05:04,0.35,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"FALA,68263099999,F0671,68263599999,68353099999,FAOR"
"Johannesburg, Gauteng, South Africa",2022-01-14,25.3,17.8,20.9,25.3,17.8,20.9,15.7,73.3,0.6,100,16.67,rain,0,0,31.7,16,65.3,1023.1,59.7,10.3,241.3,21,10,10,2022-01-14T05:28:31,2022-01-14T19:05:01,0.38,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"FALA,68263099999,F0671,68263599999,68353099999,FAOR"
"Johannesburg, Gauteng, South Africa",2022-01-15,24.3,17.3,20.1,24.3,17.3,20.1,15.8,77.4,8.2,100,12.5,rain,0,0,26.6,19.8,31.7,1021.5,71.5,10.4,199.7,17.5,8,10,2022-01-15T05:29:18,2022-01-15T19:04:57,0.42,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"FALA,68263099999,F0671,68263599999,68353099999,FAOR"
"Johannesburg, Gauteng, South Africa",2022-01-16,23.6,16.9,19.8,23.6,16.9,19.8,14.6,72.2,4.4,100,29.17,rain,0,0,25.7,23.9,349.1,1020.3,66,10.6,170.5,14.8,6,10,2022-01-16T05:30:05,2022-01-16T19:04:51,0.45,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"FALA,68263099999,F0671,68263599999,68353099999,FAOR"
"Johannesburg, Gauteng, South Africa",2022-01-17,24,16.8,19.4,24,16.8,19.4,16.2,82.7,0.2,100,4.17,rain,0,0,27.7,17.2,6.3,1021.2,78.3,9.6,187.5,16.3,8,10,2022-01-17T05:30:52,2022-01-17T19:04:43,0.48,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"FALA,68263099999,F0671,68263599999,68353099999,FAOR"
"Johannesburg, Gauteng, South Africa",2022-01-18,23.3,15.3,19.5,23.3,15.3,19.5,15.6,79.4,2.7,100,29.17,rain,0,0,23.8,15.8,3.1,1022.5,72.3,9.9,146.7,12.6,6,10,2022-01-18T05:31:39,2022-01-18T19:04:35,0.5,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"FALA,F0671,68263599999,68353099999,FAOR"
"Johannesburg, Gauteng, South Africa",2022-01-19,24.8,14.8,19.1,24.8,14.8,19.1,15.3,79.7,3,100,4.17,rain,0,0,48.2,21.9,151.1,1023.2,38,8.5,155.3,13.5,8,10,2022-01-19T05:32:27,2022-01-19T19:04:24,0.55,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"FALA,E0397,F0671,68263599999,68269099999,68353099999,FAOR"
