name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
"Juba, Central Equatoria, South Sudan",2022-01-01,35.9,22.2,28.6,34.8,22.2,28.3,14.7,45.3,0,0,0,,,,,9.4,349.9,,39.8,,253.3,21.9,9,,2022-01-01T06:01:46,2022-01-01T17:52:34,0.95,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,remote
"Juba, Central Equatoria, South Sudan",2022-01-02,36.1,21.7,28.3,34.8,21.7,27.8,14.1,45.3,0,0,0,,0,0,,16.6,19.9,,83.2,8,247.3,21.4,9,,2022-01-02T06:02:12,2022-01-02T17:53:04,0,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"62941099999,remote"
"Juba, Central Equatoria, South Sudan",2022-01-03,34.2,20.9,27.2,32.7,20.9,26.7,13.3,45.4,0,0,0,,,,,24.1,25.5,,94.8,,245,21,8,,2022-01-03T06:02:38,2022-01-03T17:53:34,0.02,Overcast,Cloudy skies throughout the day.,cloudy,remote
"Juba, Central Equatoria, South Sudan",2022-01-04,34.8,20.1,27.4,33.2,20.1,26.8,12.5,42.8,0,0,0,,,,,25.2,30.2,,94,,276.6,23.8,9,,2022-01-04T06:03:03,2022-01-04T17:54:04,0.05,Overcast,Cloudy skies throughout the day.,cloudy,remote
"Juba, Central Equatoria, South Sudan",2022-01-05,34.3,20.6,27.5,33.2,20.6,27.1,14.3,47.1,0,0,0,,,,,23.4,26.6,,95,,242.1,20.9,9,,2022-01-05T06:03:27,2022-01-05T17:54:33,0.09,Overcast,Cloudy skies throughout the day.,cloudy,remote
"Juba, Central Equatoria, South Sudan",2022-01-06,36.2,21,28.7,36.1,21,28.8,16.2,49,0,0,0,,,,,20.2,33.1,,68.2,,244.7,21.2,9,,2022-01-06T06:03:51,2022-01-06T17:55:02,0.12,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,remote
"Juba, Central Equatoria, South Sudan",2022-01-07,35.1,23.3,28.9,35.5,23.3,29.2,17.7,52.9,0,0,0,,,,,18.7,41.6,,76.4,,203.7,17.5,8,,2022-01-07T06:04:14,2022-01-07T17:55:31,0.15,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,remote
"Juba, Central Equatoria, South Sudan",2022-01-08,36.6,22.5,29.3,36.7,22.5,29.5,17.4,52.1,0,0,0,,0,0,,18.4,30,,83.4,6,245.8,21.2,9,,2022-01-08T06:04:37,2022-01-08T17:56:00,0.19,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"62941099999,remote"
"Juba, Central Equatoria, South Sudan",2022-01-09,38.1,22.1,30,37.4,22.1,29.9,16,46.5,0,0,0,,,,,22.3,54.4,,69.8,,272,23.5,9,,2022-01-09T06:04:59,2022-01-09T17:56:28,0.25,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,remote
"Juba, Central Equatoria, South Sudan",2022-01-10,39,23,31.4,38.3,23,30.5,12.7,35.2,0,0,0,,0,0,14.8,16.6,80.6,1003.3,79.6,24.1,267.6,23.1,10,10,2022-01-10T06:05:20,2022-01-10T17:56:56,0.25,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,remote
