name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
"Kabul, Afghanistan",2022-01-01,3.2,-3.6,-0.9,-0.7,-5.9,-3.5,-2.7,88.1,0.2,100,8.33,snow,,,,16.2,183.5,,90.8,,74.2,6.4,3,,2022-01-01T07:00:29,2022-01-01T16:53:49,0.95,"Snow, Overcast",Cloudy skies throughout the day with snow clearing later.,rain,remote
"Kabul, Afghanistan",2022-01-02,3.7,-6.9,-1.7,2.6,-10.6,-4.2,-5.4,77.8,0,0,0,,,,,7.9,216.8,,77.5,,134.2,11.5,6,,2022-01-02T07:00:40,2022-01-02T16:54:35,0,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,remote
"Kabul, Afghanistan",2022-01-03,1.4,-3.3,-1.3,-3.2,-8.9,-5.2,-2.6,91,29.5,100,95.83,"rain,snow",,,,18.7,153.6,,91.7,,53.3,4.6,3,,2022-01-03T07:00:49,2022-01-03T16:55:22,0.02,"Snow, Rain, Overcast",Cloudy skies throughout the day with a chance of rain or snow throughout the day.,rain,remote
"Kabul, Afghanistan",2022-01-04,0.4,-8.1,-2.7,-3.9,-12.8,-7.3,-3.6,93.8,12.4,100,100,"rain,snow",,,,19.8,170.4,,43.3,,106.9,9.2,4,,2022-01-04T07:00:56,2022-01-04T16:56:10,0.05,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain or snow throughout the day.,rain,remote
"Kabul, Afghanistan",2022-01-05,-0.4,-12.7,-4.6,-0.9,-18.4,-7.4,-5.9,90.9,5.8,100,54.17,"rain,snow",,,,15.1,206.8,,50.2,,115.9,9.9,5,,2022-01-05T07:01:02,2022-01-05T16:56:59,0.08,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain or snow throughout the day.,snow,remote
"Kabul, Afghanistan",2022-01-06,-0.4,-14.6,-6.7,-4.2,-20.1,-10,-7.7,91.3,3.4,100,54.17,"rain,snow",,,,12.2,126.6,,80.1,,138.8,11.9,6,,2022-01-06T07:01:05,2022-01-06T16:57:49,0.12,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with rain or snow.,snow,remote
"Kabul, Afghanistan",2022-01-07,-1.3,-7.8,-4.5,-3.8,-11.4,-7.7,-5.7,91.4,8.4,100,91.67,"rain,snow",,,,14.8,5.8,,89.4,,118.5,10.3,5,,2022-01-07T07:01:07,2022-01-07T16:58:40,0.15,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain or snow throughout the day.,snow,remote
"Kabul, Afghanistan",2022-01-08,-3.7,-10.5,-6.7,-7.4,-15.2,-11.5,-7.7,93.1,10.6,100,75,snow,,,,15.1,346,,84,,68.2,5.9,3,,2022-01-08T07:01:07,2022-01-08T16:59:32,0.18,"Snow, Partially cloudy",Partly cloudy throughout the day with a chance of snow throughout the day.,snow,remote
"Kabul, Afghanistan",2022-01-09,-2,-14.3,-9.3,-5.9,-21,-14.2,-10.8,89.3,0,0,0,,,,,13.3,323.5,,11.4,,162.9,14.2,6,,2022-01-09T07:01:05,2022-01-09T17:00:25,0.25,Clear,Clear conditions throughout the day.,clear-day,remote
"Kabul, Afghanistan",2022-01-10,-0.2,-16.4,-8.1,-0.4,-23.1,-11.9,-11.2,79.7,0,0,0,,0,3.1,6.8,10.8,271.6,1027.1,0.2,24.1,166.8,14.3,6,10,2022-01-10T07:01:01,2022-01-10T17:01:18,0.25,Clear,Clear conditions throughout the day.,clear-day,remote
"Kabul, Afghanistan",2022-01-11,-1.1,-8.3,-4.9,-1.3,-12.8,-8,-10.7,63.8,0,0,0,,0,5,7.6,9,262.5,1028.3,1.1,24.1,146.6,12.8,6,10,2022-01-11T07:00:55,2022-01-11T17:02:13,0.28,Clear,Clear conditions throughout the day.,clear-day,remote
"Kabul, Afghanistan",2022-01-12,-0.8,-7.1,-4.5,-0.8,-11.1,-6.9,-10.9,61,0,0,0,,0,6,7.6,9.4,264.4,1025.8,79.1,24.1,108,9.3,4,10,2022-01-12T07:00:47,2022-01-12T17:03:08,0.31,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,remote
"Kabul, Afghanistan",2022-01-13,-1.1,-7.8,-4.8,-1.1,-12.5,-7.9,-11,62.2,0,0,0,,0,6.5,7.9,9.4,264.1,1025.6,5.6,24.1,147.6,12.8,6,10,2022-01-13T07:00:38,2022-01-13T17:04:04,0.35,Clear,Clear conditions throughout the day.,clear-day,remote
"Kabul, Afghanistan",2022-01-14,-1.1,-7.5,-4.4,-1.3,-11.6,-7,-8.8,71.9,0,0,0,,0,5.5,6.8,8.3,262.2,1026.7,25.3,24.1,146.6,12.8,6,10,2022-01-14T07:00:26,2022-01-14T17:05:00,0.38,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,remote
"Kabul, Afghanistan",2022-01-15,-1.2,-6.6,-3.6,-1.2,-10.5,-5.4,-8,71.4,0.2,100,8.33,snow,0,5.5,6.5,7.9,271.3,1027.4,79,22.9,86.4,7.3,4,10,2022-01-15T07:00:13,2022-01-15T17:05:57,0.41,"Snow, Partially cloudy",Partly cloudy throughout the day with snow.,snow,remote
"Kabul, Afghanistan",2022-01-16,1.3,-3.9,-1.3,1.3,-6.3,-2.2,-5.9,71,0.3,100,8.33,"rain,snow",0,5.7,6.1,6.8,287,1025.9,95.7,23.2,116.3,10,6,10,2022-01-16T06:59:58,2022-01-16T17:06:55,0.44,"Snow, Rain, Overcast",Cloudy skies throughout the day with rain or snow.,rain,remote
"Kabul, Afghanistan",2022-01-17,-0.3,-3.2,-1.3,-0.9,-5.5,-2.7,-2.3,93.1,4.7,100,70.83,"rain,snow",1.2,6.9,9.7,9.4,334.3,1025.5,96.4,4.2,78.3,6.7,5,10,2022-01-17T06:59:41,2022-01-17T17:07:53,0.48,"Snow, Rain, Overcast",Cloudy skies throughout the day with a chance of rain or snow throughout the day.,snow,remote
