name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
"Kano, Nigeria",2022-01-01,29,9.2,19.7,27.4,7.9,19.4,2.9,36.7,0,0,0,,0,0,,25.9,51.3,1017.9,3.5,10,253.7,21.8,9,,2022-01-01T06:46:30,2022-01-01T18:12:43,0.95,Clear,Clear conditions throughout the day.,clear-day,"65046099999,remote,DNKN"
"Kano, Nigeria",2022-01-02,27,11,18.4,26.1,11,18.3,3.6,41.3,0,0,0,,0,0,,29.5,49.1,1017.6,7.5,6,177.2,15.4,7,,2022-01-02T06:46:53,2022-01-02T18:13:16,0,Clear,Clear conditions throughout the day.,clear-day,"65046099999,remote,DNKN"
"Kano, Nigeria",2022-01-03,25,11.4,18.3,25,11.4,18.3,2.5,36.9,0,0,0,,0,0,,31.7,57.3,1018.5,19.7,2.7,113.4,9.8,5,,2022-01-03T06:47:15,2022-01-03T18:13:50,0.02,Clear,Clear conditions throughout the day.,clear-day,"65046099999,remote,DNKN"
"Kano, Nigeria",2022-01-04,24.1,15,19.5,24.1,15,19.5,3.3,34.9,0,0,0,,0,0,,37.1,58.8,1018.3,9.2,3,131.3,11.3,5,,2022-01-04T06:47:37,2022-01-04T18:14:23,0.06,Clear,Clear conditions throughout the day.,clear-day,"65046099999,DNKN"
"Kano, Nigeria",2022-01-05,25.4,14,18.8,25.4,14,18.8,8.8,55.2,0,0,0,,0,0,,22.3,66,1018.8,32.1,3.9,202.7,17.5,7,,2022-01-05T06:47:57,2022-01-05T18:14:56,0.09,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"65046099999,remote,DNKN"
"Kano, Nigeria",2022-01-06,30,14,21.3,28.3,14,21,7.2,44.2,0.3,100,4.17,rain,0,0,,14.8,50.8,1015.3,29.5,8,189.7,16.4,7,,2022-01-06T06:48:17,2022-01-06T18:15:30,0.12,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"65046099999,remote,DNKN"
"Kano, Nigeria",2022-01-07,31.3,16,22.8,29.3,16,22.3,5.7,36.4,60,100,4.17,rain,0,0,,18.4,46.2,1015.2,21.4,9,221.5,19.1,8,,2022-01-07T06:48:36,2022-01-07T18:16:03,0.15,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"65046099999,remote,DNKN"
"Kano, Nigeria",2022-01-08,31,14.8,23.2,29,14.8,22.7,5.6,34.9,0,0,0,,0,0,,16.6,53.1,1015.2,18,9.8,242,20.8,9,,2022-01-08T06:48:54,2022-01-08T18:16:36,0.19,Clear,Clear conditions throughout the day.,clear-day,"65046099999,DNKN"
"Kano, Nigeria",2022-01-09,28,15.9,21.7,26.6,15.9,21.4,2.6,31.2,0,0,0,,0,0,,24.1,43.5,1016.4,24.6,9.1,238.2,20.5,9,,2022-01-09T06:49:11,2022-01-09T18:17:10,0.25,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"65046099999,DNKN"
"Kano, Nigeria",2022-01-10,26,12,19,26,12,19,-0.7,30.2,0,0,0,,0,0,22,27.7,47.7,1015.7,19.4,6.6,298.1,25.7,8,10,2022-01-10T06:49:27,2022-01-10T18:17:43,0.25,Clear,Clear conditions throughout the day.,clear-day,"65046099999,remote,DNKN"
