name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
"Karachi, Pakistan",2022-01-01,25,12.8,18.4,25,12.8,18.4,2.2,35.4,0,0,0,,0,0,,18.4,44.1,1020.6,45.2,4.8,172.7,15,7,,2022-01-01T07:16:55,2022-01-01T17:54:11,0.95,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"41780099999,OPKC"
"Karachi, Pakistan",2022-01-02,25,15.6,19.7,25,15.6,19.7,0.8,30,0,0,0,,0,0,,30.5,43.8,1018.9,69,5.1,180.9,15.6,7,,2022-01-02T07:17:12,2022-01-02T17:54:50,0,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"41780099999,OPKC"
"Karachi, Pakistan",2022-01-03,25,16.8,20.2,25,16.8,20.2,3.1,33.2,0,0,0,,0,0,,18.4,47.9,1017.1,53,3.9,171.4,15,7,,2022-01-03T07:17:27,2022-01-03T17:55:31,0.02,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"41780099999,OPKC,remote"
"Karachi, Pakistan",2022-01-04,23,16,18.6,23,16,18.6,7.6,51.8,15.1,100,45.83,rain,0,0,,29.5,46.1,1016.4,77.5,3,108.4,9.4,5,,2022-01-04T07:17:41,2022-01-04T17:56:12,0.05,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"41780099999,OPKC"
"Karachi, Pakistan",2022-01-05,22,15,17.8,22,15,17.8,14.8,83.6,5.4,100,62.5,rain,0,0,,13,100.1,1014.7,70.8,2.9,100.6,8.7,4,,2022-01-05T07:17:54,2022-01-05T17:56:53,0.08,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"41780099999,OPKC"
"Karachi, Pakistan",2022-01-06,18,16,16.8,18,16,16.8,13.4,81.5,3.2,100,70.83,rain,0,0,,27.7,68.1,1014.3,67.2,3.1,172,14.9,6,,2022-01-06T07:18:06,2022-01-06T17:57:35,0.12,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"41780099999,OPKC"
"Karachi, Pakistan",2022-01-07,20,14,16.4,20,14,16.4,10.6,70.5,4.2,100,50,rain,0,0,,18.4,29.3,1014.3,59.7,5,186.4,16.3,7,,2022-01-07T07:18:16,2022-01-07T17:58:18,0.15,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"41780099999,OPKC"
"Karachi, Pakistan",2022-01-08,21.4,11,16,21.4,11,16,7.1,60.1,0,0,0,,0,0,,18.4,291.2,1015.9,6.9,5.3,198.4,17,7,,2022-01-08T07:18:24,2022-01-08T17:59:01,0.18,Clear,Clear conditions throughout the day.,clear-day,"41780099999,OPKC,remote"
"Karachi, Pakistan",2022-01-09,21,9,14.9,21,7.9,14.8,8.2,66.9,0,0,0,,0,0,,16.6,51.7,1017.5,8.5,5.2,201,17.5,7,,2022-01-09T07:18:32,2022-01-09T17:59:44,0.25,Clear,Clear conditions throughout the day.,clear-day,"41780099999,OPKC"
"Karachi, Pakistan",2022-01-10,21.4,9.8,15.5,21.4,8.7,15.4,8.9,67.9,0,0,0,,0,0,18.4,11.2,14.5,1018.5,7,4.9,203.5,17.6,7,10,2022-01-10T07:18:37,2022-01-10T18:00:28,0.25,Clear,Clear conditions throughout the day.,clear-day,"41780099999,OPKC,remote"
