name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
"Kuala Lumpur, Wilayah Persekutuan, Malaysia",2022-01-01,30,23.8,25.9,35.1,23.8,27.1,23.9,89.1,5.009,100,12.5,rain,0,0,,10.5,347.4,1011.5,41.3,8.8,126.5,10.9,5,,2022-01-01T07:18:25,2022-01-01T19:14:58,0.94,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"48647099999,48650099999,WMSA,WMKK"
"Kuala Lumpur, Wilayah Persekutuan, Malaysia",2022-01-02,28.5,24,25.7,32.2,24,26.4,23.9,90.3,12.032,100,12.5,rain,0,0,,10.5,309.9,1011.4,39.8,9.1,88.7,7.7,3,,2022-01-02T07:18:51,2022-01-02T19:15:27,0.98,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"48647099999,48650099999,WMSA,WMKK"
"Kuala Lumpur, Wilayah Persekutuan, Malaysia",2022-01-03,28.9,23.9,25.6,33.5,23.9,26.6,23.6,89.3,32.29,100,8.33,rain,0,0,,10.3,283.4,1010.3,39.7,9.2,149.3,12.9,5,,2022-01-03T07:19:18,2022-01-03T19:15:56,0,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"48647099999,48650099999,WMSA,WMKK"
"Kuala Lumpur, Wilayah Persekutuan, Malaysia",2022-01-04,32.7,24,26.8,37.8,24,28.5,23.9,85.5,55.695,100,4.17,rain,0,0,,15.3,319.3,1010.9,43.7,8.9,174.2,14.9,6,,2022-01-04T07:19:44,2022-01-04T19:16:25,0.05,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"48647099999,48650099999,WMSA,WMKK"
"Kuala Lumpur, Wilayah Persekutuan, Malaysia",2022-01-05,32.8,24.8,27.4,39.2,24.8,29.7,23.9,82.4,2.23,100,12.5,rain,0,0,,17.5,313.3,1011,38.8,9.4,194.1,16.8,7,,2022-01-05T07:20:10,2022-01-05T19:16:53,0.08,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"48647099999,48650099999,WMSA,WMKK"
"Kuala Lumpur, Wilayah Persekutuan, Malaysia",2022-01-06,33.1,24,28.1,37.4,24,30.7,23.3,76.8,0,0,0,,0,0,,12.3,334,1011.1,38.1,10.2,227.9,19.7,8,,2022-01-06T07:20:35,2022-01-06T19:17:22,0.11,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"48647099999,48650099999,WMSA,WMKK"
"Kuala Lumpur, Wilayah Persekutuan, Malaysia",2022-01-07,33.7,25,27.9,39.2,25,30.5,23.9,80.1,0.177,100,4.17,rain,0,0,,17.3,319.6,1011.4,37.9,9.4,217,18.9,8,,2022-01-07T07:20:59,2022-01-07T19:17:50,0.14,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"48647099999,48650099999,WMSA,WMKK"
"Kuala Lumpur, Wilayah Persekutuan, Malaysia",2022-01-08,34,25,27.9,40,25,30.3,23.5,77.9,0,0,0,,0,0,,14.6,48.3,1010.9,40.5,9.1,230,19.9,8,,2022-01-08T07:21:23,2022-01-08T19:18:17,0.18,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"48647099999,48650099999,WMSA,WMKK"
"Kuala Lumpur, Wilayah Persekutuan, Malaysia",2022-01-09,33.8,25.1,28.3,38.5,25.1,31.4,24.1,79.7,0.177,100,4.17,rain,0,0,,14.1,331.9,1010.1,39.4,9.6,251.1,21.6,9,,2022-01-09T07:21:46,2022-01-09T19:18:44,0.21,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"48647099999,48650099999,WMSA,WMKK"
"Kuala Lumpur, Wilayah Persekutuan, Malaysia",2022-01-10,33.8,25.8,28.5,37.1,25.8,31.7,23.9,77.5,0.53,100,4.17,rain,0,0,3.2,16.9,306.6,1010.8,37.7,9.7,241.7,21,8,10,2022-01-10T07:22:09,2022-01-10T19:19:11,0.25,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"48647099999,48650099999,WMSA,WMKK"
"Kuala Lumpur, Wilayah Persekutuan, Malaysia",2022-01-11,32,24.7,27.8,35.1,24.7,29.3,22.7,75.9,0.177,100,4.17,rain,0,0,7.6,8.9,52.1,1011.8,37.5,9.3,232.1,20.3,9,10,2022-01-11T07:22:31,2022-01-11T19:19:37,0.28,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"48647099999,48650099999,WMSA,WMKK"
"Kuala Lumpur, Wilayah Persekutuan, Malaysia",2022-01-12,34,24,28.4,36.6,24,29.9,21.7,69.7,0,0,0,,0,0,10.1,15.5,87.1,1011.2,37.4,9.4,271.3,23.3,9,10,2022-01-12T07:22:52,2022-01-12T19:20:03,0.31,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"48647099999,48650099999,WMSA,WMKK"
"Kuala Lumpur, Wilayah Persekutuan, Malaysia",2022-01-13,33.9,23.9,28.3,35.8,23.9,29.5,20.9,66.7,0.884,100,4.17,rain,0,0,14.4,10.5,32.9,1011.6,37.4,10,281.4,24.5,9,10,2022-01-13T07:23:13,2022-01-13T19:20:28,0.34,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"48647099999,48650099999,WMSA,WMKK"
"Kuala Lumpur, Wilayah Persekutuan, Malaysia",2022-01-14,33.9,23.1,28.3,35.5,23.1,29.6,20.6,65.8,0.177,100,4.17,rain,0,0,11.5,12.3,53.3,1011.5,37.4,9.7,284,24.6,9,10,2022-01-14T07:23:32,2022-01-14T19:20:53,0.37,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"48647099999,48650099999,WMSA,WMKK"
"Kuala Lumpur, Wilayah Persekutuan, Malaysia",2022-01-15,34,24,28.7,35.8,24,30.5,20.9,64.6,0,0,0,,0,0,11.2,15.5,131.1,1011,37.4,10.1,254,22,9,10,2022-01-15T07:23:52,2022-01-15T19:21:17,0.41,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"48647099999,48650099999,WMSA,WMKK"
"Kuala Lumpur, Wilayah Persekutuan, Malaysia",2022-01-16,34,24,28.6,36.8,24,30.9,22.1,69.3,0,0,0,rain,0,0,10.4,13.9,191.9,1010.9,41.6,9.9,196,17,9,30,2022-01-16T07:24:10,2022-01-16T19:21:40,0.44,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"48647099999,48650099999,WMSA,WMKK"
"Kuala Lumpur, Wilayah Persekutuan, Malaysia",2022-01-17,33.8,24.9,28.5,39,24.9,31,22.8,72.7,0,0,0,rain,0,0,8.6,16.9,348.8,1010.6,38.6,9.9,192,16.7,8,30,2022-01-17T07:24:28,2022-01-17T19:22:03,0.47,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"48647099999,48650099999,WMSA,WMKK"
"Kuala Lumpur, Wilayah Persekutuan, Malaysia",2022-01-18,31,24.1,27.3,35.6,24.1,29.6,23.3,79.5,10.609,100,4.17,rain,0,0,11.9,13,298.9,1010.9,39.7,9.8,171.3,15,7,10,2022-01-18T07:24:44,2022-01-18T19:22:25,0.5,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"48647099999,48650099999,WMSA,WMKK"
"Kuala Lumpur, Wilayah Persekutuan, Malaysia",2022-01-19,32.8,24,27.6,37,24,28.7,22.3,75.2,3.362,100,4.17,rain,0,0,9.7,15.7,47.8,1010,40.8,10,171.4,14.9,7,10,2022-01-19T07:25:00,2022-01-19T19:22:47,0.54,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"48647099999,48650099999,WMSA,WMKK"
"Kuala Lumpur, Wilayah Persekutuan, Malaysia",2022-01-20,33,23.9,27.9,37.3,23.9,29.9,22.5,74.4,3.536,100,4.17,rain,0,0,5.8,10.7,241.4,1009.7,39.9,10,225.1,19.5,8,30,2022-01-20T07:25:16,2022-01-20T19:23:08,0.58,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"48647099999,48650099999,WMSA,WMKK"
"Kuala Lumpur, Wilayah Persekutuan, Malaysia",2022-01-21,33.8,23.9,28.3,38.1,23.9,30.6,22.7,73.1,0.023,100,4.17,rain,0,0,9.4,13.9,318.2,1009.6,37.9,10,201.4,17.5,9,10,2022-01-21T07:25:30,2022-01-21T19:23:29,0.61,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"48647099999,48650099999,WMSA,WMKK"
"Kuala Lumpur, Wilayah Persekutuan, Malaysia",2022-01-22,31,23.9,27.1,36.1,23.9,29.5,23.5,81.2,2.116,100,4.17,rain,0,0,6.5,14.3,229,1009.7,39.4,9.6,180.7,15.8,7,30,2022-01-22T07:25:44,2022-01-22T19:23:48,0.65,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"48647099999,48650099999,WMSA,WMKK"
"Kuala Lumpur, Wilayah Persekutuan, Malaysia",2022-01-23,32.9,25.7,27.8,39.1,25.7,29.6,23.8,79.9,15.029,100,4.17,rain,0,0,6.8,19.2,255.1,1009.2,38.6,9.3,269.8,23.4,8,30,2022-01-23T07:25:56,2022-01-23T19:24:07,0.68,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"48647099999,48650099999,WMSA,WMKK"
"Kuala Lumpur, Wilayah Persekutuan, Malaysia",2022-01-24,32.1,25,27.1,37.8,25,28.8,23.6,81.9,0,0,0,rain,0,0,6.8,19.2,299.7,1009.1,39.2,9.4,224.1,19.3,9,30,2022-01-24T07:26:08,2022-01-24T19:24:26,0.72,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"48647099999,48650099999,WMSA,WMKK"
"Kuala Lumpur, Wilayah Persekutuan, Malaysia",2022-01-25,31.9,24.2,26.9,37.6,24.2,28.4,23.6,83.4,14.826,100,4.17,rain,0,0,33.5,15.7,322,1009.2,39.3,9.7,191.8,16.7,9,30,2022-01-25T07:26:19,2022-01-25T19:24:43,0.75,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"48647099999,48650099999,WMSA,WMKK"
"Kuala Lumpur, Wilayah Persekutuan, Malaysia",2022-01-26,33,24.9,27.8,40.6,24.9,30.2,23.6,79.4,0,0,0,rain,0,0,15.8,14.1,311.3,1009.8,37.8,9.4,222.3,19.4,8,30,2022-01-26T07:26:29,2022-01-26T19:25:00,0.79,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"48647099999,48650099999,WMSA,WMKK"
"Kuala Lumpur, Wilayah Persekutuan, Malaysia",2022-01-27,33.9,24,27.5,39.5,24,29,23.2,79.2,14.145,100,4.17,rain,0,0,37.1,15.7,37.7,1009.3,38.1,9.4,259,22.6,9,10,2022-01-27T07:26:39,2022-01-27T19:25:16,0.82,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"48647099999,48650099999,WMSA,WMKK"
"Kuala Lumpur, Wilayah Persekutuan, Malaysia",2022-01-28,34.8,23.9,27.2,40.3,23.9,28.9,23.2,80.3,7.956,100,4.17,rain,0,0,7.6,14.3,357.9,1010.1,37.6,9.4,213.2,18.5,7,30,2022-01-28T07:26:47,2022-01-28T19:25:32,0.86,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"48647099999,48650099999,WMSA,WMKK"
"Kuala Lumpur, Wilayah Persekutuan, Malaysia",2022-01-29,34.8,24.1,28.4,40.4,24.1,31.1,23.2,75.1,0,0,0,rain,0,0,10.1,16.1,306.8,1009.9,37.6,9.4,243,21,9,60,2022-01-29T07:26:55,2022-01-29T19:25:46,0.89,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"48647099999,48650099999,WMSA,WMKK"
