name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
"Kugluktuk, NU, Canada",2022-01-01,-35.8,-37,-36.6,-46.8,-53.5,-51.9,-40.4,68.2,0,0,0,,0,7.2,,25.6,228.9,1021.3,6.4,19,,,,,2022-01-01T12:26:53,2022-01-01T13:01:40,0.97,Clear,Clear conditions throughout the day.,clear-day,"71938099999,CNCO,71332099999,CYCO"
"Kugluktuk, NU, Canada",2022-01-02,-25.5,-36.2,-29.5,-35.3,-51.4,-42.8,-33,71.9,0.156,100,4.17,snow,0.2,7.2,33.5,30.6,262.3,1031.8,72.1,10.1,,,,,2022-01-02T12:16:49,2022-01-02T13:12:42,0,"Snow, Partially cloudy",Partly cloudy throughout the day with late afternoon snow.,snow,"71938099999,CNCO,71332099999,CYCO"
"Kugluktuk, NU, Canada",2022-01-03,-25.2,-30.5,-27.7,-33.8,-42.5,-39.1,-31.1,72.8,0.156,100,4.17,snow,0.7,7.7,31.8,25.9,270.9,1039.5,66.8,14.9,,,,,2022-01-03T12:09:11,2022-01-03T13:21:17,0.03,"Snow, Partially cloudy",Partly cloudy throughout the day with morning snow.,snow,"71938099999,CNCO,71332099999,CYCO"
"Kugluktuk, NU, Canada",2022-01-04,-24.5,-28.9,-27,-36.8,-43.7,-40.8,-30.5,72,0.156,100,4.17,snow,0.4,8.5,38.9,35.8,269.6,1037.5,97.6,6.9,,,,,2022-01-04T12:02:35,2022-01-04T13:28:48,0.07,"Snow, Overcast",Cloudy skies throughout the day with early morning snow.,snow,"71938099999,CNCO,71332099999,CYCO"
"Kugluktuk, NU, Canada",2022-01-05,-19.8,-27.2,-23.5,-34.4,-44.1,-38.6,-26.6,75.7,0.468,100,12.5,snow,0.2,8.6,67.3,54.8,247.8,1021.9,89.2,2.9,,,,,2022-01-05T11:56:36,2022-01-05T13:35:43,0.1,"Snow, Partially cloudy",Partly cloudy throughout the day with snow.,snow,"71938099999,CNCO,71332099999,CYCO"
"Kugluktuk, NU, Canada",2022-01-06,-16.5,-22.9,-20.2,-28.3,-38.1,-33.8,-23.5,75.3,0,0,0,,0.1,5.4,57.2,61.2,283.7,1000.8,93.3,4.9,,,,,2022-01-06T11:50:59,2022-01-06T13:42:14,0.13,Overcast,Cloudy skies throughout the day.,snow,"71938099999,CNCO,71332099999,CYCO"
"Kugluktuk, NU, Canada",2022-01-07,-22.9,-25.9,-24.1,-35.9,-40.6,-37.6,-27.9,70.9,0,0,0,,0,3.2,,35.3,283.7,1001.9,,5.9,,,,,2022-01-07T11:45:39,2022-01-07T13:48:28,0.16,Clear,Partly cloudy throughout the day.,clear-day,71938099999
"Kugluktuk, NU, Canada",2022-01-08,-23.9,-30,-27,-36.8,-47,-41.3,-30.8,69.9,0.156,100,4.17,snow,5.3,6.5,44.3,37.6,283.5,1012.2,72.6,12.2,,,,,2022-01-08T11:40:30,2022-01-08T13:54:28,0.2,"Snow, Partially cloudy",Partly cloudy throughout the day with early morning snow.,snow,"71938099999,CNCO,71332099999,CYCO"
"Kugluktuk, NU, Canada",2022-01-09,-25.9,-31.9,-28.4,-37.6,-48.6,-43.6,-32.3,69.4,0,0,0,,0,8.1,46.1,39.6,259.5,1021.8,74.4,13,,,,,2022-01-09T11:35:31,2022-01-09T14:00:19,0.25,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"71938099999,CNCO,71332099999,CYCO"
"Kugluktuk, NU, Canada",2022-01-10,-28.7,-32.8,-30.5,-41.4,-48.4,-45.1,-34.5,68.1,0,0,0,snow,0.1,7.8,42.5,34.5,250.4,1016,45.4,21.8,0.3,0,0,10,2022-01-10T11:30:39,2022-01-10T14:06:01,0.26,Partially cloudy,Partly cloudy throughout the day.,snow,"71938099999,CNCO,71332099999,CYCO"
"Kugluktuk, NU, Canada",2022-01-11,-29,-33,-31.2,-32.2,-47.8,-44.8,-35.3,66.9,0,0,0,,0,7.5,38.9,33,251.7,1013.4,10.8,24,0.3,0,0,10,2022-01-11T11:25:54,2022-01-11T14:11:36,0.3,Clear,Clear conditions throughout the day.,clear-day,"71938099999,CNCO,71332099999,CYCO"
"Kugluktuk, NU, Canada",2022-01-12,-19.1,-30.2,-24.3,-27,-40.2,-32.3,-28.1,70.9,0.156,100,4.17,snow,0.2,7.6,38.9,30.4,240.9,1011.4,88.2,18.3,0.4,0,0,10,2022-01-12T11:21:12,2022-01-12T14:17:04,0.33,"Snow, Partially cloudy",Partly cloudy throughout the day with late afternoon snow.,snow,"71938099999,CNCO,71332099999,CYCO"
"Kugluktuk, NU, Canada",2022-01-13,-21.9,-26.7,-23.9,-23,-37.9,-32,-27.8,70.7,0.156,100,4.17,snow,0.1,7.8,38.2,28.8,267.3,1020.1,85.2,18.9,0.5,0,0,10,2022-01-13T11:16:35,2022-01-13T14:22:28,0.36,"Snow, Partially cloudy",Partly cloudy throughout the day with afternoon snow.,snow,"71938099999,CNCO,71332099999,CYCO"
"Kugluktuk, NU, Canada",2022-01-14,-25.1,-35.3,-29.1,-31.1,-50,-39.9,-32.5,72.5,0.156,100,4.17,snow,0,7.8,18,22.3,72.8,1019.2,54.7,20.5,0.7,0,0,10,2022-01-14T11:12:02,2022-01-14T14:27:47,0.39,"Snow, Partially cloudy",Partly cloudy throughout the day with afternoon snow.,snow,"71938099999,CNCO,71332099999,CYCO"
"Kugluktuk, NU, Canada",2022-01-15,-34.9,-36,-35.2,-46.4,-51.6,-49.8,-39,68.5,0,0,0,,0,7.8,20.5,26.4,231.4,1022.9,14.1,23,0.9,0,0,10,2022-01-15T11:07:31,2022-01-15T14:33:02,0.43,Clear,Clear conditions throughout the day.,clear-day,"71938099999,CNCO,71332099999,CYCO"
