name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
"Libreville, Gabon",2022-01-01,30,25.1,26.9,35.1,25.1,28.7,24.3,85.8,0.3,100,4.17,rain,0,0,,17.3,208.5,1011.3,60.6,10,155,13.3,6,,2022-01-01T06:22:50,2022-01-01T18:28:45,0.95,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"FOOL,remote,64500099999"
"Libreville, Gabon",2022-01-02,31,25.2,27.3,37.7,25.2,30,24.6,85.7,0.1,100,4.17,rain,0,0,,18.4,224,1009.3,72.3,10.3,199.8,17.2,7,,2022-01-02T06:23:18,2022-01-02T18:29:13,0,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"FOOL,remote,64500099999"
"Libreville, Gabon",2022-01-03,28,23,25.9,31.9,23,27,23.9,89,7,100,8.33,rain,0,0,,18.4,246.8,1010.1,75.2,9.5,94.2,8.1,3,,2022-01-03T06:23:46,2022-01-03T18:29:40,0.02,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"FOOL,remote,64500099999"
"Libreville, Gabon",2022-01-04,30,24.5,26.5,36.2,24.5,28.2,23.9,86.2,0.3,100,12.5,rain,0,0,,14.8,218.9,1010.5,71.3,9.3,81.9,7,3,,2022-01-04T06:24:13,2022-01-04T18:30:08,0.06,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"FOOL,remote,64500099999"
"Libreville, Gabon",2022-01-05,30,24.6,26.9,35.1,24.6,28.8,23.8,83.6,0,0,0,,0,0,,12.7,214.5,1010.3,60.7,10,221.5,19.1,8,,2022-01-05T06:24:40,2022-01-05T18:30:35,0.09,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"FOOL,remote,64500099999"
"Libreville, Gabon",2022-01-06,31,25.6,27.6,36.5,25.6,30.2,24.4,82.9,0,0,0,,0,0,,14.8,230.6,1009.6,59.1,10.9,225.9,19.5,8,,2022-01-06T06:25:06,2022-01-06T18:31:01,0.12,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"FOOL,remote,64500099999"
"Libreville, Gabon",2022-01-07,30.6,25.6,27.3,37.2,25.6,29.8,24.7,86.1,0,0,0,,0,0,,18.4,223.1,1011.4,74.1,10.7,138.8,12,5,,2022-01-07T06:25:32,2022-01-07T18:31:27,0.15,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"FOOL,remote,64500099999"
"Libreville, Gabon",2022-01-08,31,25.6,27.5,37.7,25.6,29.8,24.6,84.9,0,0,0,,0,0,,16.6,233.5,1010,45.2,10,168,14.3,6,,2022-01-08T06:25:58,2022-01-08T18:31:53,0.19,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"FOOL,remote,64500099999"
"Libreville, Gabon",2022-01-09,31,25.7,27.3,39.1,25.7,29.9,25,87.8,0,0,0,,0,0,,18.4,216.9,1010.1,75.5,9.9,84.7,7.2,3,,2022-01-09T06:26:23,2022-01-09T18:32:18,0.25,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"FOOL,remote,64500099999"
"Libreville, Gabon",2022-01-10,30,25.8,27.5,36.2,25.8,30.1,24.5,84.2,1.3,100,12.5,rain,0,0,16.9,18.4,215.7,1008.4,76.6,14.5,184,15.8,8,30,2022-01-10T06:26:47,2022-01-10T18:32:42,0.25,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"FOOL,remote,64500099999"
"Libreville, Gabon",2022-01-11,29.8,24,26.5,33.8,24,28.1,23.5,84,17,100,8.33,rain,0,0,18.4,18.4,218.3,1009,77.3,18.1,230.3,19.9,9,30,2022-01-11T06:27:11,2022-01-11T18:33:06,0.29,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,"FOOL,remote,64500099999"
"Libreville, Gabon",2022-01-12,30,23.1,26.5,35.1,23.1,28.1,23.3,83.1,0.7,100,25,rain,0,0,21.6,13,214.3,1010.8,69.9,17.6,244,21,9,60,2022-01-12T06:27:34,2022-01-12T18:33:30,0.32,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"FOOL,remote,64500099999"
"Libreville, Gabon",2022-01-13,30,25.1,27,35.1,25.1,28.6,23.5,81.7,1.5,100,29.17,rain,0,0,20.5,14.8,213.2,1012,76.8,18.6,201.2,17.2,7,30,2022-01-13T06:27:57,2022-01-13T18:33:53,0.35,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"FOOL,remote,64500099999"
"Libreville, Gabon",2022-01-14,30,24.9,27.3,36.4,24.9,29.7,24,82.7,3.9,100,29.17,rain,0,0,17.6,18.4,226.4,1011.9,47.7,17.6,201.4,17.4,6,60,2022-01-14T06:28:19,2022-01-14T18:34:15,0.38,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"FOOL,remote,64500099999"
"Libreville, Gabon",2022-01-15,31,25.3,26.9,37.7,25.3,28.5,23.6,83,3.8,100,62.5,rain,0,0,16.2,14.8,224.9,1011.4,89.9,20.7,217.1,18.9,8,60,2022-01-15T06:28:40,2022-01-15T18:34:36,0.42,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"FOOL,remote,64500099999"
"Libreville, Gabon",2022-01-16,30,24.9,26.4,35.1,24.9,27.6,23,81.7,1.9,100,37.5,rain,0,0,17.6,29.5,234.4,1012.3,73,19.3,223.2,19.4,7,30,2022-01-16T06:29:01,2022-01-16T18:34:57,0.45,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"FOOL,remote,64500099999"
"Libreville, Gabon",2022-01-17,29.4,23.7,26.5,34.2,23.7,28.1,23,81.6,1.1,100,29.17,rain,0,0,14.4,18.4,186.8,1013.7,74.3,19,264.4,22.9,8,30,2022-01-17T06:29:21,2022-01-17T18:35:17,0.48,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"FOOL,remote,64500099999"
