name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
"Lilongwe, Malawi",2022-01-01,26,18,20.8,26,18,20.8,18.4,87.7,17.8,100,100,rain,,,,18.4,96.5,1018.6,85,11.2,168.2,14.7,6,,2022-01-01T05:20:25,2022-01-01T18:16:27,0.95,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"67586099999,remote,FWKI,67689099999"
"Lilongwe, Malawi",2022-01-02,26,17.7,21,26,17.7,21,18.8,88.3,16,100,83.33,rain,,,,18.4,90.1,1016.9,83.4,10.4,244.3,21,8,,2022-01-02T05:21:00,2022-01-02T18:16:49,0,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"67586099999,remote,FWKI"
"Lilongwe, Malawi",2022-01-03,28,18.6,21.6,28.8,18.6,21.7,18.2,82.4,24,100,79.17,rain,,,,22.3,90.4,1015.4,86.2,10.5,155.4,13.4,5,,2022-01-03T05:21:34,2022-01-03T18:17:09,0.02,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"67586099999,remote,FWKI"
"Lilongwe, Malawi",2022-01-04,27,18.1,21.5,28.4,18.1,21.6,18.5,84.5,2.6,100,54.17,rain,,,,29.5,60.5,1022.9,85,12.4,121.2,10.4,4,,2022-01-04T05:22:09,2022-01-04T18:17:29,0.05,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"67586099999,67585099999,remote,FWKI,67689099999"
"Lilongwe, Malawi",2022-01-05,27,17.6,21.3,28.1,17.6,21.3,18.6,86,5.3,100,79.17,rain,,,,20.5,56.6,1018.2,86.9,12.4,165.9,14.2,5,,2022-01-05T05:22:43,2022-01-05T18:17:48,0.09,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"67586099999,67585099999,remote,FWKI"
"Lilongwe, Malawi",2022-01-06,24,18.6,20.6,24,18.6,20.6,19.4,90.9,62.5,100,100,rain,,,,22.3,79.6,1017.7,86.4,11.7,90.6,7.8,3,,2022-01-06T05:23:18,2022-01-06T18:18:06,0.12,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"67586099999,67585099999,remote,FWKI,67689099999"
"Lilongwe, Malawi",2022-01-07,25,18.3,20.9,25,18.3,20.9,18.8,88.7,11.7,100,91.67,rain,,,,18.4,92.6,1017.8,84.1,12,158.1,13.8,6,,2022-01-07T05:23:53,2022-01-07T18:18:23,0.15,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"67586099999,67585099999,remote,FWKI,67689099999"
"Lilongwe, Malawi",2022-01-08,25,18.7,20.6,25,18.7,20.6,19.3,92.8,62.6,100,100,rain,,,,22.3,127.8,1018,93.1,9.3,201.8,17.4,9,,2022-01-08T05:24:28,2022-01-08T18:18:38,0.19,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"67586099999,remote,FWKI"
"Lilongwe, Malawi",2022-01-09,23,17.3,20,23,17.3,20,18.7,92.5,181.9,100,100,rain,,,,16.6,202.3,1017.5,92,11.3,143.8,12.5,4,,2022-01-09T05:25:03,2022-01-09T18:18:53,0.25,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"67586099999,remote,FWKI"
"Lilongwe, Malawi",2022-01-10,28,17.8,21.8,28,17.8,21.8,17.8,80.2,102.8,100,91.67,rain,0,0,10.8,16.6,168.2,1015.6,74.6,11.3,328.3,28.5,8,60,2022-01-10T05:25:38,2022-01-10T18:19:07,0.25,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"67586099999,remote,FWKI,67689099999"
