name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
"Mbuji-Mayi, KasaÃ¯ Oriental, RÃ©publique DÃ©m. du Congo",2022-01-01,27.2,20.4,23.3,28.9,20.4,23.6,20.5,85.5,7.1,100,33.33,rain,0,0,,8.3,346.7,1024,88.5,8,170.2,14.6,5,,2022-01-01T06:14:59,2022-01-01T18:43:06,0.95,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"64155699999,remote,FZWA"
"Mbuji-Mayi, KasaÃ¯ Oriental, RÃ©publique DÃ©m. du Congo",2022-01-02,28.3,19.8,24,30.6,19.8,24.7,20.8,83.8,0.6,100,25,rain,,,,9,346.3,,57.3,,246.9,21.4,7,,2022-01-02T06:15:30,2022-01-02T18:43:31,0,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,remote
"Mbuji-Mayi, KasaÃ¯ Oriental, RÃ©publique DÃ©m. du Congo",2022-01-03,29,20.3,24.5,31.5,20.3,25.3,21.1,82.4,2.4,100,70.83,rain,,,,7.6,312.3,,66.9,,257.8,22.4,8,,2022-01-03T06:16:01,2022-01-03T18:43:55,0.02,"Rain, Partially cloudy",Clearing in the afternoon with rain.,rain,remote
"Mbuji-Mayi, KasaÃ¯ Oriental, RÃ©publique DÃ©m. du Congo",2022-01-04,27.9,20.1,23.6,30.2,20.1,24.1,21.2,87,12.5,100,100,rain,,,,14.4,295.8,,93.6,,206.2,17.7,7,,2022-01-04T06:16:31,2022-01-04T18:44:19,0.05,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,remote
"Mbuji-Mayi, KasaÃ¯ Oriental, RÃ©publique DÃ©m. du Congo",2022-01-05,24.8,20.3,22.5,24.8,20.3,22.5,20.2,86.8,13.1,100,75,rain,,,,11.2,285.1,,90.6,,119.6,10.2,4,,2022-01-05T06:17:02,2022-01-05T18:44:43,0.09,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,remote
"Mbuji-Mayi, KasaÃ¯ Oriental, RÃ©publique DÃ©m. du Congo",2022-01-06,28.3,19.6,24.4,30.1,19.6,25,19.9,77.1,0,0,0,,,,,6.1,356.5,,87.2,,242,20.7,8,,2022-01-06T06:17:32,2022-01-06T18:45:05,0.12,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,remote
"Mbuji-Mayi, KasaÃ¯ Oriental, RÃ©publique DÃ©m. du Congo",2022-01-07,29.7,19.7,25,32.4,19.7,25.9,21,79.8,1.1,100,45.83,rain,,,,7.9,298.4,,65.5,,258.5,22.2,9,,2022-01-07T06:18:02,2022-01-07T18:45:27,0.15,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,remote
"Mbuji-Mayi, KasaÃ¯ Oriental, RÃ©publique DÃ©m. du Congo",2022-01-08,26.5,21.7,23.7,26.5,21.7,23.7,21.8,89.7,2.9,100,100,rain,,,,13,329,,84.2,,101.1,8.7,4,,2022-01-08T06:18:32,2022-01-08T18:45:49,0.19,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,remote
"Mbuji-Mayi, KasaÃ¯ Oriental, RÃ©publique DÃ©m. du Congo",2022-01-09,27.3,21.2,24.2,29.8,21.2,24.7,21.9,87.7,14.2,100,58.33,rain,,,,11.2,272.6,,78.8,,124.2,10.9,4,,2022-01-09T06:19:01,2022-01-09T18:46:09,0.25,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,remote
"Mbuji-Mayi, KasaÃ¯ Oriental, RÃ©publique DÃ©m. du Congo",2022-01-10,30.6,21.4,24.9,33.5,21.4,25.8,21.7,83.6,3.7,100,54.17,rain,0,0,11.2,11.2,252.2,1006.7,87.7,21.8,265.5,22.9,8,75,2022-01-10T06:19:30,2022-01-10T18:46:29,0.25,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,remote
"Mbuji-Mayi, KasaÃ¯ Oriental, RÃ©publique DÃ©m. du Congo",2022-01-11,32.1,21,25.2,35.4,21,26.3,21.3,81.1,6.8,100,62.5,rain,0,0,13.3,9,183.9,1008,93.8,23.4,297,26,9,75,2022-01-11T06:19:59,2022-01-11T18:46:48,0.28,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,remote
"Mbuji-Mayi, KasaÃ¯ Oriental, RÃ©publique DÃ©m. du Congo",2022-01-12,26.6,20.9,23,26.6,20.9,23,21.1,89.5,9,100,66.67,rain,0,0,22.3,10.4,286.9,1009.8,100,21.7,118.9,10.5,4,60,2022-01-12T06:20:27,2022-01-12T18:47:06,0.32,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,remote
"Mbuji-Mayi, KasaÃ¯ Oriental, RÃ©publique DÃ©m. du Congo",2022-01-13,27.5,20.2,22.7,29.2,20.2,22.8,20.4,87.8,5.7,100,37.5,rain,0,0,18.4,10.4,246,1012,100,20.8,179.9,15.5,5,30,2022-01-13T06:20:55,2022-01-13T18:47:24,0.35,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,remote
"Mbuji-Mayi, KasaÃ¯ Oriental, RÃ©publique DÃ©m. du Congo",2022-01-14,29.4,19.9,23.4,31.2,19.9,23.9,19.7,81.2,1,100,16.67,rain,0,0,7.6,3.6,13.9,1012.3,79.2,24.1,220.2,19.4,9,60,2022-01-14T06:21:22,2022-01-14T18:47:40,0.38,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,remote
"Mbuji-Mayi, KasaÃ¯ Oriental, RÃ©publique DÃ©m. du Congo",2022-01-15,30.8,19.1,23.7,32.6,19.1,24.3,19.9,81.2,7.7,100,58.33,rain,0,0,35.3,10.8,295.1,1011.1,75.4,22,286.6,24.8,8,60,2022-01-15T06:21:50,2022-01-15T18:47:56,0.42,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,remote
"Mbuji-Mayi, KasaÃ¯ Oriental, RÃ©publique DÃ©m. du Congo",2022-01-16,27.4,19.7,22.8,29,19.7,23.1,20.1,85.9,5.3,100,41.67,rain,0,0,17.6,9.7,29.2,1012,78.5,21.2,216.9,18.9,7,30,2022-01-16T06:22:16,2022-01-16T18:48:11,0.45,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,remote
"Mbuji-Mayi, KasaÃ¯ Oriental, RÃ©publique DÃ©m. du Congo",2022-01-17,27.8,19,21.7,29.7,19,21.8,20,90.4,6.9,100,41.67,rain,0,0,14.4,7.6,307.4,1013.3,96.7,21.8,166.2,14.4,6,30,2022-01-17T06:22:42,2022-01-17T18:48:25,0.48,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,remote
