name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
"N'Djamena, Tchad",2022-01-01,33.6,16.4,24.1,31.1,16.4,23.5,-2.8,17.5,0,0,0,,0,0,,25.9,7.9,1013.2,21.9,8.9,259,22.3,9,,2022-01-01T06:20:34,2022-01-01T17:46:13,0.95,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"64700099999,FTTJ,remote"
"N'Djamena, Tchad",2022-01-02,29,15,22.6,27.4,15,22.3,1.4,25.5,0,0,0,,0,0,,31.7,19.4,1014,20.8,3.7,253.1,21.9,9,,2022-01-02T06:20:57,2022-01-02T17:46:47,0,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"64700099999,FTTJ,remote"
"N'Djamena, Tchad",2022-01-03,28,16,21.9,26.8,16,21.7,3.7,31.6,0,0,0,,0,0,,31.7,18,1014.4,27.2,4.8,224.7,19.4,9,,2022-01-03T06:21:19,2022-01-03T17:47:20,0.02,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"64700099999,FTTJ,remote"
"N'Djamena, Tchad",2022-01-04,29,15,22.2,27.4,15,21.8,2.5,29.4,0,0,0,,0,0,,29.5,13.2,1014.3,27.6,6.3,186.3,16.2,7,,2022-01-04T06:21:40,2022-01-04T17:47:53,0.06,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"64700099999,FTTJ,remote"
"N'Djamena, Tchad",2022-01-05,31.4,14.5,23.4,29.3,14.5,22.9,3,27.8,0,0,0,,0,0,,20.5,10.6,1013.3,33.5,7.8,239.2,20.6,9,,2022-01-05T06:22:01,2022-01-05T17:48:27,0.09,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"64700099999,FTTJ,remote"
"N'Djamena, Tchad",2022-01-06,34,18,25,31.6,18,24.3,2.1,23.6,0,0,0,,0,0,,25.9,27.4,1011.3,30.8,8.2,247.1,21.3,9,,2022-01-06T06:22:20,2022-01-06T17:49:01,0.12,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"64700099999,FTTJ,remote"
"N'Djamena, Tchad",2022-01-07,35,17,25.8,32.4,17,24.8,1.6,22.3,0,0,0,,0,0,,24.1,13.4,1010.6,28.8,8.4,252.7,21.8,9,,2022-01-07T06:22:39,2022-01-07T17:49:34,0.15,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"64700099999,FTTJ"
"N'Djamena, Tchad",2022-01-08,36,18.7,27.3,33.2,18.7,26.3,2.2,22.4,0,0,0,,0,0,,24.1,6.8,1010.3,31.3,8.2,253,21.9,9,,2022-01-08T06:22:57,2022-01-08T17:50:07,0.19,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"64700099999,FTTJ,remote"
"N'Djamena, Tchad",2022-01-09,36.3,20.4,26.1,33.9,20.4,25.3,-0.3,19.1,0,0,0,,0,0,,26.3,4.9,1011.7,32,7.8,246.5,21.4,9,,2022-01-09T06:23:14,2022-01-09T17:50:41,0.25,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"64700099999,FTTJ,remote"
"N'Djamena, Tchad",2022-01-10,32.6,16,23,30.2,16,22.5,-1.5,20.6,0,0,0,,0,0,29.9,20.5,340.2,1010.9,38.8,7.9,310,26.8,8,10,2022-01-10T06:23:30,2022-01-10T17:51:14,0.25,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"64700099999,FTTJ,remote"
"N'Djamena, Tchad",2022-01-11,30.1,15.7,22.9,28.3,15.7,22.5,-2.6,20.9,0,0,0,,0,0,28.1,18.4,349.3,1011.3,35.9,10.4,242,21.1,8,10,2022-01-11T06:23:45,2022-01-11T17:51:47,0.29,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"64700099999,FTTJ,remote"
"N'Djamena, Tchad",2022-01-12,33.1,14.7,24.1,30.7,14.7,23.4,-1.9,20.7,0,0,0,,0,0,32,18.4,342,1011.7,35.6,10.7,243.3,21.2,8,10,2022-01-12T06:23:59,2022-01-12T17:52:20,0.32,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"64700099999,FTTJ,remote"
"N'Djamena, Tchad",2022-01-13,34,16.4,25,31.5,16.4,24.2,-4,17.1,0,0,0,,0,0,30.6,18.4,333.4,1012.3,36.9,11.1,233.5,20.4,8,10,2022-01-13T06:24:12,2022-01-13T17:52:52,0.35,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"64700099999,FTTJ,remote"
"N'Djamena, Tchad",2022-01-14,34,15.3,24.9,31.5,15.3,24.1,-3,18.1,0,0,0,,0,0,31.7,18.4,325.7,1012.4,26.7,8.7,247.8,21.6,8,10,2022-01-14T06:24:24,2022-01-14T17:53:25,0.38,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"64700099999,FTTJ,remote"
"N'Djamena, Tchad",2022-01-15,31.2,17.4,24.1,29.2,17.4,23.5,-2.6,18.1,0,0,0,,0,0,30.6,20.5,352.5,1012.1,23.3,5.8,216.2,18.7,8,10,2022-01-15T06:24:35,2022-01-15T17:53:57,0.42,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"64700099999,FTTJ"
"N'Djamena, Tchad",2022-01-16,31,16,23.1,28.9,16,22.5,-2.1,19.8,0,0,0,,0,0,35.3,22.3,354.4,1013.2,21.7,9.2,248,21.6,8,10,2022-01-16T06:24:45,2022-01-16T17:54:29,0.45,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"64700099999,FTTJ,remote"
"N'Djamena, Tchad",2022-01-17,29,15,22.4,27.4,15,22,-1.3,21.3,0,0,0,,0,0,36.7,24.1,0.4,1015.8,25.8,6.3,240.9,21,8,10,2022-01-17T06:24:54,2022-01-17T17:55:00,0.48,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"64700099999,FTTJ,remote"
"N'Djamena, Tchad",2022-01-18,28.4,14.5,21.5,26.9,14.5,21.3,-3.1,19.9,0,0,0,,0,0,45.7,27.7,15.1,1017.7,20.7,7.6,255.5,22.2,8,10,2022-01-18T06:25:02,2022-01-18T17:55:31,0.5,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"64700099999,FTTJ,remote"
"N'Djamena, Tchad",2022-01-19,28,12.9,20.7,26.6,12.9,20.4,-4.9,18.5,0,0,0,,0,0,47.5,30.6,12.9,1017.8,20.3,11.7,257.4,22.2,9,10,2022-01-19T06:25:09,2022-01-19T17:56:02,0.55,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"64700099999,FTTJ,remote"
"N'Djamena, Tchad",2022-01-20,28,13,20.4,26.6,13,20.2,-4.5,19.1,0,0,0,,0,0,49.3,29.5,16.2,1016.5,20.9,7.6,256.1,22.2,8,10,2022-01-20T06:25:14,2022-01-20T17:56:32,0.59,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,"64700099999,FTTJ,remote"
