name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
"Nairobi, Kenya",2022-01-01,26,13.9,20.3,26,13.9,20.3,13.3,67.2,0,0,0,,0,0,,22.3,55.7,1020.6,39.4,10.5,295.9,25.7,10,,2022-01-01T06:30:27,2022-01-01T18:42:03,0.95,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"HKJK,HKNW,63740099999,63742099999"
"Nairobi, Kenya",2022-01-02,25.9,15,20.7,25.9,15,20.7,13.2,65.2,0,0,0,,0,0,,31,68.7,1019.8,51.9,10.3,245.7,21.4,9,,2022-01-02T06:30:55,2022-01-02T18:42:30,0,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"HKJK,HKNW,63740099999,63742099999"
"Nairobi, Kenya",2022-01-03,27.7,16,20.4,26.9,16,20.4,12.6,65.2,0,0,0,,0,0,,27.3,68.9,1019.4,57.7,10.3,292.8,25.5,10,,2022-01-03T06:31:24,2022-01-03T18:42:57,0.02,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"HKJK,remote,HKNW,63740099999,63742099999"
"Nairobi, Kenya",2022-01-04,27.3,14.9,20.8,26.4,14.9,20.7,10.7,58.5,0,0,0,,0,0,,32.4,65.7,1020,59.7,10.2,317.7,27.5,10,,2022-01-04T06:31:52,2022-01-04T18:43:23,0.05,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"HKJK,HKNW,63740099999,63742099999"
"Nairobi, Kenya",2022-01-05,26,16.8,20.9,26,16.8,20.9,13.6,66.1,0,0,0,,0,0,,27.7,65.4,1021,65.2,12.3,305.6,26.5,10,,2022-01-05T06:32:20,2022-01-05T18:43:49,0.09,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"HKJK,HKNW,63740099999,63742099999"
"Nairobi, Kenya",2022-01-06,26,17,20.8,26,17,20.8,14.7,70.8,0,0,0,,0,0,,33.4,71.5,1020.8,79.5,11.4,212.2,18.4,8,,2022-01-06T06:32:47,2022-01-06T18:44:15,0.12,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"HKJK,HKNW,63740099999,63742099999"
"Nairobi, Kenya",2022-01-07,26,17.8,21,26,17.8,21,14.8,70.5,0,0,0,,0,0,,27.3,64,1020.6,76.1,10.3,279.4,24.1,10,,2022-01-07T06:33:14,2022-01-07T18:44:40,0.15,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"HKJK,HKNW,63740099999,63742099999"
"Nairobi, Kenya",2022-01-08,26,17.8,21,26,17.8,21,13.8,66.7,0,0,0,,0,0,,26.9,62.3,1020.4,72.4,10.3,303,26.1,10,,2022-01-08T06:33:41,2022-01-08T18:45:05,0.18,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"HKJK,HKNW,63740099999,63742099999"
"Nairobi, Kenya",2022-01-09,26.1,16,20.4,26.1,16,20.4,13.3,66.5,0,0,0,,0,0,,32.2,61.2,1020.2,60.9,10.2,304.7,26.3,10,,2022-01-09T06:34:07,2022-01-09T18:45:29,0.25,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"HKJK,HKNW,63740099999,63742099999"
"Nairobi, Kenya",2022-01-10,28,16,21,27.2,16,20.8,13.2,66.1,0,0,0,rain,0,0,38.9,32.4,61.3,1019.2,42.9,10.5,369.5,31.9,10,10,2022-01-10T06:34:32,2022-01-10T18:45:52,0.25,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"HKJK,HKNW,63740099999,63742099999"
"Nairobi, Kenya",2022-01-11,26,16.6,20.2,26,16.6,20.2,11.9,63.1,0,0,0,rain,0,0,41.8,44.8,65.7,1018,70.2,10.7,297.7,25.8,9,10,2022-01-11T06:34:58,2022-01-11T18:46:15,0.28,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"HKJK,HKNW,63740099999,63742099999"
"Nairobi, Kenya",2022-01-12,26,14.8,20,26,14.8,20,12.7,65.3,0,0,0,,0,0,46.8,45,60.8,1019.3,43.1,10.9,345.9,29.9,9,10,2022-01-12T06:35:22,2022-01-12T18:46:37,0.32,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"HKJK,remote,HKNW,63740099999,63742099999"
"Nairobi, Kenya",2022-01-13,27.1,14.7,20.9,26.3,14.7,20.8,11.1,57.8,0,0,0,,0,0,53.6,44.5,70.1,1020.6,49,10.4,344.1,29.8,9,10,2022-01-13T06:35:46,2022-01-13T18:46:58,0.35,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"HKJK,HKNW,63740099999,63742099999"
"Nairobi, Kenya",2022-01-14,28.1,13.7,21.3,27,13.7,21,9.5,52,0,0,0,,0,0,38.9,27.1,59,1019.8,53.8,10.3,345.7,30,9,10,2022-01-14T06:36:10,2022-01-14T18:47:19,0.38,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"HKJK,HKNW,63740099999,63742099999"
"Nairobi, Kenya",2022-01-15,27,15.1,19.5,27,15.1,19.5,13.9,72.6,1,100,4.17,rain,0,0,32,25.1,22.8,1019.6,64.6,10.9,207.4,17.8,8,10,2022-01-15T06:36:32,2022-01-15T18:47:39,0.41,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"HKJK,remote,HKNW,63740099999,63742099999"
"Nairobi, Kenya",2022-01-16,27.9,14.3,20.4,27.5,14.3,20.4,14.2,70.6,0.1,100,4.17,rain,0,0,27.4,19,55.6,1017.8,66.4,12.3,214.5,18.6,8,10,2022-01-16T06:36:55,2022-01-16T18:47:58,0.45,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"HKJK,remote,HKNW,63740099999,63742099999"
"Nairobi, Kenya",2022-01-17,24,17,19.5,24,17,19.5,15.3,77.7,19,100,12.5,rain,0,0,32.4,50.8,283.7,1019.4,86,10.9,143.5,13,6,10,2022-01-17T06:37:16,2022-01-17T18:48:17,0.48,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"HKJK,remote,HKNW,63740099999,63742099999"
