name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
"Nanning, China",2022-01-01,13,11.8,12.5,13,11.8,12.5,9.7,83.7,0,0,0,,0,0,25.9,14.4,9.4,1025.9,82,9.8,139.5,12,5,,2022-01-01T07:27:19,2022-01-01T18:13:00,0.94,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"ZGNN,59431099999"
"Nanning, China",2022-01-02,16.3,11,13.2,16.3,11,13.2,10,81.6,0,0,0,,0,0,23,10.8,359.4,1024,38.1,10.2,187.2,15.9,7,,2022-01-02T07:27:37,2022-01-02T18:13:39,0.98,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"ZGNN,59431099999"
"Nanning, China",2022-01-03,21.2,8,14.5,21.2,8,14.5,11.2,82,0,0,0,,0,0,21.2,14.4,154.1,1020.6,26.1,5.5,174.4,15.3,7,,2022-01-03T07:27:54,2022-01-03T18:14:18,0,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"ZGNN,59431099999"
"Nanning, China",2022-01-04,22,11,16.7,22,11,16.7,14.1,85.7,0,0,0,,0,0,33.8,10.8,159.4,1018.2,43,6,181,15.8,7,,2022-01-04T07:28:10,2022-01-04T18:14:58,0.05,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"ZGNN,59431099999"
"Nanning, China",2022-01-05,23,14,18.3,23,14,18.3,16,87.2,0,0,0,,0,0,33.8,17.3,101.4,1016.5,59.4,5.2,156.7,13.5,6,,2022-01-05T07:28:24,2022-01-05T18:15:38,0.08,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"ZGNN,59431099999"
"Nanning, China",2022-01-06,22,14,17.5,22,14,17.5,14.8,84.5,0,0,0,,0,0,29.5,17.5,82.6,1018.3,52.6,4.1,115.1,9.8,5,,2022-01-06T07:28:37,2022-01-06T18:16:18,0.11,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"ZGNN,59431099999"
"Nanning, China",2022-01-07,17,12.1,14.8,17,12.1,14.8,10.2,74,0,0,0,,0,0,29.9,15.6,70.6,1021.6,58.4,8.7,162.6,14.2,6,,2022-01-07T07:28:49,2022-01-07T18:16:59,0.14,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"ZGNN,59431099999"
"Nanning, China",2022-01-08,13,10.8,12.2,13,10.8,12.2,9,80.9,0,0,0,,0,0,35.3,18,26.5,1021.1,75,8.2,69.2,6,3,,2022-01-08T07:29:00,2022-01-08T18:17:40,0.18,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"ZGNN,59431099999"
"Nanning, China",2022-01-09,11,9.6,10.3,11,8,9.8,8.9,90.7,0.6,100,8.33,rain,0,0,35.3,14.4,11.3,1020.1,100,9.9,78.6,6.7,3,,2022-01-09T07:29:09,2022-01-09T18:18:22,0.21,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"ZGNN,59431099999"
"Nanning, China",2022-01-10,12,9.6,10.9,12,8.5,10.7,9.8,93.1,2.2,100,12.5,rain,0,0,26.6,14.4,23.1,1018.7,99.5,7.5,114.1,9.8,4,10,2022-01-10T07:29:16,2022-01-10T18:19:04,0.25,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"ZGNN,59431099999"
