name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
"Napoli, Campania, Italia",2022-01-01,14.9,9,12,14.9,9,12,9.8,86.8,0.177,100,4.17,rain,0,0,,9.2,25.4,1026.2,91.4,2.5,32,2.7,2,,2022-01-01T07:27:32,2022-01-01T16:45:44,0.95,"Rain, Overcast",Cloudy skies throughout the day with morning rain.,rain,"16253099999,F8952,16289034113,LIRN,LIRM,LIQC,16294099999"
"Napoli, Campania, Italia",2022-01-02,12,10,11.2,12,10,11.2,8.2,82.2,0,0,0,,0,0,,10.9,40.7,1027.3,87.2,6,18.3,1.7,1,,2022-01-02T07:27:38,2022-01-02T16:46:35,0,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"16253099999,F8952,16289034113,F3145,LIRN,LIRM,LIQC,16294099999"
"Napoli, Campania, Italia",2022-01-03,14.9,11,12.6,14.9,11,12.6,8.5,76.3,0,0,0,,0,0,,20.2,286.8,1022.7,72.8,10.1,26.4,2.3,1,,2022-01-03T07:27:41,2022-01-03T16:47:28,0.02,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"16253099999,F8952,16289034113,F3145,LIRN,16294099999"
"Napoli, Campania, Italia",2022-01-04,15,11.9,13.5,15,11.9,13.5,9.8,78,0,0,0,,0,0,,16.3,240,1017.2,88.4,10.1,27.9,2.5,1,,2022-01-04T07:27:42,2022-01-04T16:48:22,0.06,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"16253099999,F8952,16289034113,F3145,LIRN,LIRM,16294099999"
"Napoli, Campania, Italia",2022-01-05,16.9,12.1,14.6,16.9,12.1,14.6,10,74.2,0,0,0,,0,0,50,29.6,236.4,1008.4,58.2,10.2,12.2,1,1,,2022-01-05T07:27:41,2022-01-05T16:49:18,0.09,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"16253099999,F8952,16289034113,LIRN,LIRM,LIQC,16294099999"
"Napoli, Campania, Italia",2022-01-06,13.9,9,11.6,13.9,8.5,11.5,6.6,72,0.92,100,16.67,rain,0,0,,20.4,300.5,1008.6,62.4,10.1,36,3.1,2,,2022-01-06T07:27:38,2022-01-06T16:50:15,0.12,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"16253099999,F8952,16289034113,LIRN,LIRM,16294099999"
"Napoli, Campania, Italia",2022-01-07,13.9,8,10.4,13.9,6.7,9.6,3.6,63.4,0,0,0,,0,0,,20.4,70.1,1013.1,60.7,10.2,31.5,2.7,1,,2022-01-07T07:27:32,2022-01-07T16:51:13,0.15,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"16253099999,F8952,16289034113,LIRN,LIRM,16294099999"
"Napoli, Campania, Italia",2022-01-08,12,6,8.8,12,3.6,7.9,2.7,66.2,0,0,0,,0,0,,18,43,1010.6,17.5,10.3,29.9,2.6,3,,2022-01-08T07:27:24,2022-01-08T16:52:13,0.19,Clear,Clear conditions throughout the day.,clear-day,"16253099999,F8952,16289034113,LIRN,LIRM,LIQC,16294099999"
"Napoli, Campania, Italia",2022-01-09,9.9,2.9,6.1,9.9,1,5,3.4,83.1,7.862,100,8.33,rain,0,0,,11.3,15.4,1003.5,61.7,9.3,28.8,2.5,2,,2022-01-09T07:27:14,2022-01-09T16:53:14,0.25,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"16253099999,F8952,16289034113,LIRN,LIRM,16294099999"
"Napoli, Campania, Italia",2022-01-10,10,5,7.6,7.5,2.6,5.1,0.2,61.6,3.711,100,8.33,rain,0,0,44.6,36.7,63.3,999,68.3,10.2,32.6,2.7,2,10,2022-01-10T07:27:01,2022-01-10T16:54:16,0.25,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,"16253099999,F8952,16289034113,F3145,LIRN,LIRM,16294099999"
