name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
"Niamey, Niger",2022-01-01,32,18,25,29.8,18,24.3,-3.7,15.6,0,0,0,,0,0,,27.7,58,1014,20.8,9.9,253.2,21.8,9,,2022-01-01T07:14:48,2022-01-01T18:35:29,0.95,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"61052099999,DRRN"
"Niamey, Niger",2022-01-02,29,19,24.1,27.4,19,23.7,-0.8,19.8,0,0,0,,0,0,,29.5,55.1,1014,26,8,139.2,12.1,4,,2022-01-02T07:15:11,2022-01-02T18:36:03,0,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"61052099999,DRRN"
"Niamey, Niger",2022-01-03,30,17.3,24.4,28.1,17.3,23.9,0.3,21,0,0,0,,0,0,,38.9,68.6,1014.3,15.6,5.3,135,11.6,5,,2022-01-03T07:15:32,2022-01-03T18:36:37,0.02,Clear,Clear conditions throughout the day.,clear-day,"61052099999,DRRN,remote"
"Niamey, Niger",2022-01-04,29.8,19,24.3,28,19,23.9,1.6,23.5,0,0,0,,0,0,,31.7,68.1,1014,14.6,4.1,181.6,15.6,8,,2022-01-04T07:15:52,2022-01-04T18:37:11,0.06,Clear,Clear conditions throughout the day.,clear-day,"61052099999,DRRN"
"Niamey, Niger",2022-01-05,30.8,19.1,24.7,29,19.1,24.1,1.8,23.4,0,0,0,,0,0,,27.7,52.3,1014,22.5,4.1,200,17.3,7,,2022-01-05T07:16:12,2022-01-05T18:37:46,0.09,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"61052099999,DRRN,remote"
"Niamey, Niger",2022-01-06,31.2,19,24.8,29.1,19,24.1,0.8,22,0,0,0,,0,0,,23.8,33,1012.5,17.5,5.2,208.6,17.8,8,,2022-01-06T07:16:31,2022-01-06T18:38:20,0.12,Clear,Clear conditions throughout the day.,clear-day,"61052099999,DRRN"
"Niamey, Niger",2022-01-07,32,19,25.2,29.8,19,24.4,-1.6,18.5,0,0,0,,0,0,,31.7,28.6,1012.8,5.8,6.7,232.1,19.9,8,,2022-01-07T07:16:49,2022-01-07T18:38:55,0.15,Clear,Clear conditions throughout the day.,clear-day,"61052099999,DRRN"
"Niamey, Niger",2022-01-08,32,18,24.8,29.8,18,24,-4.2,15.8,0,0,0,,0,0,,27.7,34.3,1013.1,11.5,9,245.6,21.2,9,,2022-01-08T07:17:06,2022-01-08T18:39:29,0.19,Clear,Clear conditions throughout the day.,clear-day,"61052099999,DRRN"
"Niamey, Niger",2022-01-09,31,18,24.4,29,18,23.8,-6.2,13.7,0,0,0,,0,0,,24.1,29.2,1013.4,11.1,9.4,248.2,21.6,9,,2022-01-09T07:17:21,2022-01-09T18:40:03,0.25,Clear,Clear conditions throughout the day.,clear-day,"61052099999,DRRN"
"Niamey, Niger",2022-01-10,30,18,23.7,28.2,18,23.3,-4.6,15.6,0,0,0,,0,0,23,25.9,52.4,1011.9,12.8,7.8,308.9,26.6,9,10,2022-01-10T07:17:36,2022-01-10T18:40:38,0.25,Clear,Clear conditions throughout the day.,clear-day,"61052099999,DRRN,remote"
