name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
"Oulu, Pohjois-Suomi, Suomi",2022-01-01,-10.1,-14.4,-12.6,-16.3,-23.5,-20.5,-14.5,85.6,0,0,0,,0,27.1,28.7,27.2,328.8,1009.6,5.4,21,1.4,0.1,0,,2022-01-01T10:24:52,2022-01-01T14:18:45,0.95,Clear,Clear conditions throughout the day.,clear-day,"02874099999,02851099999,02876099999,EFOU,02803099999,02875099999"
"Oulu, Pohjois-Suomi, Suomi",2022-01-02,-11.2,-15.4,-12.5,-12.1,-22.6,-18.8,-14,88.3,0,0,0,,0,27,24.8,21.4,129.5,1008.3,80.3,18.7,0.9,0,0,,2022-01-02T10:23:33,2022-01-02T14:21:01,0,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"02874099999,02851099999,02876099999,EFOU,02803099999,02875099999"
"Oulu, Pohjois-Suomi, Suomi",2022-01-03,-8.5,-12,-9.7,-15.6,-20,-17.9,-12.2,82.6,0,0,0,,0,10.1,32,26.9,118.7,997.5,83.2,14.9,1.1,0,0,,2022-01-03T10:22:06,2022-01-03T14:23:24,0.02,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"02874099999,02851099999,EFOU,02876099999,02803099999,02875099999"
"Oulu, Pohjois-Suomi, Suomi",2022-01-04,-8.9,-10.1,-9.3,-16.7,-19.6,-18,-12.1,79.9,0.125,100,4.17,snow,0,0,,31.4,117.1,991.4,95.8,18,1.5,0.1,0,,2022-01-04T10:20:32,2022-01-04T14:25:55,0.05,"Snow, Overcast",Cloudy skies throughout the day with late afternoon snow.,snow,"02874099999,02851099999,EFOU,02876099999,02803099999,02875099999"
"Oulu, Pohjois-Suomi, Suomi",2022-01-05,-7.9,-12.1,-9.6,-11.1,-20.5,-16.1,-11.5,86.1,0.12,100,4.17,snow,0,0,31.5,22.8,65.5,985.8,94.1,15,0.7,0,0,,2022-01-05T10:18:51,2022-01-05T14:28:31,0.09,"Snow, Overcast",Cloudy skies throughout the day with morning snow.,snow,"02874099999,02851099999,02876099999,EFOU,02803099999,02875099999"
"Oulu, Pohjois-Suomi, Suomi",2022-01-06,-12.6,-22.3,-18,-17,-31.1,-25.1,-20.2,83,0,0,0,,0,0,28.3,22,339.7,992.6,40.6,17.1,1.2,0,0,,2022-01-06T10:17:03,2022-01-06T14:31:14,0.12,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"02874099999,D7480,02851099999,02876099999,EFOU,02803099999,02875099999"
"Oulu, Pohjois-Suomi, Suomi",2022-01-07,-8,-17.6,-11.8,-14.6,-27.2,-19.6,-13.9,84.4,0.092,100,4.17,snow,29.6,18.3,24.8,28.3,347.3,1001.6,70.9,20.3,1.9,0.2,0,,2022-01-07T10:15:08,2022-01-07T14:34:02,0.15,"Snow, Partially cloudy",Partly cloudy throughout the day with early morning snow.,snow,"02874099999,02851099999,02876099999,EFOU,02803099999,02875099999"
"Oulu, Pohjois-Suomi, Suomi",2022-01-08,-17.3,-20,-18.7,-18.5,-28.3,-25.9,-20.7,84.6,0,0,0,,0.4,29.7,,18.5,145.5,1009.5,38.1,17.8,1.4,0.1,0,,2022-01-08T10:13:08,2022-01-08T14:36:55,0.19,Partially cloudy,Becoming cloudy in the afternoon.,snow,"02874099999,D7480,02851099999,02876099999,EFOU,02803099999,02875099999"
"Oulu, Pohjois-Suomi, Suomi",2022-01-09,-17.2,-21.1,-19.8,-23.3,-30.3,-27.2,-21.9,82.7,0,0,0,,0,29.1,,18.4,144,1011.8,47.4,15.3,2.9,0.3,0,,2022-01-09T10:11:02,2022-01-09T14:39:53,0.25,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,"02874099999,02851099999,02876099999,EFOU,02803099999,02875099999"
"Oulu, Pohjois-Suomi, Suomi",2022-01-10,-8.9,-19,-13.9,-14.8,-25.7,-19.4,-15.6,86.8,0,0,0,snow,0.2,17.5,26.3,21.3,156.5,1026.3,90,13.5,3.6,0.3,0,10,2022-01-10T10:08:50,2022-01-10T14:42:54,0.25,Partially cloudy,Partly cloudy throughout the day.,snow,"02874099999,02851099999,02876099999,EFOU,02803099999,02875099999"
"Oulu, Pohjois-Suomi, Suomi",2022-01-11,-1.9,-13.4,-8.5,-7.8,-22.8,-17,-9.8,90,0.326,100,16.67,snow,1,16.5,56.5,35.5,165.3,1024.4,92.6,14.3,0.7,0,0,10,2022-01-11T10:06:34,2022-01-11T14:46:00,0.28,"Snow, Overcast",Cloudy skies throughout the day with late afternoon snow.,snow,"02874099999,02851099999,02876099999,EFOU,02803099999,02875099999"
"Oulu, Pohjois-Suomi, Suomi",2022-01-12,3,-1.6,0.8,-3.9,-7.5,-5.7,-0.9,89,0.934,100,12.5,"rain,snow",30.8,24.9,71.3,52.3,211.9,1005.7,92.2,18.5,0.8,0,0,10,2022-01-12T10:04:12,2022-01-12T14:49:10,0.32,"Snow, Rain, Overcast",Cloudy skies throughout the day with rain or snow clearing later.,snow,"02874099999,D7480,02851099999,02876099999,EFOU,02803099999,02875099999"
"Oulu, Pohjois-Suomi, Suomi",2022-01-13,1.9,-1.5,0.4,-4.8,-7.8,-5.9,-2.5,80.8,0,0,0,"freezingrain,snow",0.6,29.1,71.6,48.2,267.8,984.5,54.9,21.1,2.9,0.2,0,10,2022-01-13T10:01:46,2022-01-13T14:52:23,0.35,Partially cloudy,Partly cloudy throughout the day.,snow,"02874099999,D7480,02851099999,02876099999,EFOU,02803099999,02875099999"
"Oulu, Pohjois-Suomi, Suomi",2022-01-14,-1.7,-5.3,-3,-6.8,-12.2,-10.1,-5.8,80.9,0,0,0,snow,0,17.5,63,44.8,309.3,983.5,43.3,20.7,3.7,0.2,0,10,2022-01-14T09:59:16,2022-01-14T14:55:38,0.38,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"02874099999,D7480,02851099999,02876099999,EFOU,02803099999,02875099999"
"Oulu, Pohjois-Suomi, Suomi",2022-01-15,-2.7,-5.8,-4.3,-4.6,-12.2,-10.5,-6.9,82.2,0,0,0,,0,10.3,56.2,37.3,311.1,1002.3,31.7,21.1,3.3,0.3,0,10,2022-01-15T09:56:42,2022-01-15T14:58:57,0.42,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,"02874099999,D7480,02851099999,02876099999,EFOU,02803099999,02875099999"
"Oulu, Pohjois-Suomi, Suomi",2022-01-16,2.3,-3.4,0.5,-3.8,-10.2,-6.6,-2.4,82,0,0,0,snow,32.7,24.4,67,45.7,236.6,982.5,76.4,18.2,2.3,0,0,10,2022-01-16T09:54:04,2022-01-16T15:02:18,0.45,Partially cloudy,Partly cloudy throughout the day.,snow,"02874099999,D7480,02851099999,02876099999,EFOU,02803099999,02875099999"
"Oulu, Pohjois-Suomi, Suomi",2022-01-17,-2.1,-6.8,-5,-10.9,-16,-14.4,-8.5,76.7,0,0,0,snow,0.8,28.3,79.6,65.6,322.3,986.7,83.6,17.6,2.4,0.2,0,10,2022-01-17T09:51:23,2022-01-17T15:05:40,0.48,Partially cloudy,Partly cloudy throughout the day.,snow,"02874099999,D7480,02851099999,02876099999,EFOU,02803099999,02875099999"
"Oulu, Pohjois-Suomi, Suomi",2022-01-18,1.9,-10,-4.9,-3.4,-15.4,-10.7,-7.1,84.2,0,0,0,snow,0.4,20,54,36.7,242.2,1006.6,94.7,21.1,2.1,0,0,10,2022-01-18T09:48:38,2022-01-18T15:09:05,0.5,Overcast,Cloudy skies throughout the day.,snow,"02874099999,D7480,02851099999,02876099999,EFOU,02803099999,02875099999"
"Oulu, Pohjois-Suomi, Suomi",2022-01-19,3.8,1,2.6,-1,-4,-2.6,0.3,84.8,0,0,0,snow,0,8.6,63.7,35.6,227.7,986.6,91.1,20.3,3,0.3,0,10,2022-01-19T09:45:51,2022-01-19T15:12:32,0.55,Overcast,Cloudy skies throughout the day.,cloudy,"02874099999,D7480,02851099999,02876099999,EFOU,02803099999,02875099999"
"Oulu, Pohjois-Suomi, Suomi",2022-01-20,0.7,-7,-3.7,-4.3,-14,-10,-6.6,80.7,0,0,0,snow,28,21.6,56.2,29.3,345.6,987.7,67.3,20.9,5.8,0.5,0,10,2022-01-20T09:43:00,2022-01-20T15:16:00,0.59,Partially cloudy,Partly cloudy throughout the day.,snow,"02874099999,D7480,02851099999,02876099999,EFOU,02803099999,02875099999"
"Oulu, Pohjois-Suomi, Suomi",2022-01-21,-3.3,-9.6,-6.3,-11.2,-15.8,-14,-9.5,77.8,0,0,0,,0,28,54.7,34,347.6,1006,16.5,21.1,4.5,0.5,0,10,2022-01-21T09:40:07,2022-01-21T15:19:29,0.62,Clear,Clear conditions throughout the day.,clear-day,"02874099999,D7480,02851099999,02876099999,EFOU,02803099999,02875099999"
"Oulu, Pohjois-Suomi, Suomi",2022-01-22,-5.5,-16.1,-12.2,-12.3,-23.1,-18.3,-14.2,85.2,0,0,0,,0,28,52.2,22.4,153.9,1018,46.3,20.6,5.9,0.4,0,10,2022-01-22T09:37:11,2022-01-22T15:22:59,0.66,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,"02874099999,D7480,02851099999,02876099999,EFOU,02803099999,02875099999"
"Oulu, Pohjois-Suomi, Suomi",2022-01-23,4.4,-5.1,0.3,-0.4,-12.6,-5.2,-1.7,86.5,0,0,0,snow,0,28,67,33.5,203.6,1010.6,46.3,21.1,6.6,0.4,0,10,2022-01-23T09:34:12,2022-01-23T15:26:30,0.69,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"02874099999,D7480,02851099999,02876099999,EFOU,02803099999,02875099999"
"Oulu, Pohjois-Suomi, Suomi",2022-01-24,5,0.4,1.8,-0.3,-5.8,-3.9,-1.3,80.3,0,0,0,,0,27.8,69.8,35.9,223.2,1003.9,45.8,21.1,5.3,0.5,0,10,2022-01-24T09:31:11,2022-01-24T15:30:02,0.73,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"02874099999,D7480,02851099999,02876099999,EFOU,02803099999,02875099999"
"Oulu, Pohjois-Suomi, Suomi",2022-01-25,0.1,-6.2,-3.7,-6.2,-11.7,-9.6,-6.7,79.8,0,0,0,,0.6,27.3,53.6,35.7,276.6,1009.3,4.2,21.1,6.7,0.6,0,10,2022-01-25T09:28:09,2022-01-25T15:33:34,0.75,Clear,Clear conditions throughout the day.,snow,"02874099999,D7480,02851099999,02876099999,EFOU,02803099999,02875099999"
"Oulu, Pohjois-Suomi, Suomi",2022-01-26,-4.5,-8.4,-6.1,-10.4,-15.2,-12,-7.1,93,0.008,100,4.17,snow,0.5,27.9,36.7,21.2,155,1003.8,65.4,16.1,4,0.3,0,10,2022-01-26T09:25:04,2022-01-26T15:37:07,0.8,"Snow, Partially cloudy",Partly cloudy throughout the day with late afternoon snow.,snow,"02874099999,D7480,02851099999,02876099999,EFOU,02803099999,02875099999"
"Oulu, Pohjois-Suomi, Suomi",2022-01-27,-4,-5.9,-4.6,-4,-10.8,-7.8,-5.9,90.7,0.086,100,4.17,snow,0.6,28.2,23.8,12.7,85.4,994.1,99,20,3.9,0.2,0,10,2022-01-27T09:21:57,2022-01-27T15:40:40,0.83,"Snow, Overcast",Cloudy skies throughout the day with early morning snow.,snow,"02874099999,D7480,02851099999,02876099999,EFOU,02803099999,02875099999"
"Oulu, Pohjois-Suomi, Suomi",2022-01-28,-4.5,-10.1,-6.1,-7.4,-15.3,-10.6,-7.5,89.8,0,0,0,snow,0.4,18,25.6,17.8,325.7,1000.9,76,19.2,5,0.3,0,10,2022-01-28T09:18:48,2022-01-28T15:44:14,0.87,Partially cloudy,Partly cloudy throughout the day.,snow,"02874099999,D7480,02851099999,02876099999,EFOU,02803099999,02875099999"
"Oulu, Pohjois-Suomi, Suomi",2022-01-29,-2.7,-11.1,-6.2,-8.1,-18.2,-12.7,-7.8,88.8,0.29,100,4.17,snow,2.2,12.4,41.8,24.6,140.6,990.5,79.7,13.2,4,0.2,0,10,2022-01-29T09:15:38,2022-01-29T15:47:47,0.9,"Snow, Partially cloudy",Partly cloudy throughout the day with late afternoon snow.,snow,"02874099999,D7480,02851099999,02876099999,EFOU,02803099999,02875099999"
"Oulu, Pohjois-Suomi, Suomi",2022-01-30,-2.7,-12.5,-6.1,-7.7,-20.1,-12.4,-8.2,85.4,0,0,0,snow,35.6,26.9,32.4,21,45.6,991.9,92.4,19.8,7.4,0.5,0,10,2022-01-30T09:12:25,2022-01-30T15:51:20,0.94,Overcast,Cloudy skies throughout the day.,snow,"02874099999,02851099999,02876099999,EFOU,02803099999,02875099999"
"Oulu, Pohjois-Suomi, Suomi",2022-01-31,-12.8,-19.5,-16,-19.1,-26.7,-22.6,-18.5,81.2,0,0,0,,0.6,34.3,29.9,20.7,27.4,1004.6,23.8,20.2,11.3,1.1,1,10,2022-01-31T09:09:12,2022-01-31T15:54:54,0.97,Partially cloudy,Clearing in the afternoon.,snow,"02874099999,02851099999,02876099999,EFOU,02803099999,02875099999"
"Oulu, Pohjois-Suomi, Suomi",2022-02-01,-8,-16.5,-11.7,-14.5,-23.6,-18,-13.7,84.8,0,0,0,snow,1,35.1,34.6,16.5,58.7,1001.2,62.8,16.5,4.3,0.3,0,10,2022-02-01T09:05:57,2022-02-01T15:58:27,0,Partially cloudy,Partly cloudy throughout the day.,snow,"02874099999,D7480,02851099999,02876099999,EFOU,02803099999,02875099999"
"Oulu, Pohjois-Suomi, Suomi",2022-02-02,-7.2,-14.2,-9.7,-12.9,-21.4,-15.6,-11.8,84.6,0.014,100,4.17,snow,0.4,35.9,30.6,15.1,63.8,1003.4,72.7,16.2,5.3,0.5,0,10,2022-02-02T09:02:40,2022-02-02T16:01:59,0.04,"Snow, Partially cloudy",Partly cloudy throughout the day with morning snow.,snow,"02874099999,D7480,02851099999,02876099999,EFOU,02803099999,02875099999"
"Oulu, Pohjois-Suomi, Suomi",2022-02-03,-14.8,-20.1,-18.2,-15.9,-27.1,-22.8,-20.2,84.6,0,0,0,snow,0.2,20.4,13.3,12.6,137.8,1011.3,62.2,13.5,5.7,0.7,0,10,2022-02-03T08:59:23,2022-02-03T16:05:32,0.07,Partially cloudy,Partly cloudy throughout the day.,snow,"02874099999,D7480,02851099999,02876099999,EFOU,02803099999,02875099999"
"Oulu, Pohjois-Suomi, Suomi",2022-02-04,-4.7,-18.8,-12.9,-13.6,-28,-22.3,-14.7,86.3,1.295,100,8.33,snow,4.2,16.5,78.1,39.9,140.4,1003.7,91,7.7,4,0.2,0,10,2022-02-04T08:56:04,2022-02-04T16:09:04,0.1,"Snow, Overcast",Cloudy skies throughout the day with late afternoon snow.,snow,"02874099999,D7480,02851099999,02876099999,EFOU,02803099999,02875099999"
"Oulu, Pohjois-Suomi, Suomi",2022-02-05,-3.4,-5,-4.2,-9.7,-13.5,-11.5,-5.8,88.5,1.583,100,8.33,snow,45.8,34.2,67.3,35.3,153.7,987.5,99.4,10.2,9,0.6,1,10,2022-02-05T08:52:43,2022-02-05T16:12:36,0.14,"Snow, Overcast",Cloudy skies throughout the day with snow clearing later.,snow,"02874099999,D7480,02851099999,02876099999,EFOU,02803099999,02875099999"
"Oulu, Pohjois-Suomi, Suomi",2022-02-06,-0.6,-4.6,-3.1,-5.9,-10.9,-9.7,-5.2,85.7,0.654,100,4.17,snow,1,43.1,58.3,30.1,137.1,982.7,96.9,15.8,11.5,1.2,0,10,2022-02-06T08:49:22,2022-02-06T16:16:07,0.17,"Snow, Overcast",Cloudy skies throughout the day with late afternoon snow.,snow,"02874099999,D7480,02851099999,02876099999,EFOU,02803099999,02875099999"
"Oulu, Pohjois-Suomi, Suomi",2022-02-07,0.1,-1.4,-0.3,-3.1,-5.2,-4.3,-2.8,83.6,0.044,100,4.17,"rain,snow",0.4,29.9,35.6,19.8,143.3,988.1,98.8,17.8,8.5,0.6,0,10,2022-02-07T08:46:00,2022-02-07T16:19:37,0.2,"Snow, Rain, Overcast",Cloudy skies throughout the day with late afternoon rain or snow.,snow,"02874099999,D7480,02851099999,02876099999,EFOU,02803099999,02875099999"
"Oulu, Pohjois-Suomi, Suomi",2022-02-08,-1.4,-5.1,-3.3,-4.2,-12.1,-8.5,-4.5,91.6,0.205,100,8.33,snow,0,22.6,39.6,24.5,165.7,995,99.4,15.3,6,0.7,0,10,2022-02-08T08:42:36,2022-02-08T16:23:07,0.25,"Snow, Overcast",Cloudy skies throughout the day with snow.,snow,"02874099999,D7480,02851099999,02876099999,EFOU,02803099999,02875099999"
