name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
"Ciudad de PanamÃ¡, PanamÃ¡",2022-01-01,32.1,22,26.9,36.8,22,28.7,22,75.9,,0,0,,,,,18.4,328.6,1009.9,37.3,9.5,468.3,20.3,8,,2022-01-01T06:33:29,2022-01-01T18:10:13,0.96,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"78792099999,MPPA,1143W,78795599999,MPMG,MPTO,78384299999"
"Ciudad de PanamÃ¡, PanamÃ¡",2022-01-02,30,23.9,26.5,35.1,23.9,28.5,23.9,86,,0,0,,,,,21.3,313.1,1010.8,49.9,9.6,412.9,17.9,9,,2022-01-02T06:33:53,2022-01-02T18:10:45,0,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"78792099999,MPPA,1143W,78795599999,MPMG,MPTO,78384299999"
"Ciudad de PanamÃ¡, PanamÃ¡",2022-01-03,30.9,24.9,26.9,37.8,24.9,29,24,85,,0,0,,,,,17.2,331.8,1011.4,52.1,9.7,342.6,14.7,8,,2022-01-03T06:34:17,2022-01-03T18:11:17,0.03,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"78792099999,MPPA,1143W,78795599999,MPMG,MPTO,78384299999"
"Ciudad de PanamÃ¡, PanamÃ¡",2022-01-04,31.9,22.9,26.8,36.6,22.9,28.4,22.4,78.4,,0,0,,,,,24.1,345.1,1010.8,48.6,9.9,492.8,21.2,9,,2022-01-04T06:34:39,2022-01-04T18:11:48,0.06,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"78792099999,MPPA,1143W,78795599999,MPMG,MPTO,78384299999"
"Ciudad de PanamÃ¡, PanamÃ¡",2022-01-05,31,24,26.9,35.5,24,28.3,21.7,74.3,,0,0,,,,,20.1,338.3,1009.4,35.5,9.9,457.3,19.8,9,,2022-01-05T06:35:02,2022-01-05T18:12:20,0.1,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"78792099999,MPPA,1143W,78795599999,MPMG,MPTO,78384299999"
"Ciudad de PanamÃ¡, PanamÃ¡",2022-01-06,31,23,26.6,34.3,23,28,21.7,75.7,,0,0,,,,,21.8,341.3,1009.8,51.5,10,458.2,19.8,9,,2022-01-06T06:35:23,2022-01-06T18:12:52,0.13,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"78792099999,MPPA,1143W,78795599999,MPMG,MPTO,78384299999"
"Ciudad de PanamÃ¡, PanamÃ¡",2022-01-07,31,22.9,26.4,33.8,22.9,27.6,21.8,77.2,,0,0,,,,,20.6,337.4,1011.4,46.8,10,419.7,18.2,9,,2022-01-07T06:35:43,2022-01-07T18:13:23,0.16,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"78792099999,MPPA,1143W,78795599999,MPMG,MPTO,78384299999"
"Ciudad de PanamÃ¡, PanamÃ¡",2022-01-08,31.9,22,26.7,35.8,22,28.1,21.9,76.3,,0,0,,,,,21.5,343.5,1013.1,49.2,9.8,426,18.6,9,,2022-01-08T06:36:03,2022-01-08T18:13:54,0.19,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"78792099999,MPPA,1143W,78795599999,MPMG,MPTO,78384299999"
"Ciudad de PanamÃ¡, PanamÃ¡",2022-01-09,32,23.9,27.2,35.5,23.9,28.3,21.7,73.6,,0,0,,,,,22.7,343.1,1012.7,47.8,9.7,470.8,20.2,9,,2022-01-09T06:36:22,2022-01-09T18:14:25,0.25,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"78792099999,MPPA,1143W,78795599999,MPMG,MPTO,78384299999"
"Ciudad de PanamÃ¡, PanamÃ¡",2022-01-10,31.1,23.9,26.8,33.9,23.9,28,21.4,73.4,0.2,100,8.33,rain,0,0,22.3,23.6,341.3,1012.1,54.1,9.9,337.2,20.7,9,30,2022-01-10T06:36:40,2022-01-10T18:14:56,0.26,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"78792099999,MPPA,1143W,78795599999,MPMG,MPTO,78384299999"
"Ciudad de PanamÃ¡, PanamÃ¡",2022-01-11,31.1,22.9,26.7,33.2,22.9,27.6,21.2,73.6,0,0,0,,0,0,31.7,22.2,349.4,1012.5,54.1,10,252.2,19.8,8,10,2022-01-11T06:36:57,2022-01-11T18:15:26,0.29,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"78792099999,MPPA,1143W,78795599999,MPMG,MPTO,78384299999"
"Ciudad de PanamÃ¡, PanamÃ¡",2022-01-12,29.7,23.9,26,33.2,23.9,27.2,22.1,79.9,0.4,100,12.5,rain,0,0,24.8,14.7,330.5,1012.4,56.2,9.9,139.8,11.1,6,10,2022-01-12T06:37:14,2022-01-12T18:15:57,0.33,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,"78792099999,MPPA,1143W,78795599999,MPMG,MPTO,78384299999"
"Ciudad de PanamÃ¡, PanamÃ¡",2022-01-13,30.1,22.9,25.5,32.8,22.9,26.4,21.2,78,0.4,100,12.5,rain,0,0,27.7,23.3,333.4,1013.4,53,9.9,205.2,16.3,8,10,2022-01-13T06:37:29,2022-01-13T18:16:26,0.36,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,"78792099999,MPPA,1143W,78795599999,MPMG,MPTO,78384299999"
"Ciudad de PanamÃ¡, PanamÃ¡",2022-01-14,31,21,25.8,33.8,21,26.8,20.7,75.2,0.1,100,4.17,rain,0,0,25.9,24.9,344.3,1013.1,43.1,10,282,22.4,9,10,2022-01-14T06:37:44,2022-01-14T18:16:56,0.39,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"78792099999,MPPA,1143W,78795599999,MPMG,MPTO,78384299999"
"Ciudad de PanamÃ¡, PanamÃ¡",2022-01-15,31,20,26.1,33.8,20,27.1,21,74.9,0.2,100,8.33,rain,0,0,28.4,17.8,338.8,1012.9,47.1,10,232.9,19.1,9,10,2022-01-15T06:37:57,2022-01-15T18:17:25,0.42,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"78792099999,MPPA,1143W,78795599999,MPMG,MPTO,78384299999"
"Ciudad de PanamÃ¡, PanamÃ¡",2022-01-16,31.1,21,26.3,35.4,21,27.7,21.8,77.5,1.2,100,25,rain,0,0,19.4,21.5,322.2,1012.2,55.4,10,210.8,16.6,7,30,2022-01-16T06:38:10,2022-01-16T18:17:54,0.46,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"78792099999,MPPA,1143W,78795599999,MPMG,MPTO,78384299999"
"Ciudad de PanamÃ¡, PanamÃ¡",2022-01-17,32,23.9,27,35,23.9,28.3,21.8,74.5,0,0,0,,0,0,28.8,24.5,345.8,1012.1,53.6,9.9,249.2,19.8,9,10,2022-01-17T06:38:22,2022-01-17T18:18:22,0.5,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"78792099999,MPPA,1143W,78795599999,MPMG,MPTO,78384299999"
"Ciudad de PanamÃ¡, PanamÃ¡",2022-01-18,31,22.1,26.8,34.7,22.1,28.1,22.1,76.4,0,0,0,,0,0,29.5,25.9,342.4,1011.8,47.8,10,209.9,16.7,8,10,2022-01-18T06:38:32,2022-01-18T18:18:50,0.53,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"78792099999,MPPA,1143W,78795599999,MPMG,MPTO,78384299999"
"Ciudad de PanamÃ¡, PanamÃ¡",2022-01-19,31.8,24,26.9,34.8,24,28,21.6,73.6,0,0,0,,0,0,31,29.5,341.7,1010.8,36.4,9.8,204.7,16.2,8,10,2022-01-19T06:38:42,2022-01-19T18:19:17,0.56,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"78792099999,MPPA,1143W,78795599999,MPMG,MPTO,78384299999"
"Ciudad de PanamÃ¡, PanamÃ¡",2022-01-20,32.1,23.2,27.6,35.9,23.2,29.3,22,73.1,0.1,100,4.17,rain,0,0,26.6,27.1,338.6,1009.5,32.8,9.6,249,19.6,9,30,2022-01-20T06:38:51,2022-01-20T18:19:44,0.6,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"78792099999,MPPA,1143W,78795599999,MPMG,MPTO,78384299999"
"Ciudad de PanamÃ¡, PanamÃ¡",2022-01-21,32,24.9,27.9,36.8,24.9,30.1,22.9,75.4,0.6,100,16.67,rain,0,0,18.7,24.5,333,1009.8,31.7,9.6,232.4,19.2,8,30,2022-01-21T06:38:59,2022-01-21T18:20:10,0.63,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,"78792099999,MPPA,1143W,78795599999,MPMG,MPTO,78384299999"
"Ciudad de PanamÃ¡, PanamÃ¡",2022-01-22,32.1,25,28,36,25,29.5,22.2,72.2,0.3,100,12.5,rain,0,0,24.8,24.9,345.5,1010.5,58.6,9.9,247.6,20.6,9,10,2022-01-22T06:39:06,2022-01-22T18:20:36,0.67,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"78792099999,MPPA,1143W,78795599999,MPMG,MPTO,78384299999"
"Ciudad de PanamÃ¡, PanamÃ¡",2022-01-23,32.1,24,27.5,35.2,24,28.8,21.6,71.6,0,0,0,,0,0,40.7,21.4,348.3,1009.9,62,9.9,252,20.9,9,10,2022-01-23T06:39:12,2022-01-23T18:21:01,0.7,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"78792099999,MPPA,1143W,78795599999,MPMG,MPTO,78384299999"
"Ciudad de PanamÃ¡, PanamÃ¡",2022-01-24,31.9,22.9,26.7,34.2,22.9,27.7,20.7,71.3,0.1,100,4.17,rain,0,0,29.9,30.9,339.9,1009.6,45,10,243.7,20.4,9,10,2022-01-24T06:39:16,2022-01-24T18:21:25,0.74,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"78792099999,MPPA,1143W,78795599999,MPMG,MPTO,78384299999"
"Ciudad de PanamÃ¡, PanamÃ¡",2022-01-25,32.1,22,26.5,35.1,22,27.7,20.9,72.8,0.2,100,8.33,rain,0,0,26.6,20.3,335.7,1010.7,39.2,10,254.7,20.3,9,10,2022-01-25T06:39:20,2022-01-25T18:21:50,0.75,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"78792099999,MPPA,1143W,78795599999,MPMG,MPTO,78384299999"
"Ciudad de PanamÃ¡, PanamÃ¡",2022-01-26,32,20,26.3,34.4,20,27.4,21.1,74.8,0.1,100,4.17,rain,0,0,25.6,22.3,335.2,1011.2,53,9.9,267.1,22,9,10,2022-01-26T06:39:23,2022-01-26T18:22:13,0.81,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"78792099999,MPPA,1143W,78795599999,MPMG,MPTO,78384299999"
"Ciudad de PanamÃ¡, PanamÃ¡",2022-01-27,31,22,26.5,34.7,22,27.9,21.5,75.2,0.5,100,16.67,rain,0,0,23,24.5,349.4,1011.8,44.5,9.8,209,17.1,10,10,2022-01-27T06:39:25,2022-01-27T18:22:36,0.84,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"78792099999,MPPA,1143W,78795599999,MPMG,MPTO,78384299999"
"Ciudad de PanamÃ¡, PanamÃ¡",2022-01-28,32.1,21,26.9,35.3,21,28.1,21.5,73.9,0.1,100,4.17,rain,0,0,25.2,22.3,334,1011.9,47.4,10,256.1,20.2,9,10,2022-01-28T06:39:26,2022-01-28T18:22:58,0.88,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"78792099999,MPPA,1143W,78795599999,MPMG,MPTO,78384299999"
"Ciudad de PanamÃ¡, PanamÃ¡",2022-01-29,32.1,20,26.1,34.3,20,27,20.9,74.9,0,0,0,rain,0,0,27.4,23.9,332.7,1012.4,49.1,10,248.7,20.5,9,10,2022-01-29T06:39:25,2022-01-29T18:23:20,0.91,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"78792099999,MPPA,1143W,78795599999,MPMG,MPTO,78384299999"
"Ciudad de PanamÃ¡, PanamÃ¡",2022-01-30,32,22,26.4,32.6,22,26.8,20.3,72.2,0.2,100,8.33,rain,0,0,42.5,26.5,343.7,1012.9,53.5,10,274.4,22.8,9,10,2022-01-30T06:39:24,2022-01-30T18:23:41,0.95,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"78792099999,MPPA,1143W,78795599999,MPMG,MPTO,78384299999"
"Ciudad de PanamÃ¡, PanamÃ¡",2022-01-31,32,22,26.5,35.4,22,27.6,20.9,72.8,0,0,0,,0,0,46.4,25.3,339.1,1011.8,42.6,10,271,22.3,9,10,2022-01-31T06:39:22,2022-01-31T18:24:01,0.98,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"78792099999,MPPA,1143W,78795599999,MPMG,MPTO,78384299999"
"Ciudad de PanamÃ¡, PanamÃ¡",2022-02-01,31,21,26.3,33.7,21,27.4,21.1,74.7,0,0,0,,0,0,21.2,23.7,338.4,1010.7,44.7,9.9,193.7,15.3,7,10,2022-02-01T06:39:19,2022-02-01T18:24:21,0,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"78792099999,MPPA,1143W,78795599999,MPMG,MPTO,78384299999"
"Ciudad de PanamÃ¡, PanamÃ¡",2022-02-02,32,21,26.6,35.8,21,28.3,21.6,74.6,0,0,0,,0,0,23,17.4,321.6,1009.8,50.5,10,179.3,14.8,7,10,2022-02-02T06:39:15,2022-02-02T18:24:40,0.05,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"78792099999,MPPA,1143W,78795599999,MPMG,MPTO,78384299999"
"Ciudad de PanamÃ¡, PanamÃ¡",2022-02-03,33.7,20,27.6,38,20,29.6,22.7,76.8,0.1,100,4.17,rain,0,0,19.1,17.3,321.1,1010.3,43.8,9.7,193.4,16.1,7,10,2022-02-03T06:39:09,2022-02-03T18:24:58,0.08,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"78792099999,MPPA,1143W,78795599999,MPMG,MPTO,78384299999"
"Ciudad de PanamÃ¡, PanamÃ¡",2022-02-04,33.9,21,27.6,38.2,21,29.3,21.7,71.8,0,0,0,,0,0,27.4,22.7,334.1,1011.9,38.3,9.9,271.7,22.5,10,10,2022-02-04T06:39:03,2022-02-04T18:25:16,0.11,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"78792099999,MPPA,1143W,78795599999,MPMG,MPTO,78384299999"
"Ciudad de PanamÃ¡, PanamÃ¡",2022-02-05,32.1,21,27.1,34.4,21,28,20.7,70.4,0.1,100,4.17,rain,0,0,27,32.4,338.7,1012,43.1,10.5,278.9,23,9,10,2022-02-05T06:38:56,2022-02-05T18:25:33,0.14,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"78792099999,MPPA,1143W,78795599999,MPMG,MPTO,78384299999"
