name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
"Plymouth, England, United Kingdom",2022-01-01,13.6,11.6,12.4,13.6,11.6,12.4,11.1,92,0.405,100,33.33,rain,0,0,51.8,40.1,188.3,1013.6,95.2,7.6,17.2,1.5,1,,2022-01-01T08:16:54,2022-01-01T16:23:34,0.96,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"03827099999,F8794,03823099999,03832199999,03346599999,03707099999,D8039,EGHQ"
"Plymouth, England, United Kingdom",2022-01-02,11.8,9.7,11,11.8,5.3,10.8,9.6,91.5,6.593,100,62.5,rain,0,0,63,48.1,231.5,1011.1,99.3,12.6,24.2,2.1,1,,2022-01-02T08:16:48,2022-01-02T16:24:37,0,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"03827099999,F8794,03823099999,03832199999,03346599999,03707099999,D8039,EGHQ"
"Plymouth, England, United Kingdom",2022-01-03,11.1,9,10.1,11.1,4.4,8.7,8.6,90,3.191,100,20.83,rain,0,0,61.2,45.9,246.2,1008.8,97.1,14.7,15.8,1.3,1,,2022-01-03T08:16:39,2022-01-03T16:25:42,0.02,"Rain, Overcast",Cloudy skies throughout the day with rain clearing later.,rain,"03827099999,F8794,03823099999,03832199999,03346599999,03707099999,D8039,EGHQ"
"Plymouth, England, United Kingdom",2022-01-04,9.6,3.1,5.7,6.4,-0.8,1.9,2.6,80.2,0.024,100,25,rain,0,0,57.6,33.9,304.8,1005.7,76.1,27.5,28.2,2.5,1,,2022-01-04T08:16:27,2022-01-04T16:26:50,0.06,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"03827099999,F8794,03823099999,03832199999,03346599999,03707099999,D8039,EGHQ"
"Plymouth, England, United Kingdom",2022-01-05,7.1,0.2,3.9,5.4,-1.1,1.9,-0.6,72.8,0.003,100,12.5,rain,0,0,36,19.3,317.3,1017.9,46.5,29.7,21.7,2,1,,2022-01-05T08:16:11,2022-01-05T16:28:00,0.09,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,"03827099999,F8794,03823099999,03832199999,03346599999,03707099999,D8039,EGHQ"
"Plymouth, England, United Kingdom",2022-01-06,9,-0.4,5.7,5.4,-3.3,2.1,3.3,85.1,6.969,100,45.83,rain,0,0,69.4,53,221.1,1015.2,85.2,17.3,8.2,0.7,0,,2022-01-06T08:15:53,2022-01-06T16:29:13,0.12,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"03827099999,F8794,03823099999,03832199999,03346599999,03707099999,D8039,EGHQ"
"Plymouth, England, United Kingdom",2022-01-07,8.6,4.2,6.3,5.2,-1.2,2.2,4.1,85.8,4.047,100,45.83,rain,0,0,60.9,42.2,269.5,1013.9,66.2,21.8,17.3,1.5,1,,2022-01-07T08:15:31,2022-01-07T16:30:27,0.16,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"03827099999,F8794,03823099999,03832199999,03346599999,03707099999,D8039,EGHQ"
"Plymouth, England, United Kingdom",2022-01-08,10.6,6,8.3,10.6,1.4,5.8,6.5,88.3,16.243,100,83.33,rain,0,0,65.8,51.6,258.2,1004.6,80.7,13.9,7,0.6,0,,2022-01-08T08:15:07,2022-01-08T16:31:44,0.19,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"03827099999,03823099999,03832199999,03346599999,03707099999,D8039,EGHQ"
"Plymouth, England, United Kingdom",2022-01-09,9.1,4.7,6.9,7.3,1.6,4.4,5,88.2,1.021,100,41.67,rain,0,0,40.4,26.8,266.9,1005.8,86.5,15.8,25.8,2.3,1,,2022-01-09T08:14:39,2022-01-09T16:33:02,0.25,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"03827099999,F8794,03823099999,03832199999,03346599999,03707099999,D8039,EGHQ"
"Plymouth, England, United Kingdom",2022-01-10,11.3,7.1,9.3,11.3,5.8,8.8,9,98.3,4.401,100,79.17,rain,0,0,14,11.1,153.5,1017,98.7,5.2,19.4,1.7,1,10,2022-01-10T08:14:08,2022-01-10T16:34:23,0.25,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"03827099999,03823099999,03832199999,03346599999,03707099999,D8039,EGHQ"
"Plymouth, England, United Kingdom",2022-01-11,12,6.1,10,12,5,9.5,9.3,95.4,0.84,100,41.67,rain,0,0,18.3,12.8,310.4,1030.2,84,15.3,24.9,2.1,1,10,2022-01-11T08:13:34,2022-01-11T16:35:46,0.29,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"03827099999,F8794,03823099999,03832199999,03346599999,03707099999,D8039,EGHQ"
"Plymouth, England, United Kingdom",2022-01-12,9.6,2.1,5,8.5,0,3.7,2.2,83.4,0.199,100,8.33,rain,0,0,15.1,11.4,56.5,1040.3,0,19.3,19.5,1.7,2,10,2022-01-12T08:12:57,2022-01-12T16:37:10,0.32,Rain,Clear conditions throughout the day with morning rain.,rain,"03827099999,F8794,03823099999,03832199999,03346599999,03707099999,D8039,EGHQ"
"Plymouth, England, United Kingdom",2022-01-13,10.1,0.7,4.8,10.1,-2.1,2.7,3.3,90.2,0,0,0,,0,0,20.9,13.2,71.9,1039.8,17.1,15.1,21.8,1.9,2,10,2022-01-13T08:12:18,2022-01-13T16:38:36,0.35,Clear,Clear conditions throughout the day.,clear-day,"03827099999,F8794,03823099999,03832199999,03346599999,03707099999,D8039,EGHQ"
"Plymouth, England, United Kingdom",2022-01-14,10.6,4.6,7.1,10.6,1.3,5.1,5.6,89.9,0.198,100,8.33,rain,0,0,30.2,17.3,85.5,1032.8,19.2,17,20.9,1.9,2,10,2022-01-14T08:11:35,2022-01-14T16:40:04,0.39,Rain,Clear conditions throughout the day with morning rain.,rain,"03827099999,F8794,03823099999,03832199999,03346599999,03707099999,D8039,EGHQ"
"Plymouth, England, United Kingdom",2022-01-15,9.6,6.6,8.4,7.5,4.5,6.1,5.3,81.3,4.341,100,25,rain,0,0,36,25.5,198.8,1024.3,99.4,25.5,17.2,1.4,1,10,2022-01-15T08:10:50,2022-01-15T16:41:33,0.42,"Rain, Overcast",Cloudy skies throughout the day with late afternoon rain.,rain,"03827099999,F8794,03823099999,03832199999,03346599999,03707099999,D8039,EGHQ"
"Plymouth, England, United Kingdom",2022-01-16,10.8,4.3,8.6,10.8,2.9,7,7.4,91.9,12.28,100,37.5,rain,0,0,43.9,33.8,286.8,1028.9,63.8,20,29.2,2.5,2,10,2022-01-16T08:10:01,2022-01-16T16:43:03,0.45,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"03827099999,F8794,03823099999,03832199999,03346599999,03707099999,D8039,EGHQ"
"Plymouth, England, United Kingdom",2022-01-17,8.1,0.1,3.4,7.9,-1,2.4,2,91.3,0.2,100,4.17,rain,0,0,13,10.5,78,1037.9,6.8,13.9,23,1.8,2,10,2022-01-17T08:09:10,2022-01-17T16:44:36,0.5,Rain,Clear conditions throughout the day with afternoon rain.,rain,"03827099999,03823099999,03346599999,03707099999,D8039,EGHQ"
"Plymouth, England, United Kingdom",2022-01-18,8.3,3.7,6.3,7,0.7,4.4,4.3,87.5,0,0,0,,0,0,23.4,13.7,116.5,1034.8,95.3,18.4,12.4,1.1,1,10,2022-01-18T08:08:16,2022-01-18T16:46:09,0.52,Overcast,Cloudy skies throughout the day.,cloudy,"03827099999,03823099999,03832199999,03346599999,03707099999,D8039,EGHQ"
