name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
"Pretoria, Gauteng, South Africa",2022-01-01,26.6,14.7,20.7,26.6,14.7,20.7,14.8,70.8,5,100,4.17,rain,0,0,35.3,25,317.6,1020.6,47.1,11.8,243.5,21,9,,2022-01-01T05:19:25,2022-01-01T19:02:04,0.95,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"FALA,E0397,68263099999,68263599999,FAOR"
"Pretoria, Gauteng, South Africa",2022-01-02,29.5,16.5,22.3,28.6,16.5,22.3,15.4,68,1,100,4.17,rain,0,0,33.5,28.6,326.3,1019.7,23.4,12.1,306.1,26.4,10,,2022-01-02T05:20:05,2022-01-02T19:02:20,0,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"FALA,68264399999,E0397,68263099999,FAWB,68263599999,FAOR"
"Pretoria, Gauteng, South Africa",2022-01-03,27.7,15,21.1,28.3,15,21.1,14.3,67.1,1.9,100,25,rain,0,0,24.1,26.8,334.4,1019.6,26.2,11.9,319.9,27.6,10,,2022-01-03T05:20:46,2022-01-03T19:02:34,0.02,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"FALA,68264399999,E0397,68263099999,FAWB,68263599999,FAOR"
"Pretoria, Gauteng, South Africa",2022-01-04,28.3,14.7,21,29.2,14.7,21.1,14.8,69,1.2,100,8.33,rain,0,0,24.1,25.5,323.6,1020.4,49.3,11.6,273.3,23.8,10,,2022-01-04T05:21:28,2022-01-04T19:02:46,0.05,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,"FALA,68264399999,E0397,68263099999,FAWB,68263599999,FAOR"
"Pretoria, Gauteng, South Africa",2022-01-05,28.7,16.5,22.7,29.6,16.5,22.8,15.5,65.5,6,100,4.17,rain,0,0,35.3,25.3,295.5,1020.6,51.5,11.6,302.6,26.2,10,,2022-01-05T05:22:10,2022-01-05T19:02:57,0.09,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"FALA,68264399999,E0397,68263099999,FAWB,68263599999,FAOR"
"Pretoria, Gauteng, South Africa",2022-01-06,20.2,16.5,18.1,20.2,16.5,18.1,15.3,83.6,24,100,8.33,rain,0,0,37.1,21.6,87.9,1022.6,66.1,10.7,52,4.7,2,,2022-01-06T05:22:53,2022-01-06T19:03:07,0.12,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,"FALA,E0397,68263099999,68263599999,FAOR"
"Pretoria, Gauteng, South Africa",2022-01-07,26.7,16.7,20,26.7,16.7,20,15.3,75.8,32,100,4.17,rain,0,0,18.4,28.7,8.2,1022.5,62.3,11.2,177.3,15.2,7,,2022-01-07T05:23:36,2022-01-07T19:03:15,0.15,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"FALA,68264399999,E0397,68263099999,FAWB,68263599999,FAOR"
"Pretoria, Gauteng, South Africa",2022-01-08,26.6,15.5,20.4,26.6,15.5,20.4,14.7,71.7,0.2,100,4.17,rain,0,0,22.3,16.1,44.2,1023.8,57.4,11.4,224.7,19.2,10,,2022-01-08T05:24:20,2022-01-08T19:03:22,0.19,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"FALA,68264399999,E0397,68263099999,FAWB,F0671,68263599999,FAOR"
"Pretoria, Gauteng, South Africa",2022-01-09,25.2,16.8,20.6,25.2,16.8,20.6,13.4,65.2,0.9,100,25,rain,0,0,24.1,19.5,27.6,1022,70.7,12.1,275.2,23.7,10,,2022-01-09T05:25:04,2022-01-09T19:03:27,0.25,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,"FALA,68264399999,E0397,68263099999,FAWB,68263599999,FAOR"
"Pretoria, Gauteng, South Africa",2022-01-10,26.8,15.3,20.9,26.8,15.3,20.9,12.7,61.1,0,0,0,,0,0,24.1,16.6,2.4,1018.5,31.9,11.6,295.3,25.6,10,10,2022-01-10T05:25:49,2022-01-10T19:03:31,0.25,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,"FALA,68264399999,E0397,68263099999,FAWB,68263599999,FAOR"
