name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
"Puerto Villamil, GalÃ¡pagos, Ecuador",2022-01-01,0,0,,0,0,,,,,,0,,,,,,,,,,,,,,2022-01-01T06:02:20,2022-01-01T18:12:48,0.96,,,,
"Puerto Villamil, GalÃ¡pagos, Ecuador",2022-01-02,0,0,,0,0,,,,,,0,,,,,,,,,,,,,,2022-01-02T06:02:48,2022-01-02T18:13:16,0,,,,
"Puerto Villamil, GalÃ¡pagos, Ecuador",2022-01-03,0,0,,0,0,,,,,,0,,,,,,,,,,,,,,2022-01-03T06:03:16,2022-01-03T18:13:43,0.03,,,,
"Puerto Villamil, GalÃ¡pagos, Ecuador",2022-01-04,0,0,,0,0,,,,,,0,,,,,,,,,,,,,,2022-01-04T06:03:44,2022-01-04T18:14:09,0.06,,,,
"Puerto Villamil, GalÃ¡pagos, Ecuador",2022-01-05,0,0,,0,0,,,,,,0,,,,,,,,,,,,,,2022-01-05T06:04:12,2022-01-05T18:14:35,0.1,,,,
"Puerto Villamil, GalÃ¡pagos, Ecuador",2022-01-06,0,0,,0,0,,,,,,0,,,,,,,,,,,,,,2022-01-06T06:04:39,2022-01-06T18:15:01,0.13,,,,
"Puerto Villamil, GalÃ¡pagos, Ecuador",2022-01-07,,,,,,,,,,,0,,,,,0,,,,,,,,,2022-01-07T06:05:05,2022-01-07T18:15:26,0.16,,,,
"Puerto Villamil, GalÃ¡pagos, Ecuador",2022-01-08,,,,,,,,,,,0,,,,,0,,,,,,,,,2022-01-08T06:05:31,2022-01-08T18:15:50,0.2,,,,
"Puerto Villamil, GalÃ¡pagos, Ecuador",2022-01-09,,,,,,,,,,,0,,,,,0,,,,,,,,,2022-01-09T06:05:57,2022-01-09T18:16:14,0.25,,,,
"Puerto Villamil, GalÃ¡pagos, Ecuador",2022-01-10,24.5,21.7,23.3,24.5,21.7,23.3,20.3,83.5,0.2,100,8.33,rain,0,0,16.9,17.3,160.4,1013.8,27.4,24.1,349.7,18.9,9,10,2022-01-10T06:06:22,2022-01-10T18:16:38,0.26,"Rain, Partially cloudy",Becoming cloudy in the afternoon with rain in the morning and afternoon.,rain,remote
"Puerto Villamil, GalÃ¡pagos, Ecuador",2022-01-11,24.7,21.7,23.1,24.7,21.7,23.1,20.3,84.3,0.1,100,4.17,rain,0,0,18,16.9,140.9,1013.3,19.4,22.8,266.4,19.1,9,10,2022-01-11T06:06:47,2022-01-11T18:17:00,0.29,Rain,Clear conditions throughout the day with morning rain.,rain,remote
"Puerto Villamil, GalÃ¡pagos, Ecuador",2022-01-12,24.7,21.8,23.4,24.7,21.8,23.4,19.8,80.2,0.3,100,12.5,rain,0,0,21.2,16.6,144.6,1013.7,39.6,24.1,269.3,19.4,10,10,2022-01-12T06:07:11,2022-01-12T18:17:23,0.33,"Rain, Partially cloudy",Becoming cloudy in the afternoon with rain.,rain,remote
