name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
"Punta Arenas, Magallanes y La AntÃ¡rtica Chilena, RepÃºblica de Chile",2022-01-01,8.4,4.9,6.7,3.7,-2,1.4,3.2,78.5,1.8,100,8.33,rain,0,0,,74.2,303.4,970.2,76.3,25,,,,,2022-01-01T05:21:56,2022-01-01T22:12:08,0.96,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"85934099999,WCX7445"
"Punta Arenas, Magallanes y La AntÃ¡rtica Chilena, RepÃºblica de Chile",2022-01-02,7,4.2,6,3.1,-1.2,1.2,0.8,70.1,0,0,0,,0,0,,44.6,255.4,988.1,35,28.8,,,,,2022-01-02T05:23:05,2022-01-02T22:11:53,0,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"85934099999,WCX7445"
"Punta Arenas, Magallanes y La AntÃ¡rtica Chilena, RepÃºblica de Chile",2022-01-03,9.9,4.7,7,8.1,-1.2,4.1,-0.7,59,0,0,0,,0,0,,42.5,242.7,988.2,83.8,26.3,,,,,2022-01-03T05:24:17,2022-01-03T22:11:33,0.03,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"85934099999,WCX7445"
"Punta Arenas, Magallanes y La AntÃ¡rtica Chilena, RepÃºblica de Chile",2022-01-04,9.8,5.7,8,7.2,1.8,4.7,-1.4,51.9,0,0,0,,0,0,,35.3,263,1003.1,68.8,25,,,,,2022-01-04T05:25:32,2022-01-04T22:11:11,0.06,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"85934099999,WCX7445"
"Punta Arenas, Magallanes y La AntÃ¡rtica Chilena, RepÃºblica de Chile",2022-01-05,15.9,8.7,13.3,15.9,5.6,12.9,3.9,53.5,0,0,0,,0,0,,56,266.9,1001.1,77.5,25,,,,,2022-01-05T05:26:50,2022-01-05T22:10:44,0.09,Partially cloudy,Partly cloudy throughout the day.,wind,"85934099999,WCX7445"
"Punta Arenas, Magallanes y La AntÃ¡rtica Chilena, RepÃºblica de Chile",2022-01-06,18.5,10.9,14.3,18.5,10.9,14.3,6.5,61.9,0.4,100,4.17,rain,0,0,,48.2,287.7,1003.4,62.5,30,,,,,2022-01-06T05:28:11,2022-01-06T22:10:14,0.13,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"85934099999,WCX7445"
"Punta Arenas, Magallanes y La AntÃ¡rtica Chilena, RepÃºblica de Chile",2022-01-07,13.4,9.1,10.6,13.4,6.8,9.8,5.6,72,2.8,100,8.33,rain,0,0,,31.7,296.4,1003.5,66.3,25.6,,,,,2022-01-07T05:29:34,2022-01-07T22:09:40,0.16,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"85934099999,WCX7445"
"Punta Arenas, Magallanes y La AntÃ¡rtica Chilena, RepÃºblica de Chile",2022-01-08,13,8.9,11.1,13,4.6,9.8,2.4,56.3,0.2,100,4.17,rain,0,0,,66.6,279.5,999.2,31.3,25,,,,,2022-01-08T05:31:01,2022-01-08T22:09:03,0.19,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"85934099999,WCX7445"
"Punta Arenas, Magallanes y La AntÃ¡rtica Chilena, RepÃºblica de Chile",2022-01-09,11.4,7.8,9.9,11.4,4.5,9.1,2.4,60.2,0,0,0,,0,0,,33.9,286,1005.6,61.3,30,,,,,2022-01-09T05:32:29,2022-01-09T22:08:22,0.25,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"85934099999,WCX7445"
"Punta Arenas, Magallanes y La AntÃ¡rtica Chilena, RepÃºblica de Chile",2022-01-10,11.4,6.2,9.6,11.4,1.2,7.5,3.2,64.8,1.2,100,8.33,rain,0,0,79.2,63.1,282.7,989.8,55.4,20.3,487.4,21.1,9,10,2022-01-10T05:34:00,2022-01-10T22:07:38,0.26,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,"85934099999,WCX7445"
