name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
"Quito, Pichincha, Ecuador",2022-01-01,21.9,11.4,16.1,21.9,11.4,16.1,12,78.7,0,0,0,,0,0,,28,10.1,1024.3,72.6,11.1,492.3,19.5,10,,2022-01-01T06:13:45,2022-01-01T18:21:42,0.96,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"84088099999,84076099999,E9844,84123099999,SEQM,84045099999,84072599999"
"Quito, Pichincha, Ecuador",2022-01-02,21.9,9.4,15.8,21.9,8.7,15.7,11.2,76.8,6,100,4.17,rain,0,0,,24.2,8.6,1025.6,61.2,10.7,505.6,21.7,10,,2022-01-02T06:14:14,2022-01-02T18:22:09,0,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"84088099999,84076099999,E9844,84123099999,SEQM,84045099999,84072599999"
"Quito, Pichincha, Ecuador",2022-01-03,23.2,9.4,16,23.2,9.4,16,10.7,74.8,0,0,0,,0,0,,27.8,11.1,1025.8,64,11.5,514.4,22.2,10,,2022-01-03T06:14:41,2022-01-03T18:22:37,0.03,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"84088099999,84076099999,84056099999,E9844,84123099999,SEQM,84072599999"
"Quito, Pichincha, Ecuador",2022-01-04,22,8.9,15.2,22,8.9,15.2,10.2,74.6,0,0,0,,0,0,,27.2,3.1,1024.7,69.2,11.2,718,25.7,10,,2022-01-04T06:15:09,2022-01-04T18:23:04,0.06,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"84088099999,84076099999,84056099999,E9844,84123099999,SEQM,84072599999"
"Quito, Pichincha, Ecuador",2022-01-05,21,11.4,15,21,11.4,15,11.6,82.1,0,0,0,,0,0,,25.5,6.2,1023.5,83.6,10.4,460.7,16.5,10,,2022-01-05T06:15:36,2022-01-05T18:23:30,0.1,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"84088099999,84076099999,84056099999,E9844,84123099999,SEQM,84072599999"
"Quito, Pichincha, Ecuador",2022-01-06,20.8,9.6,15.1,20.8,9.4,15.1,10.8,77.3,0,0,0,,0,0,,18.7,23.3,1023.5,70.5,11.3,329.8,15.6,10,,2022-01-06T06:16:03,2022-01-06T18:23:56,0.13,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"84088099999,84076099999,84056099999,E9844,84123099999,SEQM,84072599999"
"Quito, Pichincha, Ecuador",2022-01-07,22.9,9.6,15.5,22.9,9.2,15.5,10.2,73.8,0,0,0,,0,0,,29.4,7.8,1025.2,66.4,11.6,545.8,25.6,10,,2022-01-07T06:16:29,2022-01-07T18:24:22,0.16,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"84088099999,84076099999,84056099999,E9844,84123099999,SEQM,84072599999"
"Quito, Pichincha, Ecuador",2022-01-08,21.9,7,15.2,21.9,7,15.2,9.4,71.2,0,0,0,,0,0,40.7,27.4,14.4,1026.8,63.1,12,496.5,23.3,10,,2022-01-08T06:16:55,2022-01-08T18:24:47,0.19,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"84088099999,84076099999,E9844,84123099999,SEQM,84072599999"
"Quito, Pichincha, Ecuador",2022-01-09,21,8.8,15,21,8.8,15,10.1,75.1,0,0,0,,0,0,,29.3,10.3,1026.8,68.7,10.8,382.6,17.8,10,,2022-01-09T06:17:20,2022-01-09T18:25:11,0.25,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"84088099999,84076099999,E9844,84123099999,SEQM,84072599999"
"Quito, Pichincha, Ecuador",2022-01-10,19.9,11.6,14.7,19.9,11.6,14.7,11.2,80.8,0.2,100,4.17,rain,0,0,8.3,25.8,1.4,1026.5,91.1,10.2,268.4,16.5,8,10,2022-01-10T06:17:45,2022-01-10T18:25:35,0.26,"Rain, Overcast",Cloudy skies throughout the day with late afternoon rain.,rain,"84088099999,84076099999,84056099999,E9844,84123099999,SEQM,84072599999"
"Quito, Pichincha, Ecuador",2022-01-11,22.9,9.4,15.2,22.9,9.4,15.2,10.2,75,0.2,100,4.17,rain,0,0,8.6,27.6,6.4,1026.1,71.1,10.8,197,16.3,8,10,2022-01-11T06:18:09,2022-01-11T18:25:59,0.29,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"84088099999,84076099999,84056099999,E9844,84123099999,SEQM,84045099999,84072599999"
"Quito, Pichincha, Ecuador",2022-01-12,21.9,10.9,15.5,21.9,10.9,15.5,10.5,75,0.3,100,12.5,rain,0,0,8.6,31.4,1.6,1026,80.5,10.3,165.1,13.7,6,10,2022-01-12T06:18:32,2022-01-12T18:26:21,0.33,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"84088099999,84076099999,84056099999,E9844,84123099999,SEQM,84072599999"
"Quito, Pichincha, Ecuador",2022-01-13,20.9,10.7,15.1,20.9,10.7,15.1,11.1,79.1,15,100,4.17,rain,0,0,7.6,31.2,5.2,1026,80.3,10.2,185.5,15.4,9,10,2022-01-13T06:18:55,2022-01-13T18:26:44,0.36,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"84088099999,84076099999,84056099999,E9844,84123099999,SEQM,84072599999"
"Quito, Pichincha, Ecuador",2022-01-14,21.8,10.2,14.7,21.8,10.2,14.7,11,80,0.1,100,4.17,rain,0,0,7.9,33.1,14,1025.8,76.6,9.9,214.1,17.7,8,10,2022-01-14T06:19:18,2022-01-14T18:27:05,0.39,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"84088099999,84076099999,84056099999,E9844,84123099999,SEQM,84072599999"
"Quito, Pichincha, Ecuador",2022-01-15,20.9,7.8,13.9,20.9,6.7,13.9,10,78.9,0.7,100,4.17,rain,0,0,13.7,24.4,19,1026.1,71.7,11.7,227.2,17.9,10,10,2022-01-15T06:19:39,2022-01-15T18:27:26,0.42,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"84088099999,84076099999,E9844,84123099999,SEQM,84072599999"
"Quito, Pichincha, Ecuador",2022-01-16,22.7,7.9,14.7,22.7,7.9,14.7,9.4,74.6,0,0,0,rain,0,0,18.4,22.8,5.6,1025.4,73.2,10.3,147.6,11.6,8,10,2022-01-16T06:20:00,2022-01-16T18:27:46,0.46,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"84088099999,84076099999,E9844,84123099999,SEQM,84045099999,84072599999"
"Quito, Pichincha, Ecuador",2022-01-17,21.9,7.6,14.7,21.9,6,14.6,9.6,74.6,0,0,0,rain,0,0,13.3,22.7,34.1,1025.4,70.4,12,203.9,16.1,10,10,2022-01-17T06:20:21,2022-01-17T18:28:05,0.5,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"84088099999,84076099999,84056099999,E9844,84123099999,SEQM,84072599999"
"Quito, Pichincha, Ecuador",2022-01-18,23,7.7,14.8,23,7.7,14.8,9.9,76.1,0,0,0,rain,0,0,17.6,38.4,14.1,1024.7,85.3,11.2,258.1,21.5,10,10,2022-01-18T06:20:40,2022-01-18T18:28:24,0.53,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"84088099999,84076099999,84056099999,E9844,84123099999,SEQM,84072599999"
"Quito, Pichincha, Ecuador",2022-01-19,24.7,9.9,16,24.7,9.9,16,10.4,73.7,0,0,0,rain,0,0,18.4,33.2,45.3,1024.1,77.5,11.3,137,11.4,5,10,2022-01-19T06:20:59,2022-01-19T18:28:42,0.56,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"84088099999,84076099999,84056099999,E9844,84123099999,SEQM,84072599999"
