name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
"ReykjavÃ­kurborg, Ãsland",2022-01-01,3.2,-4.1,-0.6,-0.7,-12.9,-7.4,-7.7,58.7,0.142,100,16.67,"rain,snow",0,0,98.3,43.4,26.6,995.3,91.2,12.4,1,0,0,,2022-01-01T11:19:29,2022-01-01T15:43:33,0.96,"Snow, Rain, Overcast",Cloudy skies throughout the day with rain or snow.,rain,"04130099999,D2431,04124099999,04030099999,04018016201,BIKF,BIRK"
"ReykjavÃ­kurborg, Ãsland",2022-01-02,-4.1,-5.2,-4.8,-8.2,-14.8,-12.1,-12.7,54.3,0.035,100,4.17,snow,0,0,88.9,48.2,19.4,1002.8,34.9,19.1,4.4,0.3,0,,2022-01-02T11:18:24,2022-01-02T15:45:36,0,"Snow, Partially cloudy",Partly cloudy throughout the day with afternoon snow.,snow,"04130099999,04124099999,04030099999,04018016201,BIKF,BIRK"
"ReykjavÃ­kurborg, Ãsland",2022-01-03,-1.9,-6.6,-4.2,-5.6,-11.8,-9,-9.5,67.3,0.07,100,8.33,snow,0,0,,24.1,346.2,1016.5,32.1,12.3,4.3,0.3,0,,2022-01-03T11:17:11,2022-01-03T15:47:45,0.02,"Snow, Partially cloudy",Partly cloudy throughout the day with snow.,snow,"04130099999,04124099999,04030099999,04018016201,BIKF,BIRK"
"ReykjavÃ­kurborg, Ãsland",2022-01-04,-2,-7.7,-5.3,-5.3,-11.4,-9.2,-10.5,67.2,0,0,0,,0,0,,23.8,83.3,1015.7,57.7,17.4,4.5,0.3,0,,2022-01-04T11:15:52,2022-01-04T15:50:00,0.06,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"04130099999,04124099999,04030099999,04018016201,BIKF,BIRK"
"ReykjavÃ­kurborg, Ãsland",2022-01-05,5.4,-2.1,1.9,-0.4,-8.5,-4.4,-2,76,3.971,100,29.17,"rain,snow",0,0,252,67.2,112.5,999.6,95.4,8.9,0.4,0,0,,2022-01-05T11:14:26,2022-01-05T15:52:21,0.09,"Snow, Rain, Overcast",Cloudy skies throughout the day with rain or snow.,rain,"04130099999,04124099999,04030099999,04018016201,BIKF,BIRK"
"ReykjavÃ­kurborg, Ãsland",2022-01-06,5.1,2,3.7,-0.7,-4.4,-2.4,0.1,77.7,26.215,100,37.5,rain,0,0,105.5,73.7,138.6,965.8,93.7,9.6,1,0,0,,2022-01-06T11:12:54,2022-01-06T15:54:48,0.12,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"04130099999,04124099999,04030099999,04018016201,BIKF,BIRK"
"ReykjavÃ­kurborg, Ãsland",2022-01-07,2.2,0.9,1.6,-1.9,-5.2,-3.5,-1.6,80,1.637,100,50,"rain,snow",0,0,76,39.4,114.9,980.5,69.7,11.6,2.6,0.3,0,,2022-01-07T11:11:15,2022-01-07T15:57:20,0.16,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain or snow throughout the day.,rain,"04130099999,04124099999,04030099999,04018016201,BIKF,BIRK"
"ReykjavÃ­kurborg, Ãsland",2022-01-08,6.2,2.1,4.6,3.8,-4.5,0.1,-3.3,57.6,0.07,100,8.33,rain,0,0,87.1,55.2,73.9,974.8,83.2,15.1,2.7,0.3,0,,2022-01-08T11:09:31,2022-01-08T15:59:56,0.19,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"04130099999,D2431,04124099999,04030099999,04018016201,BIKF,BIRK"
"ReykjavÃ­kurborg, Ãsland",2022-01-09,6.2,1.2,3.2,1.2,-2.2,-1.1,-2.8,64.6,2.496,100,12.5,rain,0,0,98.3,63,98.4,986.6,76.8,11.8,1.1,0,0,,2022-01-09T11:07:41,2022-01-09T16:02:37,0.25,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"04130099999,04124099999,04030099999,04018016201,BIKF,BIRK"
"ReykjavÃ­kurborg, Ãsland",2022-01-10,4.8,1.4,2.6,0,-4.3,-2.1,0.1,83.7,23.116,100,70.83,"rain,snow",0,0,90.8,51.4,136.1,969.1,72.8,12.6,4.9,0.5,0,10,2022-01-10T11:05:46,2022-01-10T16:05:23,0.25,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain or snow throughout the day.,rain,"04130099999,D2431,04124099999,04030099999,04018016201,BIKF,BIRK"
