name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
El Salvador,2022-01-01,29.3,19.2,24.6,30.2,19.2,24.9,19.3,73.8,0,0,0,,0,0,,13,116.2,1013,33.9,8.9,,,,,2022-01-01T06:20:31,2022-01-01T17:40:35,0.96,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"MSSS,78666099999,78650099999,78663099999,MSLP,78655099999"
El Salvador,2022-01-02,29.3,20.3,25.5,31.5,20.3,26.1,20.6,75.7,0,0,0,,0,0,,15.8,135.8,1013.5,45.4,10,,,,,2022-01-02T06:20:53,2022-01-02T17:41:10,0,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"MSSA,MSSS,78666099999,78650099999,MSAC,78663099999,MSLP,78655099999"
El Salvador,2022-01-03,31,21.2,26.4,31.6,21.2,27.1,20.4,71.4,0,0,0,,0,0,29.5,19.5,4.7,1014.2,47,10,,,,,2022-01-03T06:21:14,2022-01-03T17:41:44,0.03,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"MSSA,MSSS,78666099999,78650099999,MSAC,78663099999,MSLP,78655099999"
El Salvador,2022-01-04,29.1,20.4,25.9,29.7,20.4,26.3,18.3,63.8,0,0,0,,0,0,37.1,20.3,0.7,1013.5,30.9,10,,,,,2022-01-04T06:21:34,2022-01-04T17:42:18,0.06,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"MSSA,MSSS,78666099999,78650099999,MSAC,78663099999,MSLP,78655099999"
El Salvador,2022-01-05,33.7,18.4,25.7,33.5,18.4,25.9,17.5,62.4,0,0,0,,0,0,,16.6,12.7,1011.8,28.7,10,,,,,2022-01-05T06:21:54,2022-01-05T17:42:53,0.1,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"MSSA,MSSS,78666099999,78650099999,MSAC,78663099999,MSLP,78655099999"
El Salvador,2022-01-06,29,19.2,24.3,31.4,19.2,24.7,19,73.1,0,0,0,,0,0,,17.5,59.2,1012.1,34.4,10,,,,,2022-01-06T06:22:12,2022-01-06T17:43:27,0.13,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"MSSA,MSSS,78666099999,78650099999,MSAC,78663099999,MSLP,78655099999"
El Salvador,2022-01-07,31,22,24.9,33.7,22,25.3,20.1,75.5,0,0,0,,0,0,,16,86.4,1013.6,37.5,10,,,,,2022-01-07T06:22:30,2022-01-07T17:44:02,0.16,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,"MSSA,MSSS,78666099999,78650099999,MSAC,78663099999,MSLP,78655099999"
El Salvador,2022-01-08,28.3,20,24.4,29.2,20,24.5,18.9,72.8,0.118,100,4.17,rain,0,0,,14.4,40.9,1015.6,27.5,10,,,,,2022-01-08T06:22:46,2022-01-08T17:44:36,0.2,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"MSSS,78666099999,78650099999,MSAC,78663099999,MSLP,78655099999"
El Salvador,2022-01-09,30.3,18.2,25.2,30.3,18.2,25.3,18.9,69.8,0,0,0,,0,0,,14.1,19,1015.9,30.8,10,,,,,2022-01-09T06:23:02,2022-01-09T17:45:11,0.25,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"MSSA,MSSS,78666099999,78650099999,MSAC,78663099999,MSLP,78655099999"
El Salvador,2022-01-10,31,20.1,25.6,32,20.1,26.2,19.3,69.6,0,0,0,,0,0,20.2,17.4,1.7,1015.2,36,10,314.1,17,9,10,2022-01-10T06:23:16,2022-01-10T17:45:45,0.26,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"MSSS,78666099999,78650099999,MSAC,78663099999,MSLP,78655099999"
El Salvador,2022-01-11,31.4,19.6,26.1,31.2,19.6,26.3,17.4,60,0,0,0,,0,0,44.6,18.6,8.5,1014.8,30.3,10,231.2,16.7,9,10,2022-01-11T06:23:29,2022-01-11T17:46:19,0.29,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"MSSA,MSSS,78666099999,78650099999,MSAC,78663099999,MSLP,78655099999"
El Salvador,2022-01-12,29.4,19.5,26.1,29.5,19.5,26.3,17.3,59.4,0,0,0,,0,0,42.5,24.1,4.6,1015.2,33.9,10,198.8,14.4,8,10,2022-01-12T06:23:42,2022-01-12T17:46:54,0.33,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,"MSSS,78666099999,78650099999,MSAC,78663099999,MSLP,78655099999"
El Salvador,2022-01-13,30.1,18.6,25.4,30.2,18.6,25.5,17.1,61.3,0,0,0,,0,0,31.7,18.2,359.5,1015,23.5,10,239.3,17.2,9,10,2022-01-13T06:23:53,2022-01-13T17:47:28,0.36,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"MSSA,MSSS,78666099999,78650099999,MSAC,78663099999,MSLP,78655099999"
El Salvador,2022-01-14,29.2,19.4,24.2,29.4,19.4,24.3,17.5,67.5,0,0,0,,0,0,10.1,12.5,11.5,1014.4,18.9,10,232.5,16.8,9,10,2022-01-14T06:24:04,2022-01-14T17:48:01,0.39,Clear,Clear conditions throughout the day.,clear-day,"MSSA,MSSS,78666099999,78650099999,MSAC,78663099999,MSLP,78655099999"
El Salvador,2022-01-15,27.3,19.2,24.2,28.6,19.2,24.4,19.4,75.8,0,0,0,,0,0,15.1,17.9,159.1,1014.4,42,10,240.8,17.4,9,30,2022-01-15T06:24:13,2022-01-15T17:48:35,0.43,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"MSSA,MSSS,78666099999,78650099999,MSAC,78663099999,MSLP,78655099999"
El Salvador,2022-01-16,29.2,18.2,24,30.1,18.2,24.3,18.8,74.3,0,0,0,,0,0,16.6,14.4,211.7,1014.2,19.8,10,237.8,17.2,9,10,2022-01-16T06:24:21,2022-01-16T17:49:08,0.46,Clear,Clear conditions throughout the day.,clear-day,"MSSA,MSSS,78666099999,78650099999,MSAC,78663099999,MSLP,78655099999"
El Salvador,2022-01-17,29.2,17.6,24.6,29.4,17.6,24.6,16.1,60.5,0,0,0,,0,0,16.2,22,351.7,1014.2,13,10,247.2,18,9,10,2022-01-17T06:24:28,2022-01-17T17:49:41,0.5,Clear,Clear conditions throughout the day.,clear-day,"MSSA,MSSS,78666099999,78650099999,MSAC,78663099999,MSLP,78655099999"
El Salvador,2022-01-18,29.1,17.5,24,29,17.5,24,15.6,60.9,0,0,0,,0,0,14.8,19.6,357.7,1014.4,10.3,10,249.1,18.1,9,10,2022-01-18T06:24:34,2022-01-18T17:50:14,0.53,Clear,Clear conditions throughout the day.,clear-day,"MSSA,MSSS,78666099999,78650099999,MSAC,78663099999,MSLP,78655099999"
El Salvador,2022-01-19,30.1,17.5,24.5,29.6,17.5,24.5,16.8,64.1,0,0,0,,0,0,12.2,16.6,11.7,1013.1,11.7,10,251.9,18.1,9,10,2022-01-19T06:24:39,2022-01-19T17:50:46,0.56,Clear,Clear conditions throughout the day.,clear-day,"MSSA,MSSS,78666099999,78650099999,MSAC,78663099999,MSLP,78655099999"
El Salvador,2022-01-20,33,21,25.3,33.5,21,25.4,18.4,68.5,0,0,0,,0,0,10.4,16.6,345.6,1011.7,9.2,10,250.2,18.1,9,10,2022-01-20T06:24:42,2022-01-20T17:51:18,0.6,Clear,Clear conditions throughout the day.,clear-day,"MSSS,78666099999,78650099999,MSAC,78663099999,MSLP"
El Salvador,2022-01-21,31.1,20.2,25.1,34.6,20.2,25.4,19.1,71.5,0,0,0,,0,0,10.4,14.8,318,1013,5.7,10,250.3,18.1,9,10,2022-01-21T06:24:45,2022-01-21T17:51:49,0.63,Clear,Clear conditions throughout the day.,clear-day,"MSSA,MSSS,78666099999,78650099999,78663099999,MSLP,78655099999"
El Salvador,2022-01-22,31.1,21,25.8,32.1,21,26.1,19.2,68.9,0,0,0,,0,0,25.6,16.1,342.9,1013,19.8,10,246.4,17.8,9,10,2022-01-22T06:24:47,2022-01-22T17:52:20,0.67,Clear,Clear conditions throughout the day.,clear-day,"MSSA,MSSS,78666099999,78650099999,MSAC,78663099999,MSLP,78655099999"
El Salvador,2022-01-23,31,20.4,25.4,31.6,20.4,25.6,18.6,67.8,0,0,0,,0,0,33.5,18,1.4,1012.4,29.4,10,236.2,17,9,10,2022-01-23T06:24:47,2022-01-23T17:52:51,0.7,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,"MSSA,MSSS,78666099999,78650099999,78663099999,MSLP,78655099999"
El Salvador,2022-01-24,30.1,21,24.6,30.5,21,24.8,18.5,70.5,0,0,0,,0,0,13.3,14.1,0.7,1011.9,22.1,10,251,18.1,9,10,2022-01-24T06:24:46,2022-01-24T17:53:21,0.74,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"MSSA,MSSS,78666099999,78650099999,78663099999,MSLP,78655099999"
El Salvador,2022-01-25,29.4,19.3,24.3,30.1,19.3,24.6,19.2,74.4,0,0,0,,0,0,14.4,16.2,129.5,1012.2,20.8,10,264.9,20.1,9,10,2022-01-25T06:24:44,2022-01-25T17:53:51,0.75,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"MSSS,78666099999,78650099999,MSAC,78663099999,MSLP,78655099999"
El Salvador,2022-01-26,29.2,20.1,24.7,31.1,20.1,25.1,20.4,78.1,0,0,0,rain,0,0,18,17.7,249.9,1013.4,51.5,8.7,185.6,14,6,10,2022-01-26T06:24:41,2022-01-26T17:54:21,0.81,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"MSSA,MSSS,78666099999,78650099999,78663099999,MSLP,78655099999"
El Salvador,2022-01-27,32,19,25.2,31.7,19,25.4,18.5,69.3,0,0,0,,0,0,35.3,17.5,32.3,1014.1,23.7,10,258.9,18.6,9,10,2022-01-27T06:24:37,2022-01-27T17:54:49,0.84,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"MSSA,MSSS,78666099999,78650099999,MSAC,78663099999,MSLP,78655099999"
El Salvador,2022-01-28,30.9,18.3,25,32.5,18.3,25.4,19.5,72.9,0,0,0,,0,0,14.8,16,298.3,1014.3,27.2,10,255.2,18.5,9,10,2022-01-28T06:24:32,2022-01-28T17:55:18,0.88,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"MSSA,MSSS,78666099999,78650099999,MSAC,78663099999,MSLP,78655099999"
El Salvador,2022-01-29,30.1,21.4,26.1,29.9,21.4,26.3,18.1,63.3,0.1,100,4.17,rain,0,0,40.7,22.3,10.4,1014.3,36.3,10,198.5,14.4,9,10,2022-01-29T06:24:25,2022-01-29T17:55:46,0.91,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"MSSS,78666099999,78650099999,MSAC,78663099999,MSLP"
El Salvador,2022-01-30,28.5,17.6,25.1,28.2,17.6,25.1,15.1,54.9,0,0,0,,0,0,42.5,23.7,359.3,1015,12.6,10,256.1,18.6,9,10,2022-01-30T06:24:18,2022-01-30T17:56:13,0.95,Clear,Clear conditions throughout the day.,clear-day,"MSSS,78666099999,78650099999,MSAC,78663099999,MSLP"
El Salvador,2022-01-31,29.2,17.5,24.2,29,17.5,24.2,15.4,59.2,0,0,0,,0,0,35.3,16.6,1.3,1014,11.5,10,257.8,18.6,9,10,2022-01-31T06:24:09,2022-01-31T17:56:40,0,Clear,Clear conditions throughout the day.,clear-day,"MSSS,78666099999,78650099999,MSAC,78663099999,MSLP,78655099999"
El Salvador,2022-02-01,28.3,20,24,29.2,20,24.2,19.6,77.9,0,0,0,,0,0,12.6,16,135.5,1012.1,31.8,9.5,259.9,18.6,9,10,2022-02-01T06:24:00,2022-02-01T17:57:06,0.02,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,"MSSS,78666099999,78650099999,MSAC,78663099999,MSLP,78655099999"
El Salvador,2022-02-02,30.1,21,24.1,32.1,21,24.3,19.5,76.8,0,0,0,,0,0,15.1,21.3,188.1,1011.7,25.7,10,182.3,13.1,8,10,2022-02-02T06:23:49,2022-02-02T17:57:31,0.05,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"MSSA,MSSS,78666099999,78650099999,MSAC,78663099999,MSLP,78655099999"
El Salvador,2022-02-03,29.2,20,24.2,30.1,20,24.4,19.4,76.3,0,0,0,,0,0,14.8,16.2,142.5,1013.4,24.6,9.7,261.6,18.9,9,10,2022-02-03T06:23:37,2022-02-03T17:57:56,0.08,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"MSSS,78666099999,78650099999,MSAC,78663099999,MSLP,78655099999"
El Salvador,2022-02-04,31.1,18,24.4,31.4,18,24.8,18.3,70.3,0,0,0,,0,0,37.1,17.8,243.5,1014.6,22.7,10,262.9,19,9,10,2022-02-04T06:23:24,2022-02-04T17:58:21,0.11,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"MSSS,78666099999,78650099999,MSAC,78663099999,MSLP,78655099999"
El Salvador,2022-02-05,30.2,21,25.5,30.8,21,25.7,18,65.4,0,0,0,,0,0,46.4,25,354.1,1014.5,15.2,10,237.4,17.2,9,10,2022-02-05T06:23:10,2022-02-05T17:58:45,0.15,Clear,Clear conditions throughout the day.,clear-day,"MSSS,78666099999,78650099999,MSAC,78663099999,MSLP"
El Salvador,2022-02-06,29.3,19.4,26,29.4,19.4,26.1,16.6,57.4,0,0,0,,0,0,40.7,20.5,9.9,1013.9,24.3,10,219.9,15.9,9,10,2022-02-06T06:22:55,2022-02-06T17:59:08,0.18,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"MSSS,78666099999,78650099999,MSAC,78663099999,MSLP"
