name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
"San Juan, Puerto Rico",2022-01-01,28.5,23,25.9,29.1,23,26.2,17.8,61.3,0.134,100,4.17,rain,0,0,39.4,29.4,81.1,1018.3,46.2,16,415.4,17.9,8,,2022-01-01T06:56:27,2022-01-01T17:59:24,0.96,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"78526011641,99404399999,41053_maritime,C8822,TJSJ,TJNR,78535011630"
"San Juan, Puerto Rico",2022-01-02,28.1,23.5,25.8,28.8,23.5,26,17.8,61.7,0,0,0,,0,0,33,25,74.9,1019.1,49.4,16,408.6,17.4,8,,2022-01-02T06:56:47,2022-01-02T18:00:00,0,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"78526011641,99404399999,41053_maritime,C8822,TJSJ,TJNR,78535011630"
"San Juan, Puerto Rico",2022-01-03,28.4,23.8,26.1,30.7,23.8,26.7,20.9,73.3,7.035,100,29.17,rain,0,0,35,27,82.1,1019,54.7,15.8,376.3,16.4,8,,2022-01-03T06:57:06,2022-01-03T18:00:37,0.03,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"78526011641,99404399999,41053_maritime,C8822,TJSJ,TJNR,78535011630"
"San Juan, Puerto Rico",2022-01-04,28.3,22.8,25.5,30.4,22.8,26.1,20.7,75.3,3.807,100,16.67,rain,0,0,31,26.8,66.7,1017.1,45.6,16,197.8,8.4,5,,2022-01-04T06:57:24,2022-01-04T18:01:14,0.06,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"78526011641,99404399999,41053_maritime,C8822,TJSJ,TJNR,78535011630"
"San Juan, Puerto Rico",2022-01-05,28.3,22.8,25.2,29.8,22.8,25.7,20.7,76.9,5.975,100,16.67,rain,0,0,34.1,26.9,88,1015.6,48.7,15.7,366.6,15.8,8,,2022-01-05T06:57:40,2022-01-05T18:01:51,0.1,"Rain, Partially cloudy",Clearing in the afternoon with rain clearing later.,rain,"78526011641,99404399999,41053_maritime,C8822,TJSJ,TJNR,78535011630"
"San Juan, Puerto Rico",2022-01-06,27.7,22.4,24.9,29.1,22.4,25.4,20.4,76.8,7.026,100,20.83,rain,0,0,38.7,29,74.5,1016.1,37.7,16,329,14.2,8,,2022-01-06T06:57:56,2022-01-06T18:02:29,0.13,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"78526011641,99404399999,41053_maritime,C8822,TJSJ,TJNR,78535011630"
"San Juan, Puerto Rico",2022-01-07,28.8,23.5,25.8,30.9,23.5,26.6,21.5,77.8,5.558,100,20.83,rain,0,0,36.6,29.6,90,1017.5,45.1,15.9,354.3,15.2,8,,2022-01-07T06:58:10,2022-01-07T18:03:07,0.16,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"78526011641,99404399999,41053_maritime,C8822,TJSJ,TJNR,78535011630"
"San Juan, Puerto Rico",2022-01-08,27.2,23.7,25.4,29.1,23.7,25.8,21,76.6,2.255,100,33.33,rain,0,0,36,29,75.9,1019.9,50.2,15.9,300.8,13.1,7,,2022-01-08T06:58:23,2022-01-08T18:03:45,0.19,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"78526011641,99404399999,41053_maritime,C8822,TJSJ,TJNR,78535011630"
"San Juan, Puerto Rico",2022-01-09,27.7,24.5,26,29.3,24.5,26.5,19.8,68.8,0.012,100,4.17,rain,0,0,41.3,32.5,66.9,1020,51.6,16,293.9,13.8,6,,2022-01-09T06:58:35,2022-01-09T18:04:23,0.25,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"78526011641,99404399999,CSAP4,41053_maritime,C8822,TJSJ,TJNR,78535011630"
"San Juan, Puerto Rico",2022-01-10,27.1,22.9,25,28.7,22.9,25.4,19.7,72.5,0.941,100,33.33,rain,0,0,35.6,25.6,80.4,1017.9,50.1,16,277.4,16,9,10,2022-01-10T06:58:46,2022-01-10T18:05:01,0.26,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"78526011641,99404399999,41053_maritime,C8822,TJSJ,TJNR,78535011630"
"San Juan, Puerto Rico",2022-01-11,27.2,22.3,24.6,28.8,22.3,24.9,20.3,77.2,10.826,100,16.67,rain,0,0,31.9,21.2,57.7,1017.3,56.9,15.9,147.8,11.7,7,10,2022-01-11T06:58:56,2022-01-11T18:05:39,0.29,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"78526011641,99404399999,41053_maritime,C8822,TJSJ,TJNR,78535011630"
"San Juan, Puerto Rico",2022-01-12,27.5,22,24.5,28.6,22,24.7,19.8,75.8,0.043,100,8.33,rain,0,0,33.7,27.2,81.2,1016,48.7,16,231,18.3,8,10,2022-01-12T06:59:04,2022-01-12T18:06:17,0.33,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"78526011641,99404399999,CSAP4,41053_maritime,C8822,TJSJ,TJNR,78535011630"
"San Juan, Puerto Rico",2022-01-13,29.7,21.9,25.3,30.1,21.9,25.6,18.6,67.8,0.012,100,4.17,rain,0,0,30,17.9,162.5,1014.7,28.7,16,236.4,18.7,8,10,2022-01-13T06:59:11,2022-01-13T18:06:55,0.36,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"78526011641,99404399999,CSAP4,41053_maritime,C8822,TJSJ,TJNR,78535011630"
"San Juan, Puerto Rico",2022-01-14,30.7,22.4,25.8,31.7,22.4,26.4,19.9,70.7,0.007,100,4.17,rain,0,0,18.7,18.8,167.9,1014.6,32.3,16,212.6,16.9,8,10,2022-01-14T06:59:17,2022-01-14T18:07:34,0.39,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"78526011641,99404399999,CSAP4,41053_maritime,C8822,TJSJ,TJNR,78535011630"
"San Juan, Puerto Rico",2022-01-15,27.9,22.9,24.9,29.9,22.9,25.4,20.9,78.7,3.725,100,12.5,rain,0,0,29.6,18.1,78.5,1017.1,48.8,15.9,169.8,13.4,6,10,2022-01-15T06:59:22,2022-01-15T18:08:12,0.42,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"78526011641,99404399999,CSAP4,41053_maritime,C8822,TJSJ,TJNR,78535011630"
"San Juan, Puerto Rico",2022-01-16,28.1,22.5,25.3,30.9,22.5,26,21.1,77.8,0,0,0,rain,0,0,36.6,31.6,83.5,1016.9,41.5,16,217.8,17.2,8,30,2022-01-16T06:59:26,2022-01-16T18:08:50,0.46,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"78526011641,99404399999,CSAP4,41053_maritime,C8822,TJSJ,TJNR,78535011630"
"San Juan, Puerto Rico",2022-01-17,29.7,23.3,26,30.5,23.3,26.4,19.7,69.5,0,0,0,,0,0,29.7,20.9,131.4,1016.2,33.4,16,213.5,16.9,8,10,2022-01-17T06:59:28,2022-01-17T18:09:28,0.5,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"78526011641,99404399999,CSAP4,41053_maritime,C8822,TJSJ,TJNR,78535011630"
"San Juan, Puerto Rico",2022-01-18,28.1,21.5,25,30.1,21.5,25.5,20.2,75.3,0.134,100,4.17,rain,0,0,30.7,25.7,79.3,1016.9,35.7,16,222.2,17.6,8,10,2022-01-18T06:59:29,2022-01-18T18:10:05,0.52,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"78526011641,99404399999,CSAP4,41053_maritime,C8822,TJSJ,TJNR,78535011630"
"San Juan, Puerto Rico",2022-01-19,28.4,22.7,25.4,30.5,22.7,26.1,20.5,74.7,0.427,100,8.33,rain,0,0,35.6,29.9,77,1018.5,34.7,15.9,213.7,17,7,10,2022-01-19T06:59:29,2022-01-19T18:10:43,0.56,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"78526011641,99404399999,CSAP4,41053_maritime,C8822,TJSJ,TJNR,78535011630"
"San Juan, Puerto Rico",2022-01-20,28.1,23.1,25.3,30.1,23.1,25.7,20.6,75.9,3.806,100,12.5,rain,0,0,41.1,29.6,89.3,1018.2,42.9,15.9,219.5,17.4,8,10,2022-01-20T06:59:27,2022-01-20T18:11:20,0.59,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"78526011641,99404399999,CSAP4,41053_maritime,C8822,TJSJ,TJNR,78535011630"
"San Juan, Puerto Rico",2022-01-21,27.9,22.9,25.3,29.6,22.9,25.7,20,72.9,0.446,100,12.5,rain,0,0,44.6,33.8,86.9,1017.9,49.3,15.9,198.7,15.7,9,10,2022-01-21T06:59:25,2022-01-21T18:11:57,0.63,"Rain, Partially cloudy",Clearing in the afternoon with early morning rain.,rain,"78526011641,99404399999,CSAP4,41053_maritime,C8822,TJSJ,TJNR,78535011630"
"San Juan, Puerto Rico",2022-01-22,27.7,22,24.8,29.6,22,25.2,19.9,74,0.98,100,8.33,rain,0,0,38.9,28.6,83.4,1017.2,48.3,16,233.6,18.5,8,10,2022-01-22T06:59:21,2022-01-22T18:12:34,0.66,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"78526011641,99404399999,CSAP4,41053_maritime,C8822,TJSJ,TJNR,78535011630"
"San Juan, Puerto Rico",2022-01-23,27.7,22.7,25,28.2,22.7,25.2,18.1,66.4,1.268,100,8.33,rain,0,0,30.7,23.5,79,1015.3,43,16,209.4,16.5,7,10,2022-01-23T06:59:15,2022-01-23T18:13:10,0.7,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"78526011641,99404399999,41053_maritime,C8822,TJSJ,TJNR,78535011630"
"San Juan, Puerto Rico",2022-01-24,28.4,20.7,25,30.4,20.7,25.4,19.1,70.4,0.293,100,4.17,rain,0,0,38.9,29.1,90,1014.4,29.3,16,235,18.5,8,10,2022-01-24T06:59:09,2022-01-24T18:13:46,0.73,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"78526011641,99404399999,41053_maritime,C8822,TJSJ,TJNR,78535011630"
"San Juan, Puerto Rico",2022-01-25,29,22.8,25.6,30.5,22.8,26,19.5,69.9,0.373,100,16.67,rain,0,0,38.3,26.6,93.8,1015.6,36.4,16,217.2,17,9,10,2022-01-25T06:59:01,2022-01-25T18:14:22,0.75,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"78526011641,99404399999,41053_maritime,C8822,TJSJ,TJNR,78535011630"
"San Juan, Puerto Rico",2022-01-26,28.2,22.1,25,29.4,22.1,25.3,18.9,69.3,0,0,0,rain,0,0,33.5,24.2,71.5,1016.5,27.3,16,235.3,19.4,8,10,2022-01-26T06:58:52,2022-01-26T18:14:57,0.8,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"78526011641,99404399999,41053_maritime,C8822,TJSJ,TJNR,78535011630"
"San Juan, Puerto Rico",2022-01-27,27.9,23.4,25.2,29.9,23.4,25.5,20,73.2,0.781,100,8.33,rain,0,0,37.1,28.1,69.7,1016.3,50.6,15.9,211.8,16.7,9,10,2022-01-27T06:58:42,2022-01-27T18:15:33,0.84,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"78526011641,99404399999,CSAP4,41053_maritime,C8822,TJSJ,TJNR,78535011630"
"San Juan, Puerto Rico",2022-01-28,27.6,22.1,24.9,28.8,22.1,25.2,19.9,74.6,0.651,100,8.33,rain,0,0,29.5,23.5,78.1,1015.3,38,16,202,15.9,8,10,2022-01-28T06:58:31,2022-01-28T18:16:07,0.87,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"78526011641,99404399999,41053_maritime,C8822,TJSJ,TJNR,78535011630"
"San Juan, Puerto Rico",2022-01-29,28.8,22.4,25.2,29.3,22.4,25.4,19,69.6,0,0,0,,0,0,29.5,20.9,74.7,1014.7,38.8,16,221.8,17.5,8,10,2022-01-29T06:58:18,2022-01-29T18:16:41,0.91,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"78526011641,99404399999,41053_maritime,C8822,TJSJ,TJNR,78535011630"
"San Juan, Puerto Rico",2022-01-30,28.5,21.3,24.9,30.9,21.3,25.4,19.6,73,0.293,100,4.17,rain,0,0,38.9,30,74.5,1015.6,27.1,16,225,17.8,8,10,2022-01-30T06:58:04,2022-01-30T18:17:15,0.94,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"78526011641,99404399999,41053_maritime,C8822,TJSJ,TJNR,78535011630"
"San Juan, Puerto Rico",2022-01-31,28.3,22.2,24.6,30.3,22.2,25.1,20.5,78.9,14.169,100,20.83,rain,0,0,32.5,20.9,43.9,1015.2,41.3,15.4,201,15.8,9,10,2022-01-31T06:57:49,2022-01-31T18:17:49,0.98,"Rain, Partially cloudy",Becoming cloudy in the afternoon with rain.,rain,"78526011641,99404399999,41053_maritime,C8822,TJSJ,F4325,TJNR,78535011630"
"San Juan, Puerto Rico",2022-02-01,27.8,22,24.9,29.9,22,25.4,20.8,78.7,0.96,100,20.83,rain,0,0,30.7,23.6,69.7,1015.5,54.3,15.9,255.4,20.2,9,10,2022-02-01T06:57:33,2022-02-01T18:18:21,0,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"78526011641,99404399999,41053_maritime,C8822,TJSJ,TJNR,78535011630"
"San Juan, Puerto Rico",2022-02-02,28.1,22.6,25.1,30.1,22.6,25.7,21.1,78.6,10.771,100,12.5,rain,0,0,35.3,29.1,76.3,1015.9,51,15.6,247.5,19.4,8,30,2022-02-02T06:57:15,2022-02-02T18:18:54,0.05,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"78526011641,99404399999,41053_maritime,C8822,TJSJ,TJNR,78535011630"
"San Juan, Puerto Rico",2022-02-03,27.7,23,25.1,30.3,23,25.5,21.3,80,11.755,100,25,rain,0,0,36.7,21.9,61.2,1016.9,73.5,15.5,115.4,9.3,6,30,2022-02-03T06:56:57,2022-02-03T18:19:26,0.08,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"78526011641,99404399999,41053_maritime,C8822,TJSJ,TJNR,78535011630"
"San Juan, Puerto Rico",2022-02-04,25.8,22.1,24.1,25.8,22.1,24.1,20.3,79.6,18.41,100,62.5,rain,0,0,53.6,35.8,56.7,1017.3,63.6,14.6,81,6.5,4,30,2022-02-04T06:56:37,2022-02-04T18:19:57,0.11,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"78526011641,99404399999,41053_maritime,C8822,TJSJ,TJNR,78535011630"
"San Juan, Puerto Rico",2022-02-05,23.5,21.4,22.3,23.5,21.4,22.3,20.7,90.8,94.024,100,70.83,rain,0,0,35.3,23.7,80.7,1016.3,79.6,13.3,112.8,9,4,30,2022-02-05T06:56:16,2022-02-05T18:20:28,0.14,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"78526011641,99404399999,41053_maritime,C8822,TJSJ,TJNR,78535011630"
"San Juan, Puerto Rico",2022-02-06,25.8,21.8,23.2,25.8,21.8,23.2,21.4,89.9,69.886,100,95.83,rain,0,0,46.2,30,83.3,1016.2,86.4,14.4,107.4,8.5,5,10,2022-02-06T06:55:54,2022-02-06T18:20:59,0.18,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"78526011641,99404399999,41053_maritime,C8822,TJSJ,F4325,TJNR,78535011630"
"San Juan, Puerto Rico",2022-02-07,26.6,22,24.2,26.6,22,24.2,20.4,80,30.908,100,37.5,rain,0,0,36.6,27.5,93.3,1016.7,85.7,15.2,162.4,12.6,5,10,2022-02-07T06:55:31,2022-02-07T18:21:29,0.21,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"78526011641,99404399999,41053_maritime,C8822,TJSJ,F4325,TJNR,78535011630"
"San Juan, Puerto Rico",2022-02-08,27,22,24.5,28.2,22,24.5,19.4,74.1,4.964,100,16.67,rain,0,0,40.9,34.3,85.5,1016.3,58.8,16,134.7,10.8,4,10,2022-02-08T06:55:07,2022-02-08T18:21:58,0.25,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"78526011641,99404399999,41053_maritime,C8822,TJSJ,TJNR,78535011630"
"San Juan, Puerto Rico",2022-02-09,27.1,22.5,24.8,28.6,22.5,24.9,18.9,70.2,0.134,100,4.17,rain,0,0,37.1,32.7,87.8,1015.9,54.1,16,248,19.5,9,10,2022-02-09T06:54:41,2022-02-09T18:22:27,0.27,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"78526011641,99404399999,41053_maritime,C8822,TJSJ,TJNR,78535011630"
"San Juan, Puerto Rico",2022-02-10,28.5,22.6,25.1,29.8,22.6,25.4,19.6,72.1,0.586,100,8.33,rain,0,0,42.5,31.4,85.2,1015.8,47.8,16,250,19.6,9,10,2022-02-10T06:54:15,2022-02-10T18:22:55,0.3,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"78526011641,99404399999,41053_maritime,C8822,TJSJ,TJNR,78535011630"
"San Juan, Puerto Rico",2022-02-11,27.9,23.1,25.2,29.9,23.1,25.7,20.2,74.2,0.598,100,12.5,rain,0,0,46.4,36.1,89.6,1016.6,46,16,222.1,17.5,8,10,2022-02-11T06:53:48,2022-02-11T18:23:23,0.34,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"78526011641,99404399999,41053_maritime,C8822,TJSJ,TJNR,78535011630"
"San Juan, Puerto Rico",2022-02-12,26.8,22.5,24.4,28.3,22.5,24.5,20.1,77.6,2.732,100,54.17,rain,0,0,50.7,36.4,84.9,1017.9,68.9,15.7,165.6,13.2,8,10,2022-02-12T06:53:19,2022-02-12T18:23:50,0.37,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"78526011641,99404399999,41053_maritime,C8822,TJSJ,TJNR,78535011630"
"San Juan, Puerto Rico",2022-02-13,27.6,22.6,24.4,29.7,22.6,24.5,20.9,81.1,2.129,100,37.5,rain,0,0,44.5,28.9,86.7,1017.1,71.9,15.8,165.5,12.9,5,10,2022-02-13T06:52:50,2022-02-13T18:24:17,0.4,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"78526011641,99404399999,41053_maritime,C8822,TJSJ,TJNR,78535011630"
"San Juan, Puerto Rico",2022-02-14,27.6,23.1,25,29.5,23.1,25.3,20.2,75.1,0.006,100,4.17,rain,0,0,33,26.7,79.7,1017.3,42.6,16,262.2,20.6,8,10,2022-02-14T06:52:19,2022-02-14T18:24:43,0.43,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"78526011641,99404399999,41053_maritime,C8822,TJSJ,TJNR,78535011630"
