name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
"Sarajevo, Federacija Bosne i Hercegovine, Bosna i Hercegovina",2022-01-01,8.1,0.6,3.3,8.1,-1.2,2.6,2.2,92.8,0,0,0,,0,0.2,,10.7,97.5,1025.4,84.1,4.7,87.9,7.6,4,,2022-01-01T07:20:38,2022-01-01T16:19:10,0.95,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"LQSA,14654099999,14549099999,13353099999,14652099999,14650099999,14557099999"
"Sarajevo, Federacija Bosne i Hercegovine, Bosna i Hercegovina",2022-01-02,4.1,0.7,2.3,4.1,-0.2,2.1,2.1,98.5,0,0,0,,0,0.2,,8.4,183.6,1024.8,92.2,0.5,94.4,8.1,4,,2022-01-02T07:20:41,2022-01-02T16:20:04,0,Overcast,Cloudy skies throughout the day.,fog,"LQSA,14654099999,14549099999,13353099999,14652099999,14557099999"
"Sarajevo, Federacija Bosne i Hercegovine, Bosna i Hercegovina",2022-01-03,10.6,-0.1,3.9,10.6,-2.3,3.2,1.4,84.8,0.1,100,4.17,"rain,snow",0,0.2,,10.7,120.4,1017.6,58.5,11.4,33.8,3,2,,2022-01-03T07:20:41,2022-01-03T16:21:00,0.02,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with early morning snow or rain.,rain,"LQSA,14654099999,14549099999,13353099999,14652099999,14557099999"
"Sarajevo, Federacija Bosne i Hercegovine, Bosna i Hercegovina",2022-01-04,12.6,1.8,6.7,12.6,-0.4,5.6,2,73.2,0,0,0,,0,0.2,,17.9,193,1011.1,66.7,12.5,27.4,2.3,1,,2022-01-04T07:20:39,2022-01-04T16:21:58,0.06,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"LQSA,14654099999,14549099999,13353099999,14652099999,14650099999,14557099999"
"Sarajevo, Federacija Bosne i Hercegovine, Bosna i Hercegovina",2022-01-05,13.5,10.3,12.1,13.5,10.3,12.1,4.5,60,0,0,0,,0,0.2,57.6,21.7,206.4,1003.1,67,15.7,36.2,3,2,,2022-01-05T07:20:34,2022-01-05T16:22:57,0.09,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"LQSA,14654099999,14549099999,13353099999,14652099999,14650099999,14557099999"
"Sarajevo, Federacija Bosne i Hercegovine, Bosna i Hercegovina",2022-01-06,12.3,-0.1,2.8,12.3,-4.4,2,1.1,90.1,14.388,100,16.67,"rain,snow",4.8,2.1,,16,282.7,1012.1,97.2,4.4,47.4,4.1,2,,2022-01-06T07:20:27,2022-01-06T16:23:58,0.12,"Snow, Rain, Overcast",Cloudy skies throughout the day with a chance of rain or snow throughout the day.,snow,"LQSA,14654099999,14549099999,13353099999,14652099999,14650099999,14557099999"
"Sarajevo, Federacija Bosne i Hercegovine, Bosna i Hercegovina",2022-01-07,1.3,-0.5,0.3,1.3,-2.9,-0.5,-0.6,92.8,4.013,100,8.33,"rain,snow",3.4,7.1,,14.4,87.8,1019.1,99,7.5,69.9,6.1,3,,2022-01-07T07:20:17,2022-01-07T16:25:01,0.15,"Snow, Rain, Overcast",Cloudy skies throughout the day with rain or snow clearing later.,snow,"LQSA,14654099999,14549099999,13353099999,14652099999,14650099999,14557099999"
"Sarajevo, Federacija Bosne i Hercegovine, Bosna i Hercegovina",2022-01-08,2.1,-1.3,-0.1,2.1,-4,-0.6,-0.5,95.5,3.893,100,8.33,"rain,snow",0.7,8.4,,7.2,318.6,1012.8,99.9,3.8,57.7,5,3,,2022-01-08T07:20:05,2022-01-08T16:26:05,0.19,"Snow, Rain, Overcast",Cloudy skies throughout the day with rain or snow in the morning and afternoon.,snow,"LQSA,14648099999,14654099999,14549099999,13353099999,14652099999,14650099999,14557099999"
"Sarajevo, Federacija Bosne i Hercegovine, Bosna i Hercegovina",2022-01-09,1.1,-1.6,-0.4,1.1,-4.3,-1.2,-1.7,90,0.103,100,8.33,"rain,snow",0,2.9,24.1,7.2,354.9,1005.4,97.8,7.7,69.7,6.1,4,,2022-01-09T07:19:50,2022-01-09T16:27:10,0.25,"Snow, Rain, Overcast",Cloudy skies throughout the day with rain or snow clearing later.,rain,"LQSA,14654099999,14549099999,13353099999,14652099999,14650099999,14557099999"
"Sarajevo, Federacija Bosne i Hercegovine, Bosna i Hercegovina",2022-01-10,-0.8,-2.9,-1.7,-0.8,-5.7,-3,-2.9,90.9,1.206,100,8.33,"rain,snow",4.2,7.5,15.8,10.9,308.4,1009.6,97.7,6.6,79.2,7,3,10,2022-01-10T07:19:33,2022-01-10T16:28:17,0.25,"Snow, Rain, Overcast",Cloudy skies throughout the day with rain or snow in the morning and afternoon.,snow,"LQSA,14654099999,14549099999,13353099999,14652099999,14650099999,14557099999"
"Sarajevo, Federacija Bosne i Hercegovine, Bosna i Hercegovina",2022-01-11,-1.2,-3.6,-2.5,-1.4,-6.7,-4,-3.8,90.5,3.423,100,12.5,snow,17.4,15.4,16.6,11,312.8,1022.7,100,5.1,53.5,4.7,3,10,2022-01-11T07:19:13,2022-01-11T16:29:25,0.29,"Snow, Overcast",Cloudy skies throughout the day with a chance of snow throughout the day.,snow,"LQSA,14648099999,14654099999,14549099999,13353099999,14652099999,14650099999,14557099999"
"Sarajevo, Federacija Bosne i Hercegovine, Bosna i Hercegovina",2022-01-12,-1,-7.2,-3.8,-2.4,-12.1,-6.1,-7.2,77.9,0.5,100,8.33,"rain,snow",0.3,9.8,13.7,14.4,34.7,1032,83.8,14.2,85.1,7.2,4,10,2022-01-12T07:18:51,2022-01-12T16:30:35,0.32,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with rain or snow.,snow,"LQSA,14654099999,14549099999,13353099999,14652099999,14650099999,14557099999"
"Sarajevo, Federacija Bosne i Hercegovine, Bosna i Hercegovina",2022-01-13,-1.4,-9.7,-6.4,-1.4,-15.1,-7.8,-10.5,74,0,0,0,,0,8.1,9.7,11,130.8,1039.2,28.7,15.4,96.5,8.4,4,10,2022-01-13T07:18:26,2022-01-13T16:31:46,0.35,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"LQSA,14654099999,14549099999,13353099999,14652099999,14650099999,14557099999"
"Sarajevo, Federacija Bosne i Hercegovine, Bosna i Hercegovina",2022-01-14,3,-8.9,-3.7,3,-14.9,-4.4,-7.2,78.2,0,0,0,,0,7.6,9.4,14.2,160.7,1033.5,26.6,9.6,89.4,7.8,4,10,2022-01-14T07:18:00,2022-01-14T16:32:58,0.38,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"LQSA,14648099999,14654099999,14549099999,13353099999,14652099999,14650099999,14557099999"
"Sarajevo, Federacija Bosne i Hercegovine, Bosna i Hercegovina",2022-01-15,5,-7,-1.9,5,-9.4,-2.8,-4.5,83.3,0,0,0,snow,0.2,5.9,14.4,10.8,105.4,1029.1,31.6,8,78.7,6.9,4,10,2022-01-15T07:17:30,2022-01-15T16:34:11,0.42,Partially cloudy,Partly cloudy throughout the day.,snow,"LQSA,14654099999,14549099999,13353099999,14652099999,14650099999,14557099999"
"Sarajevo, Federacija Bosne i Hercegovine, Bosna i Hercegovina",2022-01-16,2.6,-6.6,-2.8,2.6,-11.1,-4.4,-6.2,78.1,0,0,0,,0,4.4,6.8,14.2,135.4,1027.2,48.3,10.9,99.1,8.5,4,10,2022-01-16T07:16:59,2022-01-16T16:35:25,0.45,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"LQSA,14654099999,14549099999,13353099999,14652099999,14650099999,14557099999"
"Sarajevo, Federacija Bosne i Hercegovine, Bosna i Hercegovina",2022-01-17,6.1,-4.9,-0.2,6.1,-7.6,-0.6,-3.6,79,0.089,100,4.17,snow,0.2,3.8,15.5,10.7,194.2,1025.2,55.1,6.9,88.1,7.7,4,10,2022-01-17T07:16:24,2022-01-17T16:36:39,0.48,"Snow, Partially cloudy",Partly cloudy throughout the day with morning snow.,snow,"LQSA,14654099999,14549099999,13353099999,14652099999,14650099999,14557099999"
"Sarajevo, Federacija Bosne i Hercegovine, Bosna i Hercegovina",2022-01-18,5,-2.9,1.2,4.5,-7.4,0.1,-6.2,61.8,0.004,100,4.17,"rain,snow",1.5,2.4,52.6,14.6,315.8,1032.2,44.2,15.8,100.3,8.7,4,10,2022-01-18T07:15:48,2022-01-18T16:37:55,0.5,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with morning rain or snow.,snow,"LQSA,14654099999,14549099999,13353099999,14652099999,14650099999,14557099999"
"Sarajevo, Federacija Bosne i Hercegovine, Bosna i Hercegovina",2022-01-19,5.1,-6.4,-1.7,5.1,-11,-3.3,-6.7,70,19.953,100,4.17,snow,0,2.3,7.9,17.9,123.4,1032.1,5.8,15.7,104,8.9,4,10,2022-01-19T07:15:10,2022-01-19T16:39:12,0.55,Snow,Clear conditions throughout the day with morning snow.,rain,"LQSA,14654099999,14549099999,13353099999,14652099999,14650099999,14557099999"
"Sarajevo, Federacija Bosne i Hercegovine, Bosna i Hercegovina",2022-01-20,7.8,-5.9,0.7,6.8,-8.2,0.4,-3.9,72.6,0.053,100,4.17,snow,0,1.9,21.2,10.8,140.5,1021.6,56.4,14.1,90.2,7.8,4,10,2022-01-20T07:14:29,2022-01-20T16:40:29,0.59,"Snow, Partially cloudy",Partly cloudy throughout the day with morning snow.,rain,"LQSA,14654099999,14549099999,13353099999,14652099999,14650099999,14557099999"
"Sarajevo, Federacija Bosne i Hercegovine, Bosna i Hercegovina",2022-01-21,2.1,-8.1,-2,2.1,-13.2,-4.3,-5.6,77.7,3.118,100,12.5,snow,6.7,2.5,26.3,14.4,53.7,1024.2,68.9,13.7,75,6.3,3,10,2022-01-21T07:13:46,2022-01-21T16:41:48,0.62,"Snow, Partially cloudy",Partly cloudy throughout the day with a chance of snow throughout the day.,snow,"LQSA,14654099999,14549099999,13353099999,14652099999,14650099999,14557099999"
"Sarajevo, Federacija Bosne i Hercegovine, Bosna i Hercegovina",2022-01-22,-3.4,-9.2,-6.3,-4,-14.2,-8.5,-8.2,87,3.006,100,16.67,snow,6.2,7.3,41.8,12.9,61.2,1025.6,75.3,9.8,56.4,4.8,2,10,2022-01-22T07:13:00,2022-01-22T16:43:06,0.66,"Snow, Partially cloudy",Partly cloudy throughout the day with a chance of snow throughout the day.,snow,"LQSA,14654099999,14549099999,13353099999,14652099999,14557099999"
"Sarajevo, Federacija Bosne i Hercegovine, Bosna i Hercegovina",2022-01-23,-0.4,-9.4,-3.9,-1.2,-9.4,-4.9,-8.6,71.3,0.106,100,4.17,snow,3.5,6,35.6,10.9,304.6,1029.5,72.6,14.2,92.4,8.1,4,10,2022-01-23T07:12:13,2022-01-23T16:44:26,0.69,"Snow, Partially cloudy",Partly cloudy throughout the day with early morning snow.,snow,"LQSA,14654099999,14549099999,13353099999,14652099999,14557099999"
