name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
Saskatoon,2022-01-01,-24.9,-35.9,-31.1,-32.5,-48.5,-41.3,-35.2,66.9,0,0,0,,0,4.8,,20.5,177.3,1021.6,32.7,24,37.1,3.3,2,,2022-01-01T09:15:30,2022-01-01T17:05:26,0.96,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"71496099999,71551099999,71866099999,CPOX,CYXE,E7507,CWYE"
Saskatoon,2022-01-02,-13,-24.1,-17.7,-16.5,-31.8,-25.7,-21.7,71.2,0,0,0,,0,4.8,33.5,20.4,212.9,1012,70.5,24,37.4,3.3,2,,2022-01-02T09:15:20,2022-01-02T17:06:33,0,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"71496099999,71551099999,71866099999,CPOX,CYXE,E7507,CWYE"
Saskatoon,2022-01-03,-19,-20.9,-20,-28.1,-34.5,-31.5,-23.6,73.3,0.796,100,16.67,snow,0.9,5.1,42.4,34.5,51.4,1021.3,100,15.6,22,1.9,1,,2022-01-03T09:15:07,2022-01-03T17:07:42,0.03,"Snow, Overcast",Cloudy skies throughout the day with snow.,snow,"71496099999,71551099999,71866099999,CPOX,CYXE,E7507,CWYE"
Saskatoon,2022-01-04,-21,-27.1,-22.9,-33.6,-38.3,-35.6,-26.5,72.3,0.801,100,25,snow,0.5,6.1,51.8,37.4,22.4,1025.8,100,4,32.1,2.8,2,,2022-01-04T09:14:50,2022-01-04T17:08:54,0.06,"Snow, Overcast",Cloudy skies throughout the day with snow.,snow,"71496099999,71551099999,71866099999,CPOX,CYXE,E7507,CWYE"
Saskatoon,2022-01-05,-27.2,-37,-33.5,-39.5,-49.4,-45.6,-38,63.9,0,0,0,,0,5.9,,22.3,306.8,1038.6,64.8,21.7,38.4,3.4,2,,2022-01-05T09:14:30,2022-01-05T17:10:09,0.1,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"71496099999,71551099999,71866099999,CPOX,CYXE,E7507,CWYE"
Saskatoon,2022-01-06,-30.9,-39.3,-34.8,-30.9,-51.1,-44.3,-38.4,70.2,0.001,100,4.17,snow,0,5.9,,18.4,166.5,1032.2,57.6,19.9,49.6,4.2,3,,2022-01-06T09:14:07,2022-01-06T17:11:26,0.13,"Snow, Partially cloudy",Partly cloudy throughout the day with early morning snow.,snow,"71496099999,71551099999,71866099999,CPOX,CYXE,remote,E7507,CWYE"
Saskatoon,2022-01-07,-20,-33.9,-25.5,-28.9,-46.9,-37,-29.1,69.5,1.5,100,50,snow,0,5.9,,27.7,90.6,1002.7,90.3,12.4,23.2,1.9,1,,2022-01-07T09:13:40,2022-01-07T17:12:45,0.16,"Snow, Overcast",Cloudy skies throughout the day with snow.,snow,"71866099999,E7507"
Saskatoon,2022-01-08,-20.5,-32.8,-25.8,-33.6,-43.3,-38.8,-29.9,68.7,0.404,100,8.33,snow,0,5.3,51.8,40.7,287.2,1019.8,41.5,22.9,43.1,3.8,2,,2022-01-08T09:13:10,2022-01-08T17:14:07,0.2,"Snow, Partially cloudy",Clearing in the afternoon with snow clearing later.,snow,"71496099999,71551099999,71866099999,CPOX,remote,CYXE,E7507,CWYE"
Saskatoon,2022-01-09,-22,-32,-27,-22,-42.6,-34.2,-31.6,65,0,0,0,,0,3.3,,13.3,256.6,1037.1,84.7,24,42.1,3.7,2,,2022-01-09T09:12:37,2022-01-09T17:15:31,0.25,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"71496099999,71551099999,71866099999,CPOX,CYXE,E7507,CWYE"
Saskatoon,2022-01-10,-13.9,-21.2,-16.9,-20,-29.5,-24.3,-21.5,68,0,0,0,,0.2,3.2,38.9,21.8,149.1,1024.9,85.1,24,45.8,4,3,10,2022-01-10T09:12:00,2022-01-10T17:16:57,0.26,Partially cloudy,Partly cloudy throughout the day.,snow,"71496099999,71551099999,71866099999,CPOX,CYXE,E7507,CWYE"
Saskatoon,2022-01-11,-1.6,-16,-6,-3.3,-24,-11.2,-9.3,77.7,0,0,0,,0.1,3.5,46.1,25.5,241.2,1011.9,80.7,23.3,36.1,3.3,2,10,2022-01-11T09:11:21,2022-01-11T17:18:25,0.29,Partially cloudy,Partly cloudy throughout the day.,snow,"71496099999,71551099999,71866099999,CPOX,CYXE,E7507,CWYE"
Saskatoon,2022-01-12,-1,-11,-4.7,-6,-17.2,-9.5,-7.1,83.6,0.199,100,4.17,snow,0,3.5,37.4,21.6,214.1,1013.3,75.1,26.1,34.8,3.1,2,10,2022-01-12T09:10:38,2022-01-12T17:19:55,0.33,"Snow, Partially cloudy",Partly cloudy throughout the day with afternoon snow.,snow,"71496099999,71551099999,71866099999,CPOX,CYXE,E7507,CWYE"
Saskatoon,2022-01-13,-4.1,-12.6,-7.9,-7.4,-18.2,-12.2,-9.4,88.8,2.194,100,16.67,snow,0.5,3.6,28.4,14.8,68.2,1019.7,83.3,11.4,17.5,1.6,1,10,2022-01-13T09:09:52,2022-01-13T17:21:26,0.36,"Snow, Partially cloudy",Partly cloudy throughout the day with snow.,snow,"71496099999,71551099999,71866099999,CPOX,CYXE,E7507,CWYE"
Saskatoon,2022-01-14,-5,-10,-8,-8.2,-15,-12.9,-9.6,88.4,0.001,100,4.17,snow,0.4,4.2,37.4,27.8,168.7,1031.1,98.5,15.6,21.4,2.1,1,10,2022-01-14T09:09:03,2022-01-14T17:23:00,0.39,"Snow, Overcast",Cloudy skies throughout the day with early morning snow.,snow,"71496099999,71551099999,71866099999,CPOX,CYXE,E7507,CWYE"
Saskatoon,2022-01-15,-0.3,-7.9,-4,-6,-13.6,-9.7,-6.3,83.7,0,0,0,,0.1,4.4,57.6,26.8,220.8,1013.8,69.8,23.5,29.5,2.7,1,10,2022-01-15T09:08:11,2022-01-15T17:24:35,0.43,Partially cloudy,Partly cloudy throughout the day.,snow,"71496099999,71551099999,71866099999,CPOX,CYXE,E7507,CWYE"
Saskatoon,2022-01-16,0,-8.4,-4.4,-6.1,-15.1,-9.7,-7.3,80.4,0,0,0,,0,4.5,49.7,25.9,251,1013.9,76.6,23.4,46.8,4,3,10,2022-01-16T09:07:16,2022-01-16T17:26:12,0.46,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"71496099999,71551099999,71866099999,CPOX,CYXE,E7507,CWYE"
Saskatoon,2022-01-17,-4.1,-12,-6,-6,-21.7,-11.4,-8.1,85.4,0.499,100,12.5,snow,1,4.3,35.3,27.7,96.9,1006.2,96.5,20.1,32.6,2.8,2,10,2022-01-17T09:06:18,2022-01-17T17:27:51,0.5,"Snow, Overcast",Cloudy skies throughout the day with snow.,snow,"71496099999,71551099999,71866099999,CPOX,CYXE,E7507,CWYE"
Saskatoon,2022-01-18,-13.7,-28.6,-20.5,-24.7,-39.3,-32.9,-24.5,70.8,0.002,100,8.33,snow,0,3.5,57.5,46,324.9,1024,55,20,43.6,3.8,2,10,2022-01-18T09:05:18,2022-01-18T17:29:30,0.53,"Snow, Partially cloudy",Partly cloudy throughout the day with snow.,snow,"71496099999,71551099999,71866099999,CPOX,CYXE,E7507,CWYE"
Saskatoon,2022-01-19,-25.4,-34.5,-29.8,-34.8,-46.2,-39.6,-33.9,67.8,0,0,0,,0.2,3.2,27,17.6,225.3,1041.6,3.4,24,53.8,4.5,3,10,2022-01-19T09:04:14,2022-01-19T17:31:12,0.56,Clear,Clear conditions throughout the day.,snow,"71496099999,71551099999,71866099999,CPOX,CYXE,E7507,CWYE"
Saskatoon,2022-01-20,-3,-28.1,-16.8,-7.7,-38.9,-26.1,-20.3,74.4,0.804,100,8.33,"freezingrain,snow",0.7,3.7,46.8,28.6,164,1017.4,55.4,23.4,41.9,3.4,2,10,2022-01-20T09:03:08,2022-01-20T17:32:54,0.6,"Snow, Freezing Drizzle/Freezing Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon snow.,snow,"71496099999,71551099999,71866099999,CPOX,CYXE,E7507,CWYE"
Saskatoon,2022-01-21,0,-21.9,-9.4,-6.7,-28.4,-17,-12.9,76,0.002,100,4.17,"rain,snow",0.8,4.6,61.2,45.6,305.9,1017.8,69.6,24,48.6,4.2,2,10,2022-01-21T09:01:59,2022-01-21T17:34:38,0.63,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with early morning snow or rain.,snow,"71496099999,71551099999,71866099999,CPOX,CYXE,E7507,CWYE"
Saskatoon,2022-01-22,-13.9,-17.3,-15,-14.9,-24.6,-21.7,-18,77.6,1.499,100,29.17,snow,0.9,5.4,33.5,16.7,107.8,1022.9,100,15.9,37.4,3.4,2,10,2022-01-22T09:00:48,2022-01-22T17:36:22,0.67,"Snow, Overcast",Cloudy skies throughout the day with snow.,snow,"71496099999,71551099999,71866099999,CPOX,CYXE,E7507,CWYE"
Saskatoon,2022-01-23,1.9,-13.2,-7.1,-3.1,-22.3,-14,-9.8,81,0.4,100,12.5,snow,0.8,6.3,44.3,27.1,328.5,1012,98,21.1,25,2.1,1,10,2022-01-23T08:59:34,2022-01-23T17:38:08,0.7,"Snow, Overcast",Cloudy skies throughout the day with snow.,snow,"71496099999,71551099999,71866099999,CPOX,CYXE,E7507,CWYE"
Saskatoon,2022-01-24,-13.1,-26.7,-19.9,-20.7,-33.7,-26,-22.8,77.8,0.001,100,4.17,snow,0.3,6.8,14.8,19,4.3,1027.1,71.1,22.1,56.1,4.8,3,10,2022-01-24T08:58:18,2022-01-24T17:39:54,0.74,"Snow, Partially cloudy",Partly cloudy throughout the day with early morning snow.,snow,"71496099999,71551099999,71866099999,CPOX,CYXE,E7507,CWYE"
