name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
"Shiraz, Iran",2022-01-01,13.1,2.1,7.9,13.1,2.1,7.5,4.5,80.9,0,0,0,,0,0,,18.4,166.5,1021,36.3,7,158.1,13.6,6,,2022-01-01T06:54:56,2022-01-01T17:11:58,0.95,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"40848099999,OISS"
"Shiraz, Iran",2022-01-02,7.1,5,5.9,7.1,1.8,5.3,5.7,98.3,38.5,100,91.67,rain,0,0,,14.8,135.4,1015.6,92.3,3.5,37.7,3.3,2,,2022-01-02T06:55:10,2022-01-02T17:12:40,0,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"40848099999,OISS"
"Shiraz, Iran",2022-01-03,13,5.8,8.5,13,1.4,7.9,4.9,80.8,18.4,100,37.5,rain,0,0,,29.5,277,1012.1,67.6,8.4,171.5,14.8,7,,2022-01-03T06:55:23,2022-01-03T17:13:24,0.02,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"40848099999,OISS"
"Shiraz, Iran",2022-01-04,11.1,5,7.9,11.1,2,6.4,-0.9,56.2,0,0,0,,0,0,,18.4,313.6,1015.4,34.3,10,164.9,14.4,6,,2022-01-04T06:55:34,2022-01-04T17:14:08,0.05,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"40848099999,OISS"
"Shiraz, Iran",2022-01-05,12.8,-1.9,5.2,12.8,-1.9,4.1,-1.4,66.2,0,0,0,,0,0,,18.4,295.3,1016.6,9.1,8.7,186.9,16.1,7,,2022-01-05T06:55:43,2022-01-05T17:14:53,0.08,Clear,Clear conditions throughout the day.,clear-day,"40848099999,OISS"
"Shiraz, Iran",2022-01-06,11,0,5.2,11,0,4.4,-7.9,40.5,0,0,0,,0,0,,14.6,41.5,1020.3,6,10,190.2,16.6,7,,2022-01-06T06:55:51,2022-01-06T17:15:39,0.12,Clear,Clear conditions throughout the day.,clear-day,"40848099999,OISS"
"Shiraz, Iran",2022-01-07,12,-2,3.6,12,-2.9,3.5,-5.4,56.2,0,0,0,,0,0,,16.9,71.5,1022.9,0,10,193.1,16.6,7,,2022-01-07T06:55:57,2022-01-07T17:16:25,0.15,Clear,Clear conditions throughout the day.,clear-day,"40848099999,remote,OISS"
"Shiraz, Iran",2022-01-08,13,-2,4.4,13,-2,4.2,-3.2,62,0,0,0,,0,0,,7.6,107.5,1021.3,0,8.5,188.6,16.3,7,,2022-01-08T06:56:02,2022-01-08T17:17:12,0.18,Clear,Clear conditions throughout the day.,clear-day,"40848099999,OISS"
"Shiraz, Iran",2022-01-09,15,-2,5.8,15,-2,5.8,-3,58.3,0,0,0,,0,0,,10.8,87.9,1021.1,0,8.7,191.3,16.6,7,,2022-01-09T06:56:05,2022-01-09T17:18:00,0.25,Clear,Clear conditions throughout the day.,clear-day,"40848099999,OISS"
"Shiraz, Iran",2022-01-10,14.1,-2,6,14.1,-2,5.9,-3,57,0,0,0,,0,0,5,7.6,119.3,1021.3,17.7,8,185.3,16.2,7,10,2022-01-10T06:56:06,2022-01-10T17:18:48,0.25,Clear,Clear conditions throughout the day.,clear-day,"40848099999,OISS"
