name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
"Sydney, NSW 2000, Australia",2022-01-01,27.2,20.6,23.8,28.8,20.6,23.9,18.4,72.2,0,0,0,,0,0,,4.1,36.7,1012.8,43.7,14.7,191.2,16.6,9,,2022-01-01T05:47:40,2022-01-01T20:09:18,0.94,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"94767099999,94766099999,95765099999,D5330,94768099999,94759099999,94765099999"
"Sydney, NSW 2000, Australia",2022-01-02,29,20.7,24.4,31.4,20.7,25,19.6,75.6,0,0,0,,0,0,,4.4,38.8,1009.8,9,15.2,182,15.7,10,,2022-01-02T05:48:25,2022-01-02T20:09:29,0.97,Clear,Clear conditions throughout the day.,clear-day,"94767099999,94766099999,95765099999,D5330,94768099999,94759099999,94765099999"
"Sydney, NSW 2000, Australia",2022-01-03,28.7,20.8,24.5,29.8,20.8,24.9,18.6,71.2,0,0,0,,0,0,,3.3,112.3,1010.4,11,15,188.7,16.3,10,,2022-01-03T05:49:11,2022-01-03T20:09:37,0,Clear,Clear conditions throughout the day.,clear-day,"94767099999,94766099999,95765099999,D5330,94768099999,94759099999,94765099999"
"Sydney, NSW 2000, Australia",2022-01-04,28.5,21.3,24.4,29.7,21.3,24.8,18.7,71.4,0.198,100,12.5,rain,0,0,,3.7,141.9,1011.1,28.5,14.3,149.1,13,7,,2022-01-04T05:49:58,2022-01-04T20:09:44,0.04,"Rain, Partially cloudy",Clearing in the afternoon with rain.,rain,"94767099999,94766099999,95765099999,D5330,94768099999,94759099999,94765099999"
"Sydney, NSW 2000, Australia",2022-01-05,25.3,21.6,23.2,25.3,21.6,23.2,21.2,88.7,1.838,100,16.67,rain,0,0,,3.9,113,1011.5,57.6,10.6,146,12.6,9,,2022-01-05T05:50:46,2022-01-05T20:09:49,0.07,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"94767099999,94766099999,95765099999,D5330,94768099999,94759099999,94765099999"
"Sydney, NSW 2000, Australia",2022-01-06,27.8,22.3,24.5,30.2,22.3,24.9,21.5,84.1,11.425,100,12.5,rain,0,0,,4.8,61.2,1013.1,53.2,11.5,166.8,14.5,8,,2022-01-06T05:51:35,2022-01-06T20:09:53,0.11,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"94767099999,94766099999,95765099999,D5330,94768099999,94759099999,94765099999"
"Sydney, NSW 2000, Australia",2022-01-07,26.1,22.4,23.8,26.1,22.4,23.8,21.8,88.7,1.069,100,16.67,rain,0,0,,5.2,39.4,1012.4,63.3,9.8,84.3,7.1,3,,2022-01-07T05:52:25,2022-01-07T20:09:54,0.14,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"94767099999,94766099999,95765099999,D5330,94768099999,94759099999,94765099999"
"Sydney, NSW 2000, Australia",2022-01-08,30.2,19.6,23.9,34.2,19.6,24.8,20.7,83.6,27.238,100,12.5,rain,0,0,,3.7,98.2,1010,57.9,13.9,170.3,14.8,9,,2022-01-08T05:53:17,2022-01-08T20:09:53,0.17,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"94767099999,94766099999,95765099999,D5330,94768099999,94759099999,94765099999"
"Sydney, NSW 2000, Australia",2022-01-09,25.1,20.9,22.8,25.1,20.9,22.8,20.5,87,1.901,100,12.5,rain,0,0,,3.2,167.5,1015.6,67.7,13.3,86.2,7.6,3,,2022-01-09T05:54:09,2022-01-09T20:09:51,0.21,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"94767099999,94766099999,95765099999,D5330,94768099999,94759099999,94765099999"
"Sydney, NSW 2000, Australia",2022-01-10,28.6,22.4,24.8,32.4,22.4,25.3,22.2,86.2,0.085,100,8.33,rain,0,0,29.9,3.7,62,1018.1,46.1,12.6,108.6,9.4,4,3,2022-01-10T05:55:01,2022-01-10T20:09:47,0.25,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"94767099999,94766099999,95765099999,D5330,94768099999,94759099999,94765099999"
"Sydney, NSW 2000, Australia",2022-01-11,27.7,22.8,24.6,30.8,22.8,25,21.8,84.7,0,0,0,rain,0,0,34.2,3.5,65.3,1018.5,75.2,12.8,161.7,14.1,8,10,2022-01-11T05:55:55,2022-01-11T20:09:40,0.27,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"94767099999,94766099999,95765099999,D5330,D8873,94768099999,94759099999,94765099999"
"Sydney, NSW 2000, Australia",2022-01-12,27.9,20.7,23.1,29.8,20.7,23.2,20,83.1,9.153,100,4.17,rain,0,0,26.3,3.5,147.5,1018.7,58.4,13.6,150.2,12.9,8,10,2022-01-12T05:56:50,2022-01-12T20:09:32,0.3,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"94767099999,94766099999,95765099999,D5330,94768099999,94759099999,94765099999"
"Sydney, NSW 2000, Australia",2022-01-13,24.6,19.9,21.6,24.6,19.9,21.6,20.4,92.9,69.577,100,12.5,rain,0,0,23.8,2.7,143.5,1017.1,51.8,12.1,89.9,7.7,4,10,2022-01-13T05:57:45,2022-01-13T20:09:22,0.34,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"94767099999,94766099999,95765099999,D5330,94768099999,94759099999,F0600,94765099999,F6936"
"Sydney, NSW 2000, Australia",2022-01-14,28.3,19.6,23.5,30.6,19.6,23.7,20.3,83.4,2.815,100,8.33,rain,0,0,38.9,3.2,50.3,1010.3,71.4,13.9,200.7,17.3,8,10,2022-01-14T05:58:40,2022-01-14T20:09:11,0.37,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"94767099999,94766099999,95765099999,D5330,94768099999,94759099999,94765099999"
"Sydney, NSW 2000, Australia",2022-01-15,27.6,21.3,24.1,30.3,21.3,24.5,20.8,82.6,0.392,100,12.5,rain,0,0,48.6,4,36.6,1005,49.9,13.8,101.6,8.6,4,30,2022-01-15T05:59:37,2022-01-15T20:08:57,0.4,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"94767099999,94766099999,95765099999,D5330,94768099999,94759099999,94765099999"
"Sydney, NSW 2000, Australia",2022-01-16,28.1,22.2,24.6,30.5,22.2,25.3,21.1,81.5,0,0,0,rain,0,0,32,3.9,163.6,1007.8,41.5,12.1,202.9,17.5,9,10,2022-01-16T06:00:34,2022-01-16T20:08:42,0.44,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"94767099999,94766099999,95765099999,D5330,94768099999,94759099999,94765099999"
"Sydney, NSW 2000, Australia",2022-01-17,28.3,21.2,25,31.2,21.2,25.8,21.6,82.2,0,0,0,,0,0,26.3,2.8,46.9,1010.2,91,12.7,202.3,17.3,9,30,2022-01-17T06:01:31,2022-01-17T20:08:24,0.47,Overcast,Cloudy skies throughout the day.,cloudy,"94767099999,94766099999,95765099999,D5330,94768099999,94759099999,94765099999"
"Sydney, NSW 2000, Australia",2022-01-18,24.7,20.5,22.6,24.7,20.5,22.6,21,90.6,5.366,100,8.33,rain,0,0,34.2,3.9,176,1012.4,99.2,11.2,70.4,6,3,10,2022-01-18T06:02:29,2022-01-18T20:08:05,0.5,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"94767099999,94766099999,95765099999,D5330,94768099999,94759099999,94765099999"
"Sydney, NSW 2000, Australia",2022-01-19,22.4,18.7,20.7,22.4,18.7,20.7,17.7,83.6,5.578,100,12.5,rain,0,0,44.6,4.7,170.6,1019.1,96.2,11.8,75.3,6.7,2,10,2022-01-19T06:03:27,2022-01-19T20:07:44,0.54,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"94767099999,94766099999,95765099999,D5330,94768099999,94759099999,94765099999"
