name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
"Tabriz, Iran",2022-01-01,-1,-5,-2.4,-1,-9,-4.2,-4.7,84.6,0.989,100,4.17,snow,0,5.1,,14.5,19.2,1020.9,98.8,2.3,120,10.4,5,,2022-01-01T07:41:12,2022-01-01T17:15:35,0.95,"Snow, Overcast",Cloudy skies throughout the day with late afternoon snow.,snow,"40706099999,40704099999,OITT"
"Tabriz, Iran",2022-01-02,-1,-5,-2.9,-1,-9.6,-4.5,-4.6,88.2,0,0,0,,0.6,5.2,,11.2,321.9,1014.7,88.2,1.9,128.1,11.2,5,,2022-01-02T07:41:20,2022-01-02T17:16:24,0,Partially cloudy,Partly cloudy throughout the day.,snow,"40706099999,40704099999,OITT"
"Tabriz, Iran",2022-01-03,3,-6,-1.8,3,-10.8,-4.3,-6.6,72.1,0.601,100,12.5,"rain,snow",0.4,5.9,,18,358.3,1014,60.1,7,95.4,8.2,4,,2022-01-03T07:41:26,2022-01-03T17:17:14,0.02,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain or snow throughout the day.,snow,"40706099999,40704099999,OITT"
"Tabriz, Iran",2022-01-04,0.8,-7.2,-3.5,0.8,-13,-5.8,-8,71.7,0,0,0,,0,6,,26.3,74.5,1016,62.3,8.8,73.2,6.3,4,,2022-01-04T07:41:30,2022-01-04T17:18:05,0.05,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"40706099999,40704099999,OITT"
"Tabriz, Iran",2022-01-05,4,-5,-0.9,4,-9.4,-2.9,-4.9,75.7,0.099,100,4.17,"rain,snow",0,5.8,,25.2,334.1,1019.7,33.2,8.4,127,10.9,5,,2022-01-05T07:41:32,2022-01-05T17:18:58,0.08,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with morning rain or snow.,rain,"40706099999,40704099999,OITT"
"Tabriz, Iran",2022-01-06,5,-5,-0.7,5,-10.5,-3.8,-6.8,64.9,0,0,0,,0,4.6,,18.4,58.6,1024.2,25.8,11.5,137.5,12,6,,2022-01-06T07:41:32,2022-01-06T17:19:52,0.12,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"40706099999,40704099999,OITT"
"Tabriz, Iran",2022-01-07,5,-4,-0.1,3.3,-9.3,-3.4,-5.8,66.3,0,0,0,,0.9,3.5,,18.2,48.2,1022.5,45.3,9.2,135.8,11.8,6,,2022-01-07T07:41:30,2022-01-07T17:20:47,0.15,Partially cloudy,Partly cloudy throughout the day.,snow,"40706099999,40704099999,OITT"
"Tabriz, Iran",2022-01-08,7.2,-3,0.7,7,-8,-1.9,-4.7,68.9,0,0,0,,0.7,4,,14.8,57.4,1022.9,36.2,5.6,122.2,10.5,5,,2022-01-08T07:41:26,2022-01-08T17:21:43,0.18,Partially cloudy,Partly cloudy throughout the day.,snow,"40706099999,40704099999,OITT"
"Tabriz, Iran",2022-01-09,5,-4,0.1,5,-8,-2.5,-4.5,71.9,0,0,0,,0,0.6,,14.8,63.1,1022.6,9.3,7,141.9,12.1,6,,2022-01-09T07:41:19,2022-01-09T17:22:40,0.25,Clear,Clear conditions throughout the day.,clear-day,"40706099999,40704099999,OITT"
"Tabriz, Iran",2022-01-10,7,-3,1.5,6.2,-7.8,-1.1,-3.6,70.4,0.593,100,4.17,rain,0,1.1,7.9,21.6,52.2,1018.4,59.6,7.3,71.4,6.3,2,10,2022-01-10T07:41:11,2022-01-10T17:23:38,0.25,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"40706099999,40704099999,OITT"
"Tabriz, Iran",2022-01-11,6,0,2.4,6,-5.3,0.7,0.8,89.4,0.593,100,4.17,"rain,snow",0,4.5,5.4,21.6,29.6,1019.7,69.2,5.9,77,6.9,3,10,2022-01-11T07:41:00,2022-01-11T17:24:37,0.28,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with early morning snow or rain.,rain,"40706099999,40704099999,OITT"
"Tabriz, Iran",2022-01-12,7,-2,3,6.9,-2,2.3,1.1,87.7,0,0,0,,0,3.3,6.5,11.2,49.8,1020.9,71.3,4.3,93.4,8,4,10,2022-01-12T07:40:48,2022-01-12T17:25:37,0.31,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"40706099999,40704099999,OITT"
"Tabriz, Iran",2022-01-13,7,2,4.3,7,-1.2,2.5,2.5,88.2,0.991,100,8.33,rain,0,0.6,57.6,21.6,56.4,1014,91.5,5.7,81.2,7.1,3,10,2022-01-13T07:40:33,2022-01-13T17:26:38,0.35,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"40706099999,40704099999,OITT"
"Tabriz, Iran",2022-01-14,6,-3,0.2,5,-11.3,-4,-3.5,76.9,1.52,100,12.5,"rain,snow",1.1,0.7,48.2,46.4,348.9,1008.4,92.6,8,51.2,4.2,2,10,2022-01-14T07:40:16,2022-01-14T17:27:39,0.38,"Snow, Rain, Overcast",Cloudy skies throughout the day with a chance of rain or snow throughout the day.,snow,"40706099999,40704099999,OITT"
"Tabriz, Iran",2022-01-15,2,-5.1,-2.1,0,-9.6,-4.9,-5.9,76.7,0,0,0,snow,4.8,4,39.2,18.4,298.3,1003.6,88.1,6.7,124.7,10.9,4,10,2022-01-15T07:39:58,2022-01-15T17:28:42,0.41,Partially cloudy,Partly cloudy throughout the day.,snow,"40706099999,40704099999,OITT"
"Tabriz, Iran",2022-01-16,1.1,-7,-4.2,-2.9,-11.9,-9.1,-6.4,85,7.133,100,16.67,snow,4.7,6.8,37.1,29.5,343.7,1008.2,99,3.4,52.5,4.6,2,10,2022-01-16T07:39:37,2022-01-16T17:29:45,0.45,"Snow, Overcast",Cloudy skies throughout the day with a chance of snow throughout the day.,snow,"40706099999,40704099999,OITT"
"Tabriz, Iran",2022-01-17,-4.8,-11.2,-7.9,-7,-17.8,-12.6,-12.2,71.5,0.1,100,4.17,snow,1.9,9.9,31,21.4,16,1016.8,76.3,10.8,110.5,9.8,4,10,2022-01-17T07:39:14,2022-01-17T17:30:49,0.48,"Snow, Partially cloudy",Partly cloudy throughout the day with early morning snow.,snow,"40706099999,40704099999,OITT"
"Tabriz, Iran",2022-01-18,-5.2,-17,-10.9,-6,-22.5,-14.7,-15.1,71.4,0,0,0,snow,0,7,22,14.7,25.9,1020.5,34.5,10.5,142,12.4,5,10,2022-01-18T07:38:49,2022-01-18T17:31:53,0.5,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"40706099999,40704099999,OITT"
"Tabriz, Iran",2022-01-19,0,-13,-6.5,0,-19.2,-10.5,-13.2,60.3,0,0,0,,0,6.1,14.8,14.8,46.5,1015.9,39.1,11.4,152.5,13.7,5,10,2022-01-19T07:38:22,2022-01-19T17:32:58,0.55,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"40706099999,40704099999,OITT"
"Tabriz, Iran",2022-01-20,-1,-9,-3.9,-2,-14.4,-8.5,-7.2,78.3,5.106,100,12.5,"rain,snow",5.1,7.7,41.4,22.3,337.1,1010.5,87,6.3,111.4,9.8,5,10,2022-01-20T07:37:53,2022-01-20T17:34:03,0.58,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with rain or snow.,snow,"40706099999,40704099999,OITT"
