name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
"Taiyuan, China",2022-01-01,7,-12,-3,7,-12,-4.6,-15.5,42.5,0,0,0,,0,0,28.4,14.4,338.8,1026,5.5,9.8,126.6,11,5,,2022-01-01T07:45:36,2022-01-01T17:21:00,0.94,Clear,Clear conditions throughout the day.,clear-day,"53772099999,ZBYN"
"Taiyuan, China",2022-01-02,3,-13.3,-5,3,-16.8,-6.2,-15.5,46.4,0,0,0,,0,0,28.4,7.2,119.5,1025.9,29.7,10.8,119.3,10.4,5,,2022-01-02T07:45:45,2022-01-02T17:21:48,0.98,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,"53772099999,ZBYN"
"Taiyuan, China",2022-01-03,5,-12,-3.9,5,-12,-4.6,-13.8,50.7,0,0,0,,0,0,12.6,7.2,9,1023.7,17.8,9.1,124.6,10.7,5,,2022-01-03T07:45:52,2022-01-03T17:22:38,0,Clear,Clear conditions throughout the day.,clear-day,"53772099999,ZBYN"
"Taiyuan, China",2022-01-04,5,-11,-3,5,-11,-4.5,-13.5,47.5,0,0,0,,0,0,22,21.6,73.1,1024.7,36.2,10.5,111.1,9.7,5,,2022-01-04T07:45:57,2022-01-04T17:23:29,0.05,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,"53772099999,ZBYN"
"Taiyuan, China",2022-01-05,4,-6.4,-1.8,4,-8,-3.2,-11.3,49.9,0,0,0,,0,0,22,21.6,99.1,1025,37.9,8.5,109.1,9.3,5,,2022-01-05T07:45:59,2022-01-05T17:24:21,0.08,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"53772099999,ZBYN"
"Taiyuan, China",2022-01-06,3,-8,-2,3,-9.5,-3.1,-8.6,62.3,0,0,0,,0,0,14.8,10.8,115.4,1029.7,12.2,4.3,94.8,8.1,4,,2022-01-06T07:46:00,2022-01-06T17:25:14,0.11,Clear,Clear conditions throughout the day.,clear-day,"53772099999,ZBYN"
"Taiyuan, China",2022-01-07,4,-5,0,3,-5,-0.7,-7.7,57,0,0,0,,0,0,16.2,9.6,226.2,1027.9,6.6,4.9,112.3,9.6,5,,2022-01-07T07:45:58,2022-01-07T17:26:09,0.14,Clear,Clear conditions throughout the day.,clear-day,"53772099999,ZBYN"
"Taiyuan, China",2022-01-08,3,-10,-3.7,3,-10,-4.3,-9.3,67.7,0,0,0,,0,0,14.8,7.2,330.6,1025.7,23.5,4.2,74.9,6.4,3,,2022-01-08T07:45:54,2022-01-08T17:27:04,0.18,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"53772099999,ZBYN"
"Taiyuan, China",2022-01-09,3,-10,-3.4,2.8,-10,-3.8,-9.1,67.1,0,0,0,,0,0,12.2,7.2,148.1,1021.6,15.8,3.7,110,9.4,5,,2022-01-09T07:45:49,2022-01-09T17:28:01,0.21,Clear,Clear conditions throughout the day.,clear-day,"53772099999,ZBYN"
"Taiyuan, China",2022-01-10,5,-4.2,-0.3,3.2,-7.1,-2.1,-14.6,41,0,0,0,,0,0,48.6,24,303.6,1023.1,9.5,7.4,134.2,11.7,6,10,2022-01-10T07:45:41,2022-01-10T17:28:59,0.25,Clear,Clear conditions throughout the day.,clear-day,"53772099999,ZBYN"
"Taiyuan, China",2022-01-11,5,-11,-3.5,4.4,-12.9,-4.7,-14.9,43.3,0,0,0,,0,0,48.6,7.6,198.3,1022.5,1.5,10.5,114.6,9.8,4,10,2022-01-11T07:45:31,2022-01-11T17:29:57,0.28,Clear,Clear conditions throughout the day.,clear-day,"53772099999,ZBYN"
