name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
"Toshkent, O'zbekiston",2022-01-01,9.7,3,6.8,9.7,0.9,5.8,1.2,68.3,0,0,0,,0,0,,22.3,56.8,1019,55.8,8.8,31.3,2.7,1,,2022-01-01T07:49:04,2022-01-01T17:04:08,0.95,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"38583099999,38452099999,38457099999,UTTT"
"Toshkent, O'zbekiston",2022-01-02,12,4,7.4,12,2.1,6.5,3.3,76.3,0.996,100,8.33,rain,0,0,,11.2,74.4,1018.2,62.5,6.7,82.6,7.3,4,,2022-01-02T07:49:10,2022-01-02T17:05:00,0,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"38583099999,38452099999,38457099999,UTTT"
"Toshkent, O'zbekiston",2022-01-03,12,7,9.4,12,4.3,8.1,4.3,71.4,1.054,100,8.33,rain,0,0,,25.9,34.7,1008.6,80.4,10.5,26.6,2.2,1,,2022-01-03T07:49:13,2022-01-03T17:05:53,0.02,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"38583099999,38452099999,38457099999,UTTT"
"Toshkent, O'zbekiston",2022-01-04,10,3,6.4,8.1,-0.7,4.4,5.5,94.3,12.954,100,8.33,rain,0,0,33.5,14.8,219,1013.3,86,4.9,69.1,6,4,,2022-01-04T07:49:14,2022-01-04T17:06:47,0.05,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"38583099999,38452099999,38457099999,UTTT"
"Toshkent, O'zbekiston",2022-01-05,8,3,5,8,0.9,3.8,3.7,91.4,3.971,100,4.17,rain,0,0,,11.2,265.1,1015.8,82.2,4.1,85.9,7.4,4,,2022-01-05T07:49:13,2022-01-05T17:07:43,0.08,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"38583099999,38452099999,38457099999,UTTT"
"Toshkent, O'zbekiston",2022-01-06,6,3.9,5.1,6,0.6,3.4,4.5,96,5.017,100,4.17,rain,0,0,,14.8,272.8,1020.6,77.1,3.4,39.1,3.3,2,,2022-01-06T07:49:09,2022-01-06T17:08:41,0.12,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"38583099999,38452099999,38457099999,UTTT"
"Toshkent, O'zbekiston",2022-01-07,7,2.3,3.9,5.6,-0.7,1.7,1.7,86.1,3.975,100,4.17,rain,0,0,,14.8,329.9,1027.7,74.4,8.3,76.7,6.6,4,,2022-01-07T07:49:03,2022-01-07T17:09:39,0.15,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"38583099999,38452099999,38457099999,UTTT"
"Toshkent, O'zbekiston",2022-01-08,8,0,2.9,6.8,-1.5,1.6,0.7,86.7,0,0,0,,0,0,,11.2,292.3,1023.7,31.4,5.7,108.8,9.3,5,,2022-01-08T07:48:55,2022-01-08T17:10:40,0.18,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"38583099999,38452099999,38457099999,UTTT"
"Toshkent, O'zbekiston",2022-01-09,6,-1,1.5,5,-3.8,-0.1,0.4,93,0,0,0,,0,0,,11.2,223,1027.1,68.5,2.2,112.8,9.8,5,,2022-01-09T07:48:44,2022-01-09T17:11:41,0.25,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"38583099999,38452099999,38457099999,UTTT"
"Toshkent, O'zbekiston",2022-01-10,3,0,0.8,1,-2.6,-0.5,-0.1,94.2,0,0,0,,0,0,5.4,18.4,266.5,1026.2,83.5,1.9,109.2,9.4,5,10,2022-01-10T07:48:31,2022-01-10T17:12:44,0.25,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"38583099999,38452099999,38457099999,UTTT"
"Toshkent, O'zbekiston",2022-01-11,9.2,-1.4,2.8,8.5,-3.8,1.6,0.4,86.2,0,0,0,,0,0,7.2,11.2,87.8,1022.5,46.5,4.7,110.1,9.9,5,10,2022-01-11T07:48:16,2022-01-11T17:13:48,0.28,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"38583099999,38452099999,38457099999,UTTT"
"Toshkent, O'zbekiston",2022-01-12,15.1,1,7,15.1,-3.1,5.6,-2.4,53.7,0,0,0,,0,0,10.8,14.8,96.2,1016.4,70.1,11,86.1,7.6,4,10,2022-01-12T07:47:59,2022-01-12T17:14:53,0.31,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"38583099999,38452099999,38457099999,UTTT"
"Toshkent, O'zbekiston",2022-01-13,8,5.4,6.8,7,2.4,5.4,2.7,75.7,0.114,100,4.17,rain,0,0,20.5,18.4,139,1018.3,52.6,4.8,54.7,4.7,3,10,2022-01-13T07:47:39,2022-01-13T17:15:59,0.35,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"38583099999,38452099999,38457099999,UTTT"
"Toshkent, O'zbekiston",2022-01-14,17,5,10.4,17,1.8,9.5,3,63.8,2.946,100,4.17,rain,0,0,23.8,18.4,88,1012.6,63.5,10.7,97.9,8.8,5,10,2022-01-14T07:47:17,2022-01-14T17:17:05,0.38,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"38583099999,38452099999,38457099999,UTTT"
"Toshkent, O'zbekiston",2022-01-15,15,9.7,11.9,15,7.5,11.5,3.3,56,0.051,100,4.17,rain,0,0,31,33.5,59.2,1007.3,80.2,9.3,51.7,4.5,2,10,2022-01-15T07:46:53,2022-01-15T17:18:13,0.41,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"38583099999,38452099999,38457099999,UTTT"
"Toshkent, O'zbekiston",2022-01-16,13,9,11.4,13,7.9,11.3,7.2,75.8,1.79,100,8.33,rain,0,0,31,33.5,50.2,1010.4,77.6,9,16.1,1.4,1,10,2022-01-16T07:46:27,2022-01-16T17:19:22,0.44,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"38583099999,38452099999,38457099999,UTTT"
"Toshkent, O'zbekiston",2022-01-17,11,5.8,7.5,11,2.1,6.4,6.7,95,9.385,100,8.33,rain,0,0,24.5,22.3,308.1,1016.6,79.3,5.9,15.4,1.4,1,10,2022-01-17T07:45:58,2022-01-17T17:20:32,0.48,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"38583099999,38452099999,38457099999,UTTT"
"Toshkent, O'zbekiston",2022-01-18,13,5,8.6,13,2.4,7.9,5.7,83.4,0.135,100,4.17,rain,0,0,16.2,14.8,22.7,1016.1,42.4,6.8,103.7,9.1,5,10,2022-01-18T07:45:28,2022-01-18T17:21:42,0.5,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"38583099999,38452099999,38457099999,UTTT"
"Toshkent, O'zbekiston",2022-01-19,8,1.9,5.6,6.3,-1.2,2.8,2.7,82.3,4.153,100,8.33,"rain,snow",0,0,64.8,33.4,216.4,1015.9,70.8,7.4,43.1,3.9,3,10,2022-01-19T07:44:55,2022-01-19T17:22:53,0.55,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with rain or snow.,rain,"38583099999,38452099999,38457099999,UTTT"
"Toshkent, O'zbekiston",2022-01-20,10,0.6,4.3,10,-3.4,2.7,-3.1,62.1,0,0,0,,0,0,14.8,18.4,9.8,1020.4,16,10.4,118.9,10.6,5,10,2022-01-20T07:44:20,2022-01-20T17:24:05,0.58,Clear,Clear conditions throughout the day.,clear-day,"38583099999,38452099999,38457099999,UTTT"
"Toshkent, O'zbekiston",2022-01-21,10,-2,3.8,10,-4.9,2.4,-5.7,51.7,0,0,0,,0,0,14.4,18.4,90.3,1008.5,15.7,11.4,123.7,11.1,5,10,2022-01-21T07:43:43,2022-01-21T17:25:17,0.62,Clear,Clear conditions throughout the day.,clear-day,"38583099999,38452099999,38457099999,UTTT"
"Toshkent, O'zbekiston",2022-01-22,3,0.6,2.1,3,-3.7,0.2,0.8,91.1,0.007,100,4.17,"rain,snow",0,0,24.8,18.4,299.5,1021.8,93.7,4.4,61.4,5.3,3,10,2022-01-22T07:43:03,2022-01-22T17:26:30,0.65,"Snow, Rain, Overcast",Cloudy skies throughout the day with late afternoon rain or snow.,rain,"38583099999,38452099999,38457099999,UTTT"
"Toshkent, O'zbekiston",2022-01-23,2,0,1.1,2,-3.7,-1.3,-0.7,88.2,0.198,100,4.17,"rain,snow",0,0,10.4,14.8,307.9,1024.7,100,4.7,114.4,10.2,5,10,2022-01-23T07:42:22,2022-01-23T17:27:44,0.69,"Snow, Rain, Overcast",Cloudy skies throughout the day with morning rain or snow.,rain,"38583099999,38452099999,38457099999,UTTT"
"Toshkent, O'zbekiston",2022-01-24,6.9,-0.5,2.5,5.7,-2.6,0.7,-2.1,73.3,0,0,0,,0,0,13,14.8,8.4,1023.7,41.8,5.9,121.8,10.4,5,10,2022-01-24T07:41:39,2022-01-24T17:28:57,0.72,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"38583099999,38452099999,38457099999,UTTT,remote"
"Toshkent, O'zbekiston",2022-01-25,7,-2,1.7,6,-6,-0.6,-2.9,73.9,0,0,0,,0,0,8.6,11.2,107,1023.1,35.2,5.1,122.8,10.6,5,10,2022-01-25T07:40:54,2022-01-25T17:30:12,0.75,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"38583099999,38452099999,38457099999,UTTT"
